"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2urQEPkvz0ISpmqrKoSvwA","ON THE RUN","spotify:artist:1m0t5VYISq6TcyMo7UqLMz","Zaia","spotify:album:0mHKBmV2f0y9A9jUmQtCMa","RESET","2019-06-21","1","4","253561","true","45","spotify:user:1227113","2020-10-27T14:22:49Z","alternative r&b,atl hip hop,indie r&b","0.825","0.468","10","-6.536","0","0.471","0.163","0","0.0524","0.939","171.018","3"
"spotify:track:5MTgIowROiR5VI0Ix66TmY","Seals - Solo","spotify:artist:4EMtGVFvfCSrEmWaGV0roE","Theophilus London","spotify:album:4raedCVd1prAcPjG5jr5ou","Seals (Solo)","2019-02-22","1","1","363797","true","0","spotify:user:1227113","2020-10-27T14:34:53Z","alternative hip hop","0.482","0.386","11","-10.849","1","0.0388","0.499","0.0715","0.14","0.0697","116.645","4"
"spotify:track:2Z5xRFcP76V3cBMKbOqwGR","Good Together","spotify:artist:3sJQwG0SsGRyv5C5kh4o9a","Shay Lia","spotify:album:0Ps8Lby9zMu7tnoXMEpk06","Dangerous","2019-05-24","1","4","239083","false","0","spotify:user:1227113","2020-10-27T14:35:55Z","alternative r&b,canadian contemporary r&b,canadian pop,chill r&b,indie r&b,indie soul,montreal indie","0.671","0.469","4","-7.847","0","0.132","0.771","0.0000713","0.105","0.405","97.984","4"
"spotify:track:1pYXiImb0JtzMKHtdWtw9n","Blu","spotify:artist:1CgbNAF3Stnz1Tpipu3xdO","Elujay","spotify:album:3dfTeRPEPCLiBlzEQBMPAK","Adojio","2019-02-01","1","5","215029","true","47","spotify:user:1227113","2020-10-27T14:36:11Z","alternative r&b,cali rap,chill r&b,indie r&b,underground hip hop","0.668","0.546","11","-7.872","0","0.0415","0.529","0.0000013","0.118","0.375","76.002","4"
"spotify:track:4KBcjrfoYsrHDLaMKBMweP","Weight Off My Mind","spotify:artist:0JdGPxHeRGfOyZg3EHwp2g, spotify:artist:3UjPnt2nRmw10N58bBeNOg, spotify:artist:62C0sbk0QOvluqtTjpYTtL","Alex Wiley, Xavier Omär, Mike Gao","spotify:album:4gI4rj1eG7m2v4LYtFfT3u","Weight Off My Mind","2019-12-20","1","1","172826","true","32","spotify:user:1227113","2020-10-27T14:36:15Z","chicago rap,deep underground hip hop,underground hip hop,alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul,wonky","0.695","0.536","4","-8.574","0","0.17","0.898","0.000155","0.123","0.403","92","4"
"spotify:track:5rYYxqALQB2QQRzR3QIzYH","What You Need","spotify:artist:2f70Y2dW98FPfkO61AGa2E, spotify:artist:13Kd75NSHSp9lB4CaqPMOV, spotify:artist:3jUCC3z6XfyxBbGir9OcHK","Please Wait, Ta-ku, matt mcwaters","spotify:album:11CYwYfF7xbbwjlzt3OsED","Black & White - EP","2019-12-13","1","6","269936","false","0","spotify:user:1227113","2020-10-27T14:45:12Z","alternative r&b,ambeat,indie soul,vapor soul,vapor twitch","0.504","0.4","2","-10.475","0","0.0327","0.517","0.0729","0.119","0.0382","97.846","4"
"spotify:track:7FoS6JJJxJEtGRaabmP4Wu","Goldress","spotify:artist:772hWD0N94gYjnVhrqE7lx, spotify:artist:5wH58LQ6x7glKH72cIVJtN","YellowStraps, VYNK","spotify:album:5zAnrOXlb8RwbQQg3IU91n","Goldress","2019-12-13","1","1","271395","false","23","spotify:user:1227113","2020-10-27T14:45:17Z","neo r&b","0.554","0.688","8","-7.536","1","0.119","0.329","0.00000377","0.113","0.161","86.032","4"
"spotify:track:6Psn2hroOtN0XxdIXJjets","OneFourThree (feat. Buddy & BJ The Chicago Kid) - Keys N Krates Remix","spotify:artist:3fmMaLC5jjf2N4EC2kTx0u, spotify:artist:07d5etnpjriczFBB8pxmRe, spotify:artist:6PDLwWvgYNMfBRLqC1h5cJ, spotify:artist:6c1pBXHYjFcGQQNO5MMsdd","Hermitude, BJ The Chicago Kid, Buddy, Keys N Krates","spotify:album:1HyOUgE7AwX6ycvREu0b6S","OneFourThree (feat. Buddy & BJ The Chicago Kid) [Keys N Krates Remix]","2019-11-22","1","1","219367","true","23","spotify:user:1227113","2020-10-27T14:48:06Z","australian dance,downtempo,edm,escape room,alternative r&b,chicago rap,hip hop,indie soul,neo soul,rap,underground hip hop,alternative r&b,cali rap,rap,trap soul,underground hip hop,bass trap,edm,electronic trap,livetronica,vapor twitch","0.762","0.686","4","-8.227","0","0.113","0.128","0.000106","0.0722","0.475","124.959","4"
"spotify:track:2ZepXst6ONb7w798ndEg5a","Homegirl (feat. Smino & Topaz Jones)","spotify:artist:5YZ5AExR68U3ZblH6HcO6B, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:76bAuLD5jMIT1YDJ84KB8l","Leven Kali, Smino, Topaz Jones","spotify:album:5G1iAACrVwK9cjrioFotQI","Homegirl (feat. Smino & Topaz Jones)","2019-12-11","1","1","286073","true","0","spotify:user:1227113","2020-10-27T14:49:59Z","alternative r&b,chill r&b,indie r&b,indie soul,alternative r&b,hip hop,rap,underground hip hop,new jersey rap","0.8","0.63","8","-5.457","1","0.116","0.17","0","0.0997","0.75","85.076","4"
"spotify:track:76cZ2GHG0pM6GHiCZSWXyQ","Good Luck","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","spotify:album:599yjJIKmWeJ3HepwJBce7","Good Luck","2019-09-27","1","1","75453","false","43","spotify:user:1227113","2020-10-27T14:50:07Z","alternative r&b,bedroom soul,chill r&b,indie r&b","0.377","0.118","1","-16.873","1","0.0538","0.988","0.00000275","0.112","0.328","173.501","3"
"spotify:track:2cpCm5ada85iPIhdc6YOOX","Pink","spotify:artist:6auWB5YAlcKaHyrbTH66nd","No Rome","spotify:album:5ON9itdFujYUliUAlGezJB","Crying In The Prettiest Places","2019-05-03","1","4","187866","true","50","spotify:user:1227113","2020-10-27T14:59:07Z","indietronica","0.764","0.53","4","-7.444","1","0.0613","0.206","0","0.0876","0.443","105.965","4"
"spotify:track:3tmuruFsPgEmtWr5OMwCvE","Verdict","spotify:artist:1Sizk6ZBxTmddJGLGOtJjS","Berel","spotify:album:0kpAOLPSwcd7wAmINqgcrX","Thirteenth Floor","2019-10-15","1","7","157450","false","11","spotify:user:1227113","2020-10-27T14:59:59Z","","0.538","0.289","5","-10.55","0","0.193","0.714","0.0000211","0.117","0.32","154.266","4"
"spotify:track:1PEsLS9DGYojPn0l8D4wiy","Heal You (feat. Courtney Bennett)","spotify:artist:4UKSO7zmU2H8nSkKWdCYRT, spotify:artist:1LdCht8NJVMXYyYmysMTcR","Jamal Woon, Courtney Bennett","spotify:album:23UWBwjuLmDdcVW8O3sFsj","Heal You (feat. Courtney Bennett)","2015-11-16","1","1","180062","false","16","spotify:user:1227113","2020-10-27T15:05:55Z","","0.389","0.322","5","-12.212","0","0.0794","0.878","0.000011","0.109","0.251","62.713","4"
"spotify:track:1sbO9L595OgB1sd2fdSdGu","ROT IN PIECES","spotify:artist:5bC48lf8QD99jU2lLiJlon","HERO","spotify:album:0ZIomeOwtjub0zDs6i46Xq","ROT IN PIECES","2019-10-29","1","1","154736","false","0","spotify:user:1227113","2020-10-27T15:06:17Z","","0.611","0.5","5","-6.968","0","0.113","0.105","0.399","0.0933","0.66","76.097","4"
"spotify:track:1lwVEZkzfZaPNWsvvN9YI2","Panasonic","spotify:artist:7wFDo161xYdeaiLz3KIHoM","Gallant","spotify:album:36BnoniDx1oKdMWm7ProqG","Sweet Insomnia","2019-10-25","1","9","224426","false","34","spotify:user:1227113","2020-10-27T15:08:27Z","alternative r&b,chill r&b","0.591","0.642","2","-6.192","1","0.039","0.0333","0.0000405","0.43","0.444","145.011","4"
"spotify:track:2dpnyEORdFJPomak5OCnwp","Dead","spotify:artist:5qfkUSH3ip5dD2eEPhjkT3","Kyle Dion","spotify:album:29EYKS3NxRgT395bDjyhrq","Dead","2019-10-29","1","1","156081","false","29","spotify:user:1227113","2020-10-27T15:10:28Z","alternative r&b,chill r&b,indie r&b,indie soul","0.833","0.486","4","-7.928","0","0.0646","0.455","0","0.205","0.738","124.987","4"
"spotify:track:4utbwwCXFJzUUpLrfAVgby","Down2This","spotify:artist:1HMhQzj2QXxR40zGDdaK6y","Kojey Radical","spotify:album:5y5Je353ZsPKl9fuO10ZpA","Cashmere Tears","2019-09-13","1","8","87184","false","30","spotify:user:1227113","2020-10-27T15:10:54Z","uk alternative hip hop","0.336","0.404","10","-8.964","0","0.0382","0.594","0","0.242","0.585","135.53","5"
"spotify:track:2vDikkdCLKqhwaYwxZMFEN","I Just Do","spotify:artist:4lwPGsAG5qnfn1JOtESnYZ, spotify:artist:5HKvkL7ClgwC0Yepi6LCzj","Guordan Banks, Cosmic Caviar","spotify:album:0CnycR4ezQkvLBtCeq9pGV","BLOOD ON THE VINYL","2019-10-25","1","1","190288","false","29","spotify:user:1227113","2020-10-27T15:11:36Z","","0.707","0.464","7","-6.341","0","0.0575","0.388","0.0000103","0.0946","0.262","93.002","4"
"spotify:track:5Vs8lBYv77rolhyaLp6q4X","Learn","spotify:artist:0iq8RFnJPaAzjxStLi9Y9z, spotify:artist:0iqznAW9pzZ7KOjx8aCMWo","Insightful, Tay Iwar","spotify:album:4XzROif3kU83AtghWctdjA","Learn (feat. Tay Iwar)","2019-11-05","1","2","169669","false","0","spotify:user:1227113","2020-10-27T15:14:17Z","abstract beats,alte,nigerian pop","0.381","0.438","6","-11.937","0","0.151","0.339","0.0000267","0.147","0.218","87.326","3"
"spotify:track:2UtOb1aJlJpnXabPUO276v","Playaplayaplaya","spotify:artist:4ZPInhlYlpaCsk1vnHmKBP","Samuel Seo","spotify:album:0gRAtdKM6Y4ylJAmbSPUv5","The Misfit","2019-10-31","1","12","191321","false","19","spotify:user:1227113","2020-10-27T15:16:42Z","k-indie,k-rap,korean r&b","0.773","0.304","11","-10.324","0","0.43","0.691","0","0.106","0.671","87.013","4"
