"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0SlBjQHEfRaVhqZ5SB1SRZ","Could I Be Falling in Love","spotify:artist:6XItHNeKXecnFpkJHOn5JL","Syl Johnson","spotify:album:0hBlULfjPTKngZsvbe3qpE","Diamond in the Rough","2010","1","4","188573","false","36","spotify:user:1227113","2020-10-27T14:32:55Z","chicago soul,classic soul,funk,memphis soul,soul,southern soul","0.547","0.325","2","-11.962","0","0.0257","0.628","0.0000617","0.122","0.396","73.232","4"
"spotify:track:2KKyVgKvMf0oZPP4pQTETi","Impeach the President","spotify:artist:7zuZaI5MMCKCiDMmtkp0kp","The Honey Drippers","spotify:album:4AVWyTdmhaMVdTl3WpahHN","Impeach the President","1973","1","1","238561","false","43","spotify:user:1227113","2020-10-27T14:36:52Z","","0.688","0.733","9","-5.768","1","0.244","0.525","0.0175","0.14","0.877","95.705","4"
"spotify:track:6X278nMKrWC1EMNDfl7fU3","Tommy Don't","spotify:artist:1PryMSya1JnSAlcwYawCxp","Menahan Street Band","spotify:album:4ciwXzgY6uWkVD1p71rM77","Tommy Don't","2019-11-05","1","1","104293","false","30","spotify:user:1227113","2020-10-27T15:14:42Z","afrobeat,brass band,funk,instrumental funk,soul","0.538","0.677","4","-6.139","0","0.042","0.253","0.077","0.0729","0.966","139.683","4"
"spotify:track:2f9mmR37OEceYERbXml0Nj","Another Life","spotify:artist:336vr2M3Va0FjyvB55lJEd","D'Angelo","spotify:album:5Hfbag0SsHxafx1SySFSX6","Black Messiah","2014-12-15","1","12","358626","false","54","spotify:user:1227113","2020-10-27T17:28:32Z","alternative r&b,funk,hip hop,indie soul,neo soul,soul","0.572","0.61","9","-7.994","1","0.0448","0.127","0.0295","0.0953","0.364","71.254","4"
"spotify:track:5XQAQeWYm1b7wIx8xIMO1Q","This Time I'm For Real","spotify:artist:0sAkGlLDh7PmpquXznI42M","The Notations","spotify:album:1i6SV7VahxfIAcF9fDEgA2","Still Here: 1967-1973","2015-03-17","1","5","181493","false","8","spotify:user:1227113","2020-10-27T21:17:27Z","classic soul,souldies,traditional soul","0.657","0.473","6","-10.636","0","0.0397","0.445","0","0.155","0.761","114.346","4"
"spotify:track:0WMbYukhITt6ergpURYkdX","Man On the Side","spotify:artist:6QEzUmS4jWVbc6JtYV7OvB","Love Apple","spotify:album:0jYJhfo7QIoS4REsWN8qdv","Love Apple","2012-02-28","1","1","289226","false","26","spotify:user:1227113","2020-10-28T16:59:26Z","","0.766","0.494","11","-12.644","0","0.125","0.886","0.0000273","0.0342","0.559","79.21","4"
"spotify:track:4XCGfHpGVq8xw800o5cwWs","Les Fleurs","spotify:artist:2i1IdHG5w0wiSmJGoqAGlj","Minnie Riperton","spotify:album:3FuJjgDLCnwRgnRLfjjGPV","Come To My Garden","1970-11-01","1","1","199293","false","64","spotify:user:1227113","2020-11-10T17:45:28Z","classic soul,disco,funk,jazz funk,motown,neo soul,quiet storm,soul","0.441","0.499","6","-9.453","1","0.0484","0.665","0.00000287","0.211","0.513","151.878","4"
"spotify:track:44MjocxmoGd3FB2v3xXZcj","Fell For You","spotify:artist:2W8UTum7bU7ue6m0r14H97","The Dramatics","spotify:album:1kuAkkhsye50w4et6k4vOT","Whatcha See Is Whatcha Get [Stax Remasters]","1971","1","12","205746","false","32","spotify:user:1227113","2020-11-11T16:52:01Z","classic soul,disco,funk,memphis soul,motown,quiet storm,soul,southern soul,urban contemporary","0.402","0.459","0","-13.261","1","0.0806","0.461","0.0163","0.1","0.655","173.48","4"
"spotify:track:6SUmbOhYmqcqH39rdFIGtL","Can't Live Without You","spotify:artist:7JFaKCEFvbt98kgF9yluzW","Connie Laverne","spotify:album:0VpyygiRwwIUPGczcqWiL2","Masters of Soul: George Kerr - Singles & Rarities, Vol. 2","2014-01-07","1","34","156095","false","35","spotify:user:1227113","2020-11-12T15:26:58Z","","0.6","0.812","11","-7.916","0","0.181","0.282","0.00000253","0.13","0.729","109.54","4"
"spotify:track:21IuN6QkOi8GlgUwoPiiKp","Concentrate","spotify:artist:0J4hhNPKGkF96BvCakh2Ab","Willie Tee","spotify:album:2axNZCrn5jHjAXuJTL73iE","Creative Musicians","2002-11-11","1","11","227400","false","16","spotify:user:1227113","2020-11-16T21:16:05Z","beach music,swamp pop","0.53","0.776","6","-6.669","1","0.0494","0.252","0.000308","0.236","0.545","80.764","4"
