"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5uNhWDGP1gXxS2IZl2alGx","Maniac","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","GoldLink","spotify:album:790qROmQ1y4aPEYLcSkScH","Diaspora","2019-06-12","1","3","189613","true","55","spotify:user:1227113","2019-06-21T14:53:46Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.812","0.606","1","-6.768","1","0.0448","0.0674","0.00245","0.173","0.0813","132.976","4"
"spotify:track:3xMNnUZEpkPKDIeAf5Y5Zu","For The Money","spotify:artist:26s8LSolLfCIY88ysQbIuT, spotify:artist:08Ld63UgKrJ0nZnCkzHtzc, spotify:artist:19QM5pgzQ4q7vYiWxvNijB, spotify:artist:0gfz2By1hEjLhQZpKXxOHC, spotify:artist:21O7WwRkik43ErKppxDKJq","Three 6 Mafia, Project Pat, Kholebeatz, Hypnotize Minds, Lil Wyte","spotify:album:5djMOFbgooevjp2yy1kgiR","For The Money","2018-04-10","1","1","162548","false","0","spotify:user:1227113","2018-05-04T14:32:05Z","crunk,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,tennessee hip hop,trap,crunk,dirty south rap,gangster rap,memphis hip hop,pop rap,rap,southern hip hop,trap,country rap,crunk,dirty south rap,gangster rap,memphis hip hop,pop rap,redneck,southern hip hop,trap","0.718","0.828","11","-4.411","0","0.0586","0.0108","0.000004","0.337","0.708","138.098","4"
"spotify:track:6BvtitRX5lQC87YlA6rq0n","Bubblin","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:6N1y1a5qnqN8pBkizOdMvk","Bubblin","2018-05-17","1","1","209093","true","64","spotify:user:1227113","2018-05-17T17:40:38Z","escape room","0.568","0.873","1","-5.22","1","0.265","0.0731","0","0.367","0.547","106.783","5"
"spotify:track:6UbcfmCWnSFRVaqJCaZziJ","WIN","spotify:artist:28ExwzUQsvgJooOI0X1mr3","Jay Rock","spotify:album:10xLV7brjTOB50GI2cxVMB","WIN","2018-05-16","1","1","214693","true","0","spotify:user:1227113","2018-05-18T12:05:36Z","conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop","0.874","0.59","1","-2.977","1","0.12","0.0137","0","0.599","0.332","126.033","4"
"spotify:track:6bGwKHXHNLmTy6yt147FPh","If You Know You Know","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","spotify:album:07bIdDDe3I3hhWpxU6tuBp","DAYTONA","2018-05-25","1","1","202120","true","62","spotify:user:1227113","2018-06-03T21:07:25Z","alternative hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,virginia hip hop","0.46","0.697","6","-5.954","0","0.325","0.0186","0","0.362","0.701","153.426","4"
"spotify:track:3I8MbKRkS2IBDuslhCS3iT","Excuse Me","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","spotify:album:3arNdjotCvtiiLFfjKngMc","AT.LONG.LAST.A$AP","2015-05-26","1","5","238053","true","65","spotify:user:1227113","2018-10-06T03:44:14Z","east coast hip hop,hip hop,rap,trap,underground hip hop","0.653","0.71","8","-8.444","1","0.0555","0.33","0","0.143","0.41","122.04","4"
"spotify:track:1j6kDJttn6wbVyMaM42Nxm","Lord Pretty Flacko Jodye 2 (LPFJ2)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","spotify:album:3arNdjotCvtiiLFfjKngMc","AT.LONG.LAST.A$AP","2015-05-26","1","7","126960","true","70","spotify:user:1227113","2018-10-06T03:44:24Z","east coast hip hop,hip hop,rap,trap,underground hip hop","0.485","0.72","6","-5.991","1","0.127","0.0123","0","0.0546","0.0471","207.982","4"
"spotify:track:73Qx1L56VRLYyKqfSi3xLE","Pinball II (feat .Correy C)","spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ, spotify:artist:4DQhY1frmXKYW7aTmMt669","Bas, Correy C","spotify:album:4qcBL5pE5hQPzcx0IoO9Y2","Pinball II (feat. Correy C)","2018-04-10","1","1","179137","true","49","spotify:user:1227113","2018-10-06T03:44:48Z","hip hop,pop rap,queens hip hop,rap,sudanese pop,underground hip hop","0.819","0.642","11","-9.309","0","0.311","0.108","0","0.0686","0.247","139.97","4"
"spotify:track:3JAeYOjyJodI4PRs44lx2l","Off Deez (with J. Cole)","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","JID, J. Cole","spotify:album:2oI6gtIXrvNiL2VEMmj5kY","DiCaprio 2","2018-11-26","1","4","213357","true","68","spotify:user:1227113","2019-01-05T21:42:33Z","hip hop,rap,underground hip hop,conscious hip hop,hip hop,north carolina hip hop,rap","0.836","0.579","9","-6.164","1","0.243","0.00207","0","0.11","0.431","85.486","4"
"spotify:track:4yVEpUXxYgBwfSOKGTFxv5","REEL IT IN (feat. Gucci Mane) - Remix","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ, spotify:artist:13y7CgLHjMVRMDqxdx0Xdo","Aminé, Gucci Mane","spotify:album:7p1PyEULQVIXXLgObvB5NO","REEL IT IN","2018-11-20","1","1","166960","true","60","spotify:user:1227113","2019-01-05T21:43:05Z","hip hop,pop rap,portland hip hop,rap,underground hip hop,atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap","0.779","0.355","10","-8.971","0","0.0789","0.0624","0","0.159","0.362","128.805","4"
