"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1psmok3aUxYHrFKW2SSRCo","Celestial Levels","spotify:artist:06xa1OLBsMQJFXcl2tQkH4, spotify:artist:7N3L5HZxQqxWSfhrrTNI29","Machinedrum, Jesse Boykins III","spotify:album:5mvjXE0GQ6qm9IsoUGykAE","Human Energy","2016-09-30","1","7","158093","false","25","spotify:user:1227113","2017-01-06T15:52:49Z","bass music,electronica,footwork,future bass,future garage,glitch,glitch hop,halftime dnb,intelligent dance music,minimal dnb,ninja,vapor twitch,wonky,alternative r&b,neo r&b,neo soul","0.672","0.828","10","-8.068","1","0.0447","0.0287","0.236","0.0884","0.312","103.994","4"
"spotify:track:7kty80M5em0GzhtraLTwEJ","Blind Man","spotify:artist:3UjPnt2nRmw10N58bBeNOg","Xavier Omär","spotify:album:43PSVdrMtPSbgVnv42Rfod","Blind Man","2016-09-27","1","1","242195","false","0","spotify:user:1227113","2017-01-06T02:11:44Z","alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul","0.89","0.523","6","-8.526","1","0.056","0.453","0.00000158","0.0831","0.345","111.031","4"
"spotify:track:4m01Z1NNUVVRDwumDp5xLm","blkswn","spotify:artist:1ybINI1qPiFbwDXamRtwxD","Smino","spotify:album:3jIM7T7AHZkt1VrLuUT2cl","blkswn","2016-12-16","1","1","172160","true","0","spotify:user:1227113","2017-01-06T01:06:26Z","alternative r&b,hip hop,rap,underground hip hop","0.716","0.357","1","-9.896","1","0.349","0.345","0","0.0861","0.499","106.816","4"
"spotify:track:0YclWqGe9XpQBx3gwAyyJJ","Ballin","spotify:artist:3jDtqAKltRxJi64svLZGj7","Bibi Bourelly","spotify:album:5QT2WIYOht8nmAspk57Je7","Ballin","2016-09-29","1","1","219333","true","44","spotify:user:1227113","2017-01-06T02:24:22Z","alternative r&b","0.763","0.57","1","-4.268","1","0.248","0.108","0.00000108","0.0965","0.519","78.059","4"
"spotify:track:3iQCPAYUh9dEayIxmvHnpr","Back 2 U","spotify:artist:1PR9KevT9vGtwNEqJK2orA","Joey Gatto","spotify:album:3mqh3gAg3C8pYZnLg6fY3M","Back 2 U","2016-04-03","1","1","211186","true","31","spotify:user:1227113","2017-01-06T02:28:40Z","teen pop","0.846","0.468","6","-6.256","0","0.177","0.556","0.0000915","0.0666","0.663","124.921","4"
"spotify:track:1g0QEekUnMyZxvG2vwIFiF","Headlines","spotify:artist:44drVL4jbdo6T6llD5cMgx","McClenney","spotify:album:46qErty3FwG3vrxfok4LVt","Headlines","2016-12-09","1","1","195151","false","25","spotify:user:1227113","2017-01-06T01:11:18Z","alternative r&b,chill r&b,indie r&b,indie soul,neo r&b","0.856","0.509","5","-9.922","0","0.258","0.0956","0.277","0.12","0.0916","101.921","4"
"spotify:track:7l0Ai4PW0s57O7kJ9OO9iU","Soul II Stro","spotify:artist:35mEzAsFbM7OOTzFyjTgeU","Stro Elliot","spotify:album:794ZhDQFDZ6WExdfBRXWjU","Stro Elliot","2016-12-16","1","7","181823","false","44","spotify:user:1227113","2017-01-06T15:08:49Z","jazz rap","0.529","0.576","11","-6.05","1","0.0316","0.34","0.756","0.345","0.136","93.004","4"
"spotify:track:35BSWBOYfBZ6pTYHmAzPkH","Bist du down?","spotify:artist:3sqdh5sW8Cc1j1jdbmRJRm, spotify:artist:1umabXWvqNiWr1XHFjZQPD","Ace Tee, Kwame","spotify:album:6aUQHXfGyWpOm8Q9rQFG5B","Bist du down?","2016-12-24","1","1","248571","true","0","spotify:user:1227113","2017-01-06T21:17:24Z","frauenrap,german trap,hamburg hip hop","0.726","0.518","8","-8.605","1","0.457","0.516","0.000731","0.133","0.898","83.948","4"
"spotify:track:6AJoLxD3xMvqszAwnsHxo7","You Know What You Did","spotify:artist:6b7899n8Uz21dTYrABfFEO","Brian Puspos","spotify:album:4V5119lUhupadLiRFeWiYn","Slow Love and Bangin' - EP","2017-01-11","1","4","239929","true","24","spotify:user:1227113","2017-01-17T23:53:16Z","chill r&b,pinoy r&b","0.716","0.52","3","-6.072","0","0.173","0.0975","0.00000538","0.0514","0.448","114.103","4"
"spotify:track:3jEtESxn2ngF25DMD6vbBg","Crew (feat. Brent Faiyaz & Shy Glizzy)","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:3tlXnStJ1fFhdScmQeLpuG, spotify:artist:1DvtabXAjfrMihPP6JQdHs","GoldLink, Brent Faiyaz, Shy Glizzy","spotify:album:4Ysy1MEXCD5HjO0VBDfBgj","Crew (feat. Brent Faiyaz & Shy Glizzy)","2016-12-16","1","1","177406","true","41","spotify:user:1227113","2017-01-06T20:55:33Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop,dmv rap,rap,dmv rap,drill,gangster rap,rap,southern hip hop,trap,vapor trap","0.727","0.602","1","-8.42","0","0.133","0.117","0","0.0833","0.418","129.952","4"
"spotify:track:5n6PtOoeGzBeKFDeGNozLd","Throw Myself A Party","spotify:artist:2LZDXcxJWgsJfKXZv9a5eG, spotify:artist:6DpWtzfwV8fcwP6fXckDVu, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:2jku7tDXc6XoB6MO2hFuqg","Cashmere Cat, Starrah, 2 Chainz, Tory Lanez","spotify:album:3rfz0AVzEXCaMMMk2C9cXM","Throw Myself A Party","2016-12-30","1","1","248493","true","40","spotify:user:1227113","2017-01-06T01:17:08Z","dance pop,downtempo,edm,pop,post-teen pop,shiver pop,atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,canadian hip hop,hip hop,melodic rap,pop rap,rap,toronto rap,trap","0.626","0.64","8","-5.133","0","0.0525","0.195","0","0.147","0.516","136.072","4"
"spotify:track:7iQDsonHSnaT6hNBJUaRe9","About Her","spotify:artist:0kjZvGERXMvPFSs6DB5UFF","Phazz","spotify:album:2oPrc4DfMZTI1Bh2ZrSgfF","About Her","2016-03-25","1","1","211707","false","37","spotify:user:1227113","2017-01-06T21:32:01Z","","0.542","0.352","5","-7.689","0","0.0613","0.0732","0.208","0.13","0.0989","123.037","4"
"spotify:track:6p9tnJiOxS7TEOhjbbsyPv","Blow Out","spotify:artist:0MEwifG6Ox3Jjen6VO2xuN","Gangly","spotify:album:0NQTgfeXYB5Gb9UPY2soqQ","Blow Out","2016-12-05","1","1","242870","false","19","spotify:user:1227113","2017-01-06T15:51:39Z","icelandic electronic","0.328","0.371","10","-10.62","1","0.0336","0.181","0.0924","0.0664","0.0954","108.952","4"
