"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1yU4R662E6c3fe9ftu5VgB","Plain Clothes","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:2oenkFNS8GLDubNAn2gxQH","Pieces of a Man","2018-10-26","1","12","231669","true","0","spotify:user:1227113","2018-11-27T22:09:11Z","chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop","0.632","0.792","5","-7.639","0","0.18","0.0958","0","0.0791","0.249","74.165","4"
"spotify:track:2jlVsVNu7aL9OjxyJwYZF5","Ace","spotify:artist:1EpyA68dKpjf7jXmQL88Hy, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:7Hjbimq43OgxaBRpFXic4x","Noname, Smino, Saba","spotify:album:7oHM3Sj0l2nXAzGAxW0KOt","Room 25","2018-09-14","1","8","182752","true","0","spotify:user:1227113","2018-11-27T22:09:16Z","alternative r&b,chicago rap,escape room,hip hop,indie soul,neo soul,underground hip hop,alternative r&b,hip hop,rap,underground hip hop,alternative r&b,chicago rap,hip hop,rap,underground hip hop","0.687","0.509","10","-9.173","1","0.405","0.865","0","0.12","0.651","106.892","4"
"spotify:track:4n02GblHZte3q5AzcLHlIK","Anywhere (feat. Snoop Dogg & The Last Artful, Dodgr)","spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:6jpOOrGFSWdHx6leHfU54n","Anderson .Paak, Snoop Dogg, The Last Artful\, Dodgr","spotify:album:3rqqwtJE89WoWvMyPTvbZc","Oxnard","2018-11-16","1","10","226493","true","54","spotify:user:1227113","2018-11-27T23:18:04Z","escape room,g funk,gangster rap,hip hop,pop rap,rap,west coast rap,portland hip hop","0.768","0.686","7","-7.37","0","0.095","0.214","0.0000828","0.155","0.778","79.031","4"
"spotify:track:1gnwGVoG7V08vMX3hyr90x","Tints (feat. Kendrick Lamar)","spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Anderson .Paak, Kendrick Lamar","spotify:album:2MdTsQBOs71AZuqETMyLY2","Tints (feat. Kendrick Lamar)","2018-10-04","1","1","268400","true","59","spotify:user:1227113","2018-11-27T23:31:41Z","escape room,conscious hip hop,hip hop,rap,west coast rap","0.805","0.833","1","-6.73","0","0.12","0.0859","0","0.0578","0.703","109.076","4"
"spotify:track:6Og9J8pS6cRvmNnKC1Cv8n","Catching Feelings (feat. Mr Eazi)","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:59iOp415oyqGlBHyAhu4z3, spotify:artist:4TAoP0f9OuWZUesao43xUW","Riton, Kah-Lo, Mr Eazi","spotify:album:5hf2hgcQfZL0jelcxHHoLG","Foreign Ororo","2018-09-28","1","6","232222","false","0","spotify:user:1227113","2018-11-28T15:40:46Z","house,pop dance,uk dance,nigerian pop,afro dancehall,afropop,ghanaian hip hop,nigerian pop,swedish dancehall","0.764","0.692","6","-7.769","0","0.0828","0.148","0.0000412","0.129","0.433","119.918","4"
"spotify:track:7mKQGxp8a5SDOE93iSZJFU","Cheaper Than Coffee","spotify:artist:4Rus30xX4FOv2cyeFI79Qh, spotify:artist:1NrFTpkB0RvbVLYl0p5Xvc","Elijah Fox, Nic Hanson","spotify:album:2eIJ1w3eAINaM0mfbn4ogC","Cheaper Than Coffee","2018-10-26","1","1","223636","false","34","spotify:user:1227113","2018-12-03T15:00:20Z","","0.663","0.357","6","-9.974","0","0.295","0.453","0.000222","0.094","0.449","86.86","4"
"spotify:track:3xz0zptXA0pFxe7WfIfeMc","You, World, or Myself (feat. Roy Woods)","spotify:artist:5WQxQAu4xmUwCzxPw3GiB4, spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM","Stwo, Roy Woods","spotify:album:5Cl9hwmetAVgdPhpeu1t6U","You, World, or Myself (feat. Roy Woods)","2018-11-28","1","1","205600","false","0","spotify:user:1227113","2019-01-08T18:13:36Z","trap soul,canadian contemporary r&b,canadian hip hop,pop rap,trap,trap soul","0.858","0.411","2","-7.767","1","0.37","0.136","0.000274","0.114","0.248","150.028","4"
"spotify:track:4LGZDVKq54pg2ARoGUUeNg","The Graduate (Prod. By Fisherman)","spotify:artist:2MtHuR0W2idZdF7x4wddqq, spotify:artist:2pRZp2WxvnWWiSPcSSYkNV","GIRIBOY, george","spotify:album:0zQPyFrwFl2QdnzuldY3CC","Graduation","2017-12-20","1","2","212060","false","22","spotify:user:1227113","2019-01-08T18:18:07Z","k-indie,k-rap,korean r&b,chill r&b,k-indie,korean city pop,korean pop","0.578","0.687","1","-4.209","1","0.387","0.181","0","0.198","0.49","83.108","4"
"spotify:track:4dilm4mV9RQ7RrCW7dcePo","Her Grace","spotify:artist:0ukgrNYk51TkMQr0f2Br4Q, spotify:artist:2oZcMYiKpjaA2Et5mU3RPP","Maverick Sabre, Chronixx","spotify:album:28G8pU7ydlSnuhT44xhViI","Her Grace","2018-12-07","1","1","210500","false","36","spotify:user:1227113","2019-01-14T17:11:14Z","indie soul,irish hip hop,dancehall,modern reggae","0.376","0.681","6","-9.398","0","0.244","0.397","0","0.134","0.44","95.123","4"
"spotify:track:1OWu2Vin6WH1gVvgO05Pw8","Prosecco","spotify:artist:0AepkoQhYvkjEzzwIcGxdV","Jacob Banks","spotify:album:2KxC2M0bVm5hrK3GgGMuV9","Village","2018-11-02","1","4","208626","true","47","spotify:user:1227113","2019-01-15T18:54:03Z","modern alternative rock,uk contemporary r&b","0.712","0.623","11","-7.149","0","0.0361","0.0648","0.0000601","0.125","0.282","121.045","4"
