"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7dxfZW30kA6kfXJsq79N2O","Soiree","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","spotify:album:3YHErRDscXD5hbv98iq3yU","From Left To Right","1970","1","4","203733","false","0","spotify:user:1227113","2017-07-26T08:19:52Z","bebop,contemporary post-bop,cool jazz,jazz,jazz fusion,jazz piano,vocal jazz","0.389","0.0773","4","-22.129","1","0.0392","0.972","0.92","0.0772","0.109","100.757","3"
"spotify:track:5HpGwCENDznklPsx4mUkhM","Lullaby of Birdland","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","spotify:album:52zwSjXRQJor9U8Ti84m64","Complete Roost Recordings","1997-11-10","3","6","146293","false","29","spotify:user:1227113","2017-07-26T08:20:22Z","adult standards,bebop,bossa nova,cool jazz,jazz,jazz saxophone,latin jazz,samba-jazz,vocal jazz","0.42","0.161","0","-16.707","1","0.0687","0.934","0.0272","0.174","0.569","169.93","4"
"spotify:track:644zdVPhE3YFFnAom35JGi","Four","spotify:artist:71Ur25Abq58vksqJINpGdx","Miles Davis Quintet","spotify:album:1mGkIZVToeCNAseve9I1nv","Workin' With The Miles Davis Quintet","1959","1","2","430066","false","24","spotify:user:1227113","2017-07-27T05:50:46Z","bebop,contemporary post-bop,cool jazz,hard bop,jazz,jazz fusion","0.532","0.606","1","-6.77","1","0.0335","0.504","0.0000149","0.35","0.658","100.057","4"
"spotify:track:2d64G7VaZdHQuAquz5HQNu","That Old Feeling","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:5JJ779nrbHx0KB2lBrMMa4","Chet Baker Sings","1956","1","1","183893","false","60","spotify:user:1227113","2017-07-27T05:51:44Z","adult standards,bebop,cool jazz,jazz,jazz trumpet,lounge,vocal jazz","0.643","0.175","5","-16.813","0","0.0391","0.633","0.0000424","0.143","0.642","78.031","4"
"spotify:track:4fKbuhnNdYd9L0NTKECcJ5","In A Sentimental Mood","spotify:artist:4F7Q5NV6h5TSwCainz8S5A, spotify:artist:2hGh5VOeeqimQFxqXvfCUf","Duke Ellington, John Coltrane","spotify:album:1rZ3fUUggXNiZ0UczEgHEq","Duke Ellington & John Coltrane","1963-02","1","1","258226","false","0","spotify:user:1227113","2017-07-27T05:52:12Z","adult standards,african-american classical,bebop,big band,cool jazz,harlem renaissance,jazz,jazz piano,lounge,swing,vocal jazz,bebop,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz saxophone,vocal jazz","0.47","0.244","10","-13.608","0","0.0335","0.951","0.0509","0.109","0.264","108.154","4"
"spotify:track:4d0dY3ZeMdoYrD5YmdFvWZ","Half Time","spotify:artist:6Q192DXotxtaysaqNPy5yR","Amy Winehouse","spotify:album:4xdRjOhY9NHmMpI7U3e2c3","Lioness: Hidden Treasures","2011-01-01","1","8","230853","true","61","spotify:user:1227113","2017-07-27T05:52:31Z","british soul,neo soul","0.624","0.488","4","-8.258","0","0.0584","0.375","0.0000963","0.339","0.273","84.218","4"
"spotify:track:0aWMVrwxPNYkKmFthzmpRi","Blue in Green","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","spotify:album:4sb0eMpDn3upAFfyi4q2rw","Kind Of Blue (Legacy Edition)","1959-08-17","1","3","337733","false","68","spotify:user:1227113","2017-07-27T05:53:10Z","bebop,contemporary post-bop,cool jazz,hard bop,jazz,jazz fusion,jazz trumpet","0.421","0.0161","2","-25.358","0","0.0374","0.81","0.0021","0.0978","0.16","110.926","4"
"spotify:track:2eYojFyumCbOczHCSOV7A7","Differently, Still","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:6IoZzmLWjNLruCmqvlPOPV","III","2014-05-06","1","7","283354","false","0","spotify:user:1227113","2017-07-27T05:54:59Z","alternative hip hop,canadian modern jazz,escape room,funk,hip hop,indie soul","0.422","0.379","9","-11.412","0","0.0299","0.798","0.771","0.169","0.0489","112.25","4"
"spotify:track:6GkVEoJXnKP2xgl4lM4sz7","Sunrise in Beijing","spotify:artist:2q37Nw8NND2z1T1KU5XVfn, spotify:artist:1djeOKOhlMmpiF6gyGVUcu","Christian Scott aTunde Adjuah, Elena Pinderhughes","spotify:album:7nmjMOOQlDxZWfKGDRy9Hb","Stretch Music (Introducing Elena Pinderhughes)","2015-09-18","1","1","304237","false","0","spotify:user:1227113","2017-07-27T05:57:20Z","bebop,contemporary jazz,contemporary post-bop,cool jazz,experimental jazz,indie jazz,indie soul,jazz,jazz fusion,jazz trumpet,new orleans jazz","0.341","0.824","6","-5.443","1","0.061","0.0763","0.312","0.0791","0.351","103.079","4"
"spotify:track:2m4AKjV0OBfSft7YYh8y5x","Ponta De Areia","spotify:artist:5bepW5vcdRzheNc0F8lHJ5","Esperanza Spalding","spotify:album:7188JsHTl3rladofF7CVvW","Esperanza","2008-01-01","1","1","336706","false","39","spotify:user:1227113","2017-07-27T05:58:52Z","electric bass,jazz fusion,jazz pop,neo soul,vocal jazz","0.552","0.431","1","-13.926","1","0.0352","0.384","0.352","0.237","0.643","84.312","4"
