"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4uU7TgWlQBgRJswvaAbZTt","Pentium II 200 Mhz. (A Song to Elia)","spotify:artist:1fnlGaoXeWH8RMPVKR2gBU","BSN Posse","spotify:album:3bRTi6z7LnTda8yA7J89Fv","Not Far from the Future","2016-07-15","1","3","277500","false","9","spotify:user:1227113","2018-07-01T20:28:50Z","breaks","0.543","0.623","2","-7.967","0","0.0379","0.0772","0.874","0.1","0.0784","159.971","4"
"spotify:track:12rkRRfZSakbb5GIxQQE4z","All Your Words","spotify:artist:4CO0ws5Et1vXaNUTwxa2lo","JIL","spotify:album:0J8hvwL3AOjq5CUyz5JmfC","All Your Words","2016-07-05","1","1","215038","false","22","spotify:user:1227113","2018-06-25T15:26:21Z","","0.473","0.646","5","-7.995","0","0.0818","0.00493","0.00326","0.233","0.263","147.05","4"
"spotify:track:4r6IbIkYiD8Z09ysTipAS6","Spotted Cloud","spotify:artist:62C0sbk0QOvluqtTjpYTtL","Mike Gao","spotify:album:5dgJQyCmBHdItZAfqpzIVS","Land Escape","2017-03-31","1","6","154193","false","0","spotify:user:1227113","2018-07-01T19:57:10Z","wonky","0.739","0.483","7","-12.043","0","0.0758","0.458","0.9","0.173","0.213","140","4"
"spotify:track:44Mhjm8slqqzJI2cCXzoXJ","let me go","spotify:artist:0rSZHzeyKxdfnQLoTIbq6U","ilo ilo","spotify:album:0pHH5V3ah71DrY3YZEfWjs","let me go","2018-06-27","1","1","162857","true","33","spotify:user:1227113","2018-06-30T22:57:45Z","vapor twitch","0.646","0.874","0","-3.72","0","0.217","0.0211","0.0000204","0.0778","0.466","168.037","4"
"spotify:track:7z7M4UZq51e5NZFMx20tVx","Turn Up","spotify:artist:3q8bo1K12TtwbvsPiwJWDi","Nangdo","spotify:album:32BOefz3jH0W4HPRAbVyfi","High On Clouds","2016-05-13","1","6","194541","false","0","spotify:user:1227113","2018-07-01T20:59:23Z","breaks","0.555","0.59","9","-9.378","0","0.0537","0.0525","0.00356","0.0812","0.192","160.041","4"
"spotify:track:3tYdmbZKGvzxsiya3nLuhO","Onset","spotify:artist:5qKCgbxBDmDc9Ckgmt4EaN","Sinjin Hawke","spotify:album:0LQH6CxSk8IHQ7YM0PtwGv","Onset","2017-05-01","1","1","202105","false","18","spotify:user:1227113","2018-07-01T21:06:19Z","bass music,deconstructed club,escape room,hyperpop,vapor house","0.628","0.63","9","-8.47","0","0.0728","0.211","0.434","0.0707","0.191","190.07","4"
"spotify:track:0qWaPow87uatNBNIDKyhrE","Infinite Wave","spotify:artist:7lGyDgJJYSgOd9R5T4Cwe4","Slugabed","spotify:album:6m9iTyAhA6CUM05Ga8BtYI","Inherit The Earth","2017-04-07","1","3","338266","false","0","spotify:user:1227113","2018-07-01T21:13:17Z","bass music,wonky","0.561","0.638","1","-11.473","1","0.0487","0.577","0.95","0.121","0.268","156.008","4"
"spotify:track:29usRHIhMvN2ILMV8lyTJ0","Muse / About Ava (feat. Cassie)","spotify:artist:21eeOqX01yzH3M9nSyYJ1S, spotify:artist:27FGXRNruFoOdf1vP8dqcH","The Code, Cassie","spotify:album:4MjQKzvIXktfLNU1Gb6jfH","Muse / About Ava (feat. Cassie)","2018-01-19","1","1","208573","false","19","spotify:user:1227113","2018-07-02T04:00:28Z","trap soul,dance pop,hip pop,pop rap,r&b,urban contemporary","0.58","0.389","10","-11.722","0","0.0809","0.284","0.00124","0.0892","0.272","90.163","4"
"spotify:track:5r8w0kcNpKI6QNK8Gh9d2a","Sleepy Peeple","spotify:artist:3CE8Ux0j4kdaWpqCssKnVA","TEK.LUN","spotify:album:7eLTvSfZYoIczJLxVv8RAB","ALLOW IT!","2018-01-26","1","3","143400","false","0","spotify:user:1227113","2018-07-02T13:17:27Z","future bass,vapor twitch","0.566","0.568","5","-10.014","1","0.078","0.0297","0.845","0.124","0.5","76.989","4"
"spotify:track:7oONzp6SJp9WcemNauVWW9","Celebrate Life","spotify:artist:0bbguzUos4LO6NikkdXdzw, spotify:artist:5M0lbkGluOPXLeFjApw8r8, spotify:artist:14piOhWdd0MbAPVmUqGLhH","Charlie Heat, Shelley FKA DRAM, Ant Beale","spotify:album:0OxXoSTpr6ht78O9o216M3","Celebrate Life","2018-06-21","1","1","199013","false","35","spotify:user:1227113","2018-07-08T12:28:57Z","new jersey rap,pop rap,rap,trap,virginia hip hop,new jersey rap","0.701","0.671","1","-5.186","0","0.033","0.0291","0","0.132","0.537","119.926","4"
