"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3vgiIJW3iSQRRvgYiW86i9","Brillo","spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5, spotify:artist:7ltDVBr6mKbRvohxheJ9h1","J Balvin, ROSALÍA","spotify:album:5kprdYds6oZb4iSldfflOT","Vibras","2018-05-25","1","7","159573","false","68","spotify:user:1227113","2018-07-06T18:55:03Z","latin,reggaeton,reggaeton colombiano,r&b en espanol","0.535","0.384","9","-10.049","0","0.362","0.89","0","0.0964","0.767","145.947","4"
"spotify:track:6ogF3ObeDnJ7RBGn42mYKH","Opposite Ways feat. Fatherdude & S'natra","spotify:artist:5sKvgmG84C0bIMWeS2SRPr, spotify:artist:2B50tPmaH4o50MqFC7j98Z, spotify:artist:1Wi1KtQIQM0N8IA2ZY0S3P","Brasstracks, FATHERDUDE, S'natra","spotify:album:6GfBARtHu9QmUraxH3V03X","For Those Who Know Pt. I","2017-10-20","1","5","199802","true","17","spotify:user:1227113","2018-07-08T12:34:31Z","alternative r&b,indie r&b,indie soul,nyc pop,nyc pop","0.576","0.871","7","-2.999","1","0.0991","0.00879","0","0.155","0.317","86.857","4"
"spotify:track:0vQhqnqTTtDMrll2gQ8O7j","Headroom","spotify:artist:2tW7TitNzNibILuWCEhBLS, spotify:artist:5sKvgmG84C0bIMWeS2SRPr","JNTHN STEIN, Brasstracks","spotify:album:1Gf0ot1X45BxbSAGX0vS88","Headroom","2018-06-11","1","1","220000","false","0","spotify:user:1227113","2018-06-15T12:02:42Z","vapor twitch,alternative r&b,indie r&b,indie soul,nyc pop","0.417","0.704","9","-5.196","0","0.0693","0.00352","0.0000309","0.169","0.071","177.915","4"
"spotify:track:1PVza5KmhSJhz12OewWciE","Got Friends","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:360IAlyVv4PCEVjgyMZrxK","GoldLink, Miguel","spotify:album:6bORev5aRxM5DzaQDUXWG7","Got Friends","2018-06-13","1","1","226963","true","61","spotify:user:1227113","2018-06-18T18:35:52Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop,dance pop,hip hop,pop,r&b,urban contemporary","0.691","0.75","10","-3.934","0","0.347","0.104","0","0.123","0.345","143.744","4"
"spotify:track:1t4pPnbkOjzoA5RvsDjvUU","1999 WILDFIRE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:279n8A7MneZ790ohTb6g6p","1999 WILDFIRE","2018-07-07","1","1","251250","true","68","spotify:user:1227113","2018-07-07T14:31:41Z","boy band,hip hop,rap","0.811","0.57","5","-8.093","1","0.129","0.253","0","0.148","0.814","128.066","4"
"spotify:track:40msRUOQ0ccpP8EFvDGgLK","Swerve","spotify:artist:57KwqoERxpwlPmSMOKWjOP","Weaver Beats","spotify:album:7yBiYNxb2PgVqaPpIHhRAo","Weaver Beats","2017-11-20","1","9","228000","true","0","spotify:user:1227113","2018-06-25T15:17:51Z","phonk","0.813","0.54","10","-6.816","0","0.0604","0.0565","0.735","0.0872","0.742","144.074","4"
"spotify:track:5VtDxykRSGo1naBuCJplEG","Your Love Has Me High","spotify:artist:30FDJPN3RtwJZ20g5YGCRX","Yung Bae","spotify:album:0DKdNkBsRzeaSL2h17nNO4","Your Love Has Me High","2018-03-22","1","1","113376","false","40","spotify:user:1227113","2018-06-18T18:15:32Z","future funk","0.587","0.871","4","-6.214","0","0.0297","0.228","0.00151","0.0781","0.431","77.007","4"
"spotify:track:4dShPNh4E6rBly8BYKydAL","12/5","spotify:artist:5yF0QSwe7bg6qgfHaeCBfh","Fishee","spotify:album:1fzsD8IMH3nhdKstdrOTDR","12/5","2017-12-05","1","1","146991","true","0","spotify:user:1227113","2018-07-02T02:16:10Z","","0.67","0.39","5","-14.384","0","0.094","0.523","0.436","0.391","0.435","75.187","4"
"spotify:track:66dMptcdsg9Km2OafI1FOE","Theme From Paris","spotify:artist:4EtL7r3oJtiNsgpgbvlHcO","James Pants","spotify:album:2G1KI5sPuP9Z51fLI4zOHW","Welcome","2008-05-27","1","1","106053","false","0","spotify:user:1227113","2018-06-18T18:34:12Z","one-person band,wonky","0.105","0.8","6","-5.979","0","0.0632","0.000145","0.925","0.209","0.412","165.9","4"
"spotify:track:4pKfA8yMW9BeYyD2JiIBUI","Go (feat. H.E.R. & Rapsody)","spotify:artist:0vjlH9sbJOZyhDjhvajQpY, spotify:artist:3Y7RZ31TRPVadSFVy1o8os, spotify:artist:6NL31G53xThQXkFs7lDpL5","Alex Da Kid, H.E.R., Rapsody","spotify:album:3dYiqpXZlsHjhKa8uyNOm8","Go (feat. H.E.R. & Rapsody)","2018-05-18","1","1","221626","false","0","spotify:user:1227113","2018-07-08T12:21:19Z","alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary,alternative hip hop,escape room,hip hop,north carolina hip hop,southern hip hop,trap queen,underground hip hop","0.619","0.6","1","-6.742","0","0.0693","0.0299","0.00000123","0.2","0.697","133.095","4"
