"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2TzMhXlHvQa3yebPfEE9Vo","Theme (For The People) (Opening)","spotify:artist:5bHSSREflcAADAyCMlmxmh","Mtume","spotify:album:27qIs0U6jsTougWO2wcZU7","Kiss This World Goodbye","1978-05-24","1","1","92413","false","18","spotify:user:1227113","2020-07-28T04:09:43Z","disco,electro,funk,new jack swing,post-disco,quiet storm,urban contemporary","0.599","0.432","8","-11.207","0","0.038","0.814","0.0225","0.112","0.272","129.319","3"
"spotify:track:5jsIzNpZDEDmvdmngKSIY3","Hold On","spotify:artist:3vB7T6czx1Jh89YEnzM0UF","Bernie Worrell","spotify:album:4fdPrKEoi5L0Fof1Cyr492","All the Woo in the World","1978","1","3","293320","false","17","spotify:user:1227113","2020-07-22T19:45:14Z","funk,p funk","0.324","0.6","9","-7.507","0","0.0613","0.623","0.00014","0.149","0.479","152.516","4"
"spotify:track:1cedI34E2fCppJP1TsfY9H","Pickup","spotify:artist:5wLCYIHgd7kXSFEf1oOh8R","Ace Spectrum","spotify:album:4Zpx9jduQUX75uMkzyVlDw","Inner Spectrum","1974-06-12","1","5","184293","false","15","spotify:user:1227113","2020-07-22T21:09:09Z","classic soul","0.551","0.58","4","-11.321","0","0.0574","0.325","0.0000638","0.228","0.573","157.7","4"
"spotify:track:0S5ZoKKZD3bllkvhEoPimZ","Can We Pretend","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:10jKkqtTI0cblOQjJfDUpt","'Justments","1974-08-08","1","7","229573","false","56","spotify:user:1227113","2020-07-28T03:53:56Z","funk,motown,quiet storm,soul","0.596","0.313","9","-13.487","1","0.044","0.853","0.201","0.0601","0.489","82.067","4"
"spotify:track:70EBZBh1LIwvYuzdvtvPCI","Num Paraíso","spotify:artist:7yuXKHgZGdEX0z4Fvx4laa","Don Beto","spotify:album:5xigVAuBgDEeKPJMdEu3n9","Nossa Imaginação","1978-02-02","1","2","215106","false","14","spotify:user:1227113","2020-07-22T14:09:33Z","brazilian boogie","0.533","0.812","6","-5.622","0","0.0635","0.111","0.00000349","0.145","0.662","141.28","4"
"spotify:track:1wKwQdV3A1rllcQfWLzZdZ","Summer 2020 - interlude","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:1JsySWOa2RchsBB2N4313v","Chilombo (Deluxe)","2020-07-17","1","15","105933","false","48","spotify:user:1227113","2020-07-22T19:26:01Z","alternative r&b,dance pop,pop,r&b,urban contemporary","0.425","0.062","9","-17.04","1","0.0398","0.963","0.00356","0.162","0.18","135.554","3"
"spotify:track:6XMw4RNyo9RtFpIjb8mwkX","Going Leaving","spotify:artist:7u6LfVyYpEzMpHLL7jTyvU","Dwele","spotify:album:4YR1m5aD7ncOswLYxXoaKl","Greater Than One","2012-08-28","1","2","234213","false","0","spotify:user:1227113","2020-07-22T18:26:53Z","neo soul,r&b,urban contemporary","0.575","0.634","11","-7.129","1","0.0836","0.0732","0.00000336","0.129","0.577","82.017","4"
"spotify:track:5d6qTZOLnj4zbgFGRoJiNz","DYING 4 YOUR LOVE","spotify:artist:1A9o3Ljt67pFZ89YtPPL5X","Snoh Aalegra","spotify:album:1EUCSZciwmAutnu9M8lqZW","DYING 4 YOUR LOVE","2020-07-10","1","1","206773","false","70","spotify:user:1227113","2020-07-22T14:09:38Z","alternative r&b,indie r&b,indie soul,neo soul,scandinavian r&b,swedish soul","0.733","0.413","6","-7.797","0","0.167","0.275","0.0000485","0.0833","0.576","76.062","4"
"spotify:track:7reoH0fuiNVwvfaSVokewU","Redeye","spotify:artist:0tOrKkXIn3VYyVHFEPG6Xd","Galimatias","spotify:album:37e4Mc3W0slkryJJ9dmfrW","Redeye","2020-07-17","1","1","171789","false","41","spotify:user:1227113","2020-07-22T19:59:15Z","alternative r&b,chillstep,indie soul,vapor twitch","0.685","0.553","11","-8.114","1","0.0803","0.737","0","0.125","0.243","95.057","4"
"spotify:track:7eC4ZGgOS7NHLl5X5rw4sj","VACATION","spotify:artist:2ums0zsrtQqsI77ol2KIRt","Dwn2earth","spotify:album:05x3I70hpBFkG4ohG8X8VS","VACATION","2020-06-26","1","1","150186","false","34","spotify:user:1227113","2020-07-28T04:26:31Z","trap soul,vapor trap","0.533","0.449","6","-13.443","1","0.232","0.487","0.00263","0.111","0.529","165.624","4"
