"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3bufmusfrYiU0ekADzwS0V","Pine & Ginger","spotify:artist:3zQH24IzdAqloEl72e7hPD, spotify:artist:3XXMDj1Yn4RJ7REbXK2u32, spotify:artist:2D0u6nyYzRpoDvJe6sOBXu","Amindi K. Fro$t, Tessellated, Valleyz","spotify:album:3BeDylmky65JqvkkCvXPfP","Pine & Ginger","2017-01-22","1","1","188653","false","0","spotify:user:1227113","2017-06-20T13:11:38Z","modern reggae","0.873","0.478","10","-8.056","0","0.164","0.0475","0.000368","0.0978","0.668","103.995","4"
"spotify:track:3BncHqRrHyNMH7jYJH56Nf","Calling","spotify:artist:0Geqa2iYzhQA5oVKUWuu0x, spotify:artist:5PqOO6WkdOrWgmvDinM2mc","Ukiyo, Your Girl Pho","spotify:album:2JmudqMrtmviO4BDPWTare","Calling","2017-02-03","1","1","178168","false","0","spotify:user:1227113","2017-06-20T13:11:46Z","aussietronica,perth indie","0.726","0.62","2","-4.981","1","0.567","0.219","0","0.0805","0.573","91.942","4"
"spotify:track:2gAGWaK4wvt2xrFUlR4mK8","Jukebox Joints (feat. Joe Fox & Kanye West)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:2Dbnk0YRTPpKu46XzMf9nu, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","A$AP Rocky, Joe Fox, Kanye West","spotify:album:3arNdjotCvtiiLFfjKngMc","AT.LONG.LAST.A$AP","2015-05-26","1","9","323960","true","63","spotify:user:1227113","2017-06-22T11:03:28Z","east coast hip hop,hip hop,rap,trap,underground hip hop,uk hip hop,chicago rap,rap","0.284","0.803","2","-5.293","0","0.173","0.302","0","0.242","0.553","67.536","4"
"spotify:track:0xe4U2Evk1jaTnxQq2ohyP","Particula","spotify:artist:738wLrAtLtCtFOLvQBXOXp, spotify:artist:0mMqD2uqwvCjFvlzo6ayGi, spotify:artist:2gzWmhOZhDN6gXL49JW9qj, spotify:artist:1sSt1DqqqFLkPwfrqafVyn, spotify:artist:2hKQc001G7ggs3ZyxMdkGq, spotify:artist:4TsHKU8l8Wq7n7OPVikirn","Major Lazer, DJ Maphorisa, Nasty C, Ice Prince, Patoranking, Jidenna","spotify:album:2CowvoLKMTquFbyMnVp0Va","Know No Better","2017-06-02","1","3","204548","false","0","spotify:user:1227113","2017-06-23T14:25:08Z","dance pop,edm,electro house,moombahton,pop,pop dance,pop rap,afro house,afro soul,amapiano,south african pop,afro soul,south african hip hop,south african pop,south african trap,afro dancehall,afropop,azontobeats,nigerian hip hop,nigerian pop,afro dancehall,afropop,azontobeats,dancehall,gqom,nigerian pop,ghanaian hip hop","0.481","0.826","8","-3.113","1","0.106","0.0373","0.0000451","0.204","0.43","199.977","4"
"spotify:track:4QbVWCAkh9Z1G041cQAiZ9","Game Ova","spotify:artist:4T8NIfZmVY6TJFqVzN6X49","tobi lou","spotify:album:6Uuk0FMSFZ5wjNiCxIPXQd","Game Ova","2017-06-16","1","1","240000","true","47","spotify:user:1227113","2017-06-28T12:26:42Z","alternative r&b,chicago rap,indie hip hop,pop rap","0.445","0.518","1","-6.424","1","0.143","0.29","0.0000271","0.113","0.241","171.9","4"
"spotify:track:4tx5IS5jBDbzjI2w1wN8PW","Tundra","spotify:artist:4XN4jO4xdDFw0EhdOTN7re","A l l i e","spotify:album:1PkL5DzwVB4j4ojY7yCbWD","Moonlust","2015-11-25","1","3","224934","false","15","spotify:user:1227113","2017-06-30T13:35:40Z","vapor soul","0.684","0.324","8","-10.99","0","0.0494","0.351","0","0.111","0.18","116.978","4"
"spotify:track:2EXs1vunQoeMjDWcFUgTap","RAREPANTHER+BEACHHOUSE","spotify:artist:6I3MElirhT5t6Kf7p0hGk9","Duckwrth","spotify:album:2EeE1gjh6FoEPactLCnTMm","RAREPANTHER+BEACHHOUSE - Single","2016-08-21","1","1","307631","true","33","spotify:user:1227113","2017-06-30T15:16:47Z","alternative r&b,indie r&b,underground hip hop","0.618","0.781","1","-5.436","1","0.317","0.624","0","0.249","0.716","109.975","4"
"spotify:track:1hJx5cm3OW48qzUtf3B6XV","Alone (Lege & Hxns)","spotify:artist:564fMlrVGyVZbSVqGzLeFi, spotify:artist:3DmNosRs1GoM9BJPJmsul0","Lege Kale, HXNS","spotify:album:60nuZ82u648wVX2t9bx8EX","Alone (Lege & Hxns)","2016-10-09","1","1","233586","false","10","spotify:user:1227113","2017-06-30T16:09:49Z","","0.479","0.552","8","-12.396","1","0.404","0.057","0.0018","0.0883","0.391","111.123","4"
"spotify:track:6jIflfpwjDGscq5YYi4xuG","Second 2 None (feat. Christine And The Queens)","spotify:artist:5Q81rlcTFh3k6DQJXPdsot, spotify:artist:04vj3iPUiVh5melWr0w3xT","Mura Masa, Christine and the Queens","spotify:album:7LDLltHAhe9v9nP3cHY4KZ","Second 2 None / Blu","2017-06-30","1","1","250640","false","21","spotify:user:1227113","2017-07-03T16:06:43Z","channel islands indie,edm,vapor soul,art pop,dance pop,electro-pop francais,electropop,metropopolis,shimmer pop","0.741","0.463","2","-11.309","1","0.099","0.676","0.00299","0.162","0.18","89.993","4"
"spotify:track:0xFJq8ctU0UNvovSO9jJoQ","SOLE M8S","spotify:artist:5Q81rlcTFh3k6DQJXPdsot","Mura Masa","spotify:album:50KlK0rGOvRvGjKnH7jMYB","WAVE / SOLE M8S","2017-06-21","1","2","381026","false","33","spotify:user:1227113","2017-07-03T16:15:39Z","channel islands indie,edm,vapor soul","0.55","0.652","3","-8.124","1","0.105","0.114","0.502","0.0717","0.146","129.831","4"
