"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6fbYL76UWbHdYq4B91TPQi","This Way - From SUPERFLY - Original Soundtrack","spotify:artist:6LuN9FCkKOj5PcnpouEgny, spotify:artist:3Y7RZ31TRPVadSFVy1o8os","Khalid, H.E.R.","spotify:album:3bfmiUsXdErmCz71FjZqnW","This Way (From SUPERFLY - Original Soundtrack)","2018-06-06","1","1","211204","true","65","spotify:user:1227113","2018-06-22T15:01:42Z","alternative r&b,pop,alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary","0.62","0.282","5","-10.533","0","0.0464","0.694","0","0.119","0.193","124.609","3"
"spotify:track:4653Ev9ODigGwakX5OLkXd","Find a Way","spotify:artist:2JycShfSKJJ3NwtrRAZYks","DD LUXZ","spotify:album:5HnAJpqzb6rdx3On6NTqjR","Find a Way","2018-03-23","1","1","215973","false","8","spotify:user:1227113","2018-06-25T18:49:44Z","miami indie","0.597","0.364","7","-16.164","0","0.031","0.543","0.812","0.146","0.396","90.044","4"
"spotify:track:3GCBMYrfPOzi5WalGcU7Wm","Climate Change","spotify:artist:56dtkwoWMTKQQoOV4H0X7F, spotify:artist:5XTn5Az9AcSKu0oaauC5ES","Cooley Savant, quickly\, quickly","spotify:album:2F6Sm6SDGubu3a7RvpPAct","Climate Change","2018-02-24","1","1","160843","false","17","spotify:user:1227113","2018-06-25T18:49:35Z","chillhop,future bass,lo-fi beats,portland hip hop,vapor twitch","0.533","0.501","7","-9.792","0","0.384","0.431","0.0838","0.0782","0.204","81.854","4"
"spotify:track:3z8Gx0Xb9HoyiUoeQnVfuh","After the Tone - Duñe Remix","spotify:artist:1byiL1WtteUjvqT6GhlEfh, spotify:artist:7bupzBUhDSqBIAkoianGjC","Crayon, Duñe","spotify:album:28aEtzQxm1lEZ5tkKMlB6a","After the Tone (Duñe Remix)","2018-06-27","1","1","252395","false","44","spotify:user:1227113","2018-06-27T16:13:42Z","new french touch,indie soul","0.758","0.479","10","-8.733","0","0.0779","0.671","0.671","0.0843","0.382","83.978","4"
"spotify:track:2oMK4LRgzU2izUDkL8WqZR","Give it back","spotify:artist:6MfKvHA64hLnQEJ9E5M7FT, spotify:artist:37nE9g0LRDhDSIejDuPKPS","Devin Tracy, Evil Needle","spotify:album:3AwDMozAfRD6JMC5hXzpt4","Give it back","2018-06-08","1","1","242526","false","19","spotify:user:1227113","2018-06-22T14:38:56Z","alternative r&b,indie r&b,neo r&b,chillhop,vapor twitch","0.757","0.461","5","-4.41","1","0.0348","0.335","0.000298","0.61","0.518","94.984","4"
"spotify:track:7gEnK4IUcwxaoVeOTYfTWh","Murder","spotify:artist:6PXL0thYp53Z1SIubTKEot, spotify:artist:6f96znq79wvlknKHHHhtTW, spotify:artist:30SZetOBMEael27tboxz7f","ROM, Jarreau Vandal, Emmavie","spotify:album:3Nde11qqXpDmmNTFuswNVr","Soulection Presents: Promise Once More","2017-01-29","1","7","239578","false","37","spotify:user:1227113","2018-06-20T12:29:16Z","alternative r&b,chill r&b,dutch r&b,indie r&b,indie soul,neo r&b,indie r&b","0.678","0.679","0","-6.916","1","0.111","0.0937","0.00341","0.0999","0.222","88.396","4"
"spotify:track:38HcgcQC4suvti0Sa0e5yc","Rose In Harlem","spotify:artist:4ULO7IGI3M2bo0Ap7B9h8a","Teyana Taylor","spotify:album:0mwf6u9KVhZDCNVyIi6JuU","K.T.S.E.","2018-06-23","1","6","222828","true","62","spotify:user:1227113","2018-06-25T20:42:22Z","alternative r&b,dance pop,hip pop,neo soul,pop,pop r&b,pop rap,r&b,urban contemporary","0.543","0.567","2","-5.241","0","0.129","0.468","0","0.171","0.351","143.744","4"
"spotify:track:5z0u74IwEWVfWsf6PM1aCY","In The Morning","spotify:artist:2TLYSzGyVYkxAgYSCqUnQj","Jay Prince","spotify:album:2HY7I2EGsIlI2tkFeAqiRZ","In The Morning / Motion","2018-03-21","1","1","212869","true","0","spotify:user:1227113","2018-06-27T15:02:20Z","alternative r&b,indie r&b,indie soul,trap soul,uk alternative hip hop,underground hip hop","0.791","0.916","4","-4.364","0","0.0676","0.0316","0.00000632","0.0318","0.537","100.003","4"
"spotify:track:6WNrh21Eeq2pQMW9EgO5PA","Boca Raton (with A$AP Ferg)","spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ, spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","Bas, A$AP Ferg","spotify:album:0JtDUZK3LRgfg35ra6rfmA","Boca Raton (with A$AP Ferg)","2018-06-19","1","1","196760","true","0","spotify:user:1227113","2018-06-21T11:07:03Z","hip hop,pop rap,queens hip hop,rap,sudanese pop,underground hip hop,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop","0.903","0.625","10","-7.025","0","0.219","0.149","0.0000178","0.215","0.399","129.993","4"
"spotify:track:1wmQEa5wqsnhBaNNYVwet5","Fine Lines","spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Jorja Smith","spotify:album:1hfSMy89JzdUmHjxDFXlZ1","Insecure: Music from the HBO Original Series, Season 2","2017-09-08","1","16","215666","false","55","spotify:user:1227113","2018-06-20T12:00:16Z","pop,uk contemporary r&b","0.523","0.687","4","-5.066","1","0.375","0.62","0","0.139","0.562","78.509","4"
