"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2BDg2w5riYutpi6tyBUFvx","Salaam","spotify:artist:01mXk9IDlVczWwZvVHAiIS","Kamaal Williams","spotify:album:1K1CXzKRIGuiN7ogE9QmPT","Salaam","2018-03-21","1","1","513226","false","19","spotify:user:1227113","2018-06-03T15:42:21Z","indie jazz,indie soul,neo r&b,uk contemporary jazz","0.686","0.467","8","-11.175","0","0.0759","0.611","0.904","0.0676","0.437","135.012","4"
"spotify:track:2DpGk7Y8Dirj81enKuwqzK","Ah Ey Uh","spotify:artist:538d30rb03lrsD9u8Yipar","June Marieezy","spotify:album:4S7185A9GtZI3zstkLu6gr","Throw Away Love Songs","2015-05-16","1","7","173055","false","34","spotify:user:1227113","2018-06-02T10:06:03Z","alternative r&b,pinoy r&b","0.676","0.511","6","-8.705","0","0.0408","0.612","0.377","0.123","0.716","90.141","4"
"spotify:track:3jip7D6heIGcG6g3D02sQU","Eyes Closed","spotify:artist:3s2jqlVaDwlRKk3mF7WT2b","Jamie Isaac","spotify:album:59tVYDxUztZzAmVU5h3Tmy","(04:30) Idler","2018-06-01","1","6","242386","false","0","spotify:user:1227113","2018-06-02T05:02:09Z","indie soul","0.748","0.406","6","-10.644","1","0.0661","0.867","0.0245","0.108","0.37","124.955","4"
"spotify:track:2BvKySPwJJGVmOOkLmZAl7","Sleeping Garden (Manila)","spotify:artist:6Z7JSzWmroQi34J1yz833c","crwn","spotify:album:4n7JDVgx22y8S3can1mSjk","Orchid","2018-06-03","1","7","144031","false","10","spotify:user:1227113","2018-06-03T20:23:41Z","pinoy indie,pinoy r&b,pinoy trap","0.57","0.52","1","-8.059","0","0.0317","0.494","0.924","0.137","0.867","79.984","4"
"spotify:track:7jjPYQMF2SUEdC5qxsrdJK","You","spotify:artist:44ntLEmQVlftYGxgHgwxBJ, spotify:artist:0mDb0eJmp23u2BFnZnR5on, spotify:artist:0ckxAEOzr7seitxzqEmexl","Lui Peng, Yrk Rd, Thai Mason","spotify:album:6D8bLQYj45CbNr3PPaj2he","You","2018-03-07","1","1","208695","false","16","spotify:user:1227113","2018-06-02T10:07:37Z","uk contemporary r&b","0.891","0.633","0","-9.203","1","0.33","0.12","0","0.129","0.529","115.054","4"
"spotify:track:7AszVgcyqnhmIzo6TutnCd","Erase","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","spotify:album:0sSIXkYfRqXomRPrK4wYYe","Stereo","2018-05-30","1","3","236794","false","62","spotify:user:1227113","2018-06-02T09:52:26Z","alternative r&b,bedroom pop,bedroom soul,indie r&b,pop","0.657","0.376","9","-6.534","1","0.0463","0.688","0.0000254","0.272","0.575","84.905","4"
"spotify:track:5fGWdNGGnvKrrHL6U7c1Vp","Humility (feat. George Benson)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:4N8BwYTEC6XqykGvXXlmfv","Gorillaz, George Benson","spotify:album:3S41zT1PsTvoqHHEUv7xCc","Humility (feat. George Benson)","2018-05-31","1","1","197933","false","51","spotify:user:1227113","2018-06-02T05:01:55Z","alternative hip hop,adult standards,disco,jazz funk,jazz guitar,motown,quiet storm,smooth jazz,soft rock,soul,soul jazz,yacht rock","0.632","0.807","0","-5.893","1","0.126","0.144","0.0211","0.125","0.784","160.174","4"
"spotify:track:70Tf2nUzVd9UfyJHwM5lic","Come Over","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:6upYXH08wD6A2KIEjWCVel","Come Over","2018-05-30","1","1","321920","true","43","spotify:user:1227113","2018-06-03T15:45:32Z","alternative r&b,escape room,indie soul,lgbtq+ hip hop,neo soul","0.525","0.603","5","-7.954","0","0.188","0.0918","0.206","0.129","0.691","92.032","4"
"spotify:track:0szOhdc1wDk5XotBWdGXWh","Karma","spotify:artist:1igl9M102nuD96lo3ZoW5d, spotify:artist:77SLhlrrJKzclwLB9bnRJZ","Thutmose, Alex Mali","spotify:album:0FKmKdQa00olaM9cowy8DD","Karma","2018-02-13","1","1","199245","false","0","spotify:user:1227113","2018-06-02T10:06:14Z","underground hip hop,alternative r&b,chill r&b,indie r&b,pop r&b","0.646","0.587","6","-7.695","0","0.055","0.0288","0.0000286","0.0685","0.174","105.965","4"
"spotify:track:7EXHUG8EomBQs9Bg6CrJC3","iMissMe (feat. Khalid)","spotify:artist:4qBgvVog0wzW75IQ48mU7v, spotify:artist:6LuN9FCkKOj5PcnpouEgny","KYLE, Khalid","spotify:album:2c1ipXPsfn6ylm6PrQNuDU","Light of Mine","2018-05-18","1","10","189693","false","46","spotify:user:1227113","2018-06-02T09:22:18Z","pop rap,rap,social media pop,alternative r&b,pop","0.847","0.699","5","-5.595","1","0.19","0.0639","0","0.321","0.845","113.959","4"
