"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4tLbY8yAdlbanpoDuAKcWS","Fresh & Clean","spotify:artist:1fQDzf4lnUF4DYngrLJH0m","letherette","spotify:album:0AvT5Hc3cWJJ6FQWS8DODY","EP5","2018-06-08","1","2","240280","false","15","spotify:user:1227113","2018-06-22T17:59:40Z","bass music,future garage,indie soul,vapor twitch,wonky","0.766","0.604","11","-8.14","0","0.214","0.274","0.0763","0.37","0.53","100.969","4"
"spotify:track:6h3UiCVydn4tuXPgSnB2Tf","I Can Feel It (feat. H.E.R.)","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:3Y7RZ31TRPVadSFVy1o8os","GoldLink, H.E.R.","spotify:album:4tedCRHFkPOlzi6HR54tqd","Uncle Drew (Original Motion Picture Soundtrack)","2018-06-15","1","5","153773","true","37","spotify:user:1227113","2018-06-18T12:55:47Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop,alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary","0.521","0.85","11","-3.607","0","0.281","0.471","0","0.121","0.378","92.062","4"
"spotify:track:29aHLkN2TNG0to6UJbo5Ao","Stay There","spotify:artist:5sKvgmG84C0bIMWeS2SRPr, spotify:artist:3UjPnt2nRmw10N58bBeNOg","Brasstracks, Xavier Omär","spotify:album:5zZ7Bvs4aD5cSl1urhazu1","Stay There","2018-06-15","1","1","264937","false","33","spotify:user:1227113","2018-06-15T07:01:18Z","alternative r&b,indie r&b,indie soul,nyc pop,alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul","0.645","0.67","1","-5.477","1","0.0504","0.117","0.000019","0.387","0.379","128.834","4"
"spotify:track:7cTy1w31RkWQG9CUp6cqbp","Walk It","spotify:artist:2Fc1UZXKRmPpWWx1sxcb9m","SwuM","spotify:album:3kag2tLtqzJOol4OukMYIl","Swum","2018-06-01","1","18","218823","true","40","spotify:user:1227113","2018-06-08T13:43:17Z","chillhop,focus beats,lo-fi beats","0.751","0.917","1","-4.369","1","0.133","0.0807","0","0.116","0.385","136.09","4"
"spotify:track:6gpcs5eMhJwax4mIfKDYQk","Slide (feat. Frank Ocean & Migos)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:2h93pZq0e7k5yf4dywlkpM, spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Calvin Harris, Frank Ocean, Migos","spotify:album:1UIlzhqJLiA3f6OVw7QKn6","Slide (feat. Frank Ocean & Migos)","2017-02-24","1","1","230813","true","75","spotify:user:1227113","2018-06-05T21:01:50Z","dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap","0.736","0.795","1","-3.299","0","0.0545","0.498","0.00000121","0.254","0.511","104.066","4"
"spotify:track:5iwb2YMVfNU5zGliOdwbcj","Cruzin' (feat. St Rulez)","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:70bsx8RkyEWcK4i8wr1uZB","Snakehips, St Rulez","spotify:album:0LeXQyrzNvcgAOztFEtOsp","STAY HOME TAPES (= --__-- =)","2018-04-05","1","4","218062","true","45","spotify:user:1227113","2018-06-24T20:40:52Z","dance pop,edm,electro house,electropop,indie poptimism,pop,pop dance,tropical house","0.622","0.851","6","-4.665","0","0.357","0.215","0","0.111","0.541","96.024","4"
"spotify:track:6SwRhMLwNqEi6alNPVG00n","LOYALTY. FEAT. RIHANNA.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Kendrick Lamar, Rihanna","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","2017-04-14","1","6","227360","true","73","spotify:user:1227113","2018-06-09T19:09:50Z","conscious hip hop,hip hop,rap,west coast rap,barbadian pop,dance pop,pop,pop dance,post-teen pop,r&b,urban contemporary","0.658","0.535","9","-8.983","0","0.0573","0.0265","0","0.2","0.419","110.684","4"
"spotify:track:3CNHLmc5GzNIjg1vGIlpzk","Pomslap","spotify:artist:4PM7uuFnzArhW3FNNBeMXA","Pomrad","spotify:album:1DNHoVmaDggZwxNWxTpBpA","This Day EP","2013-04-15","1","1","244599","false","0","spotify:user:1227113","2018-06-09T20:46:02Z","popping,synth funk","0.735","0.647","2","-9.097","1","0.273","0.0247","0.0248","0.236","0.568","99.761","4"
"spotify:track:2PURkpfC9DichTYqNrmMG1","Banba","spotify:artist:34zbMuAgXxsgqnGXSxWvCR","Ric Wilson","spotify:album:4a9vJrD5TcZLQAz3E9snge","BANBA","2018-05-18","1","1","258940","false","0","spotify:user:1227113","2018-06-08T13:47:43Z","psychedelic hip hop","0.844","0.711","1","-7.999","1","0.482","0.267","0","0.849","0.801","115.989","4"
"spotify:track:2jx9VNmPInE1d2m2T9eotT","Yes, No, Maybe","spotify:artist:6hJtgCB3L5cnJSND7sp6GU, spotify:artist:1uiEZYehlNivdK3iQyAbye","Dam Swindle, Tom Misch","spotify:album:6JMceOsAz0CRAfAnUaWgmo","High Life","2018-05-28","1","4","332424","false","54","spotify:user:1227113","2018-06-05T21:01:45Z","deep disco house,deep house,disco house,float house,indie soul,minimal tech house,indie soul,jazz pop","0.816","0.808","5","-8.778","0","0.0848","0.0286","0.58","0.123","0.532","110.007","4"
