"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0UztbhVwQPq954Lohn4f4b","Bianca","spotify:artist:5HONdRTLNvBjlD2LirKp0q","Maxwell Young","spotify:album:5hNuELtS5Wg2FSud0uMExC","Bianca","2018-01-24","1","1","220305","false","14","spotify:user:1227113","2018-06-05T00:51:06Z","chillhop","0.754","0.487","8","-9.321","1","0.0581","0.466","0.0184","0.17","0.275","131.003","4"
"spotify:track:7qwt4xUIqQWCu1DJf96g2k","Hello?","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag, spotify:artist:3lLHpTOJ11tWiUNGYN14gt","Clairo, Rejjie Snow","spotify:album:3NEDQmYF1roygFssVEwkwv","diary 001","2018-05-25","1","1","135016","false","76","spotify:user:1227113","2018-06-05T00:51:26Z","bedroom pop,pop,hip hop,indie soul,irish hip hop,rap","0.839","0.473","10","-7.835","0","0.0607","0.641","0.000459","0.0939","0.0644","98.732","4"
"spotify:track:4lELb336JAWiMAstxuh9x9","All We Do for Love","spotify:artist:4gHcu2JoaXJ0mV4aNPCd7N","Benny Sings","spotify:album:0fEaJHwo6stCx9vLOjgFPL","ART","2011-05-27","1","5","181600","false","26","spotify:user:1227113","2018-06-25T15:20:33Z","dutch pop,indie soul","0.865","0.248","8","-9.537","1","0.0677","0.101","0.0000424","0.168","0.831","116.578","4"
"spotify:track:63FPLDD25gNrDX4SbiwNst","FWMM","spotify:artist:69FykkhiqpzqeSNYRxc8BI","Tiara Thomas","spotify:album:2qzet4vhLtNVOrv2J1OYTr","FWMM","2018-03-19","1","2","199426","true","27","spotify:user:1227113","2018-06-05T02:17:33Z","pop r&b","0.446","0.499","2","-12.777","0","0.0742","0.181","0.000538","0.114","0.325","79.912","5"
"spotify:track:1e4CsgIIzrGpEVcjY95gZw","Recess","spotify:artist:5RTLRtXjbXI2lSXc6jxlAz","Ravyn Lenae","spotify:album:57X0V74PxWKM2fuyf283tE","Moon Shoes EP","2016-07-29","1","4","188280","false","35","spotify:user:1227113","2018-06-05T13:52:36Z","alternative r&b,escape room,indie r&b,indie soul,neo soul","0.382","0.824","11","-4.06","1","0.269","0.729","0.000211","0.693","0.292","70.526","4"
"spotify:track:3XSj2Hy9agOdIAITZ5UlFR","This Feeling","spotify:artist:6BVLQfvzlvlNZ43WjbFgbI, spotify:artist:5oSCIcpPdrO3UhTMATxkYL","Jean Tonique, Ciscero","spotify:album:1tTdsC7jluGFOGUDEQ7gln","Well Mannered Frivolity","2018-02-16","1","2","187533","false","21","spotify:user:1227113","2018-06-05T13:55:57Z","filter house,indie soul,new french touch,nu disco,dmv rap","0.707","0.568","0","-7.086","0","0.34","0.61","0","0.101","0.843","89.87","4"
"spotify:track:7cHddWmr93wYHrem66GJqs","Mozzarella","spotify:artist:2mYXtuZvtMCHEtiJMC0h1g","Herrick & Hooley","spotify:album:5XHG8GTdvwFcttYKeHwQHU","Mozzarella","2018-04-18","1","1","104727","true","4","spotify:user:1227113","2018-06-05T13:58:11Z","bedroom pop","0.893","0.652","1","-7.842","1","0.336","0.287","0.00000939","0.104","0.635","109.981","4"
"spotify:track:25zeBhNc1wu8ELK3BReDlk","LoveKills!!!","spotify:artist:4s8ZGMVf3OiPktSP4ulpqU","9th Wonder","spotify:album:5fnXMRZFd0SkPitan6pLu4","Zion II","2017-12-15","1","17","127184","false","52","spotify:user:1227113","2018-06-05T14:17:36Z","alternative hip hop,boom bap,hip hop,north carolina hip hop","0.714","0.482","5","-9.86","0","0.0341","0.024","0.468","0.211","0.972","166.387","4"
"spotify:track:4SnvGQ7wRoFpxPKXmwJJMr","Good Good Love (feat. BJ The Chicago Kid)","spotify:artist:6NL31G53xThQXkFs7lDpL5","Rapsody","spotify:album:3ba0maG8hMe6HY9HX4BWNa","The Idea Of Beautiful","2012-08-28","1","10","361832","true","49","spotify:user:1227113","2018-06-25T15:08:09Z","alternative hip hop,escape room,hip hop,north carolina hip hop,southern hip hop,trap queen,underground hip hop","0.635","0.647","4","-8.957","0","0.315","0.0467","0","0.213","0.745","75.923","4"
"spotify:track:0wFmawqundY8rOn9sZUqA6","Midsummer Madness","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:3MZsBdqDrRTJihTHQrO6Dq, spotify:artist:2IDLDx25HU1nQMKde4n61a, spotify:artist:07ZhipyrvoyNoJejeyM0PQ, spotify:artist:2iB8eFB6flwQculkUrRssi","88rising, Joji, Rich Brian, Higher Brothers, AUGUST 08","spotify:album:27QReClwaFihYpExsWCFj2","Midsummer Madness","2018-06-07","1","1","280841","true","0","spotify:user:1227113","2018-06-07T11:29:47Z","asian american hip hop,pop,alternative r&b,viral pop,indonesian hip hop,chinese hip hop,la pop,r&b","0.409","0.678","9","-7.731","1","0.0878","0.359","0.00000476","0.167","0.168","89.968","4"
"spotify:track:2dYbi3CYZL2wp3CoQ9i1II","ShipTrip","spotify:artist:4qBgvVog0wzW75IQ48mU7v","KYLE","spotify:album:2c1ipXPsfn6ylm6PrQNuDU","Light of Mine","2018-05-18","1","11","175253","false","40","spotify:user:1227113","2018-06-07T19:11:54Z","pop rap,rap,social media pop","0.759","0.578","8","-8.455","0","0.572","0.197","0","0.205","0.697","116.809","4"
"spotify:track:3ljkahwsdk97GG9g73l6w3","Wandering Romance","spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Jorja Smith","spotify:album:3AlSuZnX4ZCab8eoWnnfbm","Lost & Found","2018-06-08","1","7","275618","false","57","spotify:user:1227113","2018-06-08T13:09:17Z","pop,uk contemporary r&b","0.485","0.458","1","-8.676","0","0.0525","0.606","0.00045","0.12","0.102","78.558","4"
"spotify:track:3oCwuhp1k10uK25z3U2LFb","Voodoo","spotify:artist:3rTMj1pmRvXBfzAEIk9XX9","Patrick Paige II","spotify:album:3KwPkAnQNxvO80FLhvaH9h","Letters of Irrelevance","2018-05-18","1","4","221787","true","41","spotify:user:1227113","2018-06-08T13:56:30Z","","0.627","0.553","10","-7.731","0","0.0469","0.178","0.0345","0.22","0.677","77.987","4"
"spotify:track:4bqsICYtmVSdefApBj9FUH","flirt","spotify:artist:0IkEumFM5jr2xUgcS9XZNz","kevatta","spotify:album:22oSalaxi30y0E4UX6Chw3","flirt","2017-03-23","1","1","185197","false","0","spotify:user:1227113","2018-06-18T14:25:25Z","","0.813","0.797","7","-8.612","0","0.0733","0.399","0.439","0.104","0.787","82.956","4"
"spotify:track:6V801FXxGdzXwYXz6Q4tSw","Never Home","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:5zdFKRmlSDwAMZ5NFVGbx9","November","2018-01-19","1","7","166500","true","39","spotify:user:1227113","2018-06-13T01:30:14Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop","0.674","0.562","6","-6.57","1","0.422","0.437","0.00000694","0.0996","0.317","160.03","4"
"spotify:track:0WgBb7XgdtbUW0GlYel9mH","Consideration","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Rihanna, SZA","spotify:album:3Q149ZH46Z0f3oDR7vlDYV","ANTI","2016-01-28","1","1","161066","true","0","spotify:user:1227113","2018-06-24T20:42:23Z","barbadian pop,dance pop,pop,pop dance,post-teen pop,r&b,urban contemporary,pop,pop rap,rap","0.883","0.584","7","-2.102","0","0.0465","0.0392","0.00000439","0.0869","0.784","144.975","4"
"spotify:track:3hNpMcH6hgKvMTdaLg3dN5","Jeepie","spotify:artist:4lgrPvofm0IT605L9OrOTN","Jengi","spotify:album:2zyQmsaS68jnltW9pvu8CC","Colors","2017-01-27","1","1","167040","false","16","spotify:user:1227113","2018-06-11T17:38:22Z","dutch pop","0.796","0.829","1","-4.756","0","0.104","0.175","0.0455","0.1","0.69","125.033","4"
"spotify:track:6RUUaEumPDW1ZDSUUluOyg","Speedracer","spotify:artist:5QP5fl1l4e9NmKmkMUOTF5","CAPYAC","spotify:album:36L61WgVjeq5bam7T9pNTM","Movement Swallows Us","2016-01-29","1","1","240000","false","46","spotify:user:1227113","2018-06-11T00:07:50Z","austindie,new french touch","0.726","0.672","10","-5.505","1","0.164","0.269","0.0000129","0.0813","0.452","105.997","4"
"spotify:track:1MD6kwcSYhP3GlixJdvwyn","Look Right Thru","spotify:artist:5jLbQGcvxehi2Z6qkUP9Rh","Zack Villere","spotify:album:6lgoRsGfUzLfxi41XA97C1","Little World","2017-06-16","1","6","173179","false","31","spotify:user:1227113","2018-06-25T18:49:14Z","bedroom pop","0.406","0.526","11","-7.395","1","0.22","0.313","0.00279","0.211","0.332","87.275","4"
