"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1FunRKEGHk2OywxjdDa3xr","Sunroof","spotify:artist:5usbqiU7sjvszjWecANDL6, spotify:artist:4rljPSpCHQzUJMNOvmw1DL","WESTSIDE BOOGIE, Dana Williams","spotify:album:5mvSDnz2P0FOn19jMvlr5q","Thirst 48 Part II","2016-10-14","1","9","237253","true","52","spotify:user:1227113","2020-06-25T14:20:22Z","hip hop,rap,underground hip hop,la pop","0.698","0.671","5","-6.112","1","0.188","0.285","0","0.0913","0.534","113.944","4"
"spotify:track:2J6OF7CkpdQGSfm1wdclqn","Clouded","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","spotify:album:3vi20DRHkqv4HyVg9Rt9wC","Fuck The World","2020-02-07","1","2","110128","true","79","spotify:user:1227113","2020-06-25T14:28:18Z","dmv rap,rap","0.583","0.344","2","-8.765","1","0.0559","0.774","0","0.143","0.581","65.203","3"
"spotify:track:0Lhy1sDDdtUFY2pyq2ZVi9","Hit Me Up","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO, spotify:artist:6USv9qhCn6zfxlBQIYJ9qs, spotify:artist:1rHOtdmGNr5vcYNw5v7QGC","Omar Apollo, Dominic Fike, Kenny Beats","spotify:album:0sWQFBl9e6A9tL4CqFT9X8","Hit Me Up","2019-11-05","1","1","160000","true","67","spotify:user:1227113","2020-06-25T14:21:29Z","alternative r&b,bedroom pop,bedroom soul,indie r&b,pop,alternative pop rock,pop,trap,underground hip hop","0.773","0.62","9","-5.252","1","0.103","0.363","0.00000237","0.175","0.624","84.975","4"
"spotify:track:4f8Mh5wuWHOsfXtzjrJB3t","I THINK","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5zi7WsKlIiUXv09tbGLKsE","IGOR","2019-05-17","1","3","212013","true","74","spotify:user:1227113","2020-06-25T14:24:08Z","hip hop,rap","0.826","0.579","8","-8.241","0","0.0801","0.00881","0","0.129","0.431","121.075","4"
"spotify:track:0szOhdc1wDk5XotBWdGXWh","Karma","spotify:artist:1igl9M102nuD96lo3ZoW5d, spotify:artist:77SLhlrrJKzclwLB9bnRJZ","Thutmose, Alex Mali","spotify:album:0FKmKdQa00olaM9cowy8DD","Karma","2018-02-13","1","1","199245","false","0","spotify:user:1227113","2020-06-25T14:20:02Z","underground hip hop,alternative r&b,chill r&b,indie r&b,pop r&b","0.646","0.587","6","-7.695","0","0.055","0.0288","0.0000286","0.0685","0.174","105.965","4"
"spotify:track:0dWOFwdXrbBUYqD9DLsoyK","BLEACH","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:5c2AzoNyr46fCQM5d8mxE0","SATURATION III","2017-12-15","1","7","273151","true","76","spotify:user:1227113","2020-06-25T14:23:21Z","boy band,hip hop,rap","0.595","0.657","1","-6.498","0","0.183","0.462","0.000597","0.437","0.718","156.093","4"
"spotify:track:6SwRhMLwNqEi6alNPVG00n","LOYALTY. FEAT. RIHANNA.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Kendrick Lamar, Rihanna","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","2017-04-14","1","6","227360","true","73","spotify:user:1227113","2020-06-25T14:20:05Z","conscious hip hop,hip hop,rap,west coast rap,barbadian pop,dance pop,pop,pop dance,post-teen pop,r&b,urban contemporary","0.658","0.535","9","-8.983","0","0.0573","0.0265","0","0.2","0.419","110.684","4"
"spotify:track:1OWGLpptXlHLw1yibeHiHa","SHINE","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Aminé","spotify:album:4mwO9qIVmngSe7yR5Ios0I","ONEPOINTFIVE","2018-08-15","1","6","150000","true","66","spotify:user:1227113","2020-06-25T14:27:04Z","hip hop,pop rap,portland hip hop,rap,underground hip hop","0.704","0.517","5","-7.999","0","0.312","0.314","0.00000636","0.174","0.443","139.857","4"
"spotify:track:33C9eAG5R6Brjf16jxCnA2","Famous","spotify:artist:6AWdGez5g1jxpfl9XD4wI3","Amir Obe","spotify:album:20Y8yPVYPLFK7x9abzEQPe","Famous","2018-11-09","1","1","200133","false","0","spotify:user:1227113","2020-06-25T14:16:58Z","trap soul,underground hip hop","0.539","0.699","8","-6.469","0","0.0768","0.12","0.0328","0.109","0.244","166.01","4"
"spotify:track:4sFzG7iUlyPmuyASCkre9A","Hair Down (feat. Kendrick Lamar)","spotify:artist:3QTDHixorJelOLxoxcjqGx, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","SiR, Kendrick Lamar","spotify:album:5zUDvKAyEKkrhYLWJJWGPQ","Chasing Summer","2019-08-30","1","1","216933","true","71","spotify:user:1227113","2020-06-25T14:28:27Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop,conscious hip hop,hip hop,rap,west coast rap","0.793","0.489","8","-10.984","0","0.284","0.25","0.000101","0.432","0.47","120.097","4"
"spotify:track:6R6BpGki7hsjDGJEcH86ze","Ned Flanders (feat. A$AP Ferg) - STWO Remix","spotify:artist:5SyGEPymt1G2uto47tVWvZ, spotify:artist:5dHt1vcEm9qb8fCyLcB3HL, spotify:artist:5WQxQAu4xmUwCzxPw3GiB4","MadeinTYO, A$AP Ferg, Stwo","spotify:album:4uvnsohYAS99dWfU1xu98R","Ned Flanders (feat. A$AP Ferg) [STWO Remix]","2019-04-23","1","1","122204","true","56","spotify:user:1227113","2020-06-25T14:19:52Z","atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap,underground hip hop,vapor trap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,trap soul","0.92","0.514","10","-6.527","1","0.292","0.426","0","0.101","0.614","139.979","4"
"spotify:track:68j5DYmCikBzcp60Sv6xWO","All I Need (with Mahalia & Ty Dolla $ign)","spotify:artist:0QWrMNukfcVOmgEU0FEDyD, spotify:artist:16rCzZOMQX7P8Kmn5YKexI, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Jacob Collier, Mahalia, Ty Dolla $ign","spotify:album:4vSD7Y3Ob3H5nhfgWX8OPf","All I Need (with Mahalia & Ty Dolla $ign)","2020-05-14","1","1","243786","false","60","spotify:user:1227113","2020-06-25T14:13:25Z","indie soul,uk alternative pop,alternative r&b,dance pop,indie anthem-folk,indie soul,pop,r&b,uk contemporary r&b,pop,pop rap,r&b,southern hip hop,trap,trap soul","0.485","0.492","5","-6.462","0","0.331","0.425","0","0.105","0.876","78.001","4"
"spotify:track:67E5j5ZUGbN15Y7VvYNZtt","Natural","spotify:artist:30DhU7BDmF4PH0JVhu8ZRg","Sabrina Claudio","spotify:album:2ICdqEf91Kc9FwdlLtB748","About Time","2017-10-05","1","2","206534","false","46","spotify:user:1227113","2020-06-25T14:40:43Z","alternative r&b,pop","0.616","0.688","11","-6.078","0","0.0628","0.383","0.000245","0.139","0.352","160.131","4"
"spotify:track:2VqKx3HH8gaZPabNWYvksy","I Want You Around","spotify:artist:1A9o3Ljt67pFZ89YtPPL5X","Snoh Aalegra","spotify:album:42wtqDcTQlJJbUzAPBSwaK","- Ugh, those feels again","2019-08-16","1","2","212787","true","72","spotify:user:1227113","2020-06-25T14:27:25Z","alternative r&b,indie r&b,indie soul,neo soul,scandinavian r&b,swedish soul","0.705","0.433","4","-9.706","1","0.204","0.388","0.134","0.0841","0.602","168.006","4"
"spotify:track:4brX8MJs5hxErgq48f9REO","Stay","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:6f6tko6NWoH00cyFOl4VYQ","The Divine Feminine","2016-09-16","1","3","326426","true","68","spotify:user:1227113","2020-06-25T14:15:23Z","hip hop,pittsburgh rap,rap","0.742","0.561","6","-7.017","1","0.139","0.566","0.000135","0.641","0.55","134.01","4"
"spotify:track:1sQBPGypjSgEgJZvD8u8ty","Roll Some Mo","spotify:artist:5Vuvs6Py2JRU7WiFDVsI7J","Lucky Daye","spotify:album:0sxfu0XUwHOtnKiZgkTQwk","Painted","2019-05-24","1","1","292884","false","64","spotify:user:1227113","2020-06-25T14:42:48Z","alternative r&b,indie r&b,indie soul,pop r&b","0.389","0.507","11","-9.026","1","0.0621","0.259","0.0441","0.142","0.364","74.718","4"
"spotify:track:21Gknfh4TM3LDkYVYWkzTw","Strawberry Moon","spotify:artist:2qFIyqgMSxeb3rb9UDnOuo","J Warner","spotify:album:2J0AovsavMduSxHHLNB5Fu","Figure 8","2020-04-08","1","6","204896","false","41","spotify:user:1227113","2020-06-25T12:55:38Z","indie r&b","0.43","0.287","7","-13.719","1","0.211","0.837","0.0305","0.115","0.545","207.585","4"
"spotify:track:23c9gmiiv7RCu7twft0Mym","Who Hurt You?","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:15M9pZ8gsdoN67yLjyQ039","Who Hurt You?","2018-10-16","1","1","231964","true","74","spotify:user:1227113","2020-06-25T14:12:38Z","canadian contemporary r&b,pop","0.649","0.493","11","-7.645","0","0.11","0.586","0.000167","0.0667","0.277","104.542","4"
