"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7gl4gXL2WJTf4m4hjnGEjK","Heron Flow - Live","spotify:artist:1FvjvACFvko2Z91IvDljrx, spotify:artist:0MDB1LS68gBzXxhG8ewXKo","Mick Jenkins, Julian Bell","spotify:album:2YUoojiwp6nk5mBAUbEz9a","Pieces of a Man","2018-10-26","1","1","197657","false","30","spotify:user:1227113","2020-05-31T14:22:11Z","chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop","0.339","0.817","10","-9","0","0.557","0.754","0.000118","0.376","0.496","180.487","4"
"spotify:track:43AtutMIfjHoAILNjBduHd","It Ain’t Fair","spotify:artist:78xUyw6FkVZrRAtziFdtdu, spotify:artist:4jCbgl5Dmt3uOh8WRQfpPs","The Roots, Bilal","spotify:album:6xTKKGfacO7GLuKNvaLP5k","Detroit (Original Motion Picture Soundtrack)","2017-07-28","1","7","405266","true","31","spotify:user:1227113","2020-05-30T20:31:43Z","alternative hip hop,conscious hip hop,east coast hip hop,hardcore hip hop,hip hop,philly rap,political hip hop,southern hip hop,hip hop,indie soul,neo soul","0.403","0.706","10","-6.722","0","0.343","0.721","0","0.0883","0.481","150.77","4"
"spotify:track:34b3a3Pz9Jlz0092LMyNAB","What's Going On","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","spotify:album:3P9Pzn7O4Zsr3tsCSsx7Uk","What's Going On - 40th Anniversary (Super Deluxe)","1971-05-21","1","1","232600","false","73","spotify:user:1227113","2020-05-30T20:31:52Z","classic soul,funk,motown,northern soul,quiet storm,soul","0.265","0.824","1","-5.654","0","0.0991","0.0991","0","0.359","0.811","203.206","4"
"spotify:track:0lG7iyNSstVOLV6faMIHdD","6 Summers","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:3rqqwtJE89WoWvMyPTvbZc","Oxnard","2018-11-16","1","5","282986","true","54","spotify:user:1227113","2020-05-30T20:31:58Z","escape room","0.649","0.587","5","-10.5","0","0.316","0.0774","0","0.377","0.513","92.871","4"
"spotify:track:2uMqG8w8oi09fB2YA2QLOm","Summer Madness","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","spotify:album:46kA6zL7Cga656urk1nJNo","Light Of Worlds","1974-09","1","8","257866","false","58","spotify:user:1227113","2020-05-30T20:32:10Z","disco,funk,motown,post-disco,quiet storm,soul","0.298","0.327","6","-16.515","0","0.031","0.00834","0.86","0.0724","0.454","175.898","4"
"spotify:track:4USrOwVbpYaxElZGWAhEMv","Solar Waves","spotify:artist:7betQsqYu9NLsPQCEAxaDR","Joe McDuphrey Experience","spotify:album:4fVSMeiCggxU6FW3bZVcfi","Experience","2002","1","3","174666","false","19","spotify:user:1227113","2020-05-30T20:35:20Z","experimental jazz","0.68","0.756","1","-10.499","1","0.0507","0.59","0.787","0.117","0.617","90.659","4"
"spotify:track:722E6CPY8biq4sUnf40u6Y","Why Can't We Live Together","spotify:artist:7JLwBH0X2G8tgHceqvOu5B","Timmy Thomas","spotify:album:0HN6yWzRIaLKPnSFdeBtAO","Why Can't We Live Together","2005-09-20","1","1","277973","false","51","spotify:user:1227113","2020-05-30T20:35:26Z","classic soul","0.87","0.455","7","-15.31","0","0.0342","0.575","0.648","0.051","0.961","105.658","4"
"spotify:track:5sPsGwxdBGOPlvzOjI9knG","Bye.","spotify:artist:0IVcLMMbm05VIjnzPkGCyp","J Dilla","spotify:album:7xJ7jHNu3JNfdnao9xwMho","Donuts","2006-02-07","1","29","87573","true","42","spotify:user:1227113","2020-05-30T20:35:45Z","alternative hip hop,detroit hip hop,hip hop","0.602","0.405","1","-9.387","1","0.106","0.637","0.73","0.106","0.514","89.871","4"
"spotify:track:3YxunxpAExKBEvhuf7wQOK","Riot","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:4Carzsnpd6yvuHZ49I0oz8","""Awaken, My Love!""","2016-12-02","1","5","125120","false","55","spotify:user:1227113","2020-06-09T15:12:20Z","atl hip hop,hip hop,pop rap,rap","0.498","0.942","5","-6.664","1","0.07","0.000225","0.0000087","0.41","0.6","91.358","4"
"spotify:track:5Zvp0QO5e9cGhYHywdrfyQ","1000 Deaths","spotify:artist:336vr2M3Va0FjyvB55lJEd","D'Angelo","spotify:album:5Hfbag0SsHxafx1SySFSX6","Black Messiah","2014-12-15","1","2","349693","false","41","spotify:user:1227113","2020-05-30T20:36:58Z","alternative r&b,funk,hip hop,indie soul,neo soul,soul","0.642","0.807","10","-9.236","0","0.24","0.0083","0.362","0.131","0.635","86.909","4"
