"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5IExVHUiRccCWyJ4imu9qD","#20","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","spotify:album:17vHPMmoxN5B8cdhCDeMTe","Selected Ambient Works Volume II","1994-03-07","2","8","255333","false","49","spotify:user:1227113","2020-03-06T15:18:09Z","ambient,braindance,electronica,intelligent dance music,uk experimental electronic","0.142","0.042","9","-26.441","0","0.0432","0.971","0.913","0.052","0.0427","141.164","3"
"spotify:track:53vOUFQJJh8kLKaXYz99ac","Closer","spotify:artist:0iK1U5DGAdiqJvL1vq858A, spotify:artist:42jieaEZ4aBbVpodj6sSJd","MARTIN $KY, Vhsceral","spotify:album:7aa9kHRch5QQs1WWdTHEqI","Closer","2020-03-02","1","1","137668","false","32","spotify:user:1227113","2020-03-06T15:17:43Z","lo-fi beats","0.522","0.158","11","-12.98","0","0.329","0.624","0.448","0.103","0.504","66.212","4"
"spotify:track:3ElFj7eOYrTSkuNN6FjoSt","Maybe Something","spotify:artist:5RUTOLt1YctzvXW5T7wccv","Arvo to me","spotify:album:4PwZ5lJrMMsctsR7WRu9hi","Life's A Party And You're Not Invited","2019-09-13","1","2","102658","false","15","spotify:user:1227113","2020-03-09T01:00:19Z","","0.64","0.535","5","-5.335","0","0.131","0.38","0.0195","0.0724","0.283","82.967","4"
"spotify:track:2IQCcVbRCGZtxs5iXIoc2c","Descending","spotify:artist:6Xo1vXFRCEJPgVqCyHlTPW, spotify:artist:6z8cYkkKwQDJyA5bDkK8kk, spotify:artist:5t9h1RUE0x9FUKtGoPFtaC, spotify:artist:3luuQQRuSBuDNnrkYvatnk","Sam Wilkes, Brian Green, Kyle Crane, Sam Gendel","spotify:album:4rBZaFE5ByvAHFGMQXlffg","WILKES","2018-10-05","1","6","241108","false","39","spotify:user:1227113","2020-03-09T20:02:22Z","experimental ambient,fourth world,indie jazz","0.304","0.593","10","-8.796","1","0.0359","0.816","0.932","0.169","0.363","116.082","3"
"spotify:track:5HzjY40CtfurLMZses02rH","Sunday - Live @ Urchin Studios","spotify:artist:2aUr9B6iwO3eYiEHJIpB0M, spotify:artist:5rwYTbGy93YAtgcOV1KYZS, spotify:artist:7dDjCesR5mL36QoMeLiJ1R, spotify:artist:4jsu4DcvSAq0crCjff4jx4, spotify:artist:3D3GFfrC14fhQeNQ9ZtYjy","Kwaku Asante, Scottfree, Jerome Johnson, Donovan Gervais, Zachary Cayenne-Elliot","spotify:album:4of1DyTGXFExX93hfOoK5P","Sunday (Live @ Urchin Studios)","2020-03-20","1","1","391846","false","15","spotify:user:1227113","2020-03-20T15:18:59Z","alternative r&b,indie r&b,uk contemporary r&b","0.513","0.393","5","-9.695","1","0.0571","0.625","0.00000632","0.144","0.401","104.308","3"
"spotify:track:28sXdZkzW7qC3T6kctgWIu","Lonely Side of Life (acoustic)","spotify:artist:0ukgrNYk51TkMQr0f2Br4Q","Maverick Sabre","spotify:album:6l0gYDXf4TDwoyAlpOHeFC","Lonely Side of Life","2020-01-14","1","1","216624","false","30","spotify:user:1227113","2020-03-26T17:06:29Z","indie soul,irish hip hop","0.657","0.0565","6","-17.143","0","0.358","0.871","0","0.112","0.342","83.72","4"
"spotify:track:4gQRvISGFcf9zKowPzd7M6","Starflower","spotify:artist:2kQnsbKnIiMahOetwlfcaS","Raveena","spotify:album:0YdgyT5LFI48qP4bo6Rd74","Moonstone EP","2020-02-07","1","4","157948","false","45","spotify:user:1227113","2020-06-09T16:36:10Z","alternative r&b,chill r&b,indie r&b,indie soul","0.622","0.166","3","-13.555","0","0.0456","0.962","0.000255","0.0911","0.145","95.784","4"
"spotify:track:4d0dY3ZeMdoYrD5YmdFvWZ","Half Time","spotify:artist:6Q192DXotxtaysaqNPy5yR","Amy Winehouse","spotify:album:4xdRjOhY9NHmMpI7U3e2c3","Lioness: Hidden Treasures","2011-01-01","1","8","230853","true","61","spotify:user:1227113","2020-03-19T13:43:39Z","british soul,neo soul","0.624","0.488","4","-8.258","0","0.0584","0.375","0.0000963","0.339","0.273","84.218","4"
"spotify:track:2ckOiZbzruKOVokEINKBSv","TTCL","spotify:artist:7LlIWfvgWlDBXfxCvCFbuC","Eloise","spotify:album:6VtxEWVdKRHUyRnrtC3K7r","This Thing Called Living","2019-05-30","1","2","169230","false","39","spotify:user:1227113","2020-03-19T13:43:39Z","bedroom soul","0.499","0.255","8","-10.233","1","0.0923","0.879","0","0.206","0.157","108.413","5"
"spotify:track:2Zpws2Gj8xNMhk8N6qHCXY","Where's the Sun in Berlin","spotify:artist:76O0DRobXGao078KT0xci8","J.Lamotta","spotify:album:1PQXxRZiNItik4fgSrG14L","Suzume","2019-04-12","1","5","234000","false","15","spotify:user:1227113","2020-03-24T14:36:33Z","neo r&b","0.531","0.598","1","-8.528","1","0.185","0.0169","0.000165","0.269","0.594","173.668","4"
