"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6Nle9hKrkL1wQpwNfEkxjh","Chanel","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:6OGzmhzHcjf0uN9j7dYvZH","Chanel","2017-03-10","1","1","210285","true","84","spotify:user:1227113","2017-03-11T20:28:09Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.776","0.503","0","-5.732","0","0.237","0.874","0","0.112","0.473","110.134","4"
"spotify:track:3ZdgZ8mDEK7Op8OEKgxsae","Baldwin Park","spotify:artist:2ICR2m4hOBPhaYiZB3rnLW","Sonder","spotify:album:0AHaFhhNCg3u0j6EJ3NfP7","Into","2017-01-27","1","5","95106","false","0","spotify:user:1227113","2017-02-08T14:54:06Z","alternative r&b,trap soul","0.731","0.282","5","-11.735","0","0.0422","0.572","0.91","0.17","0.4","125.009","3"
"spotify:track:5DrLZ7AEKTpcQno2GimT1D","Down (feat. Fauxe)","spotify:artist:3GFO1X5LAHduvR314sXnqI, spotify:artist:6dvcG23IN4NjyLZ3nbKd6p","Sam Rui, Fauxe","spotify:album:2Sr4ah9WKN2HgYEvhUsdja","Down (feat. Fauxe)","2016-05-30","1","1","185806","true","24","spotify:user:1227113","2017-03-11T20:29:32Z","singaporean pop,singaporean indie","0.556","0.331","4","-8.698","0","0.365","0.401","0.00000273","0.182","0.351","94.744","4"
"spotify:track:0rjo80Izq7Ixcspte44DIx","Fuck","spotify:artist:5dVua2HdrY1VlbPh6OM9KZ","The Gaslamp Killer","spotify:album:1sFFVzV8kkt5af6gtFYWZ8","Breakthrough","2012-09-18","1","8","71831","true","0","spotify:user:1227113","2017-02-20T18:34:37Z","ninja,wonky","0.36","0.657","9","-12.773","1","0.503","0.882","0.55","0.763","0.796","171.969","5"
"spotify:track:5y2K7jr9M8t1HRAu9jzssT","No Security","spotify:artist:2p1fiYHYiXz9qi0JJyxBzN","Skepta","spotify:album:3tflD6jEQxt1AxQ65N9q5O","No Security","2017-03-01","1","1","219737","true","57","spotify:user:1227113","2017-03-11T20:46:48Z","birmingham grime,grime,instrumental grime,rap","0.859","0.624","1","-5.437","1","0.0915","0.00531","0.000124","0.184","0.635","149.948","4"
"spotify:track:3ppVO2tyWRRznNmONvt7Se","Summers Over Interlude","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:4HzKw8XcD0piJmDrrPRCYk","Drake, Majid Jordan","spotify:album:40GMAhriYJRO1rsY4YdrZb","Views","2016-05-06","1","17","106333","true","60","spotify:user:1227113","2017-02-08T14:54:32Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,alternative r&b,canadian contemporary r&b,pop,trap soul","0.699","0.255","4","-8.647","0","0.0303","0.405","0.00242","0.0985","0.242","132.031","3"
"spotify:track:5MXB4YBEm0GZwS9Nbs3JqM","Fertilizer","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:623Ef2ZEB3Njklix4PC0Rs","channel ORANGE (Explicit Version)","2012-07-10","1","3","39640","true","54","spotify:user:1227113","2017-02-09T19:59:35Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.706","0.57","11","-7.129","1","0.0841","0.689","0.0698","0.288","0.96","115.864","4"
"spotify:track:3tJp3SXg6NUyrV6wduHAL8","Vanessa's Tune","spotify:artist:44drVL4jbdo6T6llD5cMgx","McClenney","spotify:album:4amUtbYDdtxQmwL02ZSmad","Vanessa's Tune","2017-02-27","1","1","201290","false","35","spotify:user:1227113","2017-03-11T20:46:29Z","alternative r&b,chill r&b,indie r&b,indie soul,neo r&b","0.831","0.267","1","-12.891","0","0.146","0.0709","0.589","0.55","0.25","77.489","4"
"spotify:track:0Y1r5aaZqTfo0TUNAG5wMG","Moderate Stimulation","spotify:artist:2n7USVO8fO8FF8zq4kG2N1","Mat Zo","spotify:album:5Nrx0GEDuLwrQcEvb1IM8l","Damage Control","2013-01-01","1","10","87027","false","18","spotify:user:1227113","2017-02-20T18:35:02Z","big room,edm,electro house,progressive house,progressive trance,trance,uplifting trance","0.559","0.558","0","-9.646","1","0.29","0.258","0.346","0.202","0.864","81.946","4"
"spotify:track:1YiPIg5DT9EZX2ATruRoQw","Land of the Free","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","spotify:album:49hUxaRYpToeJKerE9lNE5","Land of the Free","2017-01-20","1","1","283171","true","0","spotify:user:1227113","2017-03-11T20:52:49Z","conscious hip hop,hip hop,rap,underground hip hop","0.709","0.646","8","-5.912","0","0.367","0.436","0","0.12","0.136","95.08","4"
