"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2w7CXqA8SonrkEC74zuBVM","Grown up Fairy Tales (feat. Chance the Rapper & Jeremih)","spotify:artist:0NWbwDZY1VkRqFafuQm6wk, spotify:artist:6CqjoQyGZlnhnq5gAUz92c, spotify:artist:1anyVhU62p31KFi8MEzkbf, spotify:artist:3KV3p5EY4AvKxOlhGHORLg","Mike WiLL Made-It, Taylor Bennett, Chance the Rapper, Jeremih","spotify:album:2XXqBkpXDNhUQw9K4fNj8t","Restoration of an American Idol","2017-02-28","1","3","234022","true","49","spotify:user:1227113","2017-03-26T20:47:46Z","atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,chicago rap,drill,lgbtq+ hip hop,underground hip hop,chicago rap,conscious hip hop,hip hop,pop rap,rap,chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary","0.509","0.59","7","-6.523","1","0.114","0.757","0","0.152","0.443","160.25","3"
"spotify:track:2DPoKKQ36CkBFu5nMn98PH","Digging Deep","spotify:artist:72tRiBHei5G9M8it4h4sfC","Oddisee","spotify:album:2dEkjiUBO6Z2aeolcJ7sCy","The Iceberg","2017-02-24","1","1","204926","false","29","spotify:user:1227113","2017-03-26T21:34:33Z","alternative hip hop,dmv rap,hip hop,sudanese pop","0.82","0.734","9","-6.665","1","0.0598","0.11","0.0000414","0.111","0.366","117.974","4"
"spotify:track:1qsGi9LxxoNVMMP6WrWpge","Kodak Gold","spotify:artist:5xKsyOnA918Jvy4FyqOPMm, spotify:artist:7BxJEL8I7OoAMGyPWn1cPS, spotify:artist:5yWEsM9GHxzr7gVmxHIONn","Yogisoul, Ivan Ave, Moruf","spotify:album:79H7ayEa4rkB51ONAVezUF","By Nights","2016-06-17","1","9","227413","false","28","spotify:user:1227113","2017-03-26T20:56:54Z","indie jazz,indie soul,jazz rap","0.703","0.587","0","-7.219","0","0.329","0.652","0.00000447","0.188","0.622","170","4"
"spotify:track:3VB91IsGDxNsF9YhYnnGsT","The Juice","spotify:artist:5bC48lf8QD99jU2lLiJlon","HERO","spotify:album:5hIJV8MO2KCwddC2RxTLUc","VHS Pop","2016-09-02","1","3","219539","false","11","spotify:user:1227113","2017-03-26T20:51:33Z","","0.897","0.682","8","-6.789","1","0.0648","0.41","0.377","0.103","0.72","123.055","4"
"spotify:track:0V5zAGdvO780GT3gtdxzLt","Andromeda (feat. DRAM)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","spotify:album:5ZmmS4AcXQ4eBYt8aWqlk3","Andromeda (feat. D.R.A.M.)","2017-03-22","1","1","197546","false","48","spotify:user:1227113","2017-03-26T21:31:46Z","alternative hip hop","0.788","0.472","0","-9.021","1","0.0475","0.003","0.0322","0.59","0.257","130.084","4"
"spotify:track:4aUCovTNe98WnwE6AIl0pU","Ladies and Gentlemen We Are Floating in Space","spotify:artist:6DKmuXxXASTF6xaJwcTfjv","Spiritualized","spotify:album:4GMgNPA4fMv3U0QQsdRLJk","Ladies & Gentlemen We Are Floating In Space","1997-06-16","1","1","234053","false","0","spotify:user:1227113","2017-03-28T02:00:08Z","alternative rock,art pop,art rock,britpop,freak folk,noise pop,nu gaze,shoegaze","0.378","0.409","2","-11.468","1","0.0337","0.753","0.000528","0.234","0.184","100.087","3"
"spotify:track:0H57lJQoHSzP4nE7EvTJPP","Have You Seen That Girl?","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","GoldLink","spotify:album:18JrBX1QkpnUSJF3oxX6RX","At What Cost","2017-03-24","1","3","162277","true","43","spotify:user:1227113","2017-03-26T21:32:29Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.869","0.792","0","-6.351","1","0.141","0.00566","0","0.0683","0.725","107.985","4"
"spotify:track:3cjF2OFRmip8spwZYQRKxP","Feel No Ways","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:40GMAhriYJRO1rsY4YdrZb","Views","2016-05-06","1","4","240653","true","72","spotify:user:1227113","2017-03-26T21:37:26Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.582","0.677","7","-7.081","1","0.172","0.0312","0.0000066","0.122","0.205","193.818","4"
"spotify:track:6GatnDEhYQLOdRzdVbJaky","Her","spotify:artist:4HzKw8XcD0piJmDrrPRCYk","Majid Jordan","spotify:album:0LncwHODjl9isM9pzVmuOS","A Place Like This","2014-07-17","1","3","300728","false","64","spotify:user:1227113","2017-03-26T21:32:39Z","alternative r&b,canadian contemporary r&b,pop,trap soul","0.675","0.5","1","-6.6","1","0.0516","0.00372","0.00268","0.114","0.0709","90.029","4"
"spotify:track:5zHtUsJq5VE5TuBL3Y79Tw","Ricky Millions","spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:1ebVMnivusGKkKh6oqzmxL","Smino, Drea Smith","spotify:album:6S3Ms09RYhRSO3WjEevzVV","blkswn","2017-03-14","1","17","174805","false","9","spotify:user:1227113","2017-03-26T21:34:19Z","alternative r&b,hip hop,rap,underground hip hop","0.614","0.424","1","-6.565","0","0.205","0.821","0","0.565","0.595","111.477","4"
"spotify:track:0ZGZTut99seZYeJTLy7QZG","Ithaca","spotify:artist:2JPBDCZC133viR1884BIEi","Poptartpete","spotify:album:1JG04tRkcORA9RP3p06oGp","Palmas","2016-11-09","1","1","98791","false","32","spotify:user:1227113","2017-03-27T21:01:34Z","chillhop","0.794","0.0924","1","-12.566","0","0.718","0.907","0.886","0.103","0.532","82.887","4"
"spotify:track:2fkeWbM6iqTw7oGHTYm2lw","4422","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:2WoVwexZuODvclzULjPQtm","Drake, Sampha","spotify:album:1lXY618HWkwYKJWBRYR4MK","More Life","2017-03-18","1","8","186293","false","65","spotify:user:1227113","2017-03-26T21:33:57Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,alternative r&b,indie soul","0.609","0.229","11","-12.36","0","0.0333","0.558","0.0413","0.113","0.19","111.887","4"
"spotify:track:0HKxQX6RBlHc5OoIWUvnT5","Earth Girls","spotify:artist:7N3L5HZxQqxWSfhrrTNI29","Jesse Boykins III","spotify:album:4ty1RWeEC7wgtvIEagcMZV","Earth Girls","2016-08-26","1","1","249502","false","28","spotify:user:1227113","2017-03-27T20:54:49Z","alternative r&b,neo r&b,neo soul","0.469","0.423","6","-11.678","1","0.0463","0.477","0.00000456","0.0841","0.413","79.555","4"
"spotify:track:4VSDGgNKnvln23aPjX6Pgn","Lay-by","spotify:artist:3Nb8N20WChM0swo5qWTvm8","Tennyson","spotify:album:5d5Q7b2lpe0QpA8MJBcqZq","Lay-by","2014-07-09","1","1","271333","false","0","spotify:user:1227113","2017-03-27T20:56:49Z","edmonton indie,future bass,vapor twitch","0.312","0.465","9","-9.963","0","0.0342","0.00673","0.938","0.426","0.159","175.514","3"
"spotify:track:35xSkNIXi504fcEwz9USRB","Solo","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","2016-08-20","1","5","257380","true","71","spotify:user:1227113","2017-03-26T21:36:08Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.444","0.287","5","-10.631","0","0.0375","0.849","0.00000282","0.161","0.246","124.027","4"
"spotify:track:0Wi7iEDGFY7I7NkYU6gS4n","Ultralight Beam","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:4xM1pUHZp9HsuKNxyOQDR0","The Life Of Pablo","2016-06-10","1","1","320680","true","0","spotify:user:1227113","2017-03-26T21:38:35Z","chicago rap,rap","0.672","0.397","8","-8.804","1","0.381","0.627","0","0.54","0.372","105.71","4"
