"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6wwruKU956ldDyz55DZTt1","first take","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:42WVQWuf1teDysXiOupIZt","Birds In The Trap Sing McKnight","2016-09-16","1","10","313909","true","63","spotify:user:1227113","2018-03-19T14:38:04Z","rap","0.423","0.536","7","-3.8","1","0.16","0.015","0","0.095","0.0895","71.313","5"
"spotify:track:6gU9OKjOE7ghfEd55oRO57","The Weekend","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","2017-06-09","1","6","272186","true","78","spotify:user:1227113","2018-03-22T00:57:50Z","pop,pop rap,rap","0.4","0.366","8","-9.405","0","0.0597","0.242","0","0.126","0.161","73.313","3"
"spotify:track:03mfJFcTsxfldb0DPI4ygj","Comfort Inn Ending (Freestyle)","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:73TNMu44lT0m1h1Nn6Bfiq","Sail Out","2013-01-01","1","7","321826","true","57","spotify:user:1227113","2018-03-22T00:51:21Z","alternative r&b,dance pop,pop,r&b,urban contemporary","0.501","0.301","3","-10.8","0","0.0366","0.758","0.00793","0.107","0.179","122.934","4"
"spotify:track:4IYmJKwEsFTwQUdzsWSiv1","Neither Do I","spotify:artist:5WQxQAu4xmUwCzxPw3GiB4, spotify:artist:3KV3p5EY4AvKxOlhGHORLg","Stwo, Jeremih","spotify:album:37mrK3xXqshDGqoIwzSH0b","Neither Do I","2017-10-20","1","1","220000","true","0","spotify:user:1227113","2018-03-18T19:25:28Z","trap soul,chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary","0.812","0.398","9","-9.832","0","0.105","0.453","0.0000054","0.12","0.189","119.955","4"
"spotify:track:1Bt7SFJVcCyBSJbmUh6Sya","F N Sexy","spotify:artist:1c5SlzViAqsaB0kXygfSjh","JAHKOY","spotify:album:3NEsS9kkvnZZZ4wSggNQYX","Foreign Water","2016-10-28","1","4","207613","true","0","spotify:user:1227113","2018-03-18T21:39:32Z","canadian contemporary r&b,pop r&b,trap soul","0.753","0.592","6","-5.836","0","0.197","0.0935","0.0000101","0.0922","0.544","84.108","4"
"spotify:track:1u4orOe6gYxeE9xKpv11Qi","First Fuck","spotify:artist:4IVAbR2w4JJNJDDRFP3E83, spotify:artist:5ZS223C6JyBfXasXxrRqOk","6LACK, Jhené Aiko","spotify:album:6Fq2zZBisHn3e2I7VHzVuf","First Fuck","2017-02-24","1","1","205489","true","69","spotify:user:1227113","2018-03-22T00:20:36Z","alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap,alternative r&b,dance pop,pop,r&b,urban contemporary","0.35","0.315","3","-9.753","1","0.064","0.916","0.00000282","0.0959","0.427","88.449","4"
"spotify:track:5Z4mLHUiNoc23UktrfthED","Sonic Boom","spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM","Roy Woods","spotify:album:2uh03RWTrpLJzfrrqeEIZs","Waking at Dawn","2016-07-01","1","1","184874","true","44","spotify:user:1227113","2018-03-22T00:50:09Z","canadian contemporary r&b,canadian hip hop,pop rap,trap,trap soul","0.409","0.437","5","-10.134","0","0.0339","0.558","0.0193","0.0799","0.149","141.961","3"
"spotify:track:03oJX9rMbgjIq3CuGsXnlH","Talk","spotify:artist:4xXlwzlQAvjV07mmGvlT0T","Aftertheparty","spotify:album:5lvwoKYtqQMoDSdDptI2QN","Emulsion","2018-02-20","1","4","162466","true","30","spotify:user:1227113","2018-03-18T19:26:02Z","trap soul,vapor trap","0.87","0.287","6","-14.807","0","0.138","0.652","0.000105","0.107","0.136","130.006","4"
"spotify:track:5iYmZf4oFIqaHdCMVeET8K","Matrix","spotify:artist:0pkwrPVI8UyXtPkavyJoZ4","A.CHAL","spotify:album:1vPH0iuCN5OjWo8gG2GRd8","ON GAZ","2017-06-02","1","5","173870","true","41","spotify:user:1227113","2018-03-22T00:53:26Z","trap soul","0.82","0.557","5","-6.946","0","0.0476","0.375","0.00128","0.168","0.503","140.01","4"
"spotify:track:12sbqu7vLCq3ylguccsiSu","Ssh","spotify:artist:21eeOqX01yzH3M9nSyYJ1S","The Code","spotify:album:2dAxdaLom4HojSnoQynT5F","Paramount","2018-01-26","1","5","179490","false","27","spotify:user:1227113","2018-03-18T21:10:48Z","trap soul","0.497","0.448","6","-10.553","1","0.249","0.0626","0.00000117","0.0734","0.476","110.208","4"
"spotify:track:1oQQ5pf4hft7C3s75B8fXb","Set It Off","spotify:artist:2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","spotify:album:7nn2Iaphg0Vc1NCGULkhVo","True to Self","2017-05-26","1","15","217200","true","55","spotify:user:1227113","2018-03-19T01:04:01Z","kentucky hip hop,pop,pop rap,r&b,rap,trap","0.538","0.507","7","-10.181","0","0.177","0.549","0.00000111","0.231","0.27","145.967","4"
"spotify:track:18yFxXa03KLyaFwH6c2VGB","2 Am","spotify:artist:45AMD9qU0ERQY5RvR7deHR","Che Ecru","spotify:album:0lJWRVK86cJ8AMKL7fzATJ","buries","2017-04-30","1","2","285300","true","55","spotify:user:1227113","2018-03-18T21:10:59Z","alternative r&b,canadian hip hop,chill r&b,indie r&b,pop r&b,trap soul","0.781","0.594","7","-9.663","1","0.0578","0.0588","0.00131","0.109","0.0527","100.979","4"
"spotify:track:4kE9IYYcAn8QV8v4aekpbx","Thii","spotify:artist:45AMD9qU0ERQY5RvR7deHR","Che Ecru","spotify:album:1xwRi1x7t8fkvXGvUTJHze","Thii","2017-11-23","1","1","147859","false","38","spotify:user:1227113","2018-03-19T15:02:05Z","alternative r&b,canadian hip hop,chill r&b,indie r&b,pop r&b,trap soul","0.697","0.302","11","-11.607","1","0.0462","0.642","0","0.465","0.406","78.012","4"
"spotify:track:1uverlfbbG8InEPioAwB8y","Feel","spotify:artist:2ICR2m4hOBPhaYiZB3rnLW","Sonder","spotify:album:6N5Gc4oQGNp05JXfZi8E5H","Into","2017-01-27","1","1","232502","false","57","spotify:user:1227113","2018-03-22T00:51:41Z","alternative r&b,trap soul","0.455","0.255","6","-14.512","0","0.0377","0.525","0.00176","0.382","0.195","131.959","4"
"spotify:track:4cieRtd3nCxideC8lesgis","Fill The Void (feat. Amir Obè & Daniel Caesar)","spotify:artist:5WQxQAu4xmUwCzxPw3GiB4, spotify:artist:6AWdGez5g1jxpfl9XD4wI3, spotify:artist:20wkVLutqVOYrc0kxFs7rA","Stwo, Amir Obe, Daniel Caesar","spotify:album:4AMs14GJ3NTtbnxFyDffR2","D.T.S.N.T. EP","2016-07-29","1","4","208000","false","29","spotify:user:1227113","2018-03-22T00:52:43Z","trap soul,trap soul,underground hip hop,canadian contemporary r&b,pop","0.335","0.475","6","-7.946","0","0.0961","0.493","0.000236","0.11","0.0683","179.919","4"
"spotify:track:2V8DlQF27d4GKlHOrJ3gqd","Problems & Selfless","spotify:artist:2HPaUgqeutzr3jx5a9WyDV","PARTYNEXTDOOR","spotify:album:2FXGUAESmG5l9YPrzWPvHI","PARTYNEXTDOOR 3 (P3)","2016-08-12","1","7","217910","true","41","spotify:user:1227113","2018-03-22T01:03:09Z","pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary","0.366","0.48","9","-7.253","0","0.0512","0.195","0.00387","0.11","0.0802","78.829","4"
"spotify:track:6eH0vTMo40p9Jbp67ZmUmC","califormula","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:4nXtqtaVW7MmYM9L8fxXqh","the afterglow","2014-04-20","1","3","217026","true","50","spotify:user:1227113","2018-03-22T01:05:45Z","electropop,pop,pop rap","0.674","0.292","10","-11.525","0","0.0409","0.858","0.000326","0.227","0.409","119.955","4"
