"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5J5rzvpYAQHlELldedLT9X","Someday We'll All Be Free","spotify:artist:0HU0U9kdXEHZVxUNbuQe8S","Donny Hathaway","spotify:album:2D2sMtTf1Db5bkSRGvWGKB","A Donny Hathaway Collection","1990-04-03","1","7","250866","false","43","spotify:user:1227113","2019-03-28T14:02:29Z","chicago soul,classic soul,funk,motown,neo soul,quiet storm,soul,vocal jazz","0.379","0.413","6","-11.497","1","0.0335","0.451","0.0000124","0.18","0.249","77.022","4"
"spotify:track:6NQZP3VSj2XjfzX3qPOrfz","Guava Tea","spotify:artist:5XQRfs0gXs30aWUn1Umves","Choker","spotify:album:0FxZ2WrVH8cUZGKY0K2wC7","Forever & A Few","2019-02-08","1","1","187058","true","0","spotify:user:1227113","2019-03-04T02:37:43Z","alternative r&b,chill r&b,indie r&b,indie soul","0.659","0.375","10","-11.558","0","0.0693","0.922","0.00664","0.306","0.306","136.023","4"
"spotify:track:3UYKvI6JYzkp8eep9fcWT0","Mind’s Eye","spotify:artist:24icoQNJSEWNu3XvqKBR68","Jordan Rakei","spotify:album:6KkwKYVuL4LmQyGelCjhUO","Mind’s Eye","2019-02-26","1","1","246087","false","0","spotify:user:1227113","2019-03-01T12:35:15Z","alternative r&b,indie jazz,indie r&b,indie soul,neo r&b,soul","0.485","0.534","0","-10.259","0","0.193","0.451","0.00291","0.185","0.163","123.047","4"
"spotify:track:7ESCdMmtuLbLWNEzcvNlf7","You Can Try 해도 돼","spotify:artist:1xIJdlCfkIVsdO5Egsu8ln, spotify:artist:14L6VD8xr3ZsSIEk2KZAjQ","J.BASS, PLZY","spotify:album:0RWD57fYqXtlPtmORUSBEd","You Can Try 해도 돼","2018-09-01","1","1","204467","false","36","spotify:user:1227113","2019-03-14T17:03:44Z","k-indie,korean r&b","0.745","0.622","4","-4.134","0","0.201","0.151","0","0.0931","0.798","76.001","4"
"spotify:track:3i9MBLQTL7kJRqq5ZE5tR0","Comb my body (feat. The Quiett)","spotify:artist:2YZhod6BAbnBKh2nPdUejY, spotify:artist:2qI1pO64eYqGUiv1XTw4cy","SOMA, The Quiett","spotify:album:50p8PPPk9LDEsdeyE3OS0f","Cigarettes, Talk","2018-11-30","1","1","181750","false","23","spotify:user:1227113","2019-03-05T02:39:01Z","korean r&b,k-rap,korean r&b,korean trap","0.709","0.652","6","-5.909","0","0.0565","0.531","0.0000444","0.0712","0.455","129.82","4"
"spotify:track:4heQ4k6RhpDbPtBuQNjxMB","Sub","spotify:artist:2kMzxA8edU05hvMFU493zJ","Good Morning","spotify:album:2yyQIy8j88CvUzr7FBfmJc","Sub","2019-03-01","1","1","125625","false","0","spotify:user:1227113","2019-03-01T12:53:27Z","experimental pop,indie garage rock,lo-fi indie","0.546","0.855","2","-7.914","1","0.0288","0.621","0.908","0.351","0.698","124.252","4"
"spotify:track:1nec6MrKtsek4K8UG16rhZ","Talk to Me","spotify:artist:24icoQNJSEWNu3XvqKBR68","Jordan Rakei","spotify:album:3yaX5F9S48n2Ue2F4QAuP7","Cloak","2016-06-03","1","5","186226","false","39","spotify:user:1227113","2019-03-04T17:54:31Z","alternative r&b,indie jazz,indie r&b,indie soul,neo r&b,soul","0.647","0.647","6","-10.442","0","0.0419","0.195","0.162","0.146","0.0596","120.037","4"
"spotify:track:0BpGtwcSXRmpb1KdXQpLGC","City Blues","spotify:artist:0P54cVemq1DCHUfUMlWAoN","TOBi","spotify:album:1lv2eyaeovTOrSOxGrue3g","City Blues","2019-01-17","1","1","231111","true","0","spotify:user:1227113","2019-03-07T12:08:27Z","canadian contemporary r&b,canadian hip hop","0.733","0.478","1","-8.922","1","0.368","0.186","0","0.099","0.475","161.87","4"
"spotify:track:6SR82nnPzTTCi44mk1t4ne","Loveholic","spotify:artist:17vCFclNbTzsDfPgsaWaQO","LEEBADA","spotify:album:1m9gG828F3xIjiNSE4cGBf","Pink Ocean","2018-05-08","1","1","186596","false","23","spotify:user:1227113","2019-03-14T16:37:56Z","k-indie,korean r&b","0.733","0.569","5","-5.606","1","0.0453","0.227","0","0.115","0.423","90.047","4"
"spotify:track:04XhCO6OT1oyhbvLvab4xq","POTIONS (feat. Dawn Richard)","spotify:artist:3pOnPfJ9MReuu20YnLFRej, spotify:artist:06xa1OLBsMQJFXcl2tQkH4, spotify:artist:3qIRQKST5KCIIKWgmPTY2M, spotify:artist:6pSsE5y0uJMwYj83KrPyf9","J-E-T-S, Machinedrum, JIMMY EDGAR, Dawn Richard","spotify:album:6hjyDdLgYZQCBQfIKTq9XD","POTIONS (feat. Dawn Richard)","2019-03-08","1","1","181521","true","0","spotify:user:1227113","2019-03-14T22:55:31Z","bass music,bass music,electronica,footwork,future bass,future garage,glitch,glitch hop,halftime dnb,intelligent dance music,minimal dnb,ninja,vapor twitch,wonky,bass music,escape room,future garage,hyperpop,wonky,afrofuturism,alternative r&b,escape room,hip pop,pop r&b,r&b,urban contemporary","0.851","0.385","4","-6.925","0","0.0467","0.231","0.000939","0.115","0.291","114.442","4"
"spotify:track:1fY2pOz2r3dlWIfRJJTh3b","Over It 너 왜 그래","spotify:artist:7iWynR4oOvJpSKOAR3zazP","John OFA Rhee","spotify:album:0bdyjxlFmfRR5SEmgK4dsm","how long can we go?","2018-08-23","1","5","227817","false","36","spotify:user:1227113","2019-03-14T16:59:38Z","k-indie,korean pop","0.562","0.587","1","-7.606","0","0.0727","0.508","0","0.158","0.466","69.97","4"
"spotify:track:7loG06sGQCC5iNFzEoRZBW","Blue Tongue","spotify:artist:5RarAe4eB92b2PabL2kIR4, spotify:artist:7LOW1cB3NuRxZsxIo7g05p","Clever Austin, Jon Bap","spotify:album:5O6bZuv2aak8MC7F1bZ0Sg","Blue Tongue","2019-01-25","1","1","187253","true","2","spotify:user:1227113","2019-03-15T21:19:16Z","bedroom pop","0.69","0.55","6","-9.034","1","0.0833","0.47","0.00427","0.102","0.594","149.975","4"
"spotify:track:1cfDUtgIowRFFkXJOE5F7I","시간 좀 봐 (Feat. 재희)","spotify:artist:6N8Wyy7G86YTHz3oIaJZjO, spotify:artist:5AGgp64p2y3xLz2OxnOPkj","KASPER, 재희","spotify:album:2NWMBWWjxppvOOKANXVhSZ","TIME IS UP","2018-08-08","1","3","162999","false","11","spotify:user:1227113","2019-03-28T14:02:29Z","","0.698","0.394","9","-9.011","1","0.147","0.471","0.00000993","0.131","0.77","180.022","5"
