"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5KjHrqO1V0TUpUxdfqkAhm","TOO DEEP FOR INTRO","spotify:artist:1xMXwKQhYLclPctEzpm4nr","Jerreau","spotify:album:5NEWk5zOT1HHgjBVygX8Sq","KEEP EVERYTHING YOUR SELF","2020-02-06","1","1","214808","true","31","spotify:user:1227113","2020-03-03T17:32:32Z","","0.58","0.724","5","-6.287","0","0.355","0.00341","0","0.36","0.423","147.871","4"
"spotify:track:2P5mpQY0luJnprRSeVapAB","Vintage Garms","spotify:artist:052uglZ4PgpVs8YxEOViXz","Lord Apex","spotify:album:6THbQCrcTyMbrU8FHfH1Ol","Smoke Sessions, Vol. 2","2019-01-25","1","8","220235","true","40","spotify:user:1227113","2020-03-04T17:37:22Z","uk alternative hip hop","0.437","0.881","7","-7.571","1","0.495","0.0846","0.00000332","0.147","0.433","83.382","4"
"spotify:track:7fPyZFvWProibGzdZ8oRpq","LEAVING HELL","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","spotify:album:487n7h1dQ9duY4lwSqYtox","LEAVING HELL","2020-02-21","1","1","162461","false","23","spotify:user:1227113","2020-03-03T17:41:06Z","alternative hip hop,escape room,experimental hip hop","0.598","0.709","5","-8.66","0","0.208","0.26","0.375","0.142","0.624","129.953","4"
"spotify:track:77EseIwL4dnUACjF3YmDWz","DR BIRDS","spotify:artist:0wXQORjv4ChlykdyzWUJ4X","Griselda","spotify:album:13PxecK9Bart7ir6STafXP","WWCD","2019-11-29","1","6","265408","true","54","spotify:user:1227113","2020-03-04T17:37:27Z","boom bap,buffalo hip hop","0.548","0.735","1","-4.903","1","0.45","0.201","0.000491","0.0952","0.22","75.115","4"
"spotify:track:1qzlwbV6SwHYOR3mhu6ZEd","'97 Hov","spotify:artist:5Matrg5du62bXwer29cU5T","Benny The Butcher","spotify:album:5OsHMGOg6lRV9REoVxbcWA","Tana Talk 3","2018-11-23","1","8","250736","true","52","spotify:user:1227113","2020-03-03T16:46:23Z","alternative hip hop,boom bap,buffalo hip hop,hip hop,rap,southern hip hop,trap,underground hip hop","0.462","0.517","1","-12.017","1","0.369","0.47","0","0.147","0.656","79.585","4"
"spotify:track:0r2aLoohhPKNZ9z6WkaYyp","18 Wheeler (feat. Pusha T)","spotify:artist:5Matrg5du62bXwer29cU5T, spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Benny The Butcher, Pusha T","spotify:album:5So31JibrTO74WvuCozsAb","The Plugs I Met","2019-06-21","1","6","161052","true","53","spotify:user:1227113","2020-03-04T17:53:41Z","alternative hip hop,boom bap,buffalo hip hop,hip hop,rap,southern hip hop,trap,underground hip hop,alternative hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,virginia hip hop","0.512","0.733","2","-7.8","0","0.244","0.00203","0.000253","0.349","0.739","75.356","4"
"spotify:track:0iBGPi1lbgUB0LZU2zUhVc","CITY WE FROM","spotify:artist:41yEdWozNYEzA2RfgYQHgr, spotify:artist:67gqUXxHedeUGDTxwBzdjS, spotify:artist:5v0XTlB9FqNvfBfnw8n5b0","CJ Fly, Conway the Machine, Statik Selektah","spotify:album:2U7WTYN6cSwFbr4qIZbhX7","GREW UP (feat. Haile Supreme)","2020-02-19","1","4","205092","true","8","spotify:user:1227113","2020-03-04T17:36:55Z","underground hip hop,alternative hip hop,boom bap,buffalo hip hop,hip hop,underground hip hop,alternative hip hop,boom bap,boston hip hop,hardcore hip hop,hip hop,southern hip hop,underground hip hop","0.463","0.872","10","-3.571","0","0.332","0.491","0","0.254","0.697","150.212","4"
"spotify:track:7tcfGGpgfIt2GiEAUa2BXY","GED (Gettin Every Dolla)","spotify:artist:75WcpJKWXBV3o3cfluWapK","Lute","spotify:album:2oPWnMpCxG3mCbGcIjmneE","GED (Gettin Every Dolla)","2020-02-04","1","1","155409","true","60","spotify:user:1227113","2020-03-04T17:46:28Z","north carolina hip hop,underground hip hop","0.809","0.58","5","-6.174","1","0.0996","0.00723","0.00000179","0.103","0.32","122.084","4"
"spotify:track:5PvVkf1Yuq3XyMqqjPiKPd","Been Away","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","spotify:album:3vi20DRHkqv4HyVg9Rt9wC","Fuck The World","2020-02-07","1","3","223629","true","69","spotify:user:1227113","2020-03-03T19:04:20Z","dmv rap,rap","0.602","0.5","8","-9.377","1","0.298","0.477","0.0000569","0.295","0.395","132.798","4"
"spotify:track:6XrRiRgDivf3Kv4CKuQh9o","MOSHPIT","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:7Cw4LObzgnVqSlkuIyywtI","DIE FOR MY BITCH","2019-07-19","1","6","176353","true","59","spotify:user:1227113","2020-03-04T17:38:53Z","hip hop,rap,trap,underground hip hop,vapor trap","0.764","0.649","1","-7.517","1","0.318","0.0196","0","0.131","0.335","135.036","4"
