"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4M2sYFUCDjgyMFRpWpnjWL","Get Bigger / Do U Luv","spotify:artist:6PEMFpe3PTOksdV4ZXUpbE","NxWorries","spotify:album:7v4ntSy3suhIs5Vy96GXVZ","Yes Lawd!","2016-10-21","1","9","243973","true","0","spotify:user:1227113","2017-05-09T16:16:47Z","hip hop,indie soul","0.527","0.776","10","-7.178","0","0.335","0.268","0.0000323","0.225","0.801","77.264","4"
"spotify:track:2QCwwCmyuoNvcaPfdTGCWM","Bahia Dreamin’","spotify:artist:6e7BQ0gM6o8ecMXRZkXxlZ","Karriem Riggins","spotify:album:7DXN77L7wC9ryDICsdtu8S","Headnod Suite","2017-02-24","1","24","130635","false","0","spotify:user:1227113","2017-05-30T21:25:24Z","alternative hip hop,indie jazz,wonky","0.418","0.648","2","-10.455","1","0.0351","0.402","0.858","0.0927","0.724","81.705","4"
"spotify:track:1kXl5briZuREfvxLVGotwQ","Sam Cooke & Marvin Gaye","spotify:artist:4YLUMAgNyttwx4hUHgtBtR, spotify:artist:1HMhQzj2QXxR40zGDdaK6y, spotify:artist:1Naqgo0HMRoumRP0e2MXD9","Blue Lab Beats, Kojey Radical, Tiana Major9","spotify:album:4WWfe0vNIJD7TTs3LFgHXi","Sam Cooke & Marvin Gaye","2017-05-05","1","1","245546","false","14","spotify:user:1227113","2017-05-28T15:38:22Z","indie jazz,indie soul,neo r&b,uk contemporary jazz,uk alternative hip hop,alternative r&b,chill r&b,indie r&b,uk contemporary r&b","0.799","0.547","11","-5.662","0","0.179","0.31","0.00000351","0.0827","0.662","95.052","4"
"spotify:track:1l8qiTCBkyOXLiFukDPK4G","Zone 3","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI, spotify:artist:0LvrBHn6qfyDUvJYmrHvfo, spotify:artist:0bL9uzApOaTk3zlIqw8F3x, spotify:artist:73zXJiqrgwNqW8aCavXnV7","Little Simz, Tilla, Josh Arce, Chuck 20","spotify:album:4G50FUTTI4fCDyrxP1UEer","Stillness in Wonderland","2016-12-16","1","11","222173","false","14","spotify:user:1227113","2017-05-30T17:46:22Z","escape room,indie soul,trap queen,uk alternative hip hop","0.624","0.676","1","-8.271","1","0.048","0.0647","0.0000168","0.298","0.55","132.127","4"
"spotify:track:4CMrgbzlHBRss2frjG3rTz","To You","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:4cuPfZ4xor2yMdakZOIReX","To You","2017-05-24","1","1","145787","false","0","spotify:user:1227113","2017-05-30T21:28:59Z","alternative hip hop,canadian modern jazz,escape room,funk,hip hop,indie soul","0.794","0.297","9","-16.232","0","0.0484","0.941","0.896","0.18","0.344","120.972","4"
"spotify:track:4RnvS1tmh1ERhjXX6dxv95","Language","spotify:artist:58uK0d4R5Rq4FDUNgNIFeI, spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Paperboy Fabe, Brent Faiyaz","spotify:album:2MsWCeQjZlSfHFjDm5DYR1","Language","2017-05-12","1","1","150360","true","62","spotify:user:1227113","2017-05-29T20:24:23Z","chill r&b,dmv rap,rap","0.62","0.721","4","-5.538","0","0.0887","0.0422","0.0075","0.563","0.77","169.904","4"
"spotify:track:2fadrikKAPlypHJWhvv8CM","Baldwin Park","spotify:artist:2ICR2m4hOBPhaYiZB3rnLW","Sonder","spotify:album:6N5Gc4oQGNp05JXfZi8E5H","Into","2017-01-27","1","5","95108","false","47","spotify:user:1227113","2017-05-30T21:32:11Z","alternative r&b,trap soul","0.724","0.297","5","-11.687","0","0.0508","0.612","0.797","0.191","0.388","125.003","3"
"spotify:track:4nrMpZVdy0wb13m2jNMJ3c","The Canvas","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:0ZroQbwXa65l6FNFNMpawN","Her Too","2017-02-10","1","2","173793","true","43","spotify:user:1227113","2017-05-30T21:38:47Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop","0.764","0.448","2","-14.135","0","0.0623","0.216","0.0000223","0.0747","0.88","116.096","4"
"spotify:track:3WELuDeU9RGKdKu0TDHk9e","Camelblues","spotify:artist:4GcpBLY8g8NrmimWbssM26","Mndsgn","spotify:album:3riaXSH2uoFbvhzfnRU3rW","Yawn Zen","2014-08-25","1","8","152984","false","0","spotify:user:1227113","2017-05-30T21:40:07Z","abstract beats,chillhop,indie jazz,indie soul,synth funk,vapor twitch,wonky","0.594","0.304","9","-15.353","0","0.029","0.947","0.198","0.0933","0.13","79.994","4"
"spotify:track:2TyCAfhwu5tRqFW8VnGMIL","Don't Touch My Hair (feat. Sampha)","spotify:artist:2auiVi8sUZo17dLy1HwrTU, spotify:artist:2WoVwexZuODvclzULjPQtm","Solange, Sampha","spotify:album:3Yko2SxDk4hc6fncIBQlcM","A Seat at the Table","2016-09-30","1","9","257546","true","60","spotify:user:1227113","2017-05-19T23:50:26Z","afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,pop rap,r&b,urban contemporary,alternative r&b,indie soul","0.823","0.411","0","-7.061","1","0.0557","0.409","0.00135","0.649","0.397","90.997","4"
