"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7y9Xospz6eMMJBtqELet7d","Yacht (K) [feat. Sik-K]","spotify:artist:4XDi67ZENZcbfKnvMnTYsI, spotify:artist:5DIi2JWfQPTKffaVBlIYRn","Jay Park, Sik-K","spotify:album:5itCMQKCHB6H9thK7asSHS","Yacht (K) [feat. Sik-K]","2017-07-17","1","1","246284","false","0","spotify:user:1227113","2018-05-01T23:24:33Z","k-pop,k-rap,korean r&b,k-pop,k-rap,korean r&b","0.726","0.772","10","-4.373","0","0.113","0.451","0","0.195","0.778","80.017","4"
"spotify:track:1ihIXI2MVklmJdPvIUxExZ","party (Shut Down) [feat. Crush]","spotify:artist:5DIi2JWfQPTKffaVBlIYRn, spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Sik-K, Crush","spotify:album:48u7IqYux9zf5sUWVb6qcm","H.A.L.F (Have.A.Little.Fun)","2017-06-05","1","2","216113","true","0","spotify:user:1227113","2018-04-26T03:29:52Z","k-pop,k-rap,korean r&b,k-pop,korean r&b","0.702","0.587","8","-5.816","1","0.122","0.27","0","0.0631","0.773","140.001","4"
"spotify:track:1iArAuiiDPjtZcwO33YeLF","Too Much (Feat. DEAN)","spotify:artist:2e4G04F77jxVuDYo44TCSm","Loco","spotify:album:1xREcRvJFgP1rJMfRvh2aI","BLEACHED","2017-05-25","1","6","190957","false","55","spotify:user:1227113","2018-04-26T03:14:50Z","k-pop,korean pop,korean r&b","0.747","0.618","11","-4.212","1","0.047","0.0742","0","0.107","0.621","102.038","4"
"spotify:track:06oV5AQji6TJQvIRpS78Pq","Wyjb (Prod. By Louie Lastic)","spotify:artist:2MtHuR0W2idZdF7x4wddqq, spotify:artist:4ls4GQkl0kkBlAWq2DgS0z","GIRIBOY, OLNL","spotify:album:0zQPyFrwFl2QdnzuldY3CC","Graduation","2017-12-20","1","1","184131","false","20","spotify:user:1227113","2018-04-29T19:43:50Z","k-indie,k-rap,korean r&b,k-rap","0.893","0.798","6","-3.142","0","0.375","0.243","0.00000414","0.275","0.628","108.011","4"
"spotify:track:0JJeoiCAa1hwcBsPxBN2w4","Sunday (feat. HEIZE, Jay Park)","spotify:artist:29HqjVbJr3vsc2l6BTI4eB","GroovyRoom","spotify:album:3046u4AKfbzmAxslPFkiP7","EVERYWHERE","2017-07-24","1","2","182300","false","52","spotify:user:1227113","2018-04-29T20:11:11Z","k-rap,korean pop,korean r&b","0.693","0.797","7","-5.694","0","0.193","0.0824","0","0.108","0.661","102.908","4"
"spotify:track:5tEouf2s1SPwAIkOHnvWtQ","Aqua Man","spotify:artist:7IrDIIq3j04exsiF3Z7CPg","Beenzino","spotify:album:6GzOG46xmgSfB0PQdsnMDU","24:26 (5th Anniversary Remaster Edition)","2017-07-11","1","4","226612","false","0","spotify:user:1227113","2018-04-29T19:37:35Z","k-indie,k-rap,korean pop,korean r&b","0.694","0.649","6","-4.608","0","0.206","0.346","0","0.226","0.584","94.977","4"
"spotify:track:1PDfg5XSNpgC7Od0iMozfE","? (물음표) (feat. 최자 of 다이나믹듀오, Zion.T)","spotify:artist:4QDcs3XrA8uHUZ7Xt9Ytep, spotify:artist:5HenzRvMtSrgtvU16XAoby, spotify:artist:3vvgBPro7lDMdReL1Ct2Hx","Primary, Zion.T, CHOIZA","spotify:album:289VTvlFMv3xlwBK7vOJDx","Primary and the Messengers","2013-08-02","2","2","194040","false","0","spotify:user:1227113","2018-04-29T19:36:48Z","k-indie,k-rap,korean city pop,korean pop,k-indie,k-pop,k-rap,korean pop,korean r&b","0.702","0.738","3","-3.481","0","0.125","0.224","0","0.119","0.922","95.977","4"
"spotify:track:1dA1tlzwcJ3YDYsSul1m06","Jenga (feat. Gaeko)","spotify:artist:5dCvSnVduaFleCnyy98JMo, spotify:artist:0tkHE1pQ5ZCgQb8WZ0ba79","HEIZE, Gaeko","spotify:album:5Fs2dlwUz1zkNcUPu6KaKF","Wish & Wind","2018-03-08","1","1","210158","false","53","spotify:user:1227113","2018-04-29T19:38:00Z","k-pop,korean pop,korean r&b,k-rap,korean r&b","0.711","0.73","1","-4.979","0","0.0436","0.269","0.00000234","0.109","0.604","93.015","4"
"spotify:track:1K3N3pF1uu1WPRD2QFEz06","be by my side","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","spotify:album:6Fhp3DHf8QeJ77Buf1KLjA","be by my side","2017-12-20","1","1","213320","false","0","spotify:user:1227113","2018-04-26T03:17:10Z","k-pop,korean r&b","0.348","0.576","5","-8.326","1","0.12","0.61","0.000223","0.205","0.453","179.175","4"
"spotify:track:7Bw9K1ini1FmIZ5F0W9L5y","Never Be Stopped (feat. Rexx Life Raj)","spotify:artist:6kEshovvQbjyh6RlJxxMQV, spotify:artist:5rDXcEIODl8TgGTgrntnjX","Marteen, Rexx Life Raj","spotify:album:51lEd4Hi53W1ks52ICPCcn","NOTHANKYOU.","2018-02-23","1","6","205851","false","25","spotify:user:1227113","2018-04-30T20:38:40Z","cali rap,trap soul,underground hip hop","0.648","0.503","1","-6.729","0","0.443","0.112","0.00000539","0.0832","0.736","172.324","4"
"spotify:track:047OwQQwyVF6plMgNIV6vR","WTF (When Too Far)","spotify:artist:1MAUqH0haKBYbjpknTfreY","PENOMECO","spotify:album:2FwUxt5jYvcQc3ZgZRaeEL","FILM","2017-03-01","1","2","207657","false","36","spotify:user:1227113","2018-04-29T21:19:05Z","k-pop,k-rap,korean pop,korean r&b","0.708","0.704","9","-6.256","1","0.0629","0.36","0","0.131","0.553","93.021","4"
"spotify:track:5HIKTopIsEr4NZM99yytdo","heyahe","spotify:artist:36Hd8M3GV2FLpHUEDH6bCz","ONE","spotify:album:3xfYC3XF0qsR4D11P07llX","ONE DAY","2017-07-11","1","2","185917","false","48","spotify:user:1227113","2018-04-29T19:35:53Z","k-rap","0.701","0.775","5","-4.312","0","0.0349","0.0313","0","0.213","0.489","126.979","4"
"spotify:track:5K209mgnrnMPLNIluT9m77","Still (Feat. Crush)","spotify:artist:2e4G04F77jxVuDYo44TCSm","Loco","spotify:album:1xREcRvJFgP1rJMfRvh2aI","BLEACHED","2017-05-25","1","9","276440","false","50","spotify:user:1227113","2018-04-26T03:26:10Z","k-pop,korean pop,korean r&b","0.713","0.731","11","-5.558","0","0.0383","0.0527","0","0.0981","0.417","134.04","4"
"spotify:track:6yYAcOlhsYR9jVZPYoHvYc","POST IT","spotify:artist:2e4G04F77jxVuDYo44TCSm, spotify:artist:4XDi67ZENZcbfKnvMnTYsI","Loco, Jay Park","spotify:album:5j9o6fcQjKHAyRDhdfS9aI","POST IT","2018-03-14","1","1","226989","false","46","spotify:user:1227113","2018-04-27T19:48:19Z","k-pop,korean pop,korean r&b,k-pop,k-rap,korean r&b","0.783","0.586","11","-6.521","1","0.0926","0.508","0.00000507","0.104","0.751","80.999","4"
"spotify:track:14p5EKgbPx4U3P1j5JNHeh","Cigarette (Feat. Tablo, MISO)","spotify:artist:0dTj3SqwE8kPnCzyzvYzhT, spotify:artist:3NdOtTPPaXrCyC7Lpmzyhv, spotify:artist:04xEkodoWyFji8icX911jM","offonoff, Tablo, Miso","spotify:album:4crHesv3PHfci2PBJ6m9sj","boy.","2017-07-24","1","2","241765","false","63","spotify:user:1227113","2018-04-29T19:42:44Z","chill r&b,korean r&b,k-pop,k-rap,korean r&b,korean electropop,korean r&b","0.776","0.392","5","-10.493","0","0.207","0.271","0.00000221","0.14","0.438","87.98","4"
"spotify:track:6ToAD7ajJidQTDn72OncDG","꺼내 먹어요 (Eat)","spotify:artist:5HenzRvMtSrgtvU16XAoby","Zion.T","spotify:album:3JdBY835ai83ZEVwvBsIDN","꺼내 먹어요 (Eat) - Single","2015-05-19","1","1","161624","false","0","spotify:user:1227113","2018-04-29T19:35:58Z","k-indie,k-pop,k-rap,korean pop,korean r&b","0.628","0.284","4","-11.629","1","0.102","0.544","0.00000501","0.121","0.354","91.131","4"
"spotify:track:7cwu0oTrhXX6JG1kcIZo0M","She’s a Baby","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","ZICO","spotify:album:2BKcwjlM9kM2y4rzmFW1vN","She’s a Baby","2017-04-13","1","1","164980","false","0","spotify:user:1227113","2018-04-29T19:41:57Z","k-pop,k-rap,korean pop,korean r&b","0.747","0.441","11","-10.032","1","0.454","0.556","0","0.117","0.368","76.933","4"
"spotify:track:1VrpAZL277l0gnTBhSd3TH","Sooljalee","spotify:artist:2MtHuR0W2idZdF7x4wddqq","GIRIBOY","spotify:album:3fylnuzCT754FWABhWfiHB","Sooljalee","2016-11-16","1","1","202603","false","50","spotify:user:1227113","2018-04-29T19:43:10Z","k-indie,k-rap,korean r&b","0.894","0.508","6","-5.4","1","0.224","0.0538","0.00000945","0.0745","0.24","90.002","4"
"spotify:track:59xYro2oalqGgVkGPjsPvL","I'll Find You (feat. June)","spotify:artist:5uVgoepJHC3fbOohI5gXc4","Jung Jin Woo","spotify:album:4amCjiCwG9RuerbMamIo1a","Reminiscence","2017-06-16","1","2","241887","false","0","spotify:user:1227113","2018-04-26T03:14:39Z","korean r&b","0.369","0.453","3","-8.442","0","0.148","0.387","0","0.121","0.235","84.079","4"
"spotify:track:2I0rpXo2lFEbQR2b4YgO6l","In My Phone","spotify:artist:2YZhod6BAbnBKh2nPdUejY","SOMA","spotify:album:1VYwesv824U6g0Xyrqhpxx","The Letter","2017-11-01","1","4","200277","false","0","spotify:user:1227113","2018-04-26T03:22:38Z","korean r&b","0.577","0.341","10","-13.457","0","0.0966","0.121","0.000949","0.0842","0.177","140.036","4"
"spotify:track:6z1kLsntE7FuzKZHZWrXYN","instagram","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","spotify:album:1wW2yfORAbOEfn2Et1q687","instagram","2017-12-26","1","1","255728","false","71","spotify:user:1227113","2018-04-26T03:17:59Z","k-pop,korean r&b","0.463","0.566","8","-6.195","1","0.145","0.196","0","0.284","0.219","93.921","4"
"spotify:track:2IgbYlOlFpiSFYnsqB39lM","Jasmine","spotify:artist:0siBQaURCli5wn2lqv8WZg","DPR LIVE","spotify:album:2J4lOWOjWUYBRJoShrhAGk","Jasmine","2017-10-08","1","1","201510","false","66","spotify:user:1227113","2018-04-29T19:44:26Z","chill r&b,k-pop,korean r&b","0.597","0.486","8","-5.893","1","0.0986","0.331","0","0.14","0.397","137.68","4"
