"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3F7bLhzXdcv2WOd94tavF4","Japanese Denim","spotify:artist:06U7PNo4pPFgmTC2Yqr2Rx","Nicholas Yee","spotify:album:74bMlgNld6zLSzvLt7ScSa","Japanese Denim","2018-04-28","1","1","259787","false","29","spotify:user:1227113","2018-05-10T16:11:34Z","classify","0.186","0.257","3","-11.923","1","0.036","0.862","0.926","0.122","0.143","141.314","4"
"spotify:track:5VVF9VkYnqqTMYjDmwtoCG","Love is… - Instrumental","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:2Z6TBo5bKYhptQvultVCH8","Absence ′side B′","2017-06-06","1","4","174434","false","0","spotify:user:1227113","2018-05-10T16:11:18Z","k-indie,korean pop,korean r&b","0.706","0.108","1","-13.258","1","0.0547","0.995","0.952","0.114","0.286","113.837","3"
"spotify:track:2quRZ1fs9tcR5sv7m6taSP","Bleach","spotify:artist:2N79L5eT2Xraec4UJsi2Fz","Justice Der","spotify:album:5wc1XEogSJeFO37RtAGaAc","Favorites","2018-05-06","1","4","195214","false","45","spotify:user:1227113","2018-05-10T16:12:30Z","lo-fi cover","0.546","0.0669","1","-26.257","0","0.0359","0.989","0.961","0.105","0.462","149","4"
"spotify:track:5r97P0ILq0c0cEkiNMR16X","Dear. Caramel (feat. Jung Yoon Choi)","spotify:artist:0BpbTGO68X4wV2aLBzjnhL, spotify:artist:1jpRO6feBr1rjOCSHzu3Xi","LambC, Choi Jungyoon","spotify:album:2Hj1CHpYxGpj4by92fu9iz","Absence 'Side A'","2017-03-07","1","3","245674","false","0","spotify:user:1227113","2018-05-10T16:10:32Z","k-indie,korean pop,korean r&b","0.899","0.194","1","-8.523","0","0.0594","0.644","0.00346","0.108","0.663","112.067","4"
"spotify:track:5bJ3cuvn0fMdSV8tkJVpNY","Brakelights","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","spotify:album:5eKr93YptXrXBHGHG9VuLd","Brakelights","2017-08-08","1","1","168387","false","0","spotify:user:1227113","2018-05-14T20:22:05Z","alternative r&b,bedroom pop,bedroom soul,indie r&b,pop","0.693","0.421","7","-7.735","1","0.0386","0.59","0.0217","0.0838","0.259","124.062","3"
"spotify:track:1wmQEa5wqsnhBaNNYVwet5","Fine Lines","spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Jorja Smith","spotify:album:1hfSMy89JzdUmHjxDFXlZ1","Insecure: Music from the HBO Original Series, Season 2","2017-09-08","1","16","215666","false","55","spotify:user:1227113","2018-05-14T20:25:52Z","pop,uk contemporary r&b","0.523","0.687","4","-5.066","1","0.375","0.62","0","0.139","0.562","78.509","4"
"spotify:track:3L64u7Qu3Y97YKfsCKcxM9","Telephone Wires","spotify:artist:5xSNrzS0y7HkxSdHeFYaFF, spotify:artist:5J4zBfajQeBkyZuicSOL7Q","Ema Jean, Big Menu","spotify:album:5fkOGprUESSeQZk2louW7U","Telephone Wires","2018-02-23","1","1","246675","false","11","spotify:user:1227113","2018-05-14T20:25:40Z","rap catala","0.594","0.343","2","-11.311","1","0.0797","0.553","0.00114","0.0885","0.15","73.541","4"
"spotify:track:2BiPDpIgxZVLuP5K19vOci","Soul Jam","spotify:artist:0sHN89qak07mnug3LVVjzP","Big Words","spotify:album:5jrsRHRAmetu5e7RRBoxj7","Hollywood, a Beautiful Coincidence","2017-09-22","1","4","266702","false","43","spotify:user:1227113","2018-05-14T20:26:00Z","australian r&b","0.625","0.601","8","-5.068","0","0.0587","0.498","0.000005","0.117","0.276","75.071","4"
"spotify:track:3olEHRL4qDFHDjAt1TFAWq","Sunrise / Beautiful","spotify:artist:13Kd75NSHSp9lB4CaqPMOV, spotify:artist:24icoQNJSEWNu3XvqKBR68","Ta-ku, Jordan Rakei","spotify:album:528uB5F8mSs0ArsynbMwyj","Songs To Make Up To","2015-07-10","1","5","336731","false","0","spotify:user:1227113","2018-05-14T20:23:16Z","alternative r&b,ambeat,indie soul,vapor soul,vapor twitch,alternative r&b,indie jazz,indie r&b,indie soul,neo r&b,soul","0.431","0.614","7","-9.166","0","0.149","0.182","0.475","0.214","0.0399","76.027","4"
"spotify:track:1aoVp7cBSUFvhQPdP1LIaE","Golden (Prod. Slom)","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL, spotify:artist:4XDi67ZENZcbfKnvMnTYsI","Hoody, Jay Park","spotify:album:4qaiRlHSHe70Nji828j7NQ","Golden","2018-04-27","1","2","220348","false","36","spotify:user:1227113","2018-05-16T01:49:46Z","k-indie,k-pop,k-rap,korean pop,korean r&b,k-pop,k-rap,korean r&b","0.687","0.696","6","-4.719","1","0.173","0.355","0","0.104","0.842","80.044","4"
