"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5qSl4UBnzeAGOGWJDUznWW","Overworld","spotify:artist:7IM7p29X5Jz8mQCJqg0rYB","eugene cam","spotify:album:5I4MXBDHXi6qTPmM2HSgzM","Overworld","2018-03-06","1","1","172815","false","28","spotify:user:1227113","2018-05-14T20:43:00Z","future bass,phonk","0.718","0.517","4","-8.612","0","0.0368","0.352","0.308","0.0821","0.564","125.042","4"
"spotify:track:53s4oN2H3pBaKLXJCboqcR","Keep My Cool","spotify:artist:1GJNYStWVSNPuL019jHbMf","Nauuda","spotify:album:2Ch727Y97OkAOJlQVavXrA","Keep My Cool","2018-05-11","1","1","179117","false","0","spotify:user:1227113","2018-05-14T20:41:26Z","","0.922","0.571","9","-8.143","0","0.155","0.0948","0.00151","0.0984","0.422","121.094","4"
"spotify:track:6BvtitRX5lQC87YlA6rq0n","Bubblin","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:6N1y1a5qnqN8pBkizOdMvk","Bubblin","2018-05-17","1","1","209093","true","64","spotify:user:1227113","2018-05-18T02:30:57Z","escape room","0.568","0.873","1","-5.22","1","0.265","0.0731","0","0.367","0.547","106.783","5"
"spotify:track:13FD9OCoUAZYeuft5rQ6Ud","Want U So Bad","spotify:artist:2fo0F81pRzdXjmWP6MkQqB","Gilligan Moss","spotify:album:5wlUNqfsFVb3cCj9GlGDMd","Want U So Bad","2018-05-16","1","1","247160","false","48","spotify:user:1227113","2018-05-18T02:30:57Z","","0.838","0.62","7","-7.189","0","0.038","0.251","0.0618","0.247","0.712","117.016","4"
"spotify:track:4vvFklYoPTicMqbYUo7qyG","Conexão","spotify:artist:0tbeZu9lv8YEKSQ9tZSslu","Amber Mark","spotify:album:7ETN1PBhrsMl5U96fCCCvn","Conexão - EP","2018-05-04","1","1","299131","false","56","spotify:user:1227113","2018-05-18T03:04:07Z","alternative r&b,indie r&b,indie soul,neo soul,nyc pop","0.855","0.659","0","-6.451","1","0.0642","0.0216","0.156","0.075","0.286","130.967","4"
"spotify:track:5qcwzdhDQjHjmu12gOLjY0","You","spotify:artist:7tr9pbgNEKtG0GQTKe08Tz","Mk.gee","spotify:album:25mNgv9kcDpET9UWcCxu16","Pronounced McGee","2018-05-18","1","4","310597","false","0","spotify:user:1227113","2018-05-18T12:02:30Z","alternative r&b,indie r&b,indie soul,vapor soul","0.809","0.656","5","-6.67","1","0.297","0.524","0.00455","0.075","0.786","88.934","4"
"spotify:track:60d9kj6p9xuOSvQpv5l2xP","Dancing with the Devil","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","spotify:album:3aE6OSkEmZQLBiu9lFwqHD","Dancing with the Devil","2018-05-16","1","1","162473","true","0","spotify:user:1227113","2018-05-18T12:03:18Z","indonesian r&b,pop","0.761","0.571","5","-8.166","0","0.0416","0.238","0.00336","0.121","0.437","102.062","4"
"spotify:track:2tOnEndfgZ7IS7bSHfClj5","What I Need","spotify:artist:4eSmFyK9qaLBUuDpFfli0X","Yugi Boi","spotify:album:1I1gAYBTfbYA8sE0688zPt","What I Need","2018-05-13","1","1","120005","false","5","spotify:user:1227113","2018-05-18T12:03:34Z","future bass","0.747","0.662","0","-9.097","0","0.056","0.57","0.104","0.345","0.626","118.004","4"
"spotify:track:1ZEwtauaLu1s6LlCSpo04U","Passionfruit - Recorded at Spotify Studios NYC","spotify:artist:2vJObElaIZWYDLpiXiJMo9","Cornelius","spotify:album:5DqAR5V10hgBupy2yesNzW","Spotify Singles","2018-05-16","1","2","266000","false","22","spotify:user:1227113","2018-05-18T12:03:57Z","indietronica,shibuya-kei","0.711","0.565","6","-8.764","1","0.0291","0.414","0.722","0.307","0.65","112.022","4"
"spotify:track:0Dx2JcexaaBU11URKp9Fc1","Stop (WWW) - Radio Edit","spotify:artist:1gR0gsQYfi6joyO1dlp76N","Justice","spotify:album:4bw1snvyLVGm7Hk5NtRxik","Stop (WWW) [Radio Edit]","2018-05-07","1","1","209826","false","40","spotify:user:1227113","2018-05-18T12:06:00Z","alternative dance,dance-punk,disco house,electro house,electronica,filter house,new rave","0.511","0.524","1","-8.342","1","0.0303","0.12","0.073","0.237","0.491","85.03","4"
"spotify:track:0TOczEFmx4QNrX0ZMbzICq","Holiday Love","spotify:artist:4sOcMLlr0hMwrLXScjAgoq, spotify:artist:24icoQNJSEWNu3XvqKBR68","James Chatburn, Jordan Rakei","spotify:album:4LvXTshXokdqtgyRyRReo8","Damen","2017-11-22","1","3","216440","false","0","spotify:user:1227113","2018-05-21T12:10:35Z","australian r&b,neo r&b,alternative r&b,indie jazz,indie r&b,indie soul,neo r&b,soul","0.711","0.327","7","-9.826","0","0.0462","0.278","0.000409","0.308","0.246","84.951","4"
"spotify:track:1J9oc0VRnXwUkm2hQuhEuY","Queens","spotify:artist:54z6Yu7hq8ZTv6m6d1Xi5J","Rulers","spotify:album:29ntlXflWAR8xQpiU74dQW","Queens","2017-09-06","1","1","235031","false","13","spotify:user:1227113","2018-05-21T19:34:39Z","","0.577","0.58","5","-9.303","1","0.187","0.267","0.0141","0.0938","0.712","174.015","4"
"spotify:track:0N4EZrGs40p7fRVEziYO0Z","pop, lock & lemon drops","spotify:artist:1lIt2k1cdx4nMUmgn9Kv0J","pinkcaravan!","spotify:album:5PcKlJyQvxgikyHtZT5UQN","pop, lock & lemon drops","2017-12-05","1","1","171879","true","36","spotify:user:1227113","2018-05-21T19:34:56Z","","0.885","0.475","11","-5.6","1","0.404","0.54","0","0.0812","0.606","139.99","4"
"spotify:track:77pPkPeEqcdGavUxbEZUbg","Potential (feat. Rexx Life Raj, Ciscero & Mikos Da Gawd)","spotify:artist:2qcYVZNPHcOpwMUYZvA7Lw, spotify:artist:5rDXcEIODl8TgGTgrntnjX, spotify:artist:5oSCIcpPdrO3UhTMATxkYL, spotify:artist:0LK5WvQVQgLZFU4Qc9XtXl","JULiA LEWiS, Rexx Life Raj, Ciscero, Mikos Da Gawd","spotify:album:4HmrLy3QQHenO2Ao4ICt8L","Potential (feat. Rexx Life Raj, Ciscero & Mikos Da Gawd)","2017-12-12","1","1","195866","true","14","spotify:user:1227113","2018-05-21T19:35:20Z","cali rap,trap soul,underground hip hop,dmv rap","0.78","0.522","4","-7.332","0","0.0923","0.151","0.000011","0.16","0.238","110.011","4"
"spotify:track:4GckMh9IKnlFV2TPsdb3LQ","Waters (Blue Screens)","spotify:artist:20HgCJ31lOPbmebEghusyd, spotify:artist:04MT0zjrws8XvhH6cF3T2D","DUVV, Hae","spotify:album:6YNeDtftyBblfBjKJkYaGO","WITH YOU IN MIND","2017-08-25","1","2","209510","false","18","spotify:user:1227113","2018-05-21T19:37:14Z","","0.494","0.502","1","-9.589","0","0.193","0.396","0.00296","0.136","0.08","92.118","4"
"spotify:track:4LynTt7GUWWMogEgkX1Nx8","She","spotify:artist:5q4pPTzefHs5kUuBSQSHbJ, spotify:artist:5iRM7qYip6UNfQaPe2reCz","El Train, Barney Artist","spotify:album:1nsv2gvmy0YJo7NbHczOUa","She","2018-05-18","1","1","151235","false","14","spotify:user:1227113","2018-05-22T14:36:08Z","uk contemporary r&b,indie soul,uk alternative hip hop","0.621","0.702","3","-8.216","0","0.0576","0.304","0","0.176","0.338","115.95","4"
"spotify:track:3Pe6l9HEim5gbwmXKjKp3g","New Coupe, Who Dis? (feat. Mick Jenkins)","spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:1FvjvACFvko2Z91IvDljrx","Smino, Mick Jenkins","spotify:album:4NLZA5XSAZ06npFEsmyCu5","New Coupe, Who Dis? (feat. Mick Jenkins)","2018-05-22","1","1","229253","true","41","spotify:user:1227113","2018-05-23T18:56:54Z","alternative r&b,hip hop,rap,underground hip hop,chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop","0.613","0.51","11","-10.441","0","0.476","0.662","0","0.313","0.695","64.856","4"
"spotify:track:2MF4HtZHBoUliOi9nOAbS0","Purity (feat. Frank Ocean)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:2h93pZq0e7k5yf4dywlkpM","A$AP Rocky, Frank Ocean","spotify:album:3MATDdrpHmQCmuOcozZjDa","TESTING","2018-05-25","1","15","262360","true","71","spotify:user:1227113","2018-05-25T13:14:35Z","east coast hip hop,hip hop,rap,trap,underground hip hop,alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.593","0.37","11","-11.674","0","0.397","0.832","0","0.108","0.312","135.391","4"
