"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5QTdOvIF2ehBMZpSIIGzIo","Honey","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","Kehlani","spotify:album:2D37uNhXgherfImusGBKTx","Honey","2017-10-06","1","1","199209","true","74","spotify:user:1227113","2018-05-06T15:55:12Z","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary","0.606","0.24","3","-7.102","1","0.0369","0.772","0","0.0819","0.526","96.792","4"
"spotify:track:6NblUCwJXYkQlQ6LhcmSlQ","Ooh Nah Nah (feat. Masego)","spotify:artist:3QTDHixorJelOLxoxcjqGx, spotify:artist:3ycxRkcZ67ALN3GQJ57Vig","SiR, Masego","spotify:album:4RmDIqdJ2mgmOuEvtnu8fl","Ooh Nah Nah (feat. Masego)","2017-01-23","1","1","240000","true","63","spotify:user:1227113","2018-05-09T01:48:39Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop,alternative r&b,indie soul","0.85","0.273","7","-11.567","0","0.278","0.052","0.00000222","0.104","0.572","116.894","4"
"spotify:track:2vLwhcsvRd1f2ETft1kWDN","Treehome95 (feat. Coco Owino & Erykah Badu)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:1DajYN827JuEA1bE1VkJnR, spotify:artist:7IfculRW2WXyzNQ8djX8WX","Tyler\, The Creator, Coco Owino, Erykah Badu","spotify:album:40QTqOBBxCEIQlLNdSjFQB","Wolf","2013-04-01","1","16","180213","true","54","spotify:user:1227113","2018-05-06T15:57:04Z","hip hop,rap,afrofuturism,hip hop,neo soul,r&b,soul,urban contemporary","0.721","0.539","11","-8.726","1","0.362","0.217","0.00257","0.419","0.377","81.971","4"
"spotify:track:5QvxufjYSHVZoNLhEOL9AR","The List","spotify:artist:1VgjAK52kjkQJQQRhTn02t","Moonchild","spotify:album:4bmMeqggIzCcXbuTwZNQ8S","Voyager","2017-05-26","1","6","305760","false","0","spotify:user:1227113","2018-05-06T15:55:18Z","indie soul,neo r&b","0.436","0.341","0","-12.329","1","0.266","0.842","0.0489","0.248","0.325","83.466","4"
"spotify:track:5fQBa4wkmq28xpSLOQ202K","Normal Girl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","2017-06-09","1","12","253586","true","72","spotify:user:1227113","2018-05-06T15:57:29Z","pop,pop rap,rap","0.624","0.532","0","-7.146","1","0.124","0.269","0.0000517","0.158","0.362","76.453","4"
"spotify:track:0vm79Gwh2cDnlNHIkAoSuG","Belong to You (feat. 6LACK)","spotify:artist:30DhU7BDmF4PH0JVhu8ZRg, spotify:artist:4IVAbR2w4JJNJDDRFP3E83","Sabrina Claudio, 6LACK","spotify:album:600IN6kN8g8YODugNh9k25","Belong to You (feat. 6LACK) [Remix]","2017-10-04","1","1","185617","false","35","spotify:user:1227113","2018-05-06T15:54:50Z","alternative r&b,pop,alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap","0.605","0.553","10","-10.845","0","0.101","0.274","0.0152","0.184","0.62","152.076","4"
"spotify:track:63Ly2sEzloc9s0yAXlMi6r","Warm Water - Snakehips Remix","spotify:artist:2xe8IXgCTpwHE3eA9hTs4n, spotify:artist:2FwJwEswyIUAljqgjNSHgP","BANKS, Snakehips","spotify:album:41xJklJV7uqDzg9teggeR6","Warm Water (Snakehips Remix)","2013-08-13","1","1","253584","false","58","spotify:user:1227113","2018-05-06T15:54:35Z","alternative r&b,art pop,dance pop,electropop,indie poptimism,pop,vapor soul,dance pop,edm,electro house,electropop,indie poptimism,pop,pop dance,tropical house","0.511","0.678","4","-6.858","0","0.869","0.241","0","0.0948","0.405","212.137","4"
"spotify:track:3PFaFVWq5wucLu6s4baj9D","Girl (feat. KAYTRANADA)","spotify:artist:7GN9PivdemQRKjDt4z5Zv8, spotify:artist:6qgnBH6iDM91ipVXv28OMu","The Internet, KAYTRANADA","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","2015-06-26","1","7","415613","true","68","spotify:user:1227113","2018-05-09T01:48:38Z","alternative r&b,escape room,indie soul,lgbtq+ hip hop,neo soul,escape room,indie soul,lgbtq+ hip hop","0.568","0.42","7","-11.169","0","0.276","0.536","0.124","0.101","0.453","79.89","4"
"spotify:track:6PktsUMUtMAu8GRTmeH9Vy","Do U Wrong (feat. Syd)","spotify:artist:5YZ5AExR68U3ZblH6HcO6B, spotify:artist:3jk39CGeaaSO3FPKNx1RUx","Leven Kali, Syd","spotify:album:4xHJhyBJJCoW8QpHZHPYDC","Do U Wrong (feat. Syd)","2018-01-19","1","1","280253","false","0","spotify:user:1227113","2018-05-06T15:56:14Z","alternative r&b,chill r&b,indie r&b,indie soul,alternative r&b,lgbtq+ hip hop","0.71","0.458","11","-8.641","1","0.159","0.182","0.0000146","0.0949","0.317","78.899","4"
"spotify:track:3DdBQIpZ8gx7Zph2uUyKry","Something New","spotify:artist:3QTDHixorJelOLxoxcjqGx, spotify:artist:0zanHkxN0P38oWegA8iSQA","SiR, Etta Bond","spotify:album:5zdFKRmlSDwAMZ5NFVGbx9","November","2018-01-19","1","5","229218","false","48","spotify:user:1227113","2018-05-06T15:54:13Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop,alternative r&b,chill r&b,indie r&b,indie soul,uk contemporary r&b","0.572","0.642","3","-7.827","1","0.174","0.108","0.0114","0.468","0.377","74.767","4"
