"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6NNEFEJpri1AZWHhqupwTq","Insane (Single Edit)","spotify:artist:02zPEtdzUWnPToEVLRiQ7e","Madison McFerrin","spotify:album:0mHl6QM56LQmusYD1h1FpK","Insane (Single Edit)","2018-02-02","1","1","264166","false","0","spotify:user:1227113","2018-05-02T21:52:10Z","a cappella,alternative r&b,indie jazz,indie soul,neo r&b","0.647","0.445","5","-10.453","1","0.372","0.918","0","0.148","0.169","143.936","4"
"spotify:track:109m7f8cne4faUdPgT9GX4","Gotta Be Your Lover","spotify:artist:7LOW1cB3NuRxZsxIo7g05p","Jon Bap","spotify:album:0fL4KIHFg2MYV95x6n8qyo","What Now?","2016-07-29","1","5","203350","false","20","spotify:user:1227113","2018-05-02T21:51:09Z","bedroom pop","0.567","0.301","7","-11.343","0","0.46","0.531","0.0723","0.124","0.683","141.365","5"
"spotify:track:0rjwEPn4OJMSPf4LCwwUbY","Plush Seats","spotify:artist:6vaDFcFzTyOXlZKIYoe3tB","Calvin Valentine","spotify:album:5UG7wcHOaSbvn4OkadphqN","Plush Seats","2018-03-09","1","18","120042","false","8","spotify:user:1227113","2018-05-02T22:00:05Z","","0.512","0.45","8","-4.664","1","0.191","0.657","0.00857","0.124","0.395","88.374","4"
"spotify:track:2TyCAfhwu5tRqFW8VnGMIL","Don't Touch My Hair (feat. Sampha)","spotify:artist:2auiVi8sUZo17dLy1HwrTU, spotify:artist:2WoVwexZuODvclzULjPQtm","Solange, Sampha","spotify:album:3Yko2SxDk4hc6fncIBQlcM","A Seat at the Table","2016-09-30","1","9","257546","true","60","spotify:user:1227113","2018-05-02T16:57:58Z","afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,pop rap,r&b,urban contemporary,alternative r&b,indie soul","0.823","0.411","0","-7.061","1","0.0557","0.409","0.00135","0.649","0.397","90.997","4"
"spotify:track:7tlAWur1RNnqWbuoL5qWqG","Interlude: This Moment","spotify:artist:2auiVi8sUZo17dLy1HwrTU","Solange","spotify:album:3Yko2SxDk4hc6fncIBQlcM","A Seat at the Table","2016-09-30","1","10","49453","false","44","spotify:user:1227113","2018-05-02T16:57:58Z","afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,pop rap,r&b,urban contemporary","0.318","0.658","9","-7.246","1","0.0685","0.943","0.0000137","0.51","0.65","84.915","5"
"spotify:track:4bEcoz1OcfMgUbp2ft8ieQ","911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:2h93pZq0e7k5yf4dywlkpM, spotify:artist:57vWImR43h4CaDao012Ofp","Tyler\, The Creator, Frank Ocean, Steve Lacy","spotify:album:2nkto6YNI4rUYTLqEwWJ3o","Flower Boy","2017-07-21","1","10","255653","true","74","spotify:user:1227113","2018-05-02T16:59:30Z","hip hop,rap,alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop,afrofuturism,alternative r&b,rap","0.48","0.61","0","-7.042","1","0.305","0.0456","0","0.313","0.297","90.034","4"
"spotify:track:0dWOFwdXrbBUYqD9DLsoyK","BLEACH","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:5c2AzoNyr46fCQM5d8mxE0","SATURATION III","2017-12-15","1","7","273151","true","76","spotify:user:1227113","2018-05-02T16:59:52Z","boy band,hip hop,rap","0.595","0.657","1","-6.498","0","0.183","0.462","0.000597","0.437","0.718","156.093","4"
"spotify:track:371H6HjS4SXGbQ9IVfFUIL","Lens","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:5F4I5eUqVK1CpQbzt1ntMC","Lens","2017-04-23","1","1","227654","true","61","spotify:user:1227113","2018-05-02T21:09:08Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.681","0.333","9","-8.582","1","0.0974","0.588","0","0.086","0.564","118.05","4"
"spotify:track:6WpiKPG9ek8pXqds8Ucq3T","Stolen Moments","spotify:artist:6iWuBN32BqCJAeXW6o3nil","Cautious Clay","spotify:album:0I55n0pRuelv0nfZHKhA8f","Blood Type","2018-02-21","1","4","137638","false","0","spotify:user:1227113","2018-05-02T17:04:55Z","alternative r&b,chill r&b,indie r&b,nyc pop,pop,vapor soul","0.434","0.211","10","-9.371","1","0.0506","0.829","0","0.104","0.202","170.597","4"
"spotify:track:2fl0B0OaXjWbjHCQFx2O8W","Summer Friends (feat. Jeremih & Francis & The Lights)","spotify:artist:1anyVhU62p31KFi8MEzkbf, spotify:artist:3KV3p5EY4AvKxOlhGHORLg, spotify:artist:23EA28263XvtIrXuySX6oI","Chance the Rapper, Jeremih, Francis and the Lights","spotify:album:71QyofYesSsRMwFOTafnhB","Coloring Book","2016-05-27","1","3","290316","true","62","spotify:user:1227113","2018-05-02T21:41:47Z","chicago rap,conscious hip hop,hip hop,pop rap,rap,chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary,alternative r&b","0.693","0.426","8","-12.476","1","0.302","0.675","0.0000103","0.115","0.477","144.796","4"
