"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4GLwEfDYzvg9F5r11ppEHZ","Tuesday","spotify:artist:3Nb8N20WChM0swo5qWTvm8, spotify:artist:4OHaWpWPKDcZgOOUn9elFn","Tennyson, Mr. Carmack","spotify:album:65kxAjO2QnlCjKdQKYWHI8","Tuesday","2017-02-14","1","1","225742","false","17","spotify:user:1227113","2018-05-04T20:02:30Z","edmonton indie,future bass,vapor twitch,electronic trap,future bass,vapor twitch","0.85","0.555","7","-9.903","0","0.37","0.102","0.137","0.101","0.465","127.912","4"
"spotify:track:1TFkQqDjfFazRJbrRwYOf4","Morning Bj","spotify:artist:5L67d6oZKOOmXcBcMMJdZZ","Point Point","spotify:album:4894L46oA157UxSxFVfheI","Morning Bj","2014-06-09","1","1","153077","false","32","spotify:user:1227113","2018-05-09T20:56:11Z","electronic trap,future bass,new french touch,vapor twitch","0.754","0.585","8","-4.89","0","0.22","0.032","0.1","0.113","0.42","160.033","4"
"spotify:track:66QK2ov3jneXmdquV0JpZ1","9 (After Coachella) (feat. MØ & SOPHIE)","spotify:artist:2LZDXcxJWgsJfKXZv9a5eG, spotify:artist:0bdfiayQAKewqEvaU6rXCv, spotify:artist:5a2w2tgpLwv26BYJf2qYwu","Cashmere Cat, MØ, SOPHIE","spotify:album:5HR24TLfeGpDT860C7qka9","9","2017-04-28","1","3","272524","false","43","spotify:user:1227113","2018-05-04T20:03:22Z","dance pop,downtempo,edm,pop,post-teen pop,shiver pop,art pop,dance pop,danish pop,electropop,indie poptimism,pop,pop dance,tropical house,art pop,dance pop,deconstructed club,electropop,escape room,hyperpop,pop,transpop","0.701","0.435","2","-6.401","1","0.0982","0.488","0.0000184","0.105","0.466","134.961","4"
"spotify:track:5FQL9Ur9NENmezh6zyG7uh","Lotus Eater","spotify:artist:5Q81rlcTFh3k6DQJXPdsot","Mura Masa","spotify:album:48AO9mcRyFRYyTH1KMg4J4","Soundtrack to a Death","2014-11-17","1","9","145655","false","0","spotify:user:1227113","2018-05-04T20:04:44Z","channel islands indie,edm,vapor soul","0.571","0.373","11","-8.068","1","0.348","0.736","0.458","0.141","0.501","135.796","1"
"spotify:track:7FGNLFffvg5rmPuG4SU9Y9","Apocalypse","spotify:artist:7zYtmHNk7UfzvCWOHPdl6x","PYRMDPLAZA","spotify:album:1WwG1xpU5wu3JL9JyLztxz","The Void","2018-05-04","1","2","222089","false","0","spotify:user:1227113","2018-05-09T20:36:24Z","future bass,vapor twitch","0.592","0.974","9","-3.062","1","0.0537","0.306","0.906","0.197","0.527","133.961","4"
"spotify:track:0HgPSbB9YW0Ojjr8Yqxhci","Static Sleep","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","spotify:album:36VEUbfESHvIOHcn6qKv6n","Escapism II","2016-08-12","1","4","181362","false","11","spotify:user:1227113","2018-05-04T20:01:52Z","electronic trap,future bass,scottish electronic,vapor twitch","0.379","0.724","10","-6.092","0","0.45","0.158","0.000127","0.79","0.322","132.95","4"
"spotify:track:0eyDH365cVj4BfiVHaXABf","002","spotify:artist:4ODo634wVqDxqgVSlXE2LO","HWLS","spotify:album:6ZpySvsIn7bPahjXQYbcJh","HWLS","2014-10-31","1","2","215342","false","0","spotify:user:1227113","2018-05-10T00:50:19Z","vapor twitch","0.814","0.726","7","-8.274","1","0.124","0.0154","0.37","0.143","0.18","139.935","4"
"spotify:track:5HiUnpwUXicf4Fk4asfz2Y","Downfall","spotify:artist:3FQrStLPA45IL3rsKkXNyM","Ukko","spotify:album:24rAmXEi4tWNASWfxqrhY9","Inner Self","2018-04-26","1","4","205241","false","2","spotify:user:1227113","2018-05-04T20:01:11Z","","0.477","0.727","5","-4.53","0","0.14","0.0421","0.00388","0.69","0.292","72.73","4"
"spotify:track:2lvZv5PEuBqAshQaVwC13o","Streamers","spotify:artist:147jymD5t0TCXW0DbaXry0","Wave Racer","spotify:album:2YtatemLu8N9X1qgaShSpd","Streamers","2014-02-07","1","1","210549","false","0","spotify:user:1227113","2018-05-04T20:09:11Z","australian indie,future bass,hyperpop,kawaii future bass","0.713","0.896","0","-6.479","0","0.0642","0.00361","0.0151","0.345","0.634","139.973","4"
"spotify:track:263KuOV2P7wj0a3u5rS0fP","I Need You","spotify:artist:45sqz0r32KGuaur2QMd9iS","Autolaser","spotify:album:08FyKl4aysLoywde84MZk9","I Need You","2014-11-05","1","1","250698","false","31","spotify:user:1227113","2018-05-10T00:49:07Z","future bass,vapor twitch","0.578","0.665","10","-7.433","0","0.0365","0.00069","0.788","0.232","0.391","180.041","4"
"spotify:track:0sEsDkuoAc7Cx63VRHFSd1","All This","spotify:artist:5L67d6oZKOOmXcBcMMJdZZ","Point Point","spotify:album:5v5QoC5vICV8L0EVF0nmF5","All This","2016-07-01","1","1","236826","false","0","spotify:user:1227113","2018-05-04T20:09:42Z","electronic trap,future bass,new french touch,vapor twitch","0.594","0.88","9","-4.943","1","0.0786","0.0588","0.128","0.0973","0.376","149.969","4"
"spotify:track:6dqcospzZTiNUkdY9GN7WX","Crazy","spotify:artist:1aSwrSGBNGMLn9ymttfRkk","Lido","spotify:album:78VgrlxNqlGg3ApYVdQHyM","Everything","2016-10-07","1","5","286720","false","24","spotify:user:1227113","2018-05-04T20:08:52Z","future bass,norwegian pop,vapor twitch","0.491","0.209","4","-17.605","0","0.093","0.0608","0.00215","0.0572","0.12","82.281","4"
"spotify:track:4bZsLiyl1TBv7H17ZJBX5L","Waterbed - S-Type Remix","spotify:artist:2M88YsyLut6bTK3RJSY3M6, spotify:artist:0Akz4zScvHzgDHt5lDByTT, spotify:artist:4Aq0I7zm89FSHuqvvh63rw","Obey City, S-Type, Anthony Flammia","spotify:album:20ylLZgvoYlbiVa5fHfmLQ","Merlot Sounds (Alternative Versions)","2016-05-11","1","2","182717","false","0","spotify:user:1227113","2018-05-09T20:56:59Z","scottish electronic","0.383","0.608","0","-9.297","1","0.133","0.00242","0.00000545","0.0759","0.364","138.083","4"
"spotify:track:0FZHHqiruMfbD0qhZRpRvR","Shallow - Alizzz Remix","spotify:artist:1521R3ksLyQyFeqdtaSZUZ, spotify:artist:23herDudxPBB3S81GB5uG3","Hoodboi, Alizzz","spotify:album:3sJEKs2VuA6pvjg84odgMQ","Palm Reader Remixes","2015-10-02","1","5","205241","false","0","spotify:user:1227113","2018-05-04T20:02:57Z","vapor twitch,vapor twitch","0.538","0.692","8","-6.398","1","0.0415","0.000218","0.895","0.0678","0.144","145.028","4"
"spotify:track:0ZCWI7jNPoAyDM4xc8facD","Cloud City","spotify:artist:62Jfwxon19ZOT9eSL6bvtY","Sweater Beats","spotify:album:4xPupZ1VSoSekEafmdyCoO","Cloud City EP","2014-10-28","1","1","219098","false","20","spotify:user:1227113","2018-05-09T20:56:39Z","gauze pop,vapor twitch","0.608","0.593","9","-8.256","0","0.0733","0.00511","0.0316","0.0985","0.412","150.016","4"
