"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2sVcw1xyQe44BGnEKLTzJB","Roll (Burbank Funk) - KAYTRANADA Remix","spotify:artist:7GN9PivdemQRKjDt4z5Zv8, spotify:artist:6qgnBH6iDM91ipVXv28OMu","The Internet, KAYTRANADA","spotify:album:6GY4AEfUq22acXoClMjPzh","Roll (Burbank Funk) [KAYTRANADA Remix]","2018-05-11","1","1","243026","false","53","spotify:user:1227113","2018-05-11T07:20:20Z","alternative r&b,escape room,indie soul,lgbtq+ hip hop,neo soul,escape room,indie soul,lgbtq+ hip hop","0.767","0.457","11","-9.279","1","0.156","0.0475","0.565","0.109","0.384","112.464","4"
"spotify:track:6nSHtgTH5a959xPucs6Ilb","HANGANG","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","Hoody","spotify:album:6Fnj40x1kkxtHK3icGVsqg","HANGANG","2017-08-25","1","1","200488","false","0","spotify:user:1227113","2018-05-10T15:59:15Z","k-indie,k-pop,k-rap,korean pop,korean r&b","0.663","0.555","11","-6.016","1","0.0602","0.2","0","0.176","0.73","109.235","4"
"spotify:track:3wqKXBJgscxJy3ZWfNe4uG","Corner","spotify:artist:1mN9lPKzTRTOop4u7S1Uy9","iri","spotify:album:6TPnotehXFewZOwErnIA29","Corner","2018-01-31","1","1","238480","false","25","spotify:user:1227113","2018-05-10T15:10:09Z","j-pop,japanese electropop,japanese r&b","0.707","0.716","10","-5.567","0","0.0878","0.102","0.000117","0.112","0.549","109.954","4"
"spotify:track:7H1b4FN6VsXrGlsPTWcJck","22","spotify:artist:7tyrh2CwSnilzMD8olQxcx","LUCKY TAPES","spotify:album:3MAe8KTVCWLar6bX9qCLZe","22","2018-05-09","1","1","208066","false","34","spotify:user:1227113","2018-05-10T15:05:40Z","j-pop,japanese alternative rock,japanese city pop,japanese r&b","0.807","0.725","0","-4.808","0","0.0287","0.0661","0.0000268","0.0875","0.907","116.973","4"
"spotify:track:2AWswjSOFmDddA2u9Cc93D","So To Say (feat. Crush, Hoody)","spotify:artist:4PlxqkEk6seCManiTAPTWb","JINBO the SuperFreak","spotify:album:17uPFVf00gWNY9371TohGL","KRNB2 Part.1","2017-06-16","1","4","222800","false","31","spotify:user:1227113","2018-05-10T15:52:58Z","korean r&b","0.477","0.583","2","-7.586","1","0.0438","0.487","0","0.117","0.262","93.642","4"
"spotify:track:6QNQzwrek9380nC7LsiUgH","Time Today","spotify:artist:6OqhFYFJDnBBHas02HopPT","Kero Kero Bonito","spotify:album:5TWEzpZBhztkBTUUdtDtf2","Time Today","2018-05-08","1","1","131594","false","23","spotify:user:1227113","2018-05-09T20:42:31Z","escape room,hyperpop,japanese electropop","0.506","0.677","3","-5.73","1","0.0494","0.229","0.000183","0.0897","0.327","175.655","4"
"spotify:track:3twm1m2HtONUDBkUE4iPju","Heat Wave","spotify:artist:4QkSD9TRUnMtI8Fq1jXJJe","Snail Mail","spotify:album:27TbVRfck2PTdWcKFnYBkR","Heat Wave","2018-04-26","1","1","308346","false","18","spotify:user:1227113","2018-05-10T20:15:21Z","art pop,baltimore indie,bubblegrunge,indie pop,indie rock","0.504","0.682","9","-5.702","1","0.0332","0.0002","0.00205","0.147","0.207","123.848","4"
"spotify:track:76S09sHj7GGMJAtOLjmVQ2","Done For Me (feat. Kehlani)","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7, spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","Charlie Puth, Kehlani","spotify:album:4mSjLadCxIz5QDpGwUaEBn","Done For Me (feat. Kehlani)","2018-03-15","1","1","180493","false","0","spotify:user:1227113","2018-05-12T20:10:35Z","dance pop,pop,post-teen pop,viral pop,dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary","0.856","0.632","6","-3.692","0","0.074","0.193","0","0.0688","0.697","112.009","4"
"spotify:track:1OaRwpEV7zj0yAIdNB9UHK","Lil Mama","spotify:artist:7h01MzzV4zMo39ocJpJiCi, spotify:artist:6jaDu3DNAiYv1E1G73EMQc","Lo Village, Dirty Shafi","spotify:album:0vpeGtdF3m8jtx5v2CHlWZ","For the Birds","2017-11-27","1","2","219137","true","47","spotify:user:1227113","2018-05-09T03:41:55Z","indie hip hop","0.861","0.383","11","-10.687","0","0.235","0.0408","0","0.0995","0.93","157.954","4"
"spotify:track:49vZTGSngu0PMxZKg7gPpR","Gold","spotify:artist:1kmyK4B8GpPz1nHI2MvOSO, spotify:artist:2ubI86ev0M3kNrUp9uwU2c","ANH, Sonn","spotify:album:5YewwWB1rhQsOwzkHSuxCT","Gold","2018-05-11","1","1","240000","false","8","spotify:user:1227113","2018-05-14T03:25:46Z","future bass","0.671","0.438","3","-10.119","1","0.0803","0.32","0.00000695","0.0906","0.174","119.967","4"
"spotify:track:5HRCCwyqDIvxVvcwdzhb7G","In A Spiral","spotify:artist:5bQhICu3eC2RFDr4OPRQHq","BIGYUKI","spotify:album:0tHMrWukIAegO0uX5UZxkh","Reaching For Chiron","2017-11-01","1","6","250746","false","17","spotify:user:1227113","2018-05-07T22:23:54Z","","0.445","0.229","1","-8.582","1","0.0382","0.966","0.00000356","0.111","0.188","78.028","4"
"spotify:track:6ohzjop0VYBRZ12ichlwg5","Honey","spotify:artist:2kQnsbKnIiMahOetwlfcaS","Raveena","spotify:album:2htW3Yk7JUL2bS9C7AjzTe","Honey","2018-05-02","1","1","272331","false","60","spotify:user:1227113","2018-05-10T02:06:43Z","alternative r&b,chill r&b,indie r&b,indie soul","0.804","0.269","1","-14.967","1","0.0516","0.428","0.00362","0.0785","0.369","128.999","4"
"spotify:track:49drkbuukyUDt2POSGxnvA","All I Can Send","spotify:artist:3AsWxxZTFPoCFxM1s8Lg1J, spotify:artist:2v3z0sSTauju6TA1GMqiQj","glue70, KinKai","spotify:album:4cNRdQKKG9vnK2nBQnqh1T","All I Can Send","2018-03-22","1","1","144000","false","27","spotify:user:1227113","2018-05-07T22:20:27Z","future funk,manchester hip hop,uk alternative hip hop","0.711","0.492","11","-8.848","0","0.436","0.285","0","0.135","0.522","84.99","4"
