"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0rFZaQ4crlGAzuCjWCQ2xu","Body Party","spotify:artist:2NdeV5rLm47xAvogXrYhJX","Ciara","spotify:album:1ZhBKlFwsI2ppVo8LivPyG","Ciara","2013-07-05","1","3","234040","false","67","spotify:user:1227113","2018-05-02T16:48:29Z","dance pop,hip pop,pop,post-teen pop,r&b,urban contemporary","0.577","0.576","2","-6.299","1","0.0563","0.0143","0","0.602","0.12","133.973","4"
"spotify:track:6ecUClnR9vIy46o4WCOKj5","Hunni Dew","spotify:artist:00jACgDWIBdPM4eH8nORwz, spotify:artist:5wH58LQ6x7glKH72cIVJtN","Reva DeVito, VYNK","spotify:album:2HvuWq7JkpKRDeFQudRi0P","Hunni Dew","2018-01-31","1","1","210921","false","9","spotify:user:1227113","2018-05-02T16:22:48Z","portland hip hop","0.398","0.351","9","-13.068","1","0.161","0.0189","0.00000831","0.0952","0.386","85.689","3"
"spotify:track:4UrD78QcaCHHrATHT7M5cH","Vintage","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","spotify:album:4b6caphyrcbseXNtwhD7Ux","Vintage","2018-05-02","1","1","177317","false","0","spotify:user:1227113","2018-05-02T14:57:31Z","indonesian r&b,pop","0.773","0.809","2","-7.112","1","0.0645","0.00947","0.00163","0.354","0.407","105.017","4"
"spotify:track:1DLhyRZQq8YRh4waqHMfet","LFT","spotify:artist:3GhVFlFT3pagjVkslQPqoJ","Quadron","spotify:album:1DK7dxeuo9R1Ma0iaZBz3f","Avalanche","2013-05-31","1","1","209866","false","40","spotify:user:1227113","2018-05-02T16:35:56Z","scandinavian r&b","0.73","0.623","9","-6.5","0","0.0876","0.594","0.000144","0.15","0.873","96.067","4"
"spotify:track:42ZTvtzDTTwq5J74RaZKUJ","Best Love","spotify:artist:3kHVioJpVxlazAAKQ64pC1","Yuna","spotify:album:4hynGWtmIAaKmaOm8snH71","Chapters (Deluxe)","2016-05-20","1","5","291000","false","44","spotify:user:1227113","2018-05-02T16:35:41Z","alternative r&b,malaysian pop","0.627","0.599","5","-6.322","0","0.0472","0.0681","0.0338","0.126","0.763","176.001","4"
"spotify:track:3xg0KCbvT3GPtAnaXMKd4E","DYWM","spotify:artist:7aFTOGFDEqDtJUCziLVsVC","Nao","spotify:album:2BmceJHiy9RTyvaB1IU0P6","For All We Know","2016-07-29","1","11","295360","false","46","spotify:user:1227113","2018-05-02T18:27:07Z","alternative r&b,chill r&b,dance pop,indie soul,neo soul,r&b,uk contemporary r&b","0.741","0.617","2","-8.252","0","0.132","0.291","0.0000069","0.0622","0.331","91.965","4"
"spotify:track:2xw0tiSxjFDJa9C0tC1rR3","Mine","spotify:artist:1XC87A3NVlw6xDW1kIB5FN","Jess Connelly","spotify:album:1NwiqAtKGQaBmK55ejYtsX","Mine","2018-02-13","1","1","229565","false","26","spotify:user:1227113","2018-05-02T16:55:50Z","pinoy indie,pinoy trap","0.768","0.498","11","-7.988","0","0.0378","0.654","0","0.108","0.525","115.032","4"
"spotify:track:2kBHv0gFA2iheTUXmPB9e1","Under Control","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","2015-06-26","1","3","244293","true","52","spotify:user:1227113","2018-05-02T16:51:36Z","alternative r&b,escape room,indie soul,lgbtq+ hip hop,neo soul","0.706","0.714","7","-6.134","1","0.061","0.327","0.0111","0.185","0.503","98.003","4"
"spotify:track:6Vmow8PuUaU7W1T2WWLZk2","Go Gina","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","2017-06-09","1","7","161613","true","70","spotify:user:1227113","2018-05-02T15:07:34Z","pop,pop rap,rap","0.603","0.606","9","-6.634","1","0.114","0.799","0","0.391","0.462","80.176","4"
"spotify:track:0wNenHPLy8qwMfxHTqScoR","Coming To My Senses","spotify:artist:6hfwwpXqZPRC9CsKI7qtv1","Alina Baraz","spotify:album:6R8UeugxGTPvPwFkLVqUqs","The Color Of You","2018-04-06","1","4","186867","false","49","spotify:user:1227113","2018-05-02T16:34:32Z","alternative r&b,electropop,etherpop,pop","0.618","0.431","9","-10.481","0","0.0483","0.342","0.0000582","0.169","0.21","80.062","4"
