"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6EVATaxTsB2RexbqTqtlIO","Closer","spotify:artist:3htNAy3vYWWYV8RZFeyRMT","Slow Magic","spotify:album:5kI0Hmtke3s8Yx0j5R3b3r","How To Run Away","2014-09-09","1","10","366606","false","40","spotify:user:1227113","2018-05-02T20:58:49Z","chillwave,electropop,future bass,gauze pop,indie dream pop,vapor soul,vapor twitch","0.544","0.558","10","-7.273","0","0.103","0.308","0.000423","0.316","0.324","150.959","4"
"spotify:track:3WRQUvzRvBDr4AxMWhXc5E","Sunset Lover","spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2","Petit Biscuit","spotify:album:6se6q5nk4VCVbWWnZcguCc","Presence","2017-11-10","1","12","238906","false","74","spotify:user:1227113","2018-05-02T20:09:27Z","new french touch,tropical house","0.785","0.525","6","-7.556","1","0.042","0.669","0.439","0.114","0.251","90.853","4"
"spotify:track:447yWcDPg1ddgcHBLGpJC0","Better Not (feat. Wafia)","spotify:artist:7wg1qvie3KqDNQbAkTdbX0, spotify:artist:0FL2d6iFFNAV3yBUbXjZ1U","Louis The Child, Wafia","spotify:album:1hgHJzbzZskVlYIZ57FCVQ","Better Not (feat. Wafia)","2018-04-13","1","1","222865","false","1","spotify:user:1227113","2018-05-04T18:50:17Z","edm,electropop,indie poptimism,pop,pop dance,tropical house,australian indie,australian pop","0.783","0.537","9","-2.921","1","0.0749","0.278","0","0.229","0.392","113.977","4"
"spotify:track:2uF9MllYoEuXzUnMudZG4c","Everyday, Everyday (feat. Nevve)","spotify:artist:4EukMPjtYsdi87lkU1hIxN, spotify:artist:3RTklnRcfHgkQJwFpgOq3t","Manila Killa, Nevve","spotify:album:1mkYtDUqknlmk67znOMgqD","Everyday, Everyday (feat. Nevve)","2018-01-26","1","1","219496","false","0","spotify:user:1227113","2018-05-02T20:13:53Z","edm,electropop,future bass,indie electropop,pop edm,vapor twitch","0.327","0.698","1","-5.136","1","0.0428","0.0254","0","0.0849","0.256","92.289","4"
"spotify:track:4fHBQYB1GIWVQTl84yF08D","Your Tempo","spotify:artist:1ikID9RZZMvkuBGDWrqajq","Kasbo","spotify:album:7v5PnPxKBVwKVQ6tytgUzG","Places We Don't Know","2018-03-23","1","2","199913","false","40","spotify:user:1227113","2018-05-02T20:17:13Z","edm,electropop,future bass,indie electropop,indie poptimism,pop dance,pop edm,swedish electropop,tropical house,vapor soul,vapor twitch","0.496","0.838","8","-4.67","0","0.0936","0.00671","0.00000323","0.253","0.294","94.023","4"
"spotify:track:2BpsBUmTe1xxU9IH1mZYaw","Problems - Wingtip Remix","spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2, spotify:artist:1Eie0tY91rpi7Y0jtIOXzI, spotify:artist:1aSwrSGBNGMLn9ymttfRkk","Petit Biscuit, Wingtip, Lido","spotify:album:3uyda8V1i8CpBdiHcL13mF","Problems Remixes","2018-05-04","1","2","219623","false","19","spotify:user:1227113","2018-05-04T19:53:48Z","new french touch,tropical house,electropop,indie electropop,indie poptimism,nyc pop,future bass,norwegian pop,vapor twitch","0.749","0.516","1","-7.257","0","0.043","0.709","0.00109","0.145","0.347","104.994","4"
"spotify:track:0EUBHTFlBmmod6UIpPmwZ1","Hard To Be Myself","spotify:artist:1nhSLEYdoBHG6cJ8NDwoF1","Fickle Friends","spotify:album:7LdUzhm4SloDil5y0sRen0","You Are Someone Else","2018-03-16","1","5","190586","true","37","spotify:user:1227113","2018-05-02T20:08:54Z","gauze pop,hopebeat,indie electropop,indie pop,indie poptimism,shimmer pop,uk pop,vapor soul","0.572","0.782","0","-5.907","1","0.0693","0.128","0","0.246","0.579","99.51","4"
"spotify:track:0s2Y779EnWBkEiwgGBALcH","Over Here","spotify:artist:7tr9pbgNEKtG0GQTKe08Tz","Mk.gee","spotify:album:77n1Bxw5MF1UVFsFeOWrZh","Over Here","2018-02-09","1","1","255317","false","0","spotify:user:1227113","2018-05-02T20:09:15Z","alternative r&b,indie r&b,indie soul,vapor soul","0.647","0.763","4","-6.458","0","0.337","0.828","0.177","0.0745","0.883","102.02","4"
"spotify:track:7EBt60GJ9pCCPoD47HfbTE","Control (with Jerry Folk)","spotify:artist:4CTKqs11Zgsv8EZTVzx764, spotify:artist:356FCJoyYWyzONni54Dgrv","Lemaitre, Jerry Folk","spotify:album:4HBSTGwiOsMpHFAsIDKYIv","Control (with Jerry Folk)","2018-04-20","1","1","182383","false","35","spotify:user:1227113","2018-05-02T20:15:03Z","alternative dance,new french touch,norwegian pop,future bass,vapor soul,vapor twitch","0.707","0.585","7","-4.598","0","0.0308","0.178","0","0.0939","0.64","85.957","4"
"spotify:track:5OK1oqGteiXX9yTu19Jq6D","Paradise","spotify:artist:20cmhoGvN0eyzhmsHJH1Mg, spotify:artist:3pJlam8yODJN1AEzmTVGko, spotify:artist:4PRItSqasFLl62nmQVBq0C","Luude, TWERL, Lost Boy","spotify:album:4RsLj5DZG9t5l5tAu93TCZ","Paradise","2017-09-21","1","1","187353","false","0","spotify:user:1227113","2018-05-02T20:25:49Z","aussietronica,traprun","0.531","0.591","8","-9.112","0","0.274","0.466","0","0.0704","0.491","98.001","4"
