"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2x5Frs6ts14U4MSLrQQlXg","Why iii Love The Moon.","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","spotify:album:6IGDCUkBJ3LEUoAcoTD46u","Yesterday's Tomorrow","2015-01-13","1","9","331826","false","65","spotify:user:1227113","2018-05-18T00:33:46Z","alternative r&b,indie r&b,indie soul","0.706","0.483","1","-7.929","1","0.0393","0.547","0.00000194","0.136","0.663","92.002","4"
"spotify:track:5bZd0J86sywMoxOqoyaXI1","Too High","spotify:artist:7xXc8fpBMmNR82yx62IDiq","GQ","spotify:album:4UyrqkK1PYiIY5Ki0ma1T7","Death Threats & Love Notes","2013-03-26","1","4","186328","true","9","spotify:user:1227113","2018-05-14T20:25:24Z","","0.701","0.617","5","-15.309","0","0.305","0.517","0.0278","0.154","0.544","86.99","4"
"spotify:track:0RxPc5vfQn6RFIfl2lqloP","Angels","spotify:artist:4tnlNPICEQCPYQDxtBAPey, spotify:artist:3zDGjdtoxUiH7YcTWOdtMd","Ramaj Eroc, LAKEY INSPIRED","spotify:album:66NPQW74951U381nENT5t5","Angels","2017-03-09","1","1","133276","true","38","spotify:user:1227113","2018-05-14T20:25:31Z","chillhop","0.647","0.524","7","-6.297","0","0.227","0.81","0.0000222","0.371","0.448","121.266","4"
"spotify:track:0dw6WjI3kkMYERo1dMLcxY","Open Season","spotify:artist:2IwGAkUIwStgnFVH8u1v3o","Cavalier","spotify:album:1nnB7iCnog5tSw2zGDa93e","Private Stock","2018-03-30","1","2","221961","true","12","spotify:user:1227113","2018-05-14T20:27:31Z","experimental hip hop","0.519","0.808","9","-6.335","1","0.429","0.27","0.621","0.289","0.693","111.713","3"
"spotify:track:2HmpP4f48ptsSQVufmiW1m","Favorite","spotify:artist:0nnBZ8FXWjG9wZgM2cpfeb, spotify:artist:6PDLwWvgYNMfBRLqC1h5cJ","Leon Thomas, Buddy","spotify:album:71kY1wOjeqnmK7eSww69pc","Favorite","2018-01-19","1","1","213338","false","39","spotify:user:1227113","2018-05-14T20:29:33Z","alternative r&b,alternative r&b,cali rap,rap,trap soul,underground hip hop","0.616","0.459","8","-6.616","1","0.427","0.0598","0.00000508","0.287","0.622","79.937","4"
"spotify:track:4c60yLpE5lXvICT0pyEaZ5","Better Give U Up","spotify:artist:2FwDTncULUnmANIh7qKa5z","FKJ","spotify:album:0jJ7mMkCkTe7p9EJgSRxgi","French Kiwi Juice","2017-03-02","1","3","256800","false","65","spotify:user:1227113","2018-05-17T21:30:22Z","filter house,indie soul","0.525","0.72","11","-6.916","0","0.169","0.176","0.00648","0.0769","0.483","91.708","4"
"spotify:track:7ufsQC2y1GxLS1mlvHNFjw","Throwback","spotify:artist:2KAcGNHkwCFJb7w19oaqmU","MXXWLL","spotify:album:00mGSPYfuplKlNjWwXCjvR","Beats Vol. 1","2017-09-01","1","9","161498","false","30","spotify:user:1227113","2018-05-18T00:47:32Z","neo r&b,popping","0.7","0.204","6","-8.642","1","0.0802","0.743","0.855","0.102","0.293","115.445","4"
"spotify:track:0RU6fP23vEwHCOpjUztVna","Spliff Temple","spotify:artist:3ubv8WIA649ar6dwEH6ATm, spotify:artist:2tW7TitNzNibILuWCEhBLS, spotify:artist:1FvjvACFvko2Z91IvDljrx","Exmag, JNTHN STEIN, Mick Jenkins","spotify:album:5fn4C2llqcM1bEEvB1G2gG","Part I","2017-11-03","1","9","180000","false","0","spotify:user:1227113","2018-05-14T20:24:44Z","funk rock,livetronica,vapor twitch,chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop","0.422","0.745","5","-6.264","0","0.194","0.0316","0.0408","0.64","0.381","85.497","5"
"spotify:track:2puHJmjL4jvO19aEA7kzcb","Soulmate","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:6f6tko6NWoH00cyFOl4VYQ","The Divine Feminine","2016-09-16","1","7","272973","false","61","spotify:user:1227113","2018-05-18T00:48:23Z","hip hop,pittsburgh rap,rap","0.606","0.534","1","-6.904","1","0.512","0.132","0.0000011","0.148","0.561","111.044","4"
"spotify:track:2czhrDhRNZVSslq8KC1mKm","So Bad","spotify:artist:7bupzBUhDSqBIAkoianGjC, spotify:artist:1byiL1WtteUjvqT6GhlEfh","Duñe, Crayon","spotify:album:2BOCtXCE1T1MywQ5YuZZa5","Duñe x Crayon","2016-03-25","1","4","188411","false","46","spotify:user:1227113","2018-05-14T20:28:56Z","indie soul,new french touch","0.601","0.326","10","-8.414","0","0.38","0.52","0.00813","0.0994","0.206","101.354","4"
"spotify:track:53xwpkpxBcT68XCoHJZ9ez","On II U","spotify:artist:7E2ioKxoxI2J94tUkIx6As","Alex Isley","spotify:album:2ZFbwp6Z8jP1kwaZTFIryc","The Beauty of Everything, Pt. 1","2018-02-27","1","3","280751","false","28","spotify:user:1227113","2018-05-14T20:26:43Z","alternative r&b,chill r&b,indie r&b,indie soul,neo soul,pop r&b","0.649","0.267","0","-15.759","1","0.104","0.688","0.00345","0.15","0.288","99.917","4"
"spotify:track:0fsRAbEADTKaAj77UDMKYt","Why (Prod. Slom)","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL, spotify:artist:6cGnQM8gIMonRMuKAolYNk","Hoody, George","spotify:album:4qaiRlHSHe70Nji828j7NQ","Golden","2018-04-27","1","1","232566","false","48","spotify:user:1227113","2018-05-16T01:48:41Z","k-indie,k-pop,k-rap,korean pop,korean r&b","0.809","0.489","0","-6.196","0","0.0643","0.304","0.00000122","0.0918","0.23","108.01","4"
"spotify:track:0Uxmhbm1sUiyh6geMnwzG4","I've Always Been","spotify:artist:0fTav4sBLmYOAzKuJw0grL, spotify:artist:2NWuUOptHRTogSZghYspAE, spotify:artist:6t13QrSLbiVtlvksmoBgfH","Mac Ayres, Jack Dine, Zach Berro","spotify:album:1p0q7Jmjsqwkt8xXmE9OcV","I've Always Been","2017-07-25","1","1","114929","false","42","spotify:user:1227113","2018-05-18T00:55:21Z","alternative r&b,chill r&b,indie soul","0.787","0.38","1","-11.113","0","0.267","0.664","0.00403","0.357","0.453","71.072","4"
"spotify:track:6Vmow8PuUaU7W1T2WWLZk2","Go Gina","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","2017-06-09","1","7","161613","true","70","spotify:user:1227113","2018-05-18T00:51:04Z","pop,pop rap,rap","0.603","0.606","9","-6.634","1","0.114","0.799","0","0.391","0.462","80.176","4"
