"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2NAgGdF2Gfs8Cx1CN4jplg","People (feat. Mayer Hawthorne)","spotify:artist:1aSwrSGBNGMLn9ymttfRkk, spotify:artist:3dQZZuz1lE7E872IAyIhTq, spotify:artist:4d53BMrRlQkrQMz5d59f2O","Lido, J'von, Mayer Hawthorne","spotify:album:4Q7CAVxPCMT5veuEhCRNwy","Spacesuit","2018-05-04","1","4","189093","false","24","spotify:user:1227113","2018-05-04T14:23:24Z","future bass,norwegian pop,vapor twitch,seattle hip hop,funk,indie soul,neo soul,pop soul,soul","0.554","0.807","5","-5.099","0","0.0797","0.245","0","0.0783","0.604","101.528","4"
"spotify:track:0Fk0MYYDUEF6SwXqEagLy3","NS Bounce","spotify:artist:4V5f0tr4dGBGUvW5HsR22O, spotify:artist:4PKHlnz8cQ79kQ6kd3GufJ","High Klassified, Da-P","spotify:album:2XUtkeetFQ4EdsUZNrcMkR","Kanvaz","2018-04-27","1","3","178556","false","0","spotify:user:1227113","2018-05-04T20:11:09Z","canadian hip hop,rap montrealais,substep,vapor twitch","0.896","0.402","0","-10.282","1","0.246","0.595","0.64","0.111","0.0871","112.943","4"
"spotify:track:2jAn0rAOyLW6hIEuIDNcoT","Appletree","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","spotify:album:3qr4pTBWEU1SVf01j6RAx3","Baduizm","1997-01-01","1","3","265373","false","63","spotify:user:1227113","2018-05-04T20:14:52Z","afrofuturism,hip hop,neo soul,r&b,soul,urban contemporary","0.874","0.45","7","-10.525","1","0.0685","0.0798","0.0000911","0.0722","0.619","94.861","4"
"spotify:track:25GlFJq5QNAXyVgJvCZ4Mf","Heart Don't Stand a Chance","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:4VFG1DOuTeDMBjBLZT7hCK","Malibu","2016-01-15","1","2","312360","true","65","spotify:user:1227113","2018-05-09T00:20:54Z","escape room","0.685","0.545","7","-6.189","1","0.061","0.173","0.0000144","0.237","0.506","94.061","4"
"spotify:track:52c78QBR1VngL8gZpOTJhU","Papas Fritas","spotify:artist:1Goe2NezNnym45kco2xTk6","Nick Hakim","spotify:album:3B2d37aNkp3hFYeJdKPh4H","Where Will We Go, Pt. 1","2014-07-14","1","4","121544","false","39","spotify:user:1227113","2018-05-09T00:19:12Z","alternative r&b,indie jazz,indie r&b,indie soul,neo r&b","0.655","0.397","4","-8.42","1","0.0365","0.657","0.885","0.121","0.206","73.882","4"
"spotify:track:0IA2keaWFNYLSRbsmqkIXg","Home","spotify:artist:2YZhod6BAbnBKh2nPdUejY","SOMA","spotify:album:0JYRIVd1gxLKdfO16vATq2","Spring Breeze","2018-04-13","1","4","226250","false","0","spotify:user:1227113","2018-05-04T14:29:32Z","korean r&b","0.679","0.605","5","-4.184","1","0.0408","0.154","0","0.345","0.312","123.926","4"
"spotify:track:3cuGpP8vUSC1aq8tjD3J2c","James Joint","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3Q149ZH46Z0f3oDR7vlDYV","ANTI","2016-01-28","1","2","72080","true","0","spotify:user:1227113","2018-05-04T19:52:05Z","barbadian pop,dance pop,pop,pop dance,post-teen pop,r&b,urban contemporary","0.399","0.203","4","-11.649","1","0.0298","0.66","0.000163","0.27","0.405","134.202","4"
"spotify:track:3QNoDjljK3nFD103oc5sb7","9","spotify:artist:4jGPdu95icCKVF31CcFKbS, spotify:artist:41DKMtAnhVo7aDeluAHDJg","Gentle Bones, MYRNE","spotify:album:7MXdmBbTuRe0ooiCp8EnTm","B4NGER PROJECT","2018-03-30","1","9","105600","true","23","spotify:user:1227113","2018-05-04T20:06:52Z","chill r&b,indie cafe pop,singaporean pop,bass trap,edm,electro house,future bass,gaming edm,pop edm,singaporean electronic,singaporean pop,vapor twitch","0.789","0.398","4","-7.826","0","0.0371","0.749","0.789","0.071","0.148","100.02","4"
"spotify:track:7HVDmCoXaujiqbzi8ir5Oc","Stay With Me","spotify:artist:1aSwrSGBNGMLn9ymttfRkk, spotify:artist:3dQZZuz1lE7E872IAyIhTq","Lido, J'von","spotify:album:4Q7CAVxPCMT5veuEhCRNwy","Spacesuit","2018-05-04","1","6","177093","false","14","spotify:user:1227113","2018-05-04T14:22:30Z","future bass,norwegian pop,vapor twitch,seattle hip hop","0.567","0.601","5","-7.397","1","0.54","0.643","0.00000353","0.104","0.474","178.651","4"
"spotify:track:3G1tCJN0YOwfLMyzs3hTX6","Maybe","spotify:artist:3s2jqlVaDwlRKk3mF7WT2b","Jamie Isaac","spotify:album:4tYKnWlkJPh8VE1jQ3479b","Maybe","2018-05-02","1","1","266813","false","0","spotify:user:1227113","2018-05-04T14:32:39Z","indie soul","0.71","0.69","11","-9.695","0","0.0958","0.347","0.303","0.0971","0.352","91.974","4"
"spotify:track:35YU8j2PEDAFkg3sZUarjR","Own2","spotify:artist:5XNCS8lVEpHHbaHv0EabAj","April + VISTA","spotify:album:48CzIibo2pZCSNgEho1MvB","Own2","2018-02-23","1","1","217493","false","19","spotify:user:1227113","2018-05-08T02:49:22Z","alternative r&b","0.865","0.446","4","-5.356","0","0.0506","0.323","0.0000762","0.18","0.612","115.015","4"
"spotify:track:0Aa3g9EQoPNt6PiKjaUeb7","Every Kind Of Way","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","spotify:album:0pV0Mx07aMApIpF19oSQgY","H.E.R.","2017-10-20","1","9","160173","false","66","spotify:user:1227113","2018-05-04T20:17:40Z","alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary","0.417","0.299","7","-8.499","1","0.0441","0.637","0.00000222","0.136","0.199","95.529","4"
"spotify:track:3cqlkaIi21c5IrTzwbgKBs","We Cool","spotify:artist:1A4fV156Nn6rWIE8jk5ZpT, spotify:artist:0N41KJ4H6bkPAm2tx7VS8C","BOSCO, Anna Wise","spotify:album:4uRxwtXH9d3AGqbie6MlC1","b.","2017-08-11","1","4","183480","false","0","spotify:user:1227113","2018-05-04T20:12:37Z","alternative r&b,indie r&b,alternative r&b","0.73","0.681","5","-7.391","0","0.0417","0.41","0.00376","0.104","0.475","150.967","4"
"spotify:track:4CXmTcNYcLVhJ0Zt1MnD7R","The Truth","spotify:artist:1VgjAK52kjkQJQQRhTn02t","Moonchild","spotify:album:15mSmiwXRD84YOITNDAZ0S","Please Rewind","2015-11-06","1","2","219320","false","0","spotify:user:1227113","2018-05-08T13:29:16Z","indie soul,neo r&b","0.763","0.423","1","-11.086","0","0.135","0.643","0.00706","0.0948","0.242","76.007","4"
"spotify:track:4EmrbKpQotKGCH0IWCnAOP","Add the Bassline","spotify:artist:24icoQNJSEWNu3XvqKBR68","Jordan Rakei","spotify:album:6e2X313opvmQbWCvHdlADs","Groove Curse","2014-08-15","1","5","158145","false","0","spotify:user:1227113","2018-05-09T00:18:01Z","alternative r&b,indie jazz,indie r&b,indie soul,neo r&b,soul","0.753","0.352","8","-9.566","0","0.173","0.182","0.000102","0.12","0.53","89.968","4"
"spotify:track:7zL4fHhW4vkQmXCdayJSrS","Yours","spotify:artist:6dPh96zLnVMZVHnr66WRjg","Gwen Bunn","spotify:album:1olrsL6UD098Pi8g5hbxz9","Safe Travels","2018-02-05","1","2","154470","false","37","spotify:user:1227113","2018-05-08T02:49:48Z","alternative r&b,indie r&b,neo r&b","0.277","0.728","10","-10.699","0","0.116","0.189","0.0000105","0.204","0.562","86.87","4"
