"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3KBexhRdb8nx0unTXubAxY","[nstlgc]","spotify:artist:7uA2p3333eiW9Cknf1twtU","invention_","spotify:album:4RInUpNcbjwruby21QPGME","Sundae Sauuce Presents: Morning Gelato","2018-03-28","1","7","138944","false","27","spotify:user:1227113","2018-04-29T22:07:30Z","chillhop,focus beats,lo-fi beats","0.579","0.447","9","-8.341","0","0.23","0.933","0.0285","0.0958","0.489","69.958","4"
"spotify:track:2UQ1FMQDQuAQKTf8UKohyv","Memory Well","spotify:artist:6fI10k7bFVFS76bHXdBof6","David Blazer","spotify:album:4RInUpNcbjwruby21QPGME","Sundae Sauuce Presents: Morning Gelato","2018-03-28","1","8","296065","false","27","spotify:user:1227113","2018-04-30T16:22:40Z","la pop","0.331","0.268","3","-14.396","0","0.037","0.887","0.883","0.0789","0.0565","121.854","4"
"spotify:track:1SZpTKOrvx7nH60IEvKeUQ","Strawberry Kiwi Smoothie","spotify:artist:3GlCVMFRzrZ3FGtt4apejf","Bonus Points","spotify:album:76aJxMpuX9UcFNa3A7hG1C","Strawberry Kiwi Smoothie","2018-03-09","1","1","185065","false","13","spotify:user:1227113","2018-04-30T16:23:18Z","chillhop,jazz boom bap","0.585","0.793","1","-8.398","1","0.115","0.00349","0.169","0.174","0.732","191.929","3"
"spotify:track:6Ava6BH5dxqIcYXzroGlx2","Can't Do It","spotify:artist:6Mrgra2tshJRSBku8QpJxX","Larce","spotify:album:1rPTFiipv1tnoLQTfe9p4Z","Can't Do It","2017-07-28","1","1","190446","false","7","spotify:user:1227113","2018-04-30T17:05:33Z","","0.828","0.286","5","-14.912","0","0.112","0.266","0.673","0.0676","0.789","91.014","4"
"spotify:track:1XvMG16zHYfz9Dr6vSZYVf","Not over You","spotify:artist:4Rus30xX4FOv2cyeFI79Qh, spotify:artist:49NfOTfSPhrb0sJBVYS1iM, spotify:artist:3gNjxcKLkMfZYKlLxn0O9F","Elijah Fox, Marie Dahlstrom, Moo Latte","spotify:album:5gLCJqWKesK8KOc70OArK4","Not over You","2018-02-17","1","1","256000","false","25","spotify:user:1227113","2018-04-30T17:17:08Z","alternative r&b,chill r&b,indie r&b,indie soul,neo r&b,uk contemporary r&b,lo-fi beats","0.482","0.369","10","-9.917","0","0.0818","0.89","0.00000465","0.0893","0.263","129.971","1"
"spotify:track:6eXmPYmY8dkDylSlgTaxkw","Moment","spotify:artist:1hFXEoLCso0TI0QvWJdukg, spotify:artist:6NnWCx7mer62qXytwEKZm9","Blended Babies, Lorine Chia","spotify:album:6vtIg3H1oQIFIAwZ6vDxWb","Lorine Chia EP","2016-12-16","1","3","186217","false","16","spotify:user:1227113","2018-04-30T17:22:16Z","alternative r&b","0.692","0.455","6","-9.429","0","0.0397","0.267","0.000528","0.561","0.68","103.936","4"
"spotify:track:0alVLmD0COl8Ny9e1EO0ss","Vscrl_","spotify:artist:7uA2p3333eiW9Cknf1twtU","invention_","spotify:album:4atveyKqegYTuMDiwJECAX","Alcyone","2017-11-27","1","9","136507","false","0","spotify:user:1227113","2018-04-30T17:23:58Z","chillhop,focus beats,lo-fi beats","0.489","0.353","0","-10.041","0","0.0486","0.923","0.795","0.362","0.243","73.794","3"
"spotify:track:18x3lmqUPRZC5ucOnDk5EJ","Fck W/ Me","spotify:artist:2TzDFGYjzVbaSEA3msOpqI, spotify:artist:65aMEDDhSsuHYCKhdmQj5N","Lando Chill, The Lasso","spotify:album:7rlIyjEGEGMrFqLvur7A6v","Māyā. Maia. Mayu","2018-02-02","1","2","195900","true","12","spotify:user:1227113","2018-04-30T17:26:23Z","experimental hip hop,jazz rap,psychedelic hip hop","0.541","0.361","7","-11.696","1","0.0848","0.524","0.00622","0.141","0.183","91.828","4"
"spotify:track:2J8h6CYjgekMZ6YLzNxG1g","Backstreets","spotify:artist:0fykVRaVSsAkxDFfLoCd1J","Jon Waltz","spotify:album:5ALwUAD4PWccOeJw73AxDE","Backstreets","2018-02-02","1","1","178285","true","36","spotify:user:1227113","2018-04-30T17:33:43Z","","0.785","0.392","1","-8.048","0","0.102","0.703","0.0000707","0.123","0.845","140.057","4"
"spotify:track:5Sr3ppJ2yQEHPTjKPHbKuU","No Pressure","spotify:artist:16rCzZOMQX7P8Kmn5YKexI","Mahalia","spotify:album:64aMsMjyIBGTpIIWSFg4p7","No Pressure","2017-12-01","1","1","196484","false","54","spotify:user:1227113","2018-04-30T17:51:35Z","alternative r&b,dance pop,indie anthem-folk,indie soul,pop,r&b,uk contemporary r&b","0.476","0.546","7","-7.137","0","0.252","0.653","0.00000902","0.0895","0.646","74.212","4"
