"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3f2k8op0nWDoZM4pXim6wG","Surfin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Kid Cudi, Pharrell Williams","spotify:album:0791s63y6DMl5cqFQSaHJL","Surfin'","2016-09-30","1","1","238386","true","60","spotify:user:1227113","2016-11-06T20:47:09Z","hip hop,ohio hip hop,rap,hip hop,pop rap","0.809","0.685","2","-7.916","1","0.045","0.11","0.00363","0.183","0.827","130.008","4"
"spotify:track:6C5pInL9n35sX0gu2Dafv5","Tha Origin (Interlude)","spotify:artist:4GcpBLY8g8NrmimWbssM26","Mndsgn","spotify:album:2JOhCQdflrBKXkqMAPlfUZ","Body Wash","2016-09-16","1","3","85517","false","0","spotify:user:1227113","2016-11-06T20:32:32Z","abstract beats,chillhop,indie jazz,indie soul,synth funk,vapor twitch,wonky","0.257","0.43","11","-11.485","1","0.0695","0.933","0.936","0.58","0.196","82.07","4"
"spotify:track:5mSJgLW43dmFEMK50ECr0S","Father, Father","spotify:artist:2TLYSzGyVYkxAgYSCqUnQj","Jay Prince","spotify:album:0js0LifyH653EoIQos9xv5","Smile Good","2016-10-21","1","2","206769","true","44","spotify:user:1227113","2016-11-06T20:40:04Z","alternative r&b,indie r&b,indie soul,trap soul,uk alternative hip hop,underground hip hop","0.629","0.749","1","-5.414","1","0.0674","0.0498","0.0104","0.494","0.69","130.016","4"
"spotify:track:6mugUzJVrs2wfUUbKywyrn","92 Bars","spotify:artist:0NbfKEOTQCcwd6o7wSDOHI","The Game","spotify:album:0Fn0R9r4naqKNDjCTEg5e7","1992","2016-10-14","1","12","358573","true","0","spotify:user:1227113","2016-11-06T20:46:01Z","gangster rap,hip hop,pop rap,rap,southern hip hop,trap","0.511","0.793","3","-2.208","0","0.311","0.0431","0","0.0501","0.799","81.331","4"
"spotify:track:1Xi28qSSoARTXiqMwb8Srg","The Palisades","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL, spotify:artist:7cAlvWK5rgMmJ37j7woN8l","Childish Gambino, Christian Rich","spotify:album:5GBcqixIFDPEom7AUNbFiM","Kauai","2014-10-03","1","4","190906","false","0","spotify:user:1227113","2016-11-06T20:30:59Z","atl hip hop,hip hop,pop rap,rap,alternative r&b","0.738","0.718","8","-5.905","1","0.0606","0.00725","0","0.127","0.491","100.055","4"
"spotify:track:1Eolhana7nKHYpcYpdVcT5","Little Wing","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:3uFZf8rykoHo7XMIQVYW6r","Axis: Bold As Love","1967-12-01","1","6","145746","false","73","spotify:user:1227113","2016-11-04T02:27:26Z","acid rock,album rock,blues rock,classic rock,psychedelic rock,rock","0.515","0.534","6","-8.045","1","0.0768","0.181","0.00278","0.0547","0.426","70.776","4"
"spotify:track:2n0EDWSAL70IcaEv5nBDZl","Home Is Where the Hatred Is","spotify:artist:0kEfub5RzlZOB2zGomqVSU","Gil Scott-Heron","spotify:album:6iTXdGkpPqaNkeaFUGQSCW","The Revolution Begins: The Flying Dutchman Masters","2012-11-26","1","2","201386","false","0","spotify:user:1227113","2016-11-06T20:59:24Z","conscious hip hop,funk,jazz funk,political hip hop,slam poetry,soul","0.707","0.711","7","-9.454","0","0.0328","0.268","0.00526","0.291","0.91","98.378","4"
"spotify:track:0vFOzaXqZHahrZp6enQwQb","Money","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:4LH4d3cOWNNsVw41Gqt2kv","The Dark Side of the Moon","1973-03-01","1","6","382834","false","75","spotify:user:1227113","2016-11-06T21:04:46Z","album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock","0.469","0.537","9","-10.421","1","0.152","0.0241","0.00201","0.269","0.783","124.193","1"
"spotify:track:0CFLjiBPNO1P2H6LpmSr9w","Paulette","spotify:artist:2qNmQvibIVFYLfpbWmyWuO","Balla Et Ses Balladins","spotify:album:0qZyPM2KOriazUJ9aJuE7x","Objectif Perfection (African Dancefloor Classics)","1993","1","3","462000","false","0","spotify:user:1227113","2016-11-06T20:46:58Z","afropop,highlife,mande pop,west african jazz,world","0.784","0.424","4","-14.928","0","0.0399","0.656","0.00338","0.131","0.919","132.409","4"
"spotify:track:4TDoUr2meaXsfbPFMdrqOE","Me and Your Mama","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:7wbGnr1fb9cFn19eVvNlbm","Me and Your Mama","2016-11-10","1","1","379213","false","0","spotify:user:1227113","2016-11-14T16:30:43Z","atl hip hop,hip hop,pop rap,rap","0.555","0.454","5","-11.806","1","0.0338","0.0116","0.0294","0.0708","0.214","118.003","3"
"spotify:track:6wG6Is4msfLUJzfS59SqkT","Ray Gun (feat. DOOM)","spotify:artist:6FD0unjzGQhX3b6eMccMJe, spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:2JnBROOuiCcAUktd5pHB0K","Ghostface Killah, BADBADNOTGOOD, Doom","spotify:album:0ROuzdCU0C0SyXcC5DWHef","SOUR SOUL","2015-02-20","1","9","187397","true","0","spotify:user:1227113","2016-11-06T21:03:48Z","alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop,alternative hip hop,canadian modern jazz,escape room,funk,hip hop,indie soul","0.573","0.797","2","-6.84","1","0.0528","0.0162","0.294","0.127","0.258","104.88","4"
"spotify:track:2KFE98Iw0X23sf4vJYcbLH","Spanish Castle Magic","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:3uFZf8rykoHo7XMIQVYW6r","Axis: Bold As Love","1967-12-01","1","3","183320","false","53","spotify:user:1227113","2016-11-06T20:38:17Z","acid rock,album rock,blues rock,classic rock,psychedelic rock,rock","0.405","0.831","5","-5.293","0","0.0671","0.0504","0.0918","0.805","0.805","130.856","5"
"spotify:track:3aXyPZk2jqNDwpX14URg4v","Wonka","spotify:artist:3i7IUsb5VsiJAKqX2Md9Fc","Jonwayne","spotify:album:1nrKzOz2K8BkTwa17HsVd1","Wonka - Single","2016-05-13","1","1","225275","true","0","spotify:user:1227113","2016-11-06T20:46:41Z","alternative hip hop,escape room,wonky","0.611","0.754","9","-9.366","1","0.527","0.538","0.00116","0.58","0.268","74.096","4"
"spotify:track:0prR8J5ZG73jzlSQKYVJOH","When I Die","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","GoldLink","spotify:album:6DeOL7ocKOyN0mxur0bRon","The God Complex (Deluxe Edition)","2014-07-22","1","8","100999","true","0","spotify:user:1227113","2016-11-06T20:43:02Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.569","0.532","6","-8.913","1","0.599","0.434","0.00343","0.516","0.326","174.652","3"
"spotify:track:3l7X8L2i4z7mSRxu5lmZHY","GAZI","spotify:artist:0pkwrPVI8UyXtPkavyJoZ4","A.CHAL","spotify:album:5TB2mDrId2fJSqe6UkpmdN","GAZI","2015-05-01","1","1","172701","false","0","spotify:user:1227113","2016-11-06T20:46:23Z","trap soul","0.83","0.452","1","-8.25","0","0.0427","0.274","0.155","0.134","0.241","120.007","4"
"spotify:track:1XSvndyw6uqVW1ekRZsJUp","Who That Be","spotify:artist:2IDLDx25HU1nQMKde4n61a","Rich Brian","spotify:album:3253PDtSwy2v90D5QMPi5M","Who That Be","2016-08-09","1","1","134879","true","53","spotify:user:1227113","2016-11-06T20:34:50Z","indonesian hip hop","0.959","0.47","0","-11.53","1","0.166","0.358","0","0.0806","0.964","129.995","4"
"spotify:track:1WxqRXhse8kdvUof5GPb0v","Cuba Electronic","spotify:artist:0QTEYauMG3DrAVPXCYMseu","Mala","spotify:album:7zWvRIE92oA89f72ILOgMA","Mala in Cuba","2012-09-10","1","7","276665","false","16","spotify:user:1227113","2016-11-06T20:45:05Z","bass music,classic dubstep,deep dubstep","0.742","0.954","10","-10.839","0","0.083","0.0013","0.888","0.0491","0.1","139.979","4"
"spotify:track:2yRsoZAdGswYiA4BZnPnvb","Dog Wushu","spotify:artist:0lVzm0fYj4BredTD0LMdSY","Leron Thomas","spotify:album:5USP4Wu8fep8n1VYhJ2TFS","Good Kung Fu","2016-09-07","1","3","208022","true","16","spotify:user:1227113","2016-11-06T20:43:16Z","indie jazz","0.517","0.191","6","-13.128","1","0.0641","0.974","0.645","0.11","0.138","73.728","4"
"spotify:track:5J409CCD03eO7CQ050fiGx","6 8","spotify:artist:1R4GxRuSVTPSb6oy56SPST","Gabriel Garzón-Montano","spotify:album:0Hh1SKJZum1bstHufoLYZG","Bishouné: Alma Del Huila (Deluxe)","2014-11-14","1","1","298780","false","0","spotify:user:1227113","2016-11-06T20:42:35Z","alternative r&b,indie r&b,indie soul,neo r&b","0.824","0.136","0","-7.938","1","0.0588","0.894","0.0035","0.0765","0.155","115.03","3"
"spotify:track:4i7QbO97jhQWihsVIIQF3s","Ridin Round","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","spotify:album:3z1HZauxcHOFL8OifC8NWQ","Ridin Round","2015-11-02","1","1","276500","true","53","spotify:user:1227113","2016-12-20T22:59:44Z","colombian pop,dance pop,pop","0.822","0.791","1","-5.959","0","0.0483","0.00798","0.0000531","0.0645","0.954","119.977","4"
