"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3GZD6HmiNUhxXYf8Gch723","Lost","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","2012-07-10","1","11","234093","true","73","spotify:user:1227113","2016-11-21T15:16:31Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.913","0.603","8","-4.892","1","0.226","0.0272","0.000503","0.167","0.497","123.061","4"
"spotify:track:47l9wxr6RwgoTSfnseBRcf","Redbone","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:7Ic1NAV1DsdpNHrYeLdC3L","Redbone","2016-11-17","1","1","326880","true","0","spotify:user:1227113","2016-11-21T15:14:25Z","atl hip hop,hip hop,pop rap,rap","0.747","0.378","1","-10.454","1","0.109","0.195","0.0173","0.119","0.565","160.049","4"
"spotify:track:4d0dY3ZeMdoYrD5YmdFvWZ","Half Time","spotify:artist:6Q192DXotxtaysaqNPy5yR","Amy Winehouse","spotify:album:4xdRjOhY9NHmMpI7U3e2c3","Lioness: Hidden Treasures","2011-01-01","1","8","230853","true","61","spotify:user:1227113","2016-11-23T22:37:47Z","british soul,neo soul","0.624","0.488","4","-8.258","0","0.0584","0.375","0.0000963","0.339","0.273","84.218","4"
"spotify:track:7pI31mg1XsAPJCB6gQJSxK","PULL UP","spotify:artist:3ZJxEmjYZd5VOqZ8o3aXiL","ABRA","spotify:album:0bOxQkMO65N7QoNALqq5H5","PRINCESS","2016-07-15","1","5","178906","true","42","spotify:user:1227113","2016-11-24T16:48:53Z","alternative r&b,electropop,escape room","0.788","0.491","0","-8.537","1","0.0516","0.0158","0.802","0.0824","0.724","119.992","4"
"spotify:track:7kty80M5em0GzhtraLTwEJ","Blind Man","spotify:artist:3UjPnt2nRmw10N58bBeNOg","Xavier Omär","spotify:album:43PSVdrMtPSbgVnv42Rfod","Blind Man","2016-09-27","1","1","242195","false","0","spotify:user:1227113","2016-11-21T15:16:16Z","alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul","0.89","0.523","6","-8.526","1","0.056","0.453","0.00000158","0.0831","0.345","111.031","4"
"spotify:track:17ynL4lTU0synQpsYJQ6iC","Middle of Things, Beautiful Wife (feat. Xavier Omär))","spotify:artist:7e3FtKBIPLrIVm8g1FJMVg, spotify:artist:3UjPnt2nRmw10N58bBeNOg","Sango, Xavier Omär","spotify:album:4a04HOY8SSPPpkfzpnwZiY","North","2013-07-23","1","3","222000","false","0","spotify:user:1227113","2016-11-21T15:16:54Z","abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch,alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul","0.377","0.334","8","-10.833","0","0.0757","0.0858","0.00182","0.0756","0.0919","80.521","4"
"spotify:track:3acr5pJSlGvvktOWsOiY0z","I'm Srry","spotify:artist:2Fc1UZXKRmPpWWx1sxcb9m","SwuM","spotify:album:0I6fpgiNXStKMZ7dP7RLGH","Woke","2016-08-10","1","5","157126","false","20","spotify:user:1227113","2016-11-21T15:14:13Z","chillhop,focus beats,lo-fi beats","0.683","0.544","5","-5.649","1","0.0392","0.419","0.0326","0.306","0.252","110.015","4"
"spotify:track:6hzbRKhJHo6cfCHSnNaDS8","God Is Fair, Sexy Nasty (feat. Kendrick Lamar)","spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Mac Miller, Kendrick Lamar","spotify:album:6f6tko6NWoH00cyFOl4VYQ","The Divine Feminine","2016-09-16","1","10","500960","true","65","spotify:user:1227113","2016-11-21T15:14:56Z","hip hop,pittsburgh rap,rap,conscious hip hop,hip hop,rap,west coast rap","0.467","0.41","2","-12.028","1","0.185","0.328","0.0000428","0.113","0.136","95.931","4"
"spotify:track:0R3OnUm6RgIpRFcckCoi0x","Jungle","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","spotify:album:6btE9k5ED8ydC8XY1K0kko","H.E.R. Volume 1","2016-09-09","1","6","304653","false","50","spotify:user:1227113","2016-11-21T15:14:33Z","alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary","0.653","0.265","4","-12.324","0","0.0709","0.702","0.000215","0.0963","0.367","99.732","4"
"spotify:track:4TkGhMYlkcbxCMj3pny9mU","#WhiteGirlVoice","spotify:artist:3jT7IeLgXbSz86qKUq7Bqc","Rajitheone","spotify:album:7lSjDlX9ddz0fpzh0HToo6","#WhiteGirlVoice","2016-10-03","1","1","253078","true","41","spotify:user:1227113","2016-11-21T15:15:04Z","minnesota hip hop","0.497","0.446","6","-9.842","0","0.475","0.62","0","0.0913","0.313","90.854","1"
