"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:02wNtFxlr9dLmZXKT5TIF5","Over the Moon","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","spotify:album:1Iu5sceGmML4CeQ2f5Q6aO","Superclean, Vol. II","2018-09-28","1","5","182900","false","63","spotify:user:1227113","2018-10-25T16:03:37Z","bedroom pop,indie pop,la indie","0.684","0.232","0","-13.249","1","0.0297","0.86","0.404","0.135","0.387","73.518","4"
"spotify:track:42TRtc25JlcHLurf9ILKgD","Strange Things","spotify:artist:6asmpfwwanm7jSQldjBu7y","B. Lewis","spotify:album:6uN8l21tnY46b07dtlc07H","Strange Things","2017-05-26","1","1","173513","false","39","spotify:user:1227113","2018-10-25T16:03:56Z","abstract beats","0.609","0.668","0","-6.352","1","0.0352","0.0432","0.0000668","0.241","0.503","74.059","4"
"spotify:track:6fboJG2URR8NWKl7N1UcA0","Swank (feat. Monica Blaire)","spotify:artist:7u6LfVyYpEzMpHLL7jTyvU, spotify:artist:0u7CF9gJzMB7pyzJkW22eK","Dwele, Monica Blaire","spotify:album:4YR1m5aD7ncOswLYxXoaKl","Greater Than One","2012-08-28","1","9","234040","false","0","spotify:user:1227113","2018-10-25T19:13:46Z","neo soul,r&b,urban contemporary","0.693","0.352","8","-9.45","1","0.295","0.111","0.0459","0.0837","0.665","148.835","4"
"spotify:track:6VAJsBtcXQjA1xdb8Eqs4H","Reefknot","spotify:artist:0Q2Tc5yZFJpumLMc7Yz4e4","Tomppabeats","spotify:album:1wAmWzskpEd4EDHOeZmArF","Arcade","2017-12-08","1","4","109218","false","30","spotify:user:1227113","2018-10-25T19:25:06Z","chillhop,japanese chillhop,lo-fi beats","0.286","0.812","7","-5.479","0","0.263","0.0551","0.000347","0.316","0.525","180.82","4"
"spotify:track:1oFEAWvPHP5TdSlmIs77sV","Conversation Pt. 1","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:5wtE5aLX5r7jOosmPhJhhk","Swimming","2018-08-03","1","9","210253","true","64","spotify:user:1227113","2018-10-25T19:57:07Z","hip hop,pittsburgh rap,rap","0.787","0.472","6","-10.032","0","0.113","0.64","0.0000522","0.11","0.264","144.998","4"
"spotify:track:1soDE2dkusoSpg9Sxzv6Cz","Breeze","spotify:artist:0w7aKnoKpwvfMSvIXigE0t","Akari","spotify:album:6iAWJWksoFvLIPj1v63XBD","Lazyboy","2017-08-24","1","5","127228","true","3","spotify:user:1227113","2018-10-26T01:48:48Z","","0.706","0.245","2","-10.469","0","0.334","0.507","0.00346","0.107","0.515","82.79","4"
"spotify:track:23c9gmiiv7RCu7twft0Mym","Who Hurt You?","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:15M9pZ8gsdoN67yLjyQ039","Who Hurt You?","2018-10-16","1","1","231964","true","74","spotify:user:1227113","2018-10-31T20:40:10Z","canadian contemporary r&b,pop","0.649","0.493","11","-7.645","0","0.11","0.586","0.000167","0.0667","0.277","104.542","4"
"spotify:track:44lW6Jm0aaVnxE8OOT9cVR","Breath","spotify:artist:7lm68Uw3UZDD1vlAWpLeDL, spotify:artist:6asmpfwwanm7jSQldjBu7y","Falcons, B. Lewis","spotify:album:1ke8ETznfA74eJ5kCLnHpt","DAYDRIFT","2018-10-26","1","5","163176","true","13","spotify:user:1227113","2018-10-31T20:44:45Z","vapor twitch,abstract beats","0.667","0.448","6","-10.196","0","0.365","0.273","0","0.155","0.271","82.079","4"
"spotify:track:4AhSkRYioEIfGvCV19peYN","Suncity (feat. Empress Of)","spotify:artist:6LuN9FCkKOj5PcnpouEgny, spotify:artist:5QuBVnBPEzwYvFrgBbwpmU","Khalid, Empress Of","spotify:album:2Qxc2NJ7yPKVFRWi3llRr2","Suncity","2018-10-18","1","7","189493","false","59","spotify:user:1227113","2018-10-31T20:45:32Z","alternative r&b,pop,alternative r&b,art pop,chillwave,dance pop,electropop,escape room,etherpop,pop dance,shimmer pop,shiver pop,vapor soul","0.695","0.639","7","-6.897","0","0.153","0.107","0.000657","0.118","0.344","90.027","4"
"spotify:track:6Og9J8pS6cRvmNnKC1Cv8n","Catching Feelings (feat. Mr Eazi)","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:59iOp415oyqGlBHyAhu4z3, spotify:artist:4TAoP0f9OuWZUesao43xUW","Riton, Kah-Lo, Mr Eazi","spotify:album:5hf2hgcQfZL0jelcxHHoLG","Foreign Ororo","2018-09-28","1","6","232222","false","0","spotify:user:1227113","2018-10-31T20:49:28Z","house,pop dance,uk dance,nigerian pop,afro dancehall,afropop,ghanaian hip hop,nigerian pop,swedish dancehall","0.764","0.692","6","-7.769","0","0.0828","0.148","0.0000412","0.129","0.433","119.918","4"
