"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0VRFazWhPnGajytFRmO9M4","JINGLE ""Y.M.O.""","spotify:artist:2JIf5JxI3ypOSfrfNIIMQE, spotify:artist:4a57NWQ2gDab8cSx2yDONf, spotify:artist:25Xn01AanrVGZXLsQfm5gc","YELLOW MAGIC ORCHESTRA, Y.M.O., Mitsuo Koike","spotify:album:4Qpbz7YM5hszR1m2dKzo0C","Multiplies","1980-06-05","1","1","20666","false","0","spotify:user:1227113","2019-11-01T15:03:05Z","classic j-rock,electro,japanese city pop,proto-techno,shibuya-kei,techno kayo,zolo","0.746","0.654","6","-9.132","1","0.406","0.081","0","0.665","0.855","98.154","4"
"spotify:track:3NRql0A1Ef4RCvT473iqgD","Hell N Back","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","spotify:album:3aEdbaJGWXbBxn79DgjamF","Hell N Back","2019-08-15","1","1","213573","true","77","spotify:user:1227113","2019-10-23T15:23:08Z","uk alternative hip hop","0.584","0.684","10","-4.314","0","0.567","0.312","0.0000905","0.112","0.72","210.164","4"
"spotify:track:3UEh2di2w2D4gfwsvelMn4","How Long Do I Have To Wait For You?","spotify:artist:6LufpoVlIYKQCu9Gjpk8B7","Sharon Jones & The Dap-Kings","spotify:album:78GuiMKSM7mEcrVmIjgl8j","Naturally","2005-03-13","1","6","243760","false","0","spotify:user:1227113","2019-10-30T15:33:11Z","classic soul,funk,modern funk,neo soul,retro soul,soul,southern soul,vocal jazz","0.674","0.909","10","-3.369","0","0.0464","0.469","0.0131","0.105","0.969","103.942","4"
"spotify:track:0kxFVCOcAV3Rwwes2f1SSd","The Traitor","spotify:artist:1PryMSya1JnSAlcwYawCxp","Menahan Street Band","spotify:album:6QZl5MQoa4pTlL3YtslF7G","Make The Road By Walking","2008-10-14","1","6","162266","false","0","spotify:user:1227113","2019-11-05T20:01:04Z","afrobeat,brass band,funk,instrumental funk,soul","0.628","0.585","3","-8.036","0","0.0421","0.147","0.927","0.0465","0.618","100.95","4"
"spotify:track:6q4fPXo4Os72LYDbOzFmve","Suavecito","spotify:artist:2vmTJisPQCD5ThbxbFehAB","Malo","spotify:album:58zAYbDVDCW1kI0zs8yrRK","Celebracion: The Warner Bros. Recordings","2005-08-23","1","5","395200","false","50","spotify:user:1227113","2019-10-31T19:44:02Z","classic soul,latin rock","0.562","0.561","11","-10.954","0","0.0342","0.412","0.0000198","0.0924","0.665","113.969","4"
"spotify:track:3gHFKiDanj4d2rqgHlRFFc","Hello It's Me","spotify:artist:0Lpr5wXzWLtDWm1SjNbpPb","Todd Rundgren","spotify:album:3fRCOoTbBsOITBWlCRCJQr","Something / Anything?","1972","1","22","264093","false","56","spotify:user:1227113","2019-10-30T15:38:29Z","album rock,art rock,classic rock,country rock,dance rock,folk,folk rock,mellow gold,philly soul,power pop,psychedelic rock,rock,roots rock,soft rock,symphonic rock,zolo","0.578","0.848","5","-6.842","1","0.0261","0.0563","0.00426","0.0963","0.779","87.246","4"
"spotify:track:3UOlKFqbavzC0N8EsWY28A","Young, Alive, in Love / 恋とマシンガン (Remastered 2006)","spotify:artist:5fkHPXDNaqz3GrYYhO8APB","Flipper's Guitar","spotify:album:2O79NnpHN0ZreXT7oc9fIs","CAMERA TALK (Remastered 2006)","1990","1","1","232720","false","28","spotify:user:1227113","2019-11-01T15:32:52Z","j-rock,japanese city pop,shibuya-kei","0.618","0.68","9","-6.839","1","0.0404","0.111","0.0000122","0.433","0.585","121.424","4"
"spotify:track:6WGgyJqASKK3cQlu11pFYC","O Ganso","spotify:artist:5rX2c1zow6hCph8PnnU3kF","Astrud Gilberto","spotify:album:37xKx9ymHBSgYX02zZhwb9","The Shadow Of Your Smile","1965-05-22","1","7","129613","false","26","spotify:user:1227113","2019-10-21T19:53:05Z","adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz","0.568","0.317","9","-16.534","1","0.0552","0.674","0.148","0.314","0.934","86.856","4"
"spotify:track:6HnwWHsYMKWLWFhMfUL1VT","Bluchanga","spotify:artist:1DtoQP5DtMJy9OlzQoyegD","João Donato E Seu Trio","spotify:album:0SgDWR5LcEig2Px0XZnmhZ","A Bossa Muito Moderna De Donato E Seu Trio","2019-07-18","1","3","134400","false","0","spotify:user:1227113","2019-10-25T19:02:30Z","bossa nova","0.768","0.547","5","-15.737","0","0.0542","0.315","0.173","0.0866","0.769","149.702","4"
"spotify:track:0qjNOWXNj9SUuBiW9ioJhD","Nata Di Marzo","spotify:artist:0IQalWuw5NBk1xXG5GK0Bv","Pizzicato Five","spotify:album:38NwRsOr3ukfzQR95Nj91i","Kids In The Hall Brain Candy","1996-04-09","1","14","183173","false","21","spotify:user:1227113","2019-11-01T15:32:45Z","oshare kei,shibuya-kei","0.658","0.691","0","-8.312","1","0.0308","0.546","0.0000018","0.12","0.909","138.525","4"
"spotify:track:2jA7IONZUcWrYxEMnwAPDZ","Vivre Pour Vivre","spotify:artist:0Lf3tvw0Rzwr38KDrShstn","Francis Lai","spotify:album:4q2uIRtXzeSXEtNegxFR56","Le Cinéma De Francis Lai","2007-07-02","1","8","191053","false","45","spotify:user:1227113","2019-10-21T14:42:39Z","classic soundtrack,easy listening,french soundtrack,lounge,vintage french electronic","0.344","0.299","5","-13.274","0","0.0288","0.921","0.942","0.0646","0.134","95.376","3"
"spotify:track:7ilc2TB1RZXbQJyFs5qCiC","Fly Me To The Moon","spotify:artist:5rX2c1zow6hCph8PnnU3kF","Astrud Gilberto","spotify:album:37xKx9ymHBSgYX02zZhwb9","The Shadow Of Your Smile","1965-05-22","1","4","142533","false","56","spotify:user:1227113","2019-11-05T20:04:32Z","adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz","0.595","0.306","7","-14.404","1","0.0345","0.883","0.000386","0.0733","0.464","133.63","4"
