"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3LjEaWzh33DiR8MtrVbJnI","What If I Go?","spotify:artist:5Q81rlcTFh3k6DQJXPdsot, spotify:artist:5BydzSmKBIh8HkWFwx4Rrg","Mura Masa, Bonzai","spotify:album:40fAGKWphn6Zsn0aypqHxm","What If I Go?","2016-03-15","1","1","200550","false","0","spotify:user:1227113","2016-10-08T18:16:11Z","channel islands indie,edm,vapor soul,irish pop","0.487","0.623","7","-7.388","1","0.464","0.375","0","0.308","0.894","200.155","4"
"spotify:track:1WIfWj5skn5UUZTs4cEFBe","Location","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:5f4VQ4QMbjZLMfxL7RM5aE","Location","2017-10-31","1","1","217566","false","60","spotify:user:1227113","2016-10-08T18:15:52Z","alternative r&b,pop","0.799","0.436","1","-9.975","0","0.379","0.283","0.000105","0.0968","0.311","80.028","4"
"spotify:track:1mPk3Jw9wu1gpASZkgkFHG","Lost and Found","spotify:artist:6vHBuUxrcpn1do5UaEJ7g6","Domo Genesis","spotify:album:3mhZHDmHvIUAeAYH7MrXBW","Genesis","2016-03-25","1","12","153640","true","26","spotify:user:1227113","2016-10-08T20:58:55Z","alternative hip hop,hip hop,rap,underground hip hop","0.514","0.602","5","-11.36","1","0.184","0.0402","0","0.104","0.725","97.017","4"
"spotify:track:2yMp9jzHncuuFh4iH0ALrm","ROSE GOLD - prod. TEKLUN","spotify:artist:00jACgDWIBdPM4eH8nORwz, spotify:artist:3CE8Ux0j4kdaWpqCssKnVA","Reva DeVito, TEK.LUN","spotify:album:44KptSzRynH5IagamoLuUc","THE MOVE EP","2016-09-30","1","3","224443","false","0","spotify:user:1227113","2016-10-12T14:07:41Z","portland hip hop,future bass,vapor twitch","0.646","0.676","10","-5.898","0","0.0405","0.665","0.000201","0.0778","0.347","78.972","4"
"spotify:track:5HRLyB5XUOEYvpYtMYjWbD","Room In Here - DJ Jazzy Jeff Remix","spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:3nmiIgeri4vEY7y0VpbsCn","Anderson .Paak, DJ Jazzy Jeff","spotify:album:4WNFztaMfnSV2iyDNKTQ5Y","Room In Here (DJ Jazzy Jeff Remix)","2016-03-16","1","1","241379","false","0","spotify:user:1227113","2016-10-08T18:15:22Z","escape room,alternative hip hop,east coast hip hop,hip hop,jazz rap,turntablism","0.592","0.69","6","-7.126","0","0.183","0.147","0.00000633","0.0778","0.527","86.953","4"
"spotify:track:5WY2nfub0krPVi3sMlK13Z","Luther's Joint","spotify:artist:2DLlb2Se6eF0mMTYffyAcn","IAMNOBODI","spotify:album:4hAoHGDone1L1MBeAS6eTi","IMANI - EP","2016-09-30","1","2","207316","false","34","spotify:user:1227113","2016-10-08T19:56:26Z","alternative r&b","0.82","0.446","6","-7.778","1","0.0564","0.0231","0.148","0.162","0.426","105.928","4"
"spotify:track:5aCKoZPmH2aOfK5jCznhzw","Meant To Be - Ta-ku Remix","spotify:artist:0GG2cWaonE4JPrjcCCQ1EG, spotify:artist:13Kd75NSHSp9lB4CaqPMOV","SG Lewis, Ta-ku","spotify:album:3aFEugw5LghGcHAhMRR9Tw","Meant To Be (Ta-ku Remix)","2016-09-16","1","1","190167","false","0","spotify:user:1227113","2016-10-08T20:36:40Z","alternative r&b,indie soul,uk dance,vapor soul,alternative r&b,ambeat,indie soul,vapor soul,vapor twitch","0.64","0.423","4","-9.725","0","0.0355","0.363","0.142","0.647","0.0889","96.999","4"
"spotify:track:3V8vWoCbKbfjNrPaQ4YtSg","untitled 05 | 09.21.2014.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:0kL3TYRsSXnu0iJvFO3rud","untitled unmastered.","2016-03-04","1","5","338426","true","54","spotify:user:1227113","2016-10-08T18:39:08Z","conscious hip hop,hip hop,rap,west coast rap","0.461","0.62","0","-9.822","1","0.496","0.321","0","0.151","0.422","153.941","4"
"spotify:track:1KHdXgBdPvihVRLO1EM25z","I Really Don't Care","spotify:artist:4jCbgl5Dmt3uOh8WRQfpPs","Bilal","spotify:album:6InQseLVCMxyyoC7a6Y1mq","In Another Life","2015-06-30","1","4","179631","false","0","spotify:user:1227113","2016-10-08T18:28:16Z","hip hop,indie soul,neo soul","0.698","0.484","7","-6.623","1","0.0265","0.561","0.000411","0.107","0.233","99.668","4"
"spotify:track:3QXm6zLOV9DKgLxmwqsysO","Skyline To","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:1PDX0hMmsSdq122EupvNZF","Blonde","2016-08-20","1","6","184600","true","0","spotify:user:1227113","2016-10-08T19:48:26Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.417","0.294","5","-13.665","0","0.06","0.883","0.00000595","0.104","0.382","127.709","4"
