"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0Ilpk65GBe1sO2KbrzNqZH","Sunflower","spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB","Colde","spotify:album:68DMCodGLgBv2W0EHbTFAr","Wave","2018-09-13","1","4","255000","false","45","spotify:user:1227113","2018-10-11T02:38:37Z","chill r&b,k-indie,k-rap,korean pop,korean r&b","0.666","0.824","2","-6.276","1","0.138","0.437","0.00000111","0.127","0.655","78.029","4"
"spotify:track:1pz24zu5H9A0S1a2NKT4F0","SoulMate (feat. IU)","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0, spotify:artist:3HqSLMAZ3g3d5poNaI7GOU","ZICO, IU","spotify:album:0aDnkPxX660ezxCWBcqzVo","SoulMate (feat. IU)","2018-07-30","1","1","219390","false","63","spotify:user:1227113","2018-10-11T02:38:58Z","k-pop,k-rap,korean pop,korean r&b,k-pop","0.855","0.58","5","-6.951","1","0.141","0.234","0","0.0965","0.518","96.998","4"
"spotify:track:172yFZLpVdoUmTvWivZ2Rq","Playlist","spotify:artist:0siBQaURCli5wn2lqv8WZg","DPR LIVE","spotify:album:1JtaET2dIYEOpvGOCabM6H","Playlist","2018-06-12","1","1","172310","false","47","spotify:user:1227113","2018-10-11T02:56:05Z","chill r&b,k-pop,korean r&b","0.807","0.758","2","-5.693","0","0.104","0.442","0","0.0988","0.857","129.929","4"
"spotify:track:4wBHhHH7lptDbAMpxS0rla","Cupid","spotify:artist:2u7CP5T30c8ctenzXgEV1W, spotify:artist:1MAUqH0haKBYbjpknTfreY","pH-1, PENOMECO","spotify:album:17qqarDtNNb3IBY6Xrhabj","loves","2018-08-20","1","1","220490","false","53","spotify:user:1227113","2018-10-11T02:56:05Z","chill r&b,k-pop,k-rap,korean r&b,k-pop,k-rap,korean pop,korean r&b","0.87","0.629","0","-3.824","1","0.0905","0.137","0","0.115","0.562","114.983","4"
"spotify:track:3cF3G32IZUTKGd0kCM6xHo","WHACHUWANT","spotify:artist:2krUNMgFZYm5s4Nn0g91W9","HAON","spotify:album:7paPIIEBNYB1Mtnshg6kvB","TRAVEL: NOAH","2018-09-05","1","3","215043","false","30","spotify:user:1227113","2018-10-11T03:05:44Z","k-rap","0.892","0.867","5","-3.698","0","0.058","0.169","0","0.0827","0.915","120.003","4"
"spotify:track:1snopndi7k1Y0c4KpWtjJa","NOAH","spotify:artist:2krUNMgFZYm5s4Nn0g91W9, spotify:artist:4XDi67ZENZcbfKnvMnTYsI, spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","HAON, Jay Park, Hoody","spotify:album:7paPIIEBNYB1Mtnshg6kvB","TRAVEL: NOAH","2018-09-05","1","1","224570","false","49","spotify:user:1227113","2018-10-11T03:06:50Z","k-rap,k-pop,k-rap,korean r&b,k-indie,k-pop,k-rap,korean pop,korean r&b","0.757","0.947","9","-3.888","0","0.205","0.26","0.00000113","0.096","0.684","116.023","4"
"spotify:track:6krSfZ4vGkHqQb1qGBoel9","NYLON","spotify:artist:2krUNMgFZYm5s4Nn0g91W9, spotify:artist:2u7CP5T30c8ctenzXgEV1W","HAON, pH-1","spotify:album:7paPIIEBNYB1Mtnshg6kvB","TRAVEL: NOAH","2018-09-05","1","5","208891","false","40","spotify:user:1227113","2018-10-11T03:08:00Z","k-rap,chill r&b,k-pop,k-rap,korean r&b","0.837","0.563","0","-4.809","0","0.0684","0.717","0","0.107","0.689","99.931","4"
"spotify:track:2cCj7bIY0jrdGn20lq88ae","I’ll be There","spotify:artist:52zMTJCKluDlFwMQWmccY7","LOONA","spotify:album:6h4FJjtRBnNQJzL3dVHrob","HyunJin","2016-11-17","1","1","188558","false","0","spotify:user:1227113","2018-10-11T03:17:34Z","k-pop,k-pop girl group","0.592","0.799","5","-3.995","0","0.114","0.259","0","0.081","0.729","112.176","4"
"spotify:track:3hHpCjJdBBw4KjizY8l72r","COCO BOTTLE","spotify:artist:1MAUqH0haKBYbjpknTfreY","PENOMECO","spotify:album:18T01XcLc1WzIZ3bCzwOsg","COCO BOTTLE","2018-06-15","1","1","187889","false","51","spotify:user:1227113","2018-10-13T00:06:50Z","k-pop,k-rap,korean pop,korean r&b","0.826","0.714","11","-5.92","0","0.0659","0.1","0.0000032","0.256","0.858","120.019","4"
"spotify:track:04IGR2cI76yPj8GUoNhUv5","Good Morning","spotify:artist:1MAUqH0haKBYbjpknTfreY, spotify:artist:7c1HgFDe8ogy5NOZ1ANCJQ","PENOMECO, Car\, the garden","spotify:album:6hmEMEYv8DfUfBn6iOd7dM","Good Morning","2018-03-22","1","1","177459","false","35","spotify:user:1227113","2018-10-13T00:07:32Z","k-pop,k-rap,korean pop,korean r&b,k-indie,korean pop","0.647","0.491","1","-7.771","1","0.0811","0.252","0.00000408","0.274","0.796","126.729","4"
