"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1sQBPGypjSgEgJZvD8u8ty","Roll Some Mo","spotify:artist:5Vuvs6Py2JRU7WiFDVsI7J","Lucky Daye","spotify:album:0sxfu0XUwHOtnKiZgkTQwk","Painted","2019-05-24","1","1","292884","false","64","spotify:user:1227113","2019-10-11T17:02:46Z","alternative r&b,indie r&b,indie soul,pop r&b","0.389","0.507","11","-9.026","1","0.0621","0.259","0.0441","0.142","0.364","74.718","4"
"spotify:track:6mnYXjuK0CDzqem4eR5JGU","Ghostride","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","spotify:album:7lCfuNDA72LdCBY011LZs3","Ghostride","2019-05-09","1","1","126120","false","0","spotify:user:1227113","2019-10-08T19:01:01Z","indie garage rock,neo-psychedelic","0.664","0.352","2","-9.426","1","0.0278","0.511","0.806","0.109","0.45","87.054","4"
"spotify:track:0q9NgUcNHNQvs3jtGvL5E7","SAISEI","spotify:artist:76cI3VsDNJoORPA84esBZP, spotify:artist:1xM3qD3oQS9quA6J7caYGA","HOKUTO, WATT a.k.a. YOTTERUBUTTERU","spotify:album:4Hy7iOQOBWbuy8N0lQi3Wj","AMATEUR RHYTHM","2016-12-14","1","3","253220","false","12","spotify:user:1227113","2019-10-10T23:13:05Z","","0.624","0.836","0","-6.217","1","0.193","0.504","0","0.117","0.735","92.061","4"
"spotify:track:7nPEEBMRjS6ApTeGk37gS8","Noise","spotify:artist:1IMce39rs3RaGc03Vpbs68, spotify:artist:7Hjbimq43OgxaBRpFXic4x","Klassik, Saba","spotify:album:4P5NlK6Fv3T95liVLSsCj0","Noise","2019-10-04","1","1","190405","true","20","spotify:user:1227113","2019-10-04T14:17:38Z","milwaukee hip hop,alternative r&b,chicago rap,hip hop,rap,underground hip hop","0.415","0.568","0","-8.636","0","0.375","0.484","0","0.105","0.479","176.872","4"
"spotify:track:5rpRzRxbfIg6d6tKDyNaOD","Wyd","spotify:artist:2kk1THOr0gsQaAqOj02tbl, spotify:artist:6Wjyo1J1HR7HlT2bUTZ82T, spotify:artist:7riIDkMpiCIuZUbLaScpQq","Maesu, Shagabond, DAISY","spotify:album:3fnFzZ1yyApi2OKvxj8Y8t","Wyd","2019-08-30","1","1","142222","false","37","spotify:user:1227113","2019-10-07T14:31:49Z","alternative r&b,la pop","0.727","0.477","5","-10.329","0","0.0729","0.482","0.00024","0.088","0.526","71.994","4"
"spotify:track:7ge4qBkps7zEHSA8da5mdc","Love Affair","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","spotify:album:2q5xaeqEQih2Cx0GKi1mi6","Love Affair","2019-10-09","1","1","190960","false","0","spotify:user:1227113","2019-10-11T14:02:42Z","alternative r&b,bedroom soul,chill r&b,indie r&b,pop","0.613","0.488","8","-7.372","1","0.0959","0.129","0.0000213","0.335","0.183","172.067","4"
"spotify:track:0Ff1EHjZkZl7d1Wgm0wa82","Bike Lane","spotify:artist:5Seq5NVNiEVCKLmDeQ6yBZ","Kuma Overdose","spotify:album:5IUqSE3YHoKOpKzvJu70BD","Lofty.","2019-05-03","1","3","223775","false","43","spotify:user:1227113","2019-10-03T15:17:26Z","","0.677","0.531","9","-9.616","0","0.085","0.292","0.000515","0.283","0.444","94.029","4"
"spotify:track:4RXR43tpX3Agn0qWEOZNfG","Color World","spotify:artist:6LtgEnShwvrqAaKohg7skM, spotify:artist:3CiuXDKttPUT0tWGHicFUH","Hablot Brown, Tim Atlas","spotify:album:2kNkXMc9Y3cRLkXj7vCID3","Color World","2018-11-28","1","1","218181","false","51","spotify:user:1227113","2019-10-11T15:19:16Z","alternative r&b,chill r&b,indie r&b,indie soul,indie poptimism,vapor soul","0.644","0.283","1","-10.675","0","0.054","0.083","0.311","0.111","0.378","110.016","4"
"spotify:track:3r0De8fCHZmVl9r3Xgo2oG","PLASTIC STRAW","spotify:artist:5932gYdqLCu1ftKVXf1PO4, spotify:artist:3CiuXDKttPUT0tWGHicFUH","NASAYA, Tim Atlas","spotify:album:7lfoNr6Qxt7WfX77MDfRe6","PLASTIC STRAW","2019-10-09","1","1","168576","false","34","spotify:user:1227113","2019-10-11T14:20:31Z","indie poptimism,vapor soul","0.803","0.63","8","-4.38","0","0.0333","0.0693","0.000641","0.305","0.963","108.17","4"
"spotify:track:3g2TTPgNQhwGnkctiENsEh","I Hope to Be Around (Album V)","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","Men I Trust","spotify:album:4W4gNYa4tt3t8V6FmONWEK","Oncle Jazz","2019-09-13","1","9","206174","false","46","spotify:user:1227113","2019-10-11T14:30:54Z","indie pop","0.825","0.397","11","-13.459","1","0.0385","0.85","0.0136","0.108","0.758","87.985","4"
