"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4IJCpw6mk5TpLeEIBEc6K7","Bitter Pill","spotify:artist:4uaGojdWj4H6cTJydZUPWG, spotify:artist:60k4atxgEIMFz4DWHp0le1, spotify:artist:2NWuUOptHRTogSZghYspAE","Christian Kuria, Braxton Cook, Jack Dine","spotify:album:3rrTkOUpmMF7NziwGNxBkM","Bitter Pill","2019-09-04","1","1","240837","true","0","spotify:user:1227113","2019-10-02T17:41:34Z","alternative r&b,chill r&b,indie r&b,neo r&b,indie jazz,indie soul,neo r&b","0.633","0.451","0","-12.696","1","0.0393","0.679","0.157","0.0601","0.801","155.946","4"
"spotify:track:2hbmMvwQECrR15Oh14vcuq","Blue in Green","spotify:artist:5D21ZneiMBeuS22kVg2sxE, spotify:artist:2Ea7qJOrKOD6OYkXNEUwrs","kiki vivi lily, SUKISHA","spotify:album:3GBxDwwUuPUspTS1bNuClh","Blue in Green","2019-02-27","1","1","281739","false","28","spotify:user:1227113","2019-10-08T21:47:27Z","japanese alternative rock,japanese city pop,japanese r&b,japanese city pop,japanese r&b","0.787","0.793","5","-5.378","1","0.162","0.565","0.000053","0.379","0.59","115.076","4"
"spotify:track:1esyt62pq02xPShuaK5OpA","LowKey (feat. Jayd Ink)","spotify:artist:0JeTRYMH7FoBiMcLXg1n8g, spotify:artist:6TfJcKCr5hFsYZkq2k1Pac","Full Crate, Jayd Ink","spotify:album:5IymapBkxovOp4ELc4sQNy","LowKey (feat. Jayd Ink)","2019-02-27","1","1","173420","false","52","spotify:user:1227113","2019-10-08T22:02:16Z","alternative r&b,chill r&b,dutch r&b,indie r&b,indie soul,canadian contemporary r&b,pop r&b","0.758","0.371","11","-12.437","0","0.279","0.104","0.0317","0.171","0.531","179.969","4"
"spotify:track:7LjRPqtlYb2qyqUmKOwKuz","Nirvana (with Falcons & B. Lewis)","spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ, spotify:artist:7lm68Uw3UZDD1vlAWpLeDL, spotify:artist:6asmpfwwanm7jSQldjBu7y","Bas, Falcons, B. Lewis","spotify:album:5L0fqBCRKpkOHDNiwTgJbZ","Spilled Milk 1","2019-08-09","1","3","165953","true","49","spotify:user:1227113","2019-10-01T21:31:35Z","hip hop,pop rap,queens hip hop,rap,sudanese pop,underground hip hop,vapor twitch,abstract beats","0.722","0.538","9","-8.145","0","0.0584","0.361","0","0.148","0.527","129.978","4"
"spotify:track:4SBVWkRIMJ6WBCYPvr5Bwr","Make It Better (feat. Smokey Robinson)","spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:0h9smro0z3HqUbD94jotU8","Anderson .Paak, Smokey Robinson","spotify:album:0YF8PfcGbsKg5IaFyPnlyY","Ventura","2019-04-12","1","2","219332","false","69","spotify:user:1227113","2019-10-10T20:59:08Z","escape room,classic soul,disco,funk,motown,quiet storm,soul,southern soul","0.676","0.56","4","-6.024","0","0.0643","0.0112","0.00403","0.137","0.551","178.555","4"
"spotify:track:3KapR70eIR6Zm3kJfG4oB3","Feel The Vibe","spotify:artist:07d5etnpjriczFBB8pxmRe, spotify:artist:3jK9MiCrA42lLAdMGUZpwa","BJ The Chicago Kid, Anderson .Paak","spotify:album:7lZWuo8TFgz5ty8PEWa6SO","1123","2019-07-26","1","1","240884","true","58","spotify:user:1227113","2019-10-02T17:45:06Z","alternative r&b,chicago rap,hip hop,indie soul,neo soul,rap,underground hip hop,escape room","0.631","0.8","2","-6.546","0","0.0506","0.188","0.000533","0.64","0.857","87.482","4"
"spotify:track:3V1MQv2hCKgySxaISd3QoC","somethinG about your love.","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","spotify:album:6yrqWNoOLSZQZbECUTRyIC","mō'zā-ik.","2018-10-19","1","3","240627","false","32","spotify:user:1227113","2019-10-10T21:00:33Z","alternative r&b,indie r&b,indie soul","0.707","0.734","7","-4.818","1","0.0649","0.0183","0","0.191","0.673","129.983","4"
"spotify:track:4pthvdNd1EypeNic7l5ngz","I’m fine (With Sleepy, LOCO, Hoody)","spotify:artist:3kPEBSt7qgVoRZSbIXMr7W, spotify:artist:7lXgbtBDcCRbfc5f8FhGUL, spotify:artist:2e4G04F77jxVuDYo44TCSm, spotify:artist:5qp3vJC5OdDo1Zsrsl3sIR","GRAY, Hoody, Loco, Sleepy","spotify:album:62S9H2fOKaEZzgwQjOByY5","The hyena on the keyboard","2017-10-09","1","2","197734","false","44","spotify:user:1227113","2019-10-03T22:00:36Z","k-rap,korean pop,k-indie,k-pop,k-rap,korean pop,korean r&b,k-pop,korean pop,korean r&b,k-rap","0.771","0.629","0","-4.259","0","0.0652","0.55","0","0.305","0.846","90.069","4"
"spotify:track:1i7iPkg9xJIKTDEKebOZuA","Veranda","spotify:artist:704gz1q9ieRxZfTkhPlZGG","BIM","spotify:album:3ZSEJ3FURcZtpseXCd35wh","Veranda","2019-08-30","1","1","207000","false","40","spotify:user:1227113","2019-10-02T17:12:54Z","j-rap,japanese r&b","0.877","0.68","2","-6.054","1","0.0752","0.08","0.0582","0.0753","0.766","150.025","4"
"spotify:track:6iFuenXxesdLj6gtJ7jts4","Owl(解放)","spotify:artist:31cQ1UZ89lT9gFf6bvADZl, spotify:artist:4ZPInhlYlpaCsk1vnHmKBP","YonYon, Samuel Seo","spotify:album:4ZuNTwaCKVjv7Myv9xlzHr","Owl(解放)","2019","1","1","229500","false","36","spotify:user:1227113","2019-10-01T21:46:34Z","k-indie,k-rap,korean r&b","0.742","0.557","10","-5.918","0","0.0525","0.114","0.00000556","0.0537","0.882","135.08","4"
"spotify:track:7DHrin6fl2RV6ND1k3MF9y","Loverboy","spotify:artist:28EyduqESEOVMO6vglvaUZ","Joesef","spotify:album:7w3ggwVB0OqAGFkboiozRS","Loverboy","2019-05-17","1","1","238122","false","54","spotify:user:1227113","2019-09-30T14:51:46Z","indie r&b,indie soul,uk alternative pop","0.356","0.611","11","-7.219","0","0.0567","0.594","0","0.119","0.524","79.338","4"
"spotify:track:1E0KRe6ngjHagiMUGaf4SL","On Fire","spotify:artist:5qfkUSH3ip5dD2eEPhjkT3","Kyle Dion","spotify:album:4ZQjhcYbZl4KhMoBekUzUL","SUGA","2019-03-08","1","1","148926","false","29","spotify:user:1227113","2019-09-30T14:30:02Z","alternative r&b,chill r&b,indie r&b,indie soul","0.505","0.885","4","-4.779","0","0.0899","0.0318","0.0058","0.817","0.5","115.923","4"
"spotify:track:36m0ktASmXMN1Co2TCfIl2","Truth (feat. Alicia Keys & The Last Artful, Dodgr)","spotify:artist:3hv9jJF3adDNsBSIQDqcjp, spotify:artist:3DiDSECUqqY1AuBP8qtaIa, spotify:artist:6jpOOrGFSWdHx6leHfU54n","Mark Ronson, Alicia Keys, The Last Artful\, Dodgr","spotify:album:6vdLdzihSWxV8FgWU2GSvA","Late Night Feelings","2019-06-21","1","8","228418","true","51","spotify:user:1227113","2019-10-02T17:13:05Z","dance pop,neo soul,pop,pop dance,hip pop,neo soul,pop,r&b,urban contemporary,portland hip hop","0.635","0.846","4","-5.459","0","0.114","0.0241","0","0.267","0.56","87.468","4"
"spotify:track:0Clrub1SsK4I9xHyYSJmPw","When You Hold Me","spotify:artist:60k4atxgEIMFz4DWHp0le1","Braxton Cook","spotify:album:63v9MF13qG9mPKMcXazmfs","No Doubt","2018-11-02","1","2","240873","false","0","spotify:user:1227113","2019-10-10T20:59:58Z","indie jazz,indie soul,neo r&b","0.55","0.608","6","-9.88","0","0.066","0.369","0.0000013","0.155","0.588","92.762","4"
"spotify:track:0VKtRbgIN0YlDSgIhGLvun","On Sight","spotify:artist:4596e2d3KmYzAeVenjCxfj, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:6sqZoZxe9BQwk7Zxh6STfF, spotify:artist:53htGvuREf9YT5LYk5HEvb","Free Nationals, JID, Kadhja Bonet, MIKNNA","spotify:album:1ffElvStUPwXnCwQOzXOUY","On Sight","2019-09-20","1","1","249453","false","43","spotify:user:1227113","2019-10-10T20:59:33Z","alternative r&b,indie soul,hip hop,rap,underground hip hop,indie soul,psychedelic soul,trap soul","0.707","0.663","2","-7.548","0","0.0908","0.276","0.000387","0.693","0.712","94.965","4"
"spotify:track:3b1Nsr6zhpepGc0KQKpSU3","LA","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:5zUDvKAyEKkrhYLWJJWGPQ","Chasing Summer","2019-08-30","1","14","310733","true","47","spotify:user:1227113","2019-10-02T19:47:03Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop","0.506","0.524","1","-9.449","0","0.406","0.573","0.000823","0.258","0.19","86.044","4"
