"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2gOv0TbtEYQPIBBEZ3CecT","Bad","spotify:artist:6640cHoNCdUXlPbwrsaoN6","Donavon","spotify:album:02N4I8FSqkKOCpZFnyhKp1","Bad","2019-04-08","1","1","168000","true","36","spotify:user:1227113","2019-10-18T15:56:59Z","indie hip hop","0.704","0.326","8","-12.093","1","0.0722","0.14","0.0000372","0.496","0.422","80.067","4"
"spotify:track:2W7aGVjWM4K2bdbzEz4jQP","Blue Moon","spotify:artist:5MbNzCW3qokGyoo9giHA3V","EARTHGANG","spotify:album:2JtlTPzThXs3Pvz8V2iBIB","Mirrorland","2019-09-06","1","10","238586","true","44","spotify:user:1227113","2019-10-28T19:39:38Z","atl hip hop,hip hop,indie hip hop,psychedelic hip hop,rap,underground hip hop","0.746","0.771","6","-5.183","0","0.152","0.208","0.0000665","0.499","0.49","94.938","4"
"spotify:track:3YAKKLkaNHlPmziEmRjZBe","Sharpest Edges","spotify:artist:7wFDo161xYdeaiLz3KIHoM","Gallant","spotify:album:31OLQGS2LF0F3gUIBrVtgv","Sharpest Edges","2019-06-14","1","1","189436","true","9","spotify:user:1227113","2019-10-15T15:28:37Z","alternative r&b,chill r&b","0.844","0.468","1","-8.278","1","0.118","0.0202","0.00039","0.123","0.627","93.92","4"
"spotify:track:17FcHcqAzh237dxxi4cLoT","Lonely Boy","spotify:artist:4ONpnuHm5fPmO8i0YsMRrR, spotify:artist:4ZPInhlYlpaCsk1vnHmKBP","DAMYE, Samuel Seo","spotify:album:0xTS6zCI4QSIx8UNKu1P6Y","Lonely Boy","2019-10-06","1","1","223489","false","20","spotify:user:1227113","2019-10-15T15:29:40Z","k-indie,k-rap,korean r&b","0.597","0.486","1","-6.352","0","0.164","0.487","0","0.205","0.708","93.868","4"
"spotify:track:3AN70xkC9i9fFBpKlukRhY","Winners Circle","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:0YF8PfcGbsKg5IaFyPnlyY","Ventura","2019-04-12","1","4","209237","true","56","spotify:user:1227113","2019-10-15T15:29:44Z","escape room","0.764","0.591","2","-8.81","1","0.307","0.182","0.00000832","0.396","0.694","94.089","4"
"spotify:track:42DZ6nBYhvyoLwmCUGz2T9","Good To Know (feat. Masego, Kp & Ambriia)","spotify:artist:5oSCIcpPdrO3UhTMATxkYL, spotify:artist:3ycxRkcZ67ALN3GQJ57Vig, spotify:artist:188wOiNLfaMrUoIGUbvq6q, spotify:artist:0kXEGJfjkpFEpymHT5lCKD","Ciscero, Masego, Ambriia, KP","spotify:album:7rDIbwEbqPVRVFe4W0XPD4","Good To Know (feat. Masego, Kp & Ambriia)","2019-10-25","1","1","241755","true","55","spotify:user:1227113","2019-10-25T14:41:45Z","dmv rap,alternative r&b,indie soul","0.877","0.387","6","-7.487","0","0.146","0.246","0.00127","0.116","0.647","97.35","4"
"spotify:track:4uHnGCtTaFxaUhCIS2LGmf","One Two Things (feat. TOBi)","spotify:artist:4F61H4lx1js4wtWfb2Rfnt, spotify:artist:79ffq2PHS5TDmgnHhAyudW, spotify:artist:1bqxdqvUtPWZri43cKHac8, spotify:artist:0P54cVemq1DCHUfUMlWAoN","Party Pupils, Louis Futon, MAX, TOBi","spotify:album:6F6k1AA61JnJALFyEqSTiM","One Two Things (feat. TOBi)","2019-10-04","1","1","187924","false","43","spotify:user:1227113","2019-10-25T14:43:53Z","pop edm,electropop,future bass,vapor soul,vapor twitch,dance pop,electropop,pop,post-teen pop,viral pop,canadian contemporary r&b,canadian hip hop","0.67","0.68","11","-6.503","0","0.077","0.148","0.0000138","0.347","0.273","105.93","4"
"spotify:track:5I82lnfQNbLKpXHFa3kcvR","Not Enough (feat. THEY.)","spotify:artist:1aSwrSGBNGMLn9ymttfRkk, spotify:artist:0pghUohLPptZWBasy2wmUx","Lido, THEY.","spotify:album:7nCIY6MIYkXopIXapt0X8j","Not Enough (feat. THEY.)","2017-06-09","1","1","192145","true","39","spotify:user:1227113","2019-10-18T14:40:05Z","future bass,norwegian pop,vapor twitch,alternative r&b,pop r&b,pop rap,trap soul,underground hip hop","0.741","0.835","11","-4.11","0","0.045","0.00583","0","0.161","0.605","109.993","4"
"spotify:track:4JsHWAtchzAh2hkXlfIVY3","Cruisin' - 80KIDZ's New Jack Swing Edit","spotify:artist:43NKdJzrtzg9rAzmbIUdW8, spotify:artist:1HzcHe0WFm4koBalCEOkVh","Shin Sakiura, SIRUP","spotify:album:6gVeAmKyW7H3kZKdnhF7w3","Cruisin'","2019-01-09","1","2","185130","false","19","spotify:user:1227113","2019-10-18T14:39:54Z","japanese city pop,japanese jazz fusion,japanese r&b,japanese soul,j-pop,japanese r&b,japanese soul","0.609","0.936","0","-2.413","1","0.0717","0.0319","0","0.323","0.746","112.967","4"
"spotify:track:6bOolCc1reDEJ0Yjp37ASj","That's My Baby -Midas Hutch Remix","spotify:artist:2UmhByzSum8X2lQZ7pWvWp","RIRI","spotify:album:5EL5771ZIEaZm5PSu1obsu","That's My Baby -Midas Hutch Remix","2018-08-10","1","1","213008","false","13","spotify:user:1227113","2019-10-15T15:28:37Z","japanese r&b","0.686","0.689","3","-6.073","1","0.0377","0.091","0","0.35","0.673","105.056","4"
