"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6MF4tRr5lU8qok8IKaFOBE","Under The Sun (with J. Cole & Lute feat. DaBaby)","spotify:artist:1iNqsUDUraNWrj00bqssQG, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:75WcpJKWXBV3o3cfluWapK, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Dreamville, J. Cole, Lute, DaBaby","spotify:album:2n3quCZ0anEa46j2IveacI","Revenge Of The Dreamers III","2019-07-05","1","1","202040","true","76","spotify:user:1227113","2019-10-04T15:51:36Z","hip hop,rap,underground hip hop,conscious hip hop,hip hop,north carolina hip hop,rap,north carolina hip hop,underground hip hop,north carolina hip hop,rap","0.691","0.64","0","-6.441","1","0.369","0.511","0","0.409","0.163","138.672","4"
"spotify:track:2fb93fn0S5zqQ8EEk5tMCy","Kagemichi","spotify:artist:7M2IC3qpsnS8QhlWjQzfvI, spotify:artist:2wQVfRnsqpHqCLfgVS7MvQ","5lack, RUDEBWOY FACE","spotify:album:7G8kkk2iXIdGH40NqOSxPt","KESHIKI","2018-11-21","1","7","268954","false","3","spotify:user:1227113","2019-10-03T21:53:19Z","j-rap","0.541","0.642","6","-7.091","1","0.506","0.761","0","0.244","0.657","83.18","4"
"spotify:track:4YSapiScnAhm8m9nj5k6bJ","Run It Up","spotify:artist:7zAPLevjpZykBZGUoKY8mC, spotify:artist:1wlzPS1hSNrkriIIwLFTmU","King Carter, MIKE","spotify:album:19dU6csjr0982p4J4DhwcW","Prayers Ain't Enough","2019-07-17","1","3","166270","true","0","spotify:user:1227113","2019-09-30T16:55:22Z","experimental hip hop,alternative hip hop,indie hip hop,underground hip hop","0.434","0.761","6","-6.935","0","0.27","0.0727","0","0.573","0.565","146.649","4"
"spotify:track:5sHNqbMFjlx25mQZP6Xzg8","Hachigatsusanjyuninichi","spotify:artist:7FFaFas6TD1PhMtJ1xel8J","SUSHIBOYS","spotify:album:4U9aYTAa7qv8x4m32NsF8L","350","2018-11-21","1","4","218226","false","6","spotify:user:1227113","2019-10-03T22:09:43Z","j-rap","0.639","0.948","11","-3.03","0","0.18","0.0511","0","0.345","0.364","99.98","4"
"spotify:track:6eF1YZDBSqsUaSAug7fzpm","Life Is Good feat. Mos Def","spotify:artist:20KwmzwaVfUgjjmTsK9fjK","DJ DECKSTREAM","spotify:album:4mBmSzl5X0VYVHQ50YXBRO","DECKSTREAM SOUNDTRACKS 2","2009","1","8","254093","false","24","spotify:user:1227113","2019-10-02T19:31:08Z","ambeat","0.56","0.865","7","-3.996","1","0.201","0.0231","0","0.13","0.749","92.904","4"
"spotify:track:5x886ETFn4nUihXbxlO3cb","Understood","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:2oenkFNS8GLDubNAn2gxQH","Pieces of a Man","2018-10-26","1","16","208570","true","0","spotify:user:1227113","2019-10-04T15:14:28Z","chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop","0.664","0.842","9","-5.351","1","0.339","0.208","0.00000628","0.554","0.719","84.994","4"
"spotify:track:1zlDkLJhjJ8MbMOw71bPiX","Wife That","spotify:artist:0dXCvd6lpLfZBKTFjUF1R3, spotify:artist:0cyOzsWB2kB6JpGkm0O4aw","Marius, Kameron Alexander","spotify:album:7KoWpv7Dc54ubDVJ4XfHRg","Makeshift","2019-08-09","1","6","239973","true","12","spotify:user:1227113","2019-09-27T21:25:28Z","","0.742","0.497","6","-8.004","0","0.247","0.263","0","0.368","0.584","140.036","4"
"spotify:track:4azRcv7sHZzVR6NDJwo7WS","AllofaSudden","spotify:artist:05LAWbrWnYPjjTI75ApEIJ","KLEFTO","spotify:album:2yVrTpF3E409X8OuA37LKo","Mellow Dramatic","2019-06-14","1","12","107476","true","0","spotify:user:1227113","2019-10-03T16:54:10Z","","0.558","0.886","1","-6.052","1","0.0986","0.00147","0","0.382","0.215","139.077","4"
"spotify:track:3G4hi8EGms8uXskSbTPyyK","Grave Money.","spotify:artist:1vZAPVpvdBFzQX1KIggCLx","oxy_gin","spotify:album:1mAubq4GyTzyXrUC9Ue7xH","Grave Money.","2019-08-10","1","1","188682","true","2","spotify:user:1227113","2019-10-02T16:00:39Z","phonk","0.568","0.753","1","-6.158","1","0.302","0.77","0.0597","0.119","0.494","160.994","4"
"spotify:track:43fls3NnV6bMXufx6C9Pr6","blue","spotify:artist:1RuYxzH8zfkiDEPupC4rDH","Thirteen13","spotify:album:25XTAdYDioX2Emz1IFQj70","blue","2019-09-28","1","1","198315","false","6","spotify:user:1227113","2019-10-02T15:38:16Z","","0.851","0.852","10","-6.518","0","0.106","0.0626","0.00327","0.054","0.62","95.013","4"
