"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2puLCAdLCBDnXuTNCEc6Ct","Good Vibe Music","spotify:artist:40u9CIWsbTDJlgxB2Ji8y9, spotify:artist:3I6neO2jiyMa8arh6JBe7e","A.M. Early Morning, Flee Lord","spotify:album:2AxxAPDRg3Tb2MvCKRFahC","7 AM Seven4Seven","2019-04-07","1","4","169346","true","7","spotify:user:1227113","2019-09-27T18:41:50Z","alternative hip hop,boom bap,underground hip hop","0.393","0.511","3","-6.871","0","0.0683","0.101","0","0.119","0.669","148.666","4"
"spotify:track:5P073xLwqE2bU6LC0UM1Uu","Hard To Believe","spotify:artist:6SYIsHAQ1sPokVxmzpaDBU, spotify:artist:7gSjFKpVmDgC2MMsnN8CYq","Kindness, Jazmine Sullivan","spotify:album:6f0YTKqvFzTV2GothutvTx","Hard To Believe","2019-06-11","1","1","241032","false","24","spotify:user:1227113","2019-09-30T19:23:39Z","art pop,chillwave,electropop,uk alternative pop,alternative r&b,dance pop,hip pop,neo soul,pop,pop r&b,r&b,urban contemporary","0.553","0.656","6","-7.5","1","0.178","0.0826","0","0.108","0.479","168.062","4"
"spotify:track:18re7l1wyQuflX4B6uZGW6","Sunday Blues - Shuko & The Breed Remix","spotify:artist:2ERmeJSc3ph4HTHMuSjXw6, spotify:artist:1mOiWC7OH9ANUtt3vd0A10, spotify:artist:5Xl8d6HbzkkwWmSQSOsv7k","Julianna Townsend, Shuko, The BREED","spotify:album:1tE3WU0zi3q3kvILwYg01j","Sunday Blues (Shuko & The Breed Remix)","2019-08-16","1","1","189152","false","36","spotify:user:1227113","2019-09-30T14:30:17Z","chillhop,chillhop,jazz boom bap,lo-fi beats","0.857","0.687","1","-7.461","1","0.12","0.144","0.00000169","0.489","0.514","118.002","4"
"spotify:track:436AAhaOoKoU556yN7fY52","Lost","spotify:artist:4YPiq62lEVjRdzhSlNto08, spotify:artist:4AgZVM5339ZoMyg38nYyYW","Nao Yoshioka, Devin Morrison","spotify:album:59MLGFACfSnJQ2gzfFnFau","Undeniable","2019-08-16","1","9","221600","false","8","spotify:user:1227113","2019-09-27T19:39:59Z","japanese r&b,japanese soul,alternative r&b,chill r&b,indie r&b,neo r&b","0.745","0.584","5","-8.221","1","0.177","0.00758","0.0000399","0.129","0.708","91.001","4"
"spotify:track:2fv00qmva1kpCctrKgoIer","Inhale Exhale","spotify:artist:7aFTOGFDEqDtJUCziLVsVC","Nao","spotify:album:2BmceJHiy9RTyvaB1IU0P6","For All We Know","2016-07-29","1","3","183173","false","48","spotify:user:1227113","2019-10-02T14:17:36Z","alternative r&b,chill r&b,dance pop,indie soul,neo soul,r&b,uk contemporary r&b","0.847","0.351","10","-6.637","0","0.156","0.0202","0.116","0.0509","0.78","92.951","4"
"spotify:track:1H6oSwSqrZYNkSyKbMd7JL","Leo Bear","spotify:artist:6tUJpYN2aYiXbzAcg0pIOo","Sinead Harnett","spotify:album:17MS1oITaC8VbYmtpXplMV","Lessons in Love","2019-09-20","1","2","266256","false","39","spotify:user:1227113","2019-09-30T14:48:52Z","alternative r&b,chill r&b,gauze pop,indie r&b,indie soul,r&b,uk contemporary r&b","0.796","0.443","7","-6.822","0","0.153","0.608","0.0034","0.105","0.388","92.995","4"
"spotify:track:3aB0mv6Npk1ialy1tUJg8C","Get Some","spotify:artist:3fcW2V4zOfFm0IsWCJUuzz","Zilo","spotify:album:06BGhWFgQm8iUZ1JW5SNBh","Gorgeous","2019-09-06","1","4","239412","false","0","spotify:user:1227113","2019-09-27T14:52:00Z","alternative r&b,bass trap,indie r&b","0.692","0.5","1","-11.115","1","0.0432","0.28","0.000137","0.0864","0.967","169.995","4"
"spotify:track:3eofH3bv0R3E5waMiyYRJw","Tea & Sympathy","spotify:artist:7ANeFdhioipksT9lqg0Ay6","Ego Ella May","spotify:album:33Fn7WWfj2hGL7SEjYvsL9","So Far","2019-09-18","1","3","399004","false","14","spotify:user:1227113","2019-09-27T14:41:12Z","alternative r&b,chill r&b,indie jazz,indie r&b,indie soul,neo r&b,uk contemporary r&b","0.515","0.559","8","-6.314","0","0.0508","0.114","0.0000185","0.206","0.338","147.413","4"
"spotify:track:2w2XmZLVvSSb30Dkkfeq2X","Toronto","spotify:artist:1A9o3Ljt67pFZ89YtPPL5X","Snoh Aalegra","spotify:album:42wtqDcTQlJJbUzAPBSwaK","- Ugh, those feels again","2019-08-16","1","6","177056","false","56","spotify:user:1227113","2019-10-01T22:01:36Z","alternative r&b,indie r&b,indie soul,neo soul,scandinavian r&b,swedish soul","0.604","0.328","11","-9.478","1","0.212","0.32","0.0000544","0.118","0.338","68.718","4"
"spotify:track:58k32my5lKofeZRtIvBDg9","HONEST","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:7Cw4LObzgnVqSlkuIyywtI","DIE FOR MY BITCH","2019-07-19","1","2","172672","true","74","spotify:user:1227113","2019-09-27T17:18:29Z","hip hop,rap,trap,underground hip hop,vapor trap","0.676","0.536","2","-8.79","1","0.0432","0.403","0.0000337","0.105","0.373","79.037","4"
