"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5tPwGBDC49980o9FRGhHaQ","SUNRISE (feat. Arlo Parks)","spotify:artist:4yYvor6Rq4fG82J1L47DYp, spotify:artist:4kIwETcbpuFgRukE8o7Opx","MICHELLE, Arlo Parks","spotify:album:68udZ02TROM9S9TWiyxupb","SUNRISE (feat. Arlo Parks)","2020-09-10","1","1","176666","false","55","spotify:user:1227113","2020-10-05T13:05:06Z","bedroom pop,indie r&b,alternative r&b,indie r&b,indie soul,uk contemporary r&b","0.787","0.422","0","-8.552","1","0.0569","0.287","0.111","0.3","0.607","87.018","4"
"spotify:track:2U5c6C6A3yg6rGUpnhwHfc","Fruits Of The Spirit","spotify:artist:0TkqXdyWLsssJH7okthMPQ","Jay Electronica","spotify:album:0ZJt4dCoI19u71k37E1nQu","A Written Testimony","2020-03-13","1","8","94507","true","52","spotify:user:1227113","2020-10-05T13:05:06Z","alternative hip hop,conscious hip hop,hip hop,psychedelic hip hop,rap,southern hip hop,underground hip hop","0.509","0.538","0","-11.658","1","0.079","0.713","0","0.128","0.587","90.214","4"
"spotify:track:1UcVVqUun6yljvpoXpfrLR","Love Yourself","spotify:artist:0AlOgXaMBLYvxNEhqHM4np, spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Rome Fortune, Toro y Moi","spotify:album:1W2fD7CSls8BSGAeUXUlPp","Toro Y Rome Vol. 1","2018-07-24","1","5","152888","true","46","spotify:user:1227113","2020-10-05T14:35:43Z","alternative dance,alternative r&b,art pop,chillwave,indie pop,indie rock,indie soul,indietronica,new rave,nu gaze","0.492","0.644","2","-5.844","0","0.04","0.00564","0","0.187","0.105","134.711","3"
"spotify:track:0lSwPNIpw17DxbM8WyCUqW","Wasted Energy (feat. Diamond Platnumz)","spotify:artist:3DiDSECUqqY1AuBP8qtaIa, spotify:artist:3cAisWS37sGCCtRgWfvrod","Alicia Keys, Diamond Platnumz","spotify:album:1vTV3bbycMPkbIocAma0eN","ALICIA","2020-09-18","1","4","259306","true","40","spotify:user:1227113","2020-10-05T20:53:35Z","hip pop,neo soul,pop,r&b,urban contemporary,afropop,azontobeats,bongo flava,tanzanian pop","0.669","0.593","11","-5.151","0","0.182","0.135","0.0000123","0.105","0.825","80","4"
"spotify:track:39qv83ivTXS3bR8cSFHxcm","Soudade","spotify:artist:07fosh51JNQiW7lpEnupTm","Nu Braz","spotify:album:1zn3c6akEwO5onA65jbgur","Sonho Bossa","2007-02-28","1","1","318666","false","19","spotify:user:1227113","2020-10-01T18:20:22Z","italian lounge","0.628","0.884","5","-6.992","0","0.0344","0.101","0.533","0.117","0.844","89.997","4"
"spotify:track:70eine3FCFbBVmX3HZhto4","Whatcha See Is Whatcha Get","spotify:artist:2W8UTum7bU7ue6m0r14H97","The Dramatics","spotify:album:1kuAkkhsye50w4et6k4vOT","Whatcha See Is Whatcha Get [Stax Remasters]","1971","1","4","240066","false","47","spotify:user:1227113","2020-10-01T18:34:51Z","classic soul,disco,funk,memphis soul,motown,quiet storm,soul,southern soul,urban contemporary","0.652","0.72","6","-9.528","1","0.134","0.198","0","0.0752","0.921","153.334","4"
"spotify:track:0P1CIWMLDE56pE3SQ2Hacq","You Can't Hide from Yourself","spotify:artist:68kACMx6A3D2BYiO056MeQ","Teddy Pendergrass","spotify:album:5MoWcSxnqFuBa0HGGExRM5","Teddy Pendergrass","1977-06-12","1","1","245493","false","41","spotify:user:1227113","2020-10-01T17:21:40Z","classic soul,disco,funk,motown,new jack swing,philly soul,post-disco,quiet storm,soul,southern soul,urban contemporary","0.756","0.857","5","-7.874","0","0.0891","0.312","0.0000067","0.0666","0.897","116.642","4"
"spotify:track:0SsKmpQnyk4AAOY11yXS40","Watching You","spotify:artist:0INatsTiEOX0EJimNTQjSM","Charlotte Dos Santos","spotify:album:1peRsBvuNWGMgEcwj1lx0K","Cleo","2017-06-21","1","3","200546","false","43","spotify:user:1227113","2020-10-05T13:18:02Z","alternative r&b,indie jazz,indie soul","0.544","0.405","5","-13.083","0","0.0697","0.662","0.0147","0.26","0.368","81.251","4"
"spotify:track:4YBs74uWL6J9zpmaFL9LXt","Morning Glory - Remastered","spotify:artist:6J7biCazzYhU3gM9j1wfid","Jamiroquai","spotify:album:3emhnEQ76nUUehouSvnGxk","The Return of the Space Cowboy","1994-10-17","1","10","383973","false","50","spotify:user:1227113","2020-10-05T20:54:13Z","dance pop,pop dance","0.623","0.328","8","-12.949","0","0.0382","0.71","0.344","0.105","0.696","74.668","4"
"spotify:track:7uWPVsnwusiXNmmojptjFI","Journey","spotify:artist:065qyjvmeguYcKpAln7buu","Sipprell","spotify:album:0C9ztlrWc0msBRNom2D8dv","I Could Be Loved","2018-10-19","1","3","182534","false","37","spotify:user:1227113","2020-11-18T21:16:44Z","alternative r&b,indie r&b,neo r&b,uk contemporary r&b","0.288","0.324","1","-10.54","1","0.0429","0.874","0.0000594","0.108","0.518","83.042","3"
