"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5uDGk4aCy4GEwI9lR7WaEY","Z (feat. Computer Magic)","spotify:artist:5YCsKCBbhMHBKBh2MllF5d, spotify:artist:6vhyWw7hIpvfIY9tE94mzP","AAAMYYY, Computer Magic","spotify:album:0sGfiqF953mXMi9RrUpoFw","BODY","2019-02-06","1","4","261373","false","25","spotify:user:1227113","2019-07-10T19:53:22Z","japanese alternative rock,japanese city pop,japanese electropop,japanese r&b,chillwave,metropopolis","0.718","0.331","1","-6.762","1","0.0545","0.00155","0.774","0.0666","0.489","120.982","4"
"spotify:track:6CCgo4BGBNpsUFUm1PngK9","Perks of Being a Sunflower","spotify:artist:64YO6kjOrspjCGA2GQwsT0","Soft Glas","spotify:album:7baGumqw9hgkjYIrizNnK8","Orange Earth","2017-09-21","1","7","177391","false","0","spotify:user:1227113","2019-06-21T21:39:57Z","bedroom pop","0.85","0.686","8","-7.769","1","0.0361","0.669","0.0999","0.101","0.968","115.03","4"
"spotify:track:4HO8b5YsouwozmfMpsCxD6","Why?","spotify:artist:0zGRuj0aQ3mM6i2dQoO8h0","Mid-Air Thief","spotify:album:4n9J61IrlrEFswxTu0MJIo","Crumbling","2019-06-17","1","1","281243","false","43","spotify:user:1227113","2019-06-20T14:43:28Z","folktronica,korean indie rock","0.44","0.647","0","-11.154","1","0.0637","0.598","0.779","0.188","0.196","108.748","4"
"spotify:track:6XHhXASdn8C6i4RkawV0Jh","Skeptical","spotify:artist:0pvhBvl3SFpzhahmYfqcPo","Mulherin","spotify:album:3GAr1njJB5o0Bfsv7vVTpH","Human Nature","2018-09-21","1","7","185425","false","23","spotify:user:1227113","2019-05-13T17:16:52Z","alternative r&b,indie r&b","0.511","0.223","4","-12.578","0","0.0261","0.922","0.00216","0.267","0.122","93.731","4"
"spotify:track:7aoslYDlH3JDogn6uA1kIo","Distant","spotify:artist:2SaIA1enj83vEmJikZdjQ3","Triathalon","spotify:album:1qdimJ5dd6AAWS91cFbSz4","Distant","2018-09-05","1","1","167181","false","34","spotify:user:1227113","2019-05-10T15:49:34Z","indie garage rock","0.726","0.334","7","-11.355","1","0.0403","0.7","0.0263","0.182","0.636","110.002","4"
"spotify:track:3O8X1DE9btbzy4UH9cSX9a","Borderline","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:5zGidcaAvNahQrYhyQwAQn","Borderline","2019-04-12","1","1","274293","false","3","spotify:user:1227113","2019-04-25T19:29:39Z","australian psych,neo-psychedelic","0.598","0.71","0","-6.839","0","0.0272","0.0476","0.0000177","0.1","0.726","97.976","4"
"spotify:track:7dwqDvzzXQhieo18mxOrAv","lovememore.","spotify:artist:41lcf5k3PkUdxupYLkcjCd","dosii","spotify:album:3sa814wrHO77FkSycZwhNf","dosii","2019-02-28","1","6","231709","false","51","spotify:user:1227113","2019-03-18T00:37:01Z","k-indie,korean city pop","0.637","0.685","0","-7.521","0","0.0272","0.769","0.0168","0.0824","0.922","155.878","4"
"spotify:track:0De8H4o9xzPtjRp9dns0L5","Boyish","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:6AOaqWipm2Zk0oBp0uUey2","Soft Sounds from Another Planet","2017-07-14","1","6","213986","false","57","spotify:user:1227113","2019-03-18T00:37:40Z","art pop,bubblegrunge,eugene indie,indie pop,indie rock,philly indie","0.227","0.457","2","-7.459","1","0.0299","0.0979","0.000447","0.189","0.371","106.727","4"
"spotify:track:2S8sebSU3YRqFdD7IZw7le","My Skin My Logo","spotify:artist:2auiVi8sUZo17dLy1HwrTU","Solange","spotify:album:4WF4HvVT7VjGnVjxjoCR6w","When I Get Home","2019-03-01","1","11","175733","false","51","spotify:user:1227113","2019-03-18T00:37:40Z","afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,pop rap,r&b,urban contemporary","0.724","0.292","8","-8.512","1","0.253","0.291","0.000748","0.231","0.524","81.409","3"
"spotify:track:6bTn1ovliI0OkjUNkiMBJq","Nobody","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:653wRjqO0GOZPQPcXpeAXD","Be the Cowboy","2018-08-17","1","9","193429","false","71","spotify:user:1227113","2019-03-18T00:37:40Z","art pop,brooklyn indie,indie pop","0.398","0.716","0","-5.254","1","0.0392","0.0764","0","0.0848","0.494","117.295","4"
