"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4lIyYuC3f68DZjeIfo6BrM","Midnight Marauders Tour Guide","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:4v5x3Oo3UjQ9YmF3hRAip5","Midnight Marauders","1993-11-09","1","1","45333","false","44","spotify:user:1227113","2016-09-27T13:53:01Z","alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz rap,queens hip hop,rap","0.549","0.124","8","-21.527","1","0.501","0.552","0.188","0.175","0.794","97.653","4"
"spotify:track:4tnbcPfOSZq5VAU67XxIdN","We Can Get Down","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:4v5x3Oo3UjQ9YmF3hRAip5","Midnight Marauders","1993-11-09","1","7","259120","false","49","spotify:user:1227113","2016-09-28T01:58:49Z","alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz rap,queens hip hop,rap","0.78","0.626","7","-9.99","1","0.199","0.0574","0.0122","0.501","0.667","93.945","4"
"spotify:track:0EgpgnzlNHZJMkU6Te9gx9","Places To Go","spotify:artist:3kHVioJpVxlazAAKQ64pC1","Yuna","spotify:album:4hynGWtmIAaKmaOm8snH71","Chapters (Deluxe)","2016-05-20","1","11","213573","false","34","spotify:user:1227113","2016-09-27T19:20:22Z","alternative r&b,malaysian pop","0.695","0.717","5","-4.038","0","0.0907","0.174","0","0.191","0.676","92.947","4"
"spotify:track:3z8dUHPnxiHtqetbhewTpe","The Motor Is Running","spotify:artist:2bz6GlqjAN5fTFWvy0rmSP","Tall Black Guy","spotify:album:7wSig6uCYzfqpQxQaoRSJ9","8 Miles to Moenart","2013-05-20","1","6","350360","false","24","spotify:user:1227113","2016-09-27T14:05:19Z","bass trip,indie jazz,indie soul,neo r&b,neo soul","0.628","0.462","1","-8.804","1","0.706","0.00154","0.00198","0.0824","0.893","76.746","4"
"spotify:track:299vmLW2iaQxe8y9HLWNiH","just ask","spotify:artist:4iylWAhvTVtSVhIeAoM7Bl","weird inside","spotify:album:6bYV29WGL3m9mD6zJKYWDG","just ask","2015-05-22","1","1","173846","false","57","spotify:user:1227113","2016-09-27T14:29:27Z","chillhop,future bass,lo-fi beats,vapor twitch","0.51","0.213","6","-6.717","0","0.176","0.9","0.0487","0.0978","0.173","77.976","4"
"spotify:track:3v0fuacsWsKYPCzkAegZWZ","Barcelona","spotify:artist:1FHDMgGdmIP4IsoFkAwbS0","River Tiber","spotify:album:6b2WCsIVTfpx1xXHPrsn1T","Indigo","2016-06-24","1","7","229791","false","6","spotify:user:1227113","2016-09-27T13:52:13Z","alternative r&b,indie soul","0.35","0.675","4","-8.034","0","0.0327","0.334","0.0671","0.113","0.471","103.963","4"
"spotify:track:3VB91IsGDxNsF9YhYnnGsT","The Juice","spotify:artist:5bC48lf8QD99jU2lLiJlon","HERO","spotify:album:5hIJV8MO2KCwddC2RxTLUc","VHS Pop","2016-09-02","1","3","219539","false","11","spotify:user:1227113","2016-09-27T18:59:11Z","","0.897","0.682","8","-6.789","1","0.0648","0.41","0.377","0.103","0.72","123.055","4"
"spotify:track:4fovaVejq72b0EHTS3e7R4","Lord Cooler (feat. Doja Cat)","spotify:artist:0vZPnViZ1Xz1XLRbzvdwid, spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Tru Heru, Doja Cat","spotify:album:0oqefS8tHi0qoIzCFHkC7T","The Art of Dying","2015-09-22","1","3","282066","true","0","spotify:user:1227113","2016-09-27T19:06:53Z","dance pop,pop","0.426","0.499","8","-14.159","0","0.287","0.187","0.00000273","0.169","0.392","134.922","1"
"spotify:track:5TkRTndV0IgRRO3HVr94P1","일곱 번째 감각 The 7th Sense (Sung by TAEYONG, MARK, JAEHYUN, DOYOUNG, TEN)","spotify:artist:3paGCCtX1Xr4Gx53mSeZuQ","NCT U","spotify:album:6SlnTz8wUWFOPUZDbKxUd9","일곱 번째 감각 The 7th Sense","2016-04-09","1","1","214035","false","0","spotify:user:1227113","2016-09-27T19:16:22Z","k-pop,k-pop boy group","0.682","0.502","2","-9.507","1","0.0713","0.0124","0.00000845","0.107","0.218","108.08","4"
"spotify:track:2tJegwWt4jE5HgwoyFnvmO","#WhiteGirlVoice","spotify:artist:3jT7IeLgXbSz86qKUq7Bqc","Rajitheone","spotify:album:2Yl7IJfoex9Dg2EZz8EOZF","#WhiteGirlVoice","2016-05-09","1","1","253152","true","0","spotify:user:1227113","2016-09-27T19:11:22Z","minnesota hip hop","0.527","0.442","6","-9.895","0","0.474","0.633","0","0.0885","0.32","93.868","4"
