"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6kL1GdujDctHrNTGPCULaP","4EVA","spotify:artist:46Ce0QmI1mE2bl5VQ4P9N8, spotify:artist:3Qj5iycEZWCbcFrhiNgJAu","Lapalux, Talvi","spotify:album:0saILOEDKLtulKeSU6DKyZ","Ruinism","2017-06-30","1","7","214636","false","0","spotify:user:1227113","2017-08-31T18:42:49Z","bass music,chillwave,electronica,future garage,substep,vapor twitch,wonky","0.523","0.525","5","-7.483","0","0.0633","0.36","0.000274","0.102","0.11","111.085","4"
"spotify:track:6R6ihJhRbgu7JxJKIbW57w","Provider","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:7uSaHPXSYaRB3FxLOmatG9","Provider","2017-08-27","1","1","243238","false","67","spotify:user:1227113","2017-09-01T17:59:33Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.654","0.325","2","-11.925","1","0.282","0.74","0.0000214","0.152","0.39","139.886","4"
"spotify:track:75275sfzpshggpQ15eQlKp","Artificial Beach","spotify:artist:3n4ebQFSYTHnOJFrZgoXqA, spotify:artist:5PPtc7fdxFWK3cbp3Uk1qo","Shinamo Moki, Meuko Meuko","spotify:album:6ezLXEETs7FNMUoimy2yu7","Artificial Beach","2016-11-30","1","1","278000","false","8","spotify:user:1227113","2017-08-31T18:44:43Z","uk experimental electronic","0.421","0.906","6","-7.394","0","0.078","0.0551","0.475","0.299","0.0922","122.997","4"
"spotify:track:66dQdXAbtuPdSasezCQVZE","SUMMER","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:0XnqQzdSFAml08XZoRt1St","SATURATION II","2017-08-25","1","16","204939","true","69","spotify:user:1227113","2017-09-01T18:43:28Z","boy band,hip hop,rap","0.497","0.55","8","-6.13","1","0.0257","0.847","0.049","0.119","0.542","79.955","4"
"spotify:track:6PkFoqiFANS5UayHXZ7Ywn","Wannabe","spotify:artist:5TcPijsr7sstBFVAMNfdIm, spotify:artist:0bgJ6B4G6to7Qf7oUVVXpL","Yeo, Take Your Time","spotify:album:5XJ4xiklfAVMqyRqUEWsoH","Desire Path","2017-08-18","1","9","219182","false","0","spotify:user:1227113","2017-09-01T18:03:28Z","","0.797","0.466","11","-10.915","0","0.0547","0.0936","0.00397","0.0841","0.73","114.037","4"
"spotify:track:4DiooRSZlf7wyobycTo3eF","Mind - Tomggg Remix","spotify:artist:3htNAy3vYWWYV8RZFeyRMT, spotify:artist:6puqyrpoPdFNxDJ8KPy2pE, spotify:artist:4IB2TdHMteDOTMAA1UbbcE","Slow Magic, Kate Boy, Tomggg","spotify:album:69EDxyXMUrcN8yMx3Ti7k0","Mind (Tomggg Remix)","2017-09-01","1","1","189252","false","27","spotify:user:1227113","2017-09-01T18:35:37Z","chillwave,electropop,future bass,gauze pop,indie dream pop,vapor soul,vapor twitch,electropop,metropopolis,shiver pop,swedish electropop,swedish synthpop,kawaii future bass","0.629","0.892","6","-6.051","0","0.0382","0.00796","0.0235","0.0917","0.345","110.032","4"
"spotify:track:0mhaqYEO5bYMrEkMsI1KeD","Arty Boy - Swindail Remix","spotify:artist:1lc8mnyGrCLtPhCoWjRxjM, spotify:artist:1A96iePIMNFBjLrjXEl718, spotify:artist:2Yg6r5cZF2mTtxFAWkWnY1","Flight Facilities, Emma Louise, Swindail","spotify:album:4yaoEjwabGAftkmhM4LT9l","Arty Boy (Remixes)","2017-08-30","1","4","300387","false","0","spotify:user:1227113","2017-09-03T03:24:53Z","alternative dance,aussietronica,australian dance,australian indie,indie soul,nu disco,australian indie,brisbane indie","0.761","0.664","0","-7.472","1","0.268","0.367","0.000342","0.305","0.367","117.141","4"
"spotify:track:0Axtkw6bMF4V4HMoKd5C2g","Since U Asked","spotify:artist:0nfObbo5nqn9iWe0cy7Zvt, spotify:artist:1kCQYFPjvDy6ARPdGi3dby","swim good now, Merival","spotify:album:4m45szP1pnr0zItTIKP2wz","Since U Asked","2015-06-16","1","1","159529","false","0","spotify:user:1227113","2017-08-31T21:09:16Z","canadian indie","0.695","0.482","8","-10.327","1","0.0559","0.292","0.677","0.101","0.579","84.976","4"
"spotify:track:54CsNOH7qd8fcVmdeAvaGG","White Light","spotify:artist:6QrRSfwkZsixVIgDRhpToh, spotify:artist:31QM5dBtewZL65p9hCnXKK","Ian Ewing, Naji","spotify:album:5fBroFzDAwXfjlmTu4rdoK","White Light","2017-08-29","1","1","252062","false","20","spotify:user:1227113","2017-09-01T18:50:18Z","chillhop,lo-fi beats,vapor twitch,alternative r&b","0.655","0.472","0","-11.826","0","0.221","0.413","0","0.331","0.324","120.019","4"
"spotify:track:2r3HZEp88q60WQGg9jRxNy","How It Felt","spotify:artist:2CgysNw5B7rFNRtRjQbPZ9","Ryan Hemsworth","spotify:album:26iKO5hPGDFmZJzOgNISZ6","How It Felt","2016-06-01","1","1","229331","false","0","spotify:user:1227113","2017-08-31T21:43:00Z","vapor twitch","0.783","0.494","10","-6.517","0","0.0493","0.282","0.497","0.172","0.498","142.064","4"
