"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6N3QufyJeOAGIG4qN5A7LR","Broke","spotify:artist:1Q2mS59tFYLm2KGFoCgWN4","Samm Henshaw","spotify:album:29ZxwFxPLpcb9yu5dyd4QM","Broke","2018-08-06","1","1","207722","false","0","spotify:user:1227113","2018-09-28T01:13:33Z","british soul,indie soul,uk contemporary r&b","0.751","0.684","1","-4.325","1","0.303","0.433","0.00000592","0.18","0.864","89.984","4"
"spotify:track:5QTdOvIF2ehBMZpSIIGzIo","Honey","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","Kehlani","spotify:album:2D37uNhXgherfImusGBKTx","Honey","2017-10-06","1","1","199209","true","74","spotify:user:1227113","2018-09-17T23:06:14Z","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary","0.606","0.24","3","-7.102","1","0.0369","0.772","0","0.0819","0.526","96.792","4"
"spotify:track:2zk7TQx9Xa4yxYmsjgDCPp","Somehow.","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","spotify:album:6IGDCUkBJ3LEUoAcoTD46u","Yesterday's Tomorrow","2015-01-13","1","15","230973","false","57","spotify:user:1227113","2018-09-17T23:10:06Z","alternative r&b,indie r&b,indie soul","0.502","0.399","11","-9.934","1","0.0295","0.719","0.00363","0.645","0.124","92.904","4"
"spotify:track:1Gs6ykVBp9dZFyG8ju69Oh","Don't You Remember","spotify:artist:2kEDso93O2hDgCbnuiSkkZ","Jalen N'Gonda","spotify:album:3BzDWMRujwCzXsCHjWAaSg","Talking About Mary","2018-06-01","1","1","200066","false","40","spotify:user:1227113","2018-09-24T15:07:55Z","retro soul","0.558","0.527","5","-8.573","1","0.0253","0.43","0.0000349","0.139","0.616","176.891","3"
"spotify:track:0zGbr6ABPnayYlzHeHLZ5J","White Lighter","spotify:artist:0bBrsS9ufPAmeFQgDNG54O","cehryl","spotify:album:5XqVesKTCBFXqACnNcNW2c","White Lighter","2018-09-28","1","1","232500","false","0","spotify:user:1227113","2018-09-28T11:21:29Z","bedroom soul","0.497","0.313","9","-10.316","1","0.0335","0.814","0.000605","0.112","0.0838","87.025","4"
"spotify:track:0rmMciOccq9HDXeKOfkABd","Sola","spotify:artist:3KedxarmBCyFBevnqQHy3P","Jessie Reyez","spotify:album:3PM9tAkyuSAwQscctOqWlA","Sola","2018-08-10","1","1","209573","false","0","spotify:user:1227113","2018-09-17T23:06:06Z","canadian contemporary r&b,canadian pop,dance pop,pop","0.471","0.179","9","-10.273","1","0.089","0.921","0","0.101","0.194","174.273","4"
"spotify:track:5zOAudPQIs5U8zP6LQGHmH","MALAMENTE - Cap.1: Augurio","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","spotify:album:2O7Zu2OPZzqehwh1wiO764","MALAMENTE (Cap.1: Augurio)","2018-05-30","1","1","149450","false","64","spotify:user:1227113","2018-09-17T23:06:06Z","r&b en espanol","0.895","0.483","5","-4.709","0","0.0881","0.565","0.0137","0.0737","0.52","98.057","4"
"spotify:track:6F1D4x7Ifrwt5t5MleYFp3","Reason in Disguise","spotify:artist:5BRAUN0yN8557PLRZIr02W, spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Ezra Collective, Jorja Smith","spotify:album:3qz4OoYi5iSnpCVcvHwJ75","Reason in Disguise","2018-09-05","1","1","221933","false","46","spotify:user:1227113","2018-09-30T20:50:37Z","british jazz,indie jazz,indie soul,uk contemporary jazz,pop,uk contemporary r&b","0.549","0.44","11","-12.718","1","0.21","0.0127","0.0599","0.149","0.654","133.509","3"
"spotify:track:4USrOwVbpYaxElZGWAhEMv","Solar Waves","spotify:artist:7betQsqYu9NLsPQCEAxaDR","Joe McDuphrey Experience","spotify:album:4fVSMeiCggxU6FW3bZVcfi","Experience","2002","1","3","174666","false","19","spotify:user:1227113","2018-09-30T20:50:56Z","experimental jazz","0.68","0.756","1","-10.499","1","0.0507","0.59","0.787","0.117","0.617","90.659","4"
"spotify:track:4KVTbc2x0EahbAaLHv8TkH","Before You Get a Boyfriend.","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","spotify:album:09vk699RVpDUZ0fPXbTfZS","Before You Get a Boyfriend.","2018-08-10","1","1","253028","false","35","spotify:user:1227113","2018-09-17T23:10:26Z","alternative r&b,indie r&b,indie soul","0.537","0.756","4","-6.524","0","0.321","0.372","0.0000887","0.0917","0.714","81.449","4"
