"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0aYCi17h9kxNh1LxtiEgpC","For Real","spotify:artist:61HS7DjYDQIkKSeGvpqmJh","Winston Surfshirt","spotify:album:4kN92M0macg1SPS4aeq62i","Sponge Cake","2017-09-29","1","13","210813","false","30","spotify:user:1227113","2018-09-06T18:24:33Z","australian indie,australian pop,indie soul","0.89","0.336","10","-10.462","0","0.0906","0.676","0.00101","0.367","0.422","106.025","4"
"spotify:track:1H8BKN1WYV6AW1kghI3ldP","Orlando","spotify:artist:6LEeAFiJF8OuPx747e1wxR","Blood Orange","spotify:album:7bvmGyFDwpHNRRRZJ0AHvn","Negro Swan","2018-08-24","1","1","182893","false","55","spotify:user:1227113","2018-09-06T18:15:38Z","alternative r&b,art pop,chillwave,electropop,escape room,indie soul,metropopolis","0.764","0.534","1","-10.966","0","0.0982","0.546","0.0823","0.404","0.647","143.519","3"
"spotify:track:2opdxupEOvUfK7s2Pblt0n","Time's Up","spotify:artist:4akQZt0saex1UBmywlc1qH","Amber Navran","spotify:album:3D53Q7mIXqlu40HW1jerWY","Speak Up EP","2017-10-20","1","1","158441","false","0","spotify:user:1227113","2018-09-06T18:24:06Z","neo r&b","0.446","0.443","2","-14.802","1","0.0633","0.627","0.554","0.102","0.266","79.548","4"
"spotify:track:01TyFEZu6mHbffsVfxgrFn","Show Me How","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","Men I Trust","spotify:album:75IgpYGNlc8KmwZ9FlTtJg","Show Me How","2018-02-28","1","1","215110","false","75","spotify:user:1227113","2018-09-06T18:20:32Z","indie pop","0.791","0.267","5","-11.997","1","0.0415","0.674","0.534","0.102","0.544","165.99","4"
"spotify:track:2bhgm0nk4UZCznVjoABJNe","Karen's Song","spotify:artist:6lirZ0ouvh4l3fz3HSnIwi, spotify:artist:7c6eQSFEfIt9rV3gh4cgtj, spotify:artist:3zlWvRPwLwGSi2v6ltrhOl","Joseph Chilliams, KAINA, Sen Morimoto","spotify:album:5vkCngnbMfybmzUxNlPrFZ","Karen's Song","2018-06-15","1","1","174187","true","15","spotify:user:1227113","2018-09-06T18:23:49Z","bedroom soul","0.362","0.394","1","-10.457","0","0.0431","0.912","0.00000133","0.385","0.166","141.454","4"
"spotify:track:6NOdD9M3uXCQbHoxLChMn0","Language (feat. Ebenezer)","spotify:artist:4hTL3jOgvZwOqegEZTOrCc, spotify:artist:2vik8lyw8WiALKMJK7C3hn","Col3trane, Ebenezer","spotify:album:5dQlAqTlEwLue7a70WGyCU","Tsarina","2018-04-06","1","9","180276","true","38","spotify:user:1227113","2018-09-06T18:11:26Z","alternative r&b,chill r&b,indie r&b,indie soul,trap soul,uk contemporary r&b,trap soul,uk hip hop","0.613","0.459","9","-5.785","1","0.409","0.101","0","0.161","0.756","184.032","4"
"spotify:track:4jUTKYm8WUK3nUox8UuAau","this again..","spotify:artist:2Fc1UZXKRmPpWWx1sxcb9m, spotify:artist:5XTn5Az9AcSKu0oaauC5ES","SwuM, quickly\, quickly","spotify:album:5lEGj39nfCkHLp1hO4AUcF","this again..","2018-09-03","1","1","135384","false","1","spotify:user:1227113","2018-09-07T15:30:52Z","chillhop,focus beats,lo-fi beats,chillhop,future bass,lo-fi beats,portland hip hop,vapor twitch","0.517","0.62","8","-11.971","0","0.101","0.659","0.791","0.228","0.193","78.167","4"
"spotify:track:0APOlpsf4rpxgwMfeDoc7Q","Crowned","spotify:artist:6iWuBN32BqCJAeXW6o3nil","Cautious Clay","spotify:album:69HIlRMQYKPcOJjQJ1Im5z","RESONANCE","2018-08-22","1","3","186000","false","0","spotify:user:1227113","2018-09-06T18:05:38Z","alternative r&b,chill r&b,indie r&b,nyc pop,pop,vapor soul","0.816","0.554","11","-5.472","0","0.0359","0.123","0.000489","0.138","0.946","130.019","4"
"spotify:track:190IqlryWu91WBKeDgZqZz","Only in My Dreams","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","spotify:album:5XX1xVOP61GDQCGaZMLjhO","Superclean, Vol. I","2017-11-03","1","4","170893","false","67","spotify:user:1227113","2018-09-06T18:02:12Z","bedroom pop,indie pop,la indie","0.518","0.496","10","-11.607","1","0.0292","0.41","0.1","0.0999","0.281","143.921","4"
"spotify:track:38fmXSH8Vg7eTuBPl1YjiR","Around","spotify:artist:4CO0ws5Et1vXaNUTwxa2lo, spotify:artist:6GCVojukJysOjNBgqmxe5j","JIL, Salomon Faye","spotify:album:2gibp4QTDaL1ks6xhwjEJ1","Emotional Heat 4A Cold Generation","2018-07-20","1","9","231375","false","11","spotify:user:1227113","2018-09-06T18:30:59Z","","0.557","0.429","0","-11.992","0","0.0586","0.667","0.00158","0.104","0.112","118.166","4"
