"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4d6S6OCLGvaWMc1AQsyT4F","Good Morning","spotify:artist:4YUBqnGDhH4JphZIhi9cdB","Laxcity","spotify:album:2W7D04DLRUsREZotrWWTp8","Good Morning","2018-04-20","1","1","243356","false","50","spotify:user:1227113","2018-07-09T01:34:49Z","future bass,vapor twitch","0.808","0.473","8","-10.128","1","0.202","0.903","0.944","0.0858","0.284","159.935","4"
"spotify:track:6WgxXdBZrtdQFGBcxQxpiv","The Message","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:1XkoF8ryArs86LZvFOkbyr, spotify:artist:0EOoSsmM3oV2aoGL3Od3E3","Dr. Dre, Mary J. Blige, Rell","spotify:album:7q2B4M5EiBkqrlsNW8lB7N","2001","1999-11-16","1","22","304026","false","62","spotify:user:1227113","2018-07-09T01:23:03Z","g funk,gangster rap,hip hop,rap,west coast rap,dance pop,hip pop,neo soul,r&b,urban contemporary","0.711","0.608","8","-4.008","0","0.0754","0.0446","0.0000756","0.123","0.791","82.448","4"
"spotify:track:3suPT1G9QUyctLRTjHrL5n","Try","spotify:artist:44hPDOKyTwkFxOL08UzNQE, spotify:artist:2c2f3EwgqkZrKmbJtg3P83","Cabu, LILI N","spotify:album:06Oey2uYi2Phqk6sCfDjta","Twenty Three","2018-03-09","1","4","189125","false","34","spotify:user:1227113","2018-07-09T13:29:54Z","indie soul,vapor twitch,indie electropop","0.643","0.527","0","-10.309","1","0.0725","0.303","0.0231","0.0957","0.0853","84.932","4"
"spotify:track:4c00fD972rl8ubRxZnyI2B","Self Care","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:0VXk5mqwV1Wf8DOoTD4Syd","Self Care","2018-07-13","1","1","345133","true","51","spotify:user:1227113","2018-07-14T02:28:31Z","hip hop,pittsburgh rap,rap","0.52","0.538","1","-8.109","1","0.206","0.367","0.00187","0.119","0.177","141.894","4"
"spotify:track:4W2c5t70Zsdn017Tvw9N2y","Southern Girl","spotify:artist:5lUPUCfPOx5jeHLZevqhLu","Majest Nové","spotify:album:4D9TUAiIjthHfxtbSnPwO9","Southern Girl","2018-04-06","1","1","211931","true","11","spotify:user:1227113","2018-07-17T01:14:00Z","","0.893","0.304","0","-11.685","1","0.259","0.0288","0.00667","0.0878","0.281","145.023","4"
"spotify:track:0s2IoRagvBJKBBddxUTeDn","Lemonade.","spotify:artist:2ogNmT8MaFdWIyNZPwrJLR, spotify:artist:2E3m61OKCzeBBTIcngcXbK","Godlovesjudah, Not Klyde","spotify:album:2nmeTZrdUzsPFuvojCGs63","Lemonade.","2018-03-11","1","1","166437","false","5","spotify:user:1227113","2018-07-17T01:16:42Z","","0.694","0.626","6","-5.501","1","0.0258","0.407","0","0.0808","0.145","100.039","4"
"spotify:track:4h1Vann4dJFv8BfbM8Q6XI","Woah","spotify:artist:7vQGIpk5D46TsDuZbVDaZH, spotify:artist:0O0LFxVzzKXHPl4YkxW6y2","Leo Pastel, Muwosi","spotify:album:2scde7mnEdBalwRSY0KsHq","Woah","2018-06-23","1","1","182857","false","32","spotify:user:1227113","2018-07-30T18:36:15Z","","0.799","0.534","5","-7.84","1","0.0402","0.582","0.00000411","0.116","0.8","125.984","4"
"spotify:track:2fCdRQLYdF8lfEtvSMr9my","Show Love","spotify:artist:0JYlkNmu76Wu1DgvWNWq7X, spotify:artist:3jk39CGeaaSO3FPKNx1RUx, spotify:artist:2WoVwexZuODvclzULjPQtm","Everything Is Recorded, Syd, Sampha","spotify:album:2TxHgJFfASAP01RExe8isr","Everything Is Recorded by Richard Russell","2018-02-16","1","6","197403","false","32","spotify:user:1227113","2018-07-30T18:49:37Z","alternative r&b,indie soul,alternative r&b,lgbtq+ hip hop,alternative r&b,indie soul","0.783","0.361","4","-8.524","0","0.0831","0.0705","0.0976","0.429","0.297","148.475","4"
"spotify:track:49V0tR2huLvwvBJmLvlqo8","I Wonder (feat. Iamddb + Fox)","spotify:artist:3fZgTHf9UHEA1oLYLEhnk2, spotify:artist:0mp4BzzXXYX4QTeD62FtlT","The Mouse Outfit, IAMDDB + FOX","spotify:album:7hBg48RuZQDZZvss4RDG47","I Wonder (feat. IAMDDB + FOX)","2017-10-03","1","1","237818","false","52","spotify:user:1227113","2018-07-30T18:53:03Z","manchester hip hop,uk alternative hip hop","0.581","0.293","5","-8.033","0","0.312","0.413","0.0000721","0.176","0.686","180.293","4"
"spotify:track:63qnBLe2yGDJml0dpmm8gX","In My Mind","spotify:artist:1cWyN6TA0n4j9JtqI0sOpt","TeaMarrr","spotify:album:4vJrE6Na66kL43NxmPc3VR","Thanks for the Chapstick","2017-05-17","1","3","200448","true","37","spotify:user:1227113","2018-07-30T19:35:25Z","alternative r&b,boston hip hop,chill r&b,escape room","0.57","0.225","2","-12.276","1","0.227","0.73","0.0000297","0.39","0.127","81.326","4"
