"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4UyV2ZMo5NpCcO0u3xX8uB","Poem (Shhh)","spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB","Colde","spotify:album:1Og7aKUerft8q5wPzr7wnb","Poem","2018-11-29","1","2","171000","false","49","spotify:user:1227113","2019-09-24T20:05:47Z","chill r&b,k-indie,k-rap,korean pop,korean r&b","0.821","0.47","0","-11.151","0","0.0424","0.751","0.00109","0.156","0.607","130.018","4"
"spotify:track:5K209mgnrnMPLNIluT9m77","Still (Feat. Crush)","spotify:artist:2e4G04F77jxVuDYo44TCSm","Loco","spotify:album:1xREcRvJFgP1rJMfRvh2aI","BLEACHED","2017-05-25","1","9","276440","false","50","spotify:user:1227113","2019-09-24T20:30:43Z","k-pop,korean pop,korean r&b","0.713","0.731","11","-5.558","0","0.0383","0.0527","0","0.0981","0.417","134.04","4"
"spotify:track:1i7iPkg9xJIKTDEKebOZuA","Veranda","spotify:artist:704gz1q9ieRxZfTkhPlZGG","BIM","spotify:album:3ZSEJ3FURcZtpseXCd35wh","Veranda","2019-08-30","1","1","207000","false","40","spotify:user:1227113","2019-09-24T18:49:41Z","j-rap,japanese r&b","0.877","0.68","2","-6.054","1","0.0752","0.08","0.0582","0.0753","0.766","150.025","4"
"spotify:track:0esW2st130ZwldqSM1NSpe","The Sign","spotify:artist:2W8tmumOv76P22QElkqPCS","ZIN","spotify:album:4JuKrMnp7zNrCLQoXhxt6W","The Sign","2019-09-04","1","1","315400","false","14","spotify:user:1227113","2019-09-24T15:06:14Z","japanese soul","0.705","0.364","7","-12.31","1","0.145","0.186","0.0000949","0.107","0.61","85.048","4"
"spotify:track:6L0Of1Q9WN682asGDZ7rzj","Come Thru","spotify:artist:0fTav4sBLmYOAzKuJw0grL, spotify:artist:4s8ZGMVf3OiPktSP4ulpqU","Mac Ayres, 9th Wonder","spotify:album:7LkpnXXvh8x6EU4mRHgFQW","Juicebox","2019-08-16","1","14","119952","false","37","spotify:user:1227113","2019-09-24T18:50:06Z","alternative r&b,chill r&b,indie soul,alternative hip hop,boom bap,hip hop,north carolina hip hop","0.69","0.738","0","-8.14","1","0.0911","0.0409","0.00019","0.0894","0.64","81.08","4"
"spotify:track:6MSrYs4qxzxzhiKGLvXcHs","Gone","spotify:artist:6LtgEnShwvrqAaKohg7skM","Hablot Brown","spotify:album:4drK8GetIiILQI15zbGOex","Soulection Black Label: Hablot Brown","2018-07-29","1","5","231000","false","39","spotify:user:1227113","2019-09-24T20:30:43Z","alternative r&b,chill r&b,indie r&b,indie soul","0.751","0.24","9","-8.409","0","0.0458","0.0862","0.0642","0.11","0.185","119.927","3"
"spotify:track:1gAGzNuRK9t1RtFjG136O4","Stay","spotify:artist:0fTav4sBLmYOAzKuJw0grL, spotify:artist:2NWuUOptHRTogSZghYspAE, spotify:artist:6E9Q3EKPiOPUbBBFU1YXzi","Mac Ayres, Jack Dine, Chris Anderson","spotify:album:5dKUQT97yuqs3RJDcqeXMy","Stay","2018-06-11","1","1","268656","false","0","spotify:user:1227113","2019-09-24T20:30:43Z","alternative r&b,chill r&b,indie soul","0.679","0.27","2","-10.649","1","0.0454","0.589","0","0.0621","0.415","120.608","3"
"spotify:track:51kVoLJU4b5x7OZWLBLLsj","hectic","spotify:artist:3QAWvRmq1TMLuNtDKVyRaW, spotify:artist:5NANrCkzoiq5M2vXLY5ukC, spotify:artist:21UPYSRWFKwtqvSAnFnSvS, spotify:artist:0IUumGqFvInXfu1Gp3rK8I","Odunsi (The Engine), 234jaydaa, Amaarae, Solis","spotify:album:2rCQfEwg1KO3gksFF2Wq48","rare.","2018-10-12","1","13","201082","false","36","spotify:user:1227113","2019-09-24T18:11:56Z","afropop,alte,alternative r&b,indie r&b,nigerian pop,afro r&b,ghanaian alternative,ghanaian pop,indian edm","0.713","0.669","10","-6.997","0","0.0921","0.171","0.00349","0.0724","0.565","90.988","4"
"spotify:track:05v5mPkLAOoa7M5tnXXOwq","Time","spotify:artist:4596e2d3KmYzAeVenjCxfj, spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:1U1el3k54VvEUzo3ybLPlM","Free Nationals, Mac Miller, Kali Uchis","spotify:album:5SEQL40XcXX1FUHtiqa8PG","Time","2019-06-12","1","1","210279","true","65","spotify:user:1227113","2019-09-24T20:30:43Z","alternative r&b,indie soul,hip hop,pittsburgh rap,rap,colombian pop,dance pop,pop","0.46","0.771","9","-7.088","0","0.328","0.518","0.000197","0.0774","0.296","88.83","4"
"spotify:track:4knQ536ymVE6WJTlmTlISw","Compromise (feat. Sabrina Claudio)","spotify:artist:7wFDo161xYdeaiLz3KIHoM, spotify:artist:30DhU7BDmF4PH0JVhu8ZRg","Gallant, Sabrina Claudio","spotify:album:5sTglsazSFT2Wkvc7cbKdA","Compromise (feat. Sabrina Claudio)","2019-09-06","1","1","185371","false","12","spotify:user:1227113","2019-09-24T18:12:11Z","alternative r&b,chill r&b,alternative r&b,pop","0.539","0.543","9","-6.629","1","0.103","0.498","0.00000564","0.0917","0.383","94.652","4"
"spotify:track:5ZOEulH7fvK4ZkMLTOyKL0","Demonz (feat. Brent Faiyaz) - Interlude","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Juice WRLD, Brent Faiyaz","spotify:album:1GYVNOzwhx1nMcIJDogSNp","Death Race For Love","2019-03-08","1","4","95266","true","70","spotify:user:1227113","2019-09-24T20:30:43Z","chicago rap,melodic rap,dmv rap,rap","0.502","0.309","6","-11.389","1","0.0601","0.268","0.279","0.127","0.18","169.522","1"
"spotify:track:3BbWvLOFaxx0npzxfRixyO","Gold Teeth","spotify:artist:6LEeAFiJF8OuPx747e1wxR, spotify:artist:08Ld63UgKrJ0nZnCkzHtzc, spotify:artist:3ppZNqihWOzuH4A0f4KmeP, spotify:artist:0NIIxcxNHmOoyBx03SfTCD","Blood Orange, Project Pat, Gangsta Boo, Tinashe","spotify:album:3KLLRiCnqYvt78H52TeZ1k","Angel's Pulse","2019-07-12","1","8","181629","true","49","spotify:user:1227113","2019-09-24T18:13:42Z","alternative r&b,art pop,chillwave,electropop,escape room,indie soul,metropopolis,crunk,dirty south rap,gangster rap,memphis hip hop,pop rap,rap,southern hip hop,trap,dirty south rap,gangster rap,hip pop,memphis hip hop,southern hip hop,trap,alternative r&b,dance pop,electropop,hip pop,metropopolis,pop,pop dance,pop r&b,pop rap,post-teen pop,r&b,urban contemporary","0.89","0.665","6","-7.848","0","0.171","0.102","0.0000108","0.114","0.525","148.029","4"
"spotify:track:3RqG7994RtLMTCJAK0yoQv","Sugar (feat. Amaarae)","spotify:artist:1HMhQzj2QXxR40zGDdaK6y, spotify:artist:21UPYSRWFKwtqvSAnFnSvS","Kojey Radical, Amaarae","spotify:album:5y5Je353ZsPKl9fuO10ZpA","Cashmere Tears","2019-09-13","1","4","165683","true","47","spotify:user:1227113","2019-09-24T15:05:28Z","uk alternative hip hop,afro r&b,ghanaian alternative,ghanaian pop","0.725","0.56","1","-8.349","1","0.197","0.102","0","0.443","0.613","135.974","4"
"spotify:track:62uTJQ70A6EwC1inbUlKsf","Spin Me Round","spotify:artist:0el9N0gW4ROadV7V1IPaI5, spotify:artist:0X0RZpLGkUjq02zjfCOETZ","Pawcut, Ella Mae","spotify:album:7GSH8Gnc3loPu7pgtYSh5T","God's Plan","2018-06-25","1","4","191579","false","5","spotify:user:1227113","2019-09-24T20:30:43Z","","0.643","0.457","2","-10.542","0","0.0596","0.547","0.0991","0.0972","0.197","147.923","4"
