"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:46fk9wjYcPm0sgym2b7EEE","We Major","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:20qISvAhX20dpIbOOzGK3q, spotify:artist:69m0yjx8ruKebsRvbNuEDz","Kanye West, Nas, Really Doe","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","2005-08-30","1","14","448000","true","57","spotify:user:1227113","2019-09-19T18:33:11Z","chicago rap,rap,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap","0.234","0.88","11","-3.66","0","0.123","0.0107","0","0.045","0.216","85.641","4"
"spotify:track:6hZVFnZgL0v6EWpcfrnQOm","Illionaire Way 2","spotify:artist:2qI1pO64eYqGUiv1XTw4cy","The Quiett","spotify:album:6r9mSEE0PzpUPlHITEXddP","1 Life 2 Live","2015-10-15","1","13","197462","false","0","spotify:user:1227113","2019-09-19T18:30:37Z","k-rap,korean r&b,korean trap","0.462","0.881","6","-3.951","0","0.273","0.115","0","0.138","0.524","164.629","4"
"spotify:track:3G8lctZjpG3Hcg0fDKNkS9","HND (feat. MUD, BSC & DIAN)","spotify:artist:5Treq1MbA8Kw8EGwJc0nzy, spotify:artist:6gb39K86ctQFpICp7ps9hn, spotify:artist:6vsnsFUQWlelvGpD5PTfDo, spotify:artist:6MeckwC4hczGmKEunXKC1Q","KANDYTOWN, BSC, DIAN, MUD","spotify:album:4fT8iF0bYo5artHrHIavze","HND (feat. MUD, BSC & DIAN)","2019-09-06","1","1","243246","true","30","spotify:user:1227113","2019-09-19T14:24:57Z","j-rap","0.69","0.75","11","-5.474","0","0.154","0.0636","0","0.262","0.681","81.51","4"
"spotify:track:3MkSQjlRNxa8PLsorN70uA","見まわそう","spotify:artist:4gsJF2JFh6fEnmN6YQEFYb","キング・ギドラ","spotify:album:1XB3dDf9n4uuG2NEZjqqCI","空からの力","1995-12-10","1","3","221733","false","30","spotify:user:1227113","2019-09-19T14:24:33Z","","0.846","0.508","1","-11.431","1","0.311","0.097","0.000443","0.107","0.348","90.958","4"
"spotify:track:0Bjm2IaLuaY6ttrj9Bv1Dz","Who's on the Playlist","spotify:artist:7qzzcFzliEAHMlDA9qaRVf, spotify:artist:6cc4nTPbOmmi0oWqMKL6fU","Kassa Overall, Judi Jackson","spotify:album:6tSHSLgLy19DgFpzKHrrJv","Go Get Ice Cream and Listen to Jazz","2019-01-11","1","7","230404","true","46","spotify:user:1227113","2019-09-19T14:20:56Z","indie jazz,neo r&b","0.667","0.417","5","-10.732","1","0.047","0.666","0.00106","0.671","0.329","109.954","4"
"spotify:track:2jHcuHmJKmxFWHbi4bxWkn","LOVE (Prod by jjj)","spotify:artist:7kj57NIwoqvnBTSpSgrO3p, spotify:artist:01b6szRrEne55vkR4tVPHP","C.O.S.A., KID FRESINO","spotify:album:4LWh7JTNgcf13LJr0cRqKm","Somewhere","2016-07-20","1","2","219652","false","45","spotify:user:1227113","2019-09-19T14:46:12Z","j-rap,j-rap,japanese alternative rock","0.632","0.846","6","-5.099","1","0.303","0.245","0","0.202","0.833","89.06","4"
"spotify:track:4tMZoPR9v4kvICAPyknxpa","Meet Again","spotify:artist:6xS5PpBWaVYraexEkEjjXv","Maxo Kream","spotify:album:2E5FdSQ0pyo7LHW7XxMYUi","Brandon Banks","2019-07-19","1","1","320200","true","59","spotify:user:1227113","2019-09-19T17:14:45Z","hip hop,houston rap,melodic rap,rap,southern hip hop,trap,underground hip hop,vapor trap","0.8","0.597","0","-7.835","1","0.107","0.257","0","0.185","0.634","149.999","4"
"spotify:track:7wTA0NKIm6T7nP2kaymU2a","Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba)","spotify:artist:1iNqsUDUraNWrj00bqssQG, spotify:artist:5MbNzCW3qokGyoo9giHA3V, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:7Hjbimq43OgxaBRpFXic4x","Dreamville, EARTHGANG, J. Cole, Smino, Saba","spotify:album:2n3quCZ0anEa46j2IveacI","Revenge Of The Dreamers III","2019-07-05","1","18","382306","true","68","spotify:user:1227113","2019-09-19T15:00:06Z","hip hop,rap,underground hip hop,atl hip hop,hip hop,indie hip hop,psychedelic hip hop,rap,underground hip hop,conscious hip hop,hip hop,north carolina hip hop,rap,alternative r&b,hip hop,rap,underground hip hop,alternative r&b,chicago rap,hip hop,rap,underground hip hop","0.825","0.672","0","-7.108","1","0.418","0.0858","0","0.123","0.246","147.01","4"
"spotify:track:0AlXdELIsHQ4ZUQrekNuQa","Run Up (feat. Kiko Bun, Knucks, Eva Lazarus & Nubya Garcia)","spotify:artist:1gH9xoeNySnEkCtR2kbPiQ","Swindle","spotify:album:6qJUHEJf6Etmet23OOkF7J","No More Normal","2019-01-25","1","4","181320","false","5","spotify:user:1227113","2019-09-19T14:20:36Z","purple sound","0.631","0.754","2","-3.335","1","0.126","0.252","0.00000176","0.595","0.367","151.276","4"
"spotify:track:78gNgWCNm285XLgWpNb1y9","What are you doing the rest of your life","spotify:artist:0StJhTOwSFMrgRwDGnnE2S","INO hidefumi","spotify:album:0j9epI3pFTdwfQa5PfiYSV","Satisfaction","2006-06-09","1","2","194760","false","18","spotify:user:1227113","2019-09-19T14:23:56Z","japanese jazz fusion,japanese jazztronica,japanese soul,shibuya-kei","0.618","0.7","8","-7.303","1","0.0428","0.047","0.887","0.176","0.402","87.874","4"
