"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4EOXNLSqGUOKpGVGDhAeXH","Brighter Days Beginning","spotify:artist:5FnpXrrMdJVZCK54oHWqUa, spotify:artist:3AaY5O1qS0tcNPHwwMwplt, spotify:artist:2AN7XYCHxVLSqJ5RPjI4DA, spotify:artist:6E2QUbsHDVzmrf1TVfGdwf, spotify:artist:55Ox89YvyME4t8bYTIJsRu, spotify:artist:6SlLXvZvYEGnurxBUpUdri","Makaya McCraven, Jeff Parker, Anna Butterss, Josh Johnson, Carlos Niño, Miguel Atwood-Ferguson","spotify:album:07t71VgFZkSmrSYdUKmuHI","Universal Beings","2018-10-26","1","21","152626","false","13","spotify:user:1227113","2020-09-18T18:37:52Z","experimental jazz,indie jazz,avant-garde jazz,chamber psych,contemporary jazz,free improvisation,free jazz,indie jazz,jazz guitar,fourth world,indie jazz","0.399","0.248","4","-18.894","0","0.177","0.863","0.00000425","0.383","0.313","76.42","3"
"spotify:track:64ne14gvHmoJ5qhM9IkGsJ","For South","spotify:artist:3CJEpzlVzfyLTpKJlpKdHw, spotify:artist:3qEnCAnX23lvoxZYtBiPgL, spotify:artist:1nJX9DZHvd27lKDx8NM8Rt","The Silhouettes Project, ENNY, Nix Northwest","spotify:album:7qmlOkELTQmpDcQXqkWSQc","For South","2020-09-17","1","1","160506","false","50","spotify:user:1227113","2020-09-18T14:34:52Z","indie r&b,uk alternative hip hop,uk alternative hip hop","0.573","0.398","5","-11.246","0","0.273","0.617","0.0135","0.0892","0.535","82.342","4"
"spotify:track:4mNCSo9NBGOqmbtg9EpVXV","Phoenix - ReBirth","spotify:artist:3L3oWS9VsgTRBF7HFHdOEz, spotify:artist:60k4atxgEIMFz4DWHp0le1, spotify:artist:3iCuTA9kZSskLnvGf9fhOc","Javier Santiago, Braxton Cook, Gavin Grant","spotify:album:3oloiyQgCoTq0t155i0anl","ReBirth - EP","2020-09-18","1","5","313280","false","10","spotify:user:1227113","2020-09-18T14:35:18Z","indie jazz,indie soul,neo r&b","0.354","0.585","5","-8.609","0","0.145","0.174","0.0752","0.26","0.293","160.487","4"
"spotify:track:1sVploZAoqZDLhOld7jwYw","Slow It Down","spotify:artist:0oXcSv2sZaRTblkhsDHnba, spotify:artist:30SZetOBMEael27tboxz7f, spotify:artist:1xEKfd3N7hNOs61F4Yr65R","Àbáse, Emmavie, Scienze","spotify:album:1GAubt9AgQo4i9cSNPH4So","Slow It Down","2020-09-09","1","2","299073","false","16","spotify:user:1227113","2020-09-18T14:37:23Z","indie r&b,soul flow","0.467","0.394","5","-10.711","0","0.302","0.636","0.00171","0.112","0.373","88.937","4"
"spotify:track:1dUhBmll1DfMO90682PlKQ","Frontline","spotify:artist:2jQ6wRQ7yP1UrctodeuYQP","Butcher Brown","spotify:album:4dd1M7bEbduM0Cb2dqr28f","#KingButch","2020-09-18","1","7","292813","false","43","spotify:user:1227113","2020-09-18T14:49:47Z","indie jazz,indie soul,neo r&b,rva indie","0.502","0.699","1","-6.935","1","0.0371","0.136","0.541","0.127","0.441","88.362","4"
"spotify:track:429vyll3KVzSB3sAijjBkC","Melhor Versão de Mim","spotify:artist:15mR9E7xTmVPmKeHcPByzD, spotify:artist:7HZsRuW2Cxoyrfk6CNiGih","Isadora, Fabriccio","spotify:album:2GQGqmZhZgHvieZ63dOQJs","Universo Particular","2020-09-18","1","2","202031","false","19","spotify:user:1227113","2020-09-18T15:11:13Z","pop nacional,r&b brasileiro","0.526","0.336","9","-11.618","0","0.0375","0.842","0","0.109","0.212","112.079","3"
"spotify:track:0hmP24blfCefhB7xAHKv8C","Walk With Run To","spotify:artist:3Fv7JfJU7wIZmGSuhi6mqo, spotify:artist:1sBCqmBIRFzk6RdVeSIhbl","Rocky Angelini, Undecided Future","spotify:album:7AazAjMWSZ9KYBgLbv0hm1","Walk With Run To","2020-09-11","1","1","192960","false","11","spotify:user:1227113","2020-09-18T17:42:37Z","oc indie,oc rap,oc indie","0.811","0.726","11","-9.15","0","0.172","0.198","0","0.108","0.427","125","4"
"spotify:track:7Kf7l8MuhMsMTJyoTe6S7O","Overslept","spotify:artist:46NCqFl8vhQZD77y7XkvJs, spotify:artist:05G52WX5mk1SgWBoMJDKbN","goosetaf, Master Soul Boy","spotify:album:6kRRsfnmmgB1IS86m3u7qC","Overslept","2020-09-18","1","1","166588","false","35","spotify:user:1227113","2020-09-18T15:00:15Z","chillhop,lo-fi beats","0.801","0.471","1","-8.95","0","0.218","0.606","0.232","0.278","0.163","127.418","3"
"spotify:track:5iYkCc48enFeTmoRhhKlI3","Hurt People","spotify:artist:7fNI5DhplKeFCErRvzRCVO","Mack Keane","spotify:album:5xfuRpnZVik5glRtpfG9CP","Hurt People","2020-09-18","1","1","179525","false","28","spotify:user:1227113","2020-09-18T14:35:18Z","alternative r&b,indie r&b","0.575","0.651","11","-5.117","1","0.385","0.755","0.00000408","0.12","0.676","122.138","4"
"spotify:track:1SLwQTHk7eiXQ18ZImBPOt","RASTEIRINHA","spotify:artist:45SdbfTDVazlg3Ehph9UlT","JOCA","spotify:album:7KHkoBPagMf6K3KGnwS8y4","RASTEIRINHA","2020-09-18","1","1","116000","false","34","spotify:user:1227113","2020-09-18T15:23:37Z","r&b brasileiro","0.81","0.511","10","-9.254","1","0.273","0.27","0.00204","0.0769","0.371","100.122","4"
"spotify:track:339o7xKNywbRTmFvzviqF4","Siifu Slide","spotify:artist:7jBDs3nUM8NcQFZIfQlkRV, spotify:artist:40ZElxHldNyvn7x8WRC6fh","el delpha, Pink Siifu","spotify:album:0eQsgDn44eOjdqWuHHaldY","Siifu Slide / Looking For (the Island of the Sun)","2019-04-27","1","1","139168","false","25","spotify:user:1227113","2020-09-19T16:51:02Z","alternative hip hop,boom bap,escape room,experimental hip hop,indie hip hop,indie r&b,underground hip hop","0.787","0.633","5","-7.948","0","0.235","0.579","0.0213","0.171","0.637","92.012","4"
"spotify:track:2wud2mbBn8gkjgHIX6U1G6","long dayz.","spotify:artist:2AtYJoC6VmUtkxonmVnbVR, spotify:artist:1vZAPVpvdBFzQX1KIggCLx","Ryan Celsius Sounds, oxy_gin","spotify:album:4JEFkGT14I8Vx1w332qxSJ","Midsummer Love Songs","2020-08-28","1","5","126066","false","24","spotify:user:1227113","2020-09-18T18:22:56Z","phonk,phonk","0.777","0.429","1","-11.795","1","0.0788","0.935","0.91","0.314","0.961","79.997","4"
