"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3PyuEG2F0MlcaQV4ISnsvX","Nobody","spotify:artist:2JMVlpvihBQpxNhy6XUOZ1, spotify:artist:2Qvj1it0OQswQ4zu836oWw","Dabbla, Sumgii","spotify:album:0MwpQOmSvOrTAQY9o1HcKi","Nobody","2020-05-29","1","1","212807","true","23","spotify:user:1227113","2020-07-29T13:56:21Z","uk alternative hip hop,uk hip hop,uk alternative hip hop,uk hip hop","0.755","0.686","10","-7.913","0","0.314","0.122","0","0.128","0.23","135.995","4"
"spotify:track:2E0biFB3AGMSnJTDVbB8EE","BB (BODYBAG)","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:2WiHIGt86SQbIwSPccRK4Z","BB (BODYBAG)","2020-05-14","1","1","192412","true","57","spotify:user:1227113","2020-07-30T13:53:07Z","hip hop,rap,uk alternative hip hop,uk hip hop","0.806","0.435","0","-9.95","1","0.417","0.473","0.000016","0.0976","0.253","139.971","4"
"spotify:track:34PhB0kHT00utubP3aTau8","Burn The Hoods","spotify:artist:2rhFzFmezpnW82MNqEKVry","Ski Mask The Slump God","spotify:album:3PWTw7MPyvU80Z6pDgHUaC","Burn The Hoods","2020-07-24","1","1","102960","true","73","spotify:user:1227113","2020-07-30T13:53:29Z","miami hip hop,rap,underground hip hop","0.871","0.715","3","-7.828","0","0.147","0.196","0","0.14","0.378","150.955","4"
"spotify:track:3EikYy40GMSp8l5mDV6IQo","Foot Fungus","spotify:artist:2rhFzFmezpnW82MNqEKVry","Ski Mask The Slump God","spotify:album:0z0z4DcXhHiobX5ZKAw8Qn","STOKELEY","2018-11-30","1","3","129546","true","72","spotify:user:1227113","2020-07-30T13:53:39Z","miami hip hop,rap,underground hip hop","0.881","0.623","1","-9.662","1","0.119","0.257","0.0000015","0.0964","0.745","88.953","4"
"spotify:track:0EU11UpJCcUasNg3MOuXF2","Dirty Fanta","spotify:artist:4LM7PNYtQtrHXnfQYr16mx, spotify:artist:3QAWvRmq1TMLuNtDKVyRaW","Maison2500, Odunsi (The Engine)","spotify:album:6tRba91vP57FNtb5k2Gnb7","Dirty Fanta","2020-04-24","1","1","177195","true","24","spotify:user:1227113","2020-07-30T13:53:56Z","nigerian hip hop,afropop,alte,alternative r&b,indie r&b,nigerian pop","0.729","0.635","8","-8.105","0","0.167","0.246","0.0000021","0.343","0.609","148.981","4"
"spotify:track:6eyxts39VJKDfxv5QHOlRB","100 Thoughts","spotify:artist:0wY1K9SgxbaRfoFRmSR5x5","SL","spotify:album:334X6XoNKUzpAQbm5FPsMh","Top Boy (A Selection of Music Inspired by the Series)","2019-09-13","1","8","123843","true","50","spotify:user:1227113","2020-07-30T13:53:56Z","uk hip hop","0.915","0.789","10","-5.352","0","0.231","0.611","0","0.0727","0.958","139.901","4"
"spotify:track:2pQkQRrgTpBq2702Pzqy5l","1600","spotify:artist:1V5pJCmVW36XEQL6hUAgxJ","Blaccmass","spotify:album:4VelAoNfLbzRxvsNylZ84c","Days B4 Da Fame (Deluxe)","2020-06-26","1","3","217658","true","0","spotify:user:1227113","2020-07-30T13:53:56Z","","0.877","0.671","8","-7.83","1","0.32","0.0239","0","0.0588","0.777","161.498","4"
"spotify:track:7cthjD1aE9mIYo8rAzV5Ru","MOOD.","spotify:artist:1rFT3bXNpN4YYQdCpsdWx8, spotify:artist:1OuPurw6SHSfAFsMAmHZBH, spotify:artist:3yMB5SRUewrVIC4RiWR02V, spotify:artist:0NcPKaSNIHAM2RfioH9vMT","Thorii, Lil Littlez, ZZ, Guapdad 4000","spotify:album:4JGpSydeEqj15zg4JKxJuh","MOOD.","2020-05-01","1","1","259817","true","12","spotify:user:1227113","2020-07-30T13:53:56Z","cali rap,oakland hip hop,scam rap,trap soul,underground hip hop,vapor trap","0.866","0.526","1","-10.117","1","0.0529","0.318","0.0000342","0.0873","0.521","130","4"
"spotify:track:42YX4XfkEbbeDSeCyA1uHm","Disintegrate","spotify:artist:1zeUMAJrOoMdWjU0BErMzn, spotify:artist:15GgEOJiFyjQm4tZ4D7qih","Tochi Bedford, Cruel Santino","spotify:album:0m8IW3rBHx43t08KwJiDaO","Disintegrate","2020-05-29","1","1","131506","true","18","spotify:user:1227113","2020-07-30T13:53:56Z","nigerian hip hop,alte,nigerian pop,uk alternative hip hop","0.687","0.473","7","-6.292","0","0.0617","0.0154","0.0171","0.104","0.436","146.04","4"
"spotify:track:2ewjMyCbNv2X1dB2qIDCwD","Θ. Macarena","spotify:artist:2UwqpfQtNuhBwviIC0f2ie","Damso","spotify:album:7ovdjtmV0Bkm4Xb4pqtrZt","Ipséité","2017-04-28","1","8","206840","true","68","spotify:user:1227113","2020-07-30T13:53:56Z","belgian hip hop,french hip hop,pop urbaine,rap conscient","0.777","0.554","2","-8.179","1","0.0572","0.182","0.0000017","0.0477","0.27","129.933","4"
"spotify:track:71xi22BjhXowTrxW4DhstV","Hollywood Love (feat. Gunna)","spotify:artist:0pkwrPVI8UyXtPkavyJoZ4, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ","A.CHAL, Gunna","spotify:album:6V2vkEfDPAp78d8b7tEDnL","Hollywood Love (feat. Gunna)","2020-05-06","1","1","154348","true","51","spotify:user:1227113","2020-07-30T13:53:56Z","trap soul,atl hip hop,melodic rap,rap,trap","0.715","0.795","1","-3.631","1","0.066","0.0874","0.0000321","0.112","0.387","83.022","4"
"spotify:track:1yCUT3MfcBCUrh44UZFCtA","MOONROCK","spotify:artist:2ums0zsrtQqsI77ol2KIRt","Dwn2earth","spotify:album:2I66tIUgUxSL89Z59z7rND","MOONROCK","2020-03-25","1","1","192956","true","34","spotify:user:1227113","2020-07-30T13:53:56Z","trap soul,vapor trap","0.909","0.457","1","-8.85","1","0.0391","0.396","0.000437","0.0814","0.615","130.031","4"
"spotify:track:5mU05vG9ay0gsKAiNINdCI","Domino","spotify:artist:0LdzDrRc2RESpGqwyhbE3t","Madi Banja","spotify:album:0hIDtDp0yaL235dLDDZK93","Domino","2020-07-03","1","1","145000","true","29","spotify:user:1227113","2020-07-30T13:53:56Z","swedish hip hop,swedish trap pop","0.628","0.592","5","-10.001","0","0.0873","0.176","0.00000273","0.238","0.392","145.952","1"
