"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:72KcdW6Xk4CH9TvCAssb99","Dear You 너에게 (feat. Chang Sukhoon)","spotify:artist:6ClAFFqc8VEOKSGTrvy8V5, spotify:artist:2eXH4DaWRyUjZQpvGdYWMO","Ku One Chan, Chang Sukhoon","spotify:album:1QuPEWBaKDuBkJBojCIate","Dear You 너에게 (feat. Chang Sukhoon)","2019-04-05","1","1","210384","false","35","spotify:user:1227113","2019-06-20T02:42:36Z","k-indie","0.542","0.675","6","-6.152","1","0.0702","0.188","0.00000156","0.196","0.377","79.928","4"
"spotify:track:4ahOqaVOdjPrGB73d2KD89","City In Ruins - A COLORS SHOW","spotify:artist:6MxR3Hjf2uTSew9wmKbOwO","C.S. Armstrong","spotify:album:4uzHhBCnkUS5FOBu1smTzj","City In Ruins - A COLORS SHOW","2018-11-19","1","1","143125","false","26","spotify:user:1227113","2019-05-21T15:21:21Z","","0.691","0.458","6","-11.833","0","0.373","0.181","0","0.0674","0.845","84.68","4"
"spotify:track:3PAptX72PPmjj1Igms0zjo","Triggered (freestyle)","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:2svsn7JwsFVNSrlqdmmppd","Triggered (freestyle)","2019-05-08","1","1","211226","true","65","spotify:user:1227113","2019-05-10T14:16:11Z","alternative r&b,dance pop,pop,r&b,urban contemporary","0.471","0.411","0","-9.5","1","0.295","0.81","0","0.135","0.363","89.484","1"
"spotify:track:7bbpg7SShcWLj1C8ABApb0","I Love You","spotify:artist:3oUxvPmwDj1e7bfPDc9OT5","East of Underground","spotify:album:5ZUHlS1dSKn5Z0DxdvYH44","East of Underground","2011-09-26","1","8","188053","false","45","spotify:user:1227113","2019-05-06T14:08:09Z","psychedelic soul","0.558","0.27","5","-11.37","1","0.0353","0.925","0.000968","0.132","0.678","77.808","4"
"spotify:track:3Gy5pS9fpK3jmUmP6QThNi","La Obsesión","spotify:artist:23TYM4mYLQjyJLr4x89MjH","Danger","spotify:album:41DWCwVSlvxBtscxSg7sNv","Moebius","2019-04-15","1","3","181495","false","28","spotify:user:1227113","2019-05-06T14:08:42Z","mexican hip hop,rap underground mexicano","0.663","0.549","2","-10.608","0","0.375","0.271","0.0689","0.157","0.533","169.968","4"
"spotify:track:6jUGAvaB8826B0wnSbrnuU","Hot Air Balloons","spotify:artist:5cAtakaadWHJLxmGKrKcX7, spotify:artist:7E2ioKxoxI2J94tUkIx6As","Tank and The Bangas, Alex Isley","spotify:album:1bhtraPct75JNRkc7JJJcA","Green Balloon","2019-05-03","1","5","343320","false","10","spotify:user:1227113","2019-05-06T14:08:42Z","indie soul,new orleans funk,alternative r&b,chill r&b,indie r&b,indie soul,neo soul,pop r&b","0.417","0.494","5","-8.229","1","0.256","0.324","0.00000372","0.0563","0.337","89.723","4"
"spotify:track:4rvnBqTmx66LlCJZLbLAOY","Winona","spotify:artist:3MkIU5jhXTMK9pYQTRVI6p","DJ BORING","spotify:album:3BAjbq6blqHla1TgJUT7U7","Winona","2017-06-09","1","1","511031","false","0","spotify:user:1227113","2019-05-06T14:08:42Z","deep house,float house,lo-fi house","0.656","0.693","5","-7.876","0","0.0703","0.0387","0.83","0.111","0.158","122.028","4"
"spotify:track:53KFMdxzi8IJDewiql1Qo3","Sunflower (feat. Steve Lacy)","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx, spotify:artist:57vWImR43h4CaDao012Ofp","Vampire Weekend, Steve Lacy","spotify:album:1A3nVEWRJ8yvlPzawHI1pQ","Father of the Bride","2019-05-03","1","12","137600","false","62","spotify:user:1227113","2019-05-06T14:08:42Z","baroque pop,indie pop,indie rock,modern rock,rock,afrofuturism,alternative r&b,rap","0.863","0.576","8","-5.691","1","0.0567","0.406","0.00824","0.141","0.932","100.03","4"
"spotify:track:6h6FtIZdAoUNfCWHW38qsj","Loose - Cid Rim Remix","spotify:artist:7AjItKsRnEYRSiBt2OxK1y, spotify:artist:1qsa20MWDjV9QI93zn2i2s","FVLCRVM, Cid Rim","spotify:album:45xLSBwFW7xzkGCQs1nvOK","Loose (Cid Rim Remix)","2019-05-03","1","1","218437","false","10","spotify:user:1227113","2019-05-06T14:08:42Z","slovak electronic,bass trip,future garage,wonky","0.846","0.76","7","-7.484","1","0.303","0.0228","0.002","0.133","0.58","125.963","4"
"spotify:track:2dD5YCHKOr6Aow560pcWbL","Blood on My Hands (feat. Smino) - Channel Tres Remix","spotify:artist:2iB8eFB6flwQculkUrRssi, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:4cUkGQyhLFqKHBtL58HYVp","AUGUST 08, Smino, Channel Tres","spotify:album:33OUGxuCCvbzlMGGzdAS6f","Blood on My Hands (feat. Smino) [Channel Tres Remix]","2019-05-03","1","1","305330","false","17","spotify:user:1227113","2019-05-06T14:08:42Z","la pop,r&b,alternative r&b,hip hop,rap,underground hip hop,indie soul,la pop","0.697","0.803","7","-8.143","0","0.0413","0.0198","0.321","0.127","0.216","121.002","4"
