"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2urQEPkvz0ISpmqrKoSvwA","ON THE RUN","spotify:artist:1m0t5VYISq6TcyMo7UqLMz","Zaia","spotify:album:0mHKBmV2f0y9A9jUmQtCMa","RESET","2019-06-21","1","4","253561","true","45","spotify:user:1227113","2020-01-08T16:26:47Z","alternative r&b,atl hip hop,indie r&b","0.825","0.468","10","-6.536","0","0.471","0.163","0","0.0524","0.939","171.018","3"
"spotify:track:5243RHbTTd4oci9YjktHBW","Numbers On The Boards","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","spotify:album:0IoiCReUTgS8veAp98cHIA","My Name Is My Name","2013-01-01","1","2","163586","true","0","spotify:user:1227113","2020-01-08T16:26:47Z","alternative hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,virginia hip hop","0.807","0.556","0","-5.539","0","0.119","0.157","0","0.0906","0.383","87.852","4"
"spotify:track:16pa2RBOVK2cZj8oCmHtyI","Departure","spotify:artist:2Ea7qJOrKOD6OYkXNEUwrs, spotify:artist:5D21ZneiMBeuS22kVg2sxE","SUKISHA, kiki vivi lily","spotify:album:550OQP4Yq1H4UQCW2WrLk0","Over the Rainbow","2019-12-18","1","1","57473","false","12","spotify:user:1227113","2020-01-08T16:26:47Z","japanese city pop,japanese r&b,japanese alternative rock,japanese city pop,japanese r&b","0.614","0.741","0","-10.42","1","0.274","0.917","0.838","0.274","0.852","94.259","4"
"spotify:track:5ctLUdRtqhZs1ZBUzIVpD4","La Californie","spotify:artist:28YSrbk6xiTk3WhpkdidaW","Fille à Papa","spotify:album:5VmxgfgvZPdxXZkqpQXhKg","La Californie","2019-07-12","1","1","171500","false","11","spotify:user:1227113","2020-01-08T16:26:47Z","","0.749","0.689","9","-8.107","0","0.033","0.0457","0.0113","0.128","0.422","110.018","4"
"spotify:track:4yrM5BVyJzy5Ed4GPO6e8j","I Wanna Be Your Lover","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","spotify:album:6k7RVZ7bSL9ryReb8RLYRI","Prince","1979-10-19","1","1","347666","false","65","spotify:user:1227113","2020-01-08T16:26:47Z","funk,funk rock,minneapolis sound,motown,synth funk","0.812","0.507","1","-8.825","0","0.0452","0.0399","0.0831","0.0671","0.729","114.832","4"
"spotify:track:7xn9uXfYkFXfMJgaQxgbCN","Midsection","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","KAYTRANADA, Pharrell Williams","spotify:album:5FQ4sOGqRWUA5wO20AwPcO","BUBBA","2019-12-13","1","17","289426","false","52","spotify:user:1227113","2020-01-08T16:26:47Z","escape room,indie soul,lgbtq+ hip hop,hip hop,pop rap","0.686","0.769","8","-6.381","1","0.207","0.017","0.000831","0.374","0.409","103.956","4"
"spotify:track:1yHXUDFaAtxty9N3eklIHY","Galactic mermaid","spotify:artist:4USrgZyHavtZNMDfftaKSq","マーメイド・シスターズ(Vo.クリヤマユウリ)","spotify:album:54hb2cgal71xCmoC9EB4IW","TVアニメ「キャロル&チューズデイ」VOCAL COLLECTION Vol.1","2019-07-31","1","10","123533","false","49","spotify:user:1227113","2020-01-08T16:26:47Z","seinen","0.859","0.323","7","-8.384","1","0.135","0.889","0","0.244","0.79","108.312","4"
"spotify:track:6D68xdaG7IKsxqIcQPtpnb","Metropolis Notte","spotify:artist:218nDSeI7vGBhthShGSMPD","Gabriele Ducros","spotify:album:1Yl9XHdlHDhONl6pl2KDl8","Freedom Power","1977-03-09","1","10","196235","false","27","spotify:user:1227113","2020-01-08T16:26:47Z","italian library music","0.401","0.615","1","-7.731","1","0.0272","0.0346","0.707","0.101","0.361","147.57","3"
"spotify:track:0SlBjQHEfRaVhqZ5SB1SRZ","Could I Be Falling in Love","spotify:artist:6XItHNeKXecnFpkJHOn5JL","Syl Johnson","spotify:album:0hBlULfjPTKngZsvbe3qpE","Diamond in the Rough","2010","1","4","188573","false","36","spotify:user:1227113","2020-01-08T16:26:47Z","chicago soul,classic soul,funk,memphis soul,soul,southern soul","0.547","0.325","2","-11.962","0","0.0257","0.628","0.0000617","0.122","0.396","73.232","4"
"spotify:track:5dC6qFGuR0K6sestrISXcv","What I Wanted","spotify:artist:2U8Spt8w0ylEP8NA9CkUh7","Tungz","spotify:album:0TBqYD3yqFQOMCQHsB9e5P","Okay","2019-10-01","1","4","274000","false","44","spotify:user:1227113","2020-01-08T16:26:47Z","","0.624","0.449","1","-12.355","0","0.0323","0.116","0.00292","0.0957","0.267","136.09","4"
