"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:47AyotQ5WquZd8wmsqzAzz","I Don't Know - Instrumental","spotify:artist:1020a42xVklY6c56imNcaa","Slum Village","spotify:album:06Ee6dveq170ls1t52Cj6s","Fantastic, Vol.2: Vinyl Instrumentals","2011-07-05","1","7","102028","false","17","spotify:user:1227113","2020-08-01T12:40:47Z","alternative hip hop,detroit hip hop,hip hop,indie soul,neo soul","0.758","0.512","2","-6.171","1","0.332","0.000828","0.895","0.0455","0.743","182.13","4"
"spotify:track:0e0DLttuM8hke1e30Q8hns","Cajueiro","spotify:artist:1y3yZ6EkHPMyEOFTGl2TNT","Tainá","spotify:album:3ymL8iWK6qvG3uqjdwNmp5","Tainá","2017-07-10","1","4","189574","false","15","spotify:user:1227113","2020-08-01T12:42:59Z","","0.453","0.786","6","-6.219","0","0.154","0.412","0.000088","0.126","0.843","184.528","4"
"spotify:track:7vbjMRpzbkYweTVxhzdUcN","Small Talking","spotify:artist:1pEIaSj4zhV8fi3IcLRC0q","Carlton Lewis","spotify:album:0buptyrZIocgX420dtdJ5M","Soul Jazz Records Presents Fashion Records: Style & Fashion","1982","1","8","315920","false","5","spotify:user:1227113","2020-08-02T00:09:44Z","uk dancehall","0.789","0.386","9","-11.657","1","0.15","0.0642","0.0000595","0.111","0.701","79.316","4"
"spotify:track:0jqLv5PuEUA0GthFjdtlS1","Oodles O' Noodles Babies","spotify:artist:20sxb77xiYeusSH8cVdatc","Meek Mill","spotify:album:6UYZEYjpN1DYRW0kqFy9ZE","Championships","2018-11-30","1","13","181274","true","52","spotify:user:1227113","2020-08-02T01:43:59Z","hip hop,philly rap,pop rap,rap,southern hip hop,trap","0.609","0.836","4","-3.442","0","0.264","0.593","0","0.466","0.584","72.099","4"
"spotify:track:01lmn9ssjvetCIAdghnxtW","Love Changes","spotify:artist:3csSQdDVhJlP3BUOoZ2N2H","Mother's Finest","spotify:album:2wQGZI65KCcGw6iFc6u9RM","Mother Factor","1978","1","4","291373","false","37","spotify:user:1227113","2020-08-02T15:10:52Z","funk rock","0.591","0.371","4","-14.404","0","0.0538","0.485","0.000508","0.114","0.56","71.846","4"
"spotify:track:099wJxKPfoY3R0rqH3C1J1","Bad Decisions (from Insecure: Music From The HBO Original Series, Season 4)","spotify:artist:6PDLwWvgYNMfBRLqC1h5cJ, spotify:artist:0txgDz2yNToARuN2vD7SWD","Buddy, Raedio","spotify:album:7IMICFAFYjFFHUBaaWcOjn","Bad Decisions (from Insecure: Music From The HBO Original Series, Season 4)","2020-06-12","1","1","211428","false","25","spotify:user:1227113","2020-08-03T12:17:49Z","alternative r&b,cali rap,rap,trap soul,underground hip hop","0.725","0.372","5","-13.487","1","0.165","0.137","0.000623","0.12","0.477","83.995","4"
"spotify:track:5sAOjAI3z8vBdyWMAZS3N4","Wil","spotify:artist:0H4BQjtU2ChZdr48fgZALZ","Joss Moog","spotify:album:3MFfCZ1iStIiJPKXfRGRyo","Contrepied, vol. 1","2018-08-24","1","5","157923","false","38","spotify:user:1227113","2020-08-03T12:25:19Z","","0.909","0.467","7","-9.313","1","0.0568","0.307","0.117","0.0995","0.604","91.41","4"
"spotify:track:6i54mmaH64HhMGBv9mVezo","Queens Highway","spotify:artist:1PryMSya1JnSAlcwYawCxp","Menahan Street Band","spotify:album:0LjAxZFRZp0YcbeE2Jiile","Queens Highway","2020-05-08","1","1","67720","false","56","spotify:user:1227113","2020-08-03T12:26:24Z","afrobeat,brass band,funk,instrumental funk,soul","0.778","0.399","1","-8.984","1","0.0858","0.0751","0.835","0.103","0.321","137.305","4"
"spotify:track:08rsctyZgjBgZdjbVP0eC4","Those Days","spotify:artist:3NF4EmZKXeCmMKLOAWzYjt, spotify:artist:06p9GzfGI2V2Pmokgy123k","Dal, Leah Yeger","spotify:album:22eXCNyNd5M6SEHO0SyLLS","Those Days","2020-06-26","1","1","229750","false","43","spotify:user:1227113","2020-08-03T13:24:43Z","","0.524","0.171","9","-13.47","0","0.0602","0.745","0.531","0.134","0.323","145.495","4"
"spotify:track:3KWfmqvviOaGwPXCMajZ1w","Fontanel","spotify:artist:3NF4EmZKXeCmMKLOAWzYjt","Dal","spotify:album:5Ass3p14ZjqhbB8rQq1j5o","Fontanel","2020-07-03","1","1","272000","false","38","spotify:user:1227113","2020-08-03T13:29:26Z","","0.663","0.314","0","-9.602","0","0.0407","0.685","0.804","0.105","0.42","78.469","4"
"spotify:track:1hAsWvX1XHGbCEHDGhGs89","In The Rain","spotify:artist:6RTCb5pWKinqlUyG2qacit","Ernest Ranglin","spotify:album:2jKVWBT8aw6zVKbMXAKpS8","Be What You Wanna Be","2010-06-22","1","1","211280","false","45","spotify:user:1227113","2020-08-03T13:34:40Z","afrobeat,afropop,dub,funk,reggae,rock steady,roots reggae,ska,world","0.637","0.531","8","-9.876","0","0.0551","0.418","0.799","0.597","0.672","144.492","4"
