"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6rj48XPo5Gk9T7kXFYY93y","Strings","spotify:artist:4LXBFNxqvOcdBVpbgKn6op","iyla","spotify:album:4ZMHZn1OsaFc4Gydlzw9VK","OTHER WAYS TO VENT","2020-02-07","1","4","175807","false","41","spotify:user:1227113","2020-12-01T22:32:23Z","alternative r&b,pop soul","0.548","0.558","1","-4.339","0","0.227","0.46","0","0.0788","0.7","80.031","4"
"spotify:track:3DoFTSmuxrEJ7p2ueU0XsV","Oh La La La","spotify:artist:0DO2LBROzTKej41zt6QTf0","Cherine","spotify:album:3qgy6H99QHC6r8Hi4Bk0II","Hail Up Taxi 3","2005-07-08","1","11","250426","false","8","spotify:user:1227113","2020-12-02T17:51:38Z","deep ragga","0.841","0.527","0","-3.574","1","0.0472","0.0141","0.00113","0.0545","0.784","171.834","4"
"spotify:track:2ZYdysyyeXM4ZstsOsJsja","Aimé Césaire","spotify:artist:6oay09Jpzlp3TKFbx7GBMY, spotify:artist:7veGa0wVnoD20wadhEUMq5","DjeuhDjoah, Lieutenant Nicholson","spotify:album:2He9SDdWsV0r3PdBPxjJrf","Aimez ces airs","2019-03-08","1","3","191238","false","22","spotify:user:1227113","2020-12-02T18:29:31Z","afro-funk","0.81","0.376","2","-13.611","1","0.0706","0.617","0.00755","0.111","0.399","105.936","4"
"spotify:track:58svVOaDYXtldsJwRtTKr1","No Other Life WIthout You","spotify:artist:2GAuYKmCqyuXZ7jcNc686N","Greenflow","spotify:album:06lX5cxN9x2Ts8FJY8m8An","Spend My Life With You","2008-09-16","1","5","287826","false","14","spotify:user:1227113","2020-12-02T18:30:44Z","","0.464","0.321","1","-13.976","0","0.0456","0.982","0.9","0.107","0.546","170.842","4"
"spotify:track:4QGPJZqJYuTpATRAS4Iuhl","Childish","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:1h20JRQVqlyNfbcLiqk5sv","Childish","2019-01-13","1","1","221070","false","46","spotify:user:1227113","2020-12-02T18:58:46Z","k-indie,korean pop,korean r&b","0.822","0.472","0","-6.879","1","0.0544","0.205","0.00001","0.0899","0.451","124.994","4"
"spotify:track:2Va5mPZtuJt2tYCbBNEmiv","No Más","spotify:artist:5XqyqoLZXA69lCNyBT3f89, spotify:artist:615UQ2I7eSQVkvMrYIImNZ","Irreversible Entanglements, Aquiles Navarro","spotify:album:26wNI1WJBhXJtHrvMJz4DC","Who Sent You?","2020-03-20","1","3","478915","false","20","spotify:user:1227113","2020-12-02T19:39:51Z","experimental jazz","0.452","0.672","1","-11.454","1","0.0533","0.0555","0.844","0.148","0.651","120.471","4"
"spotify:track:6ys3DgHClE8mCa4sRx8yDQ","Pearls","spotify:artist:19j0iFmJ5A6CMT0MVZZU4O, spotify:artist:5P0713TH0hfITBogErNmgp","Kandace Springs, Avishai Cohen","spotify:album:2g6J9bq2p9cRxMoBEldSEF","The Women Who Raised Me","2020-03-27","1","4","284127","false","44","spotify:user:1227113","2020-12-02T19:43:07Z","contemporary vocal jazz,jazz pop,vocal jazz,ecm-style jazz,israeli jazz","0.39","0.207","7","-11.324","0","0.0334","0.877","0.00262","0.108","0.255","114.451","4"
"spotify:track:3L3uxLbJUDqr2bM7CGlZVJ","Au Revoir","spotify:artist:6aCbXH85qN6xo54C7atSMx","Black Alien","spotify:album:0d9km1VogLi6sN6S95ilyT","Abaixo de Zero: Hello Hell","2019-04-12","1","6","207272","false","58","spotify:user:1227113","2020-12-02T20:17:39Z","afrofuturismo brasileiro,brazilian hip hop,brazilian reggae","0.796","0.496","1","-9.257","1","0.224","0.364","0.238","0.114","0.572","87.98","4"
"spotify:track:67vedKB2ElfEQDCF3ztoX4","My Fancy Free Future Love - Tom Misch Remix","spotify:artist:2GHclqNVjqGuiE5mA7BEoc, spotify:artist:1uiEZYehlNivdK3iQyAbye","Common, Tom Misch","spotify:album:1nJJZh7fy1gS36zRDRbu4k","My Fancy Free Future Love (Tom Misch Remix)","2020-01-10","1","1","294861","true","48","spotify:user:1227113","2020-12-02T20:22:02Z","alternative hip hop,chicago rap,conscious hip hop,gangster rap,hardcore hip hop,hip hop,neo soul,political hip hop,rap,southern hip hop,indie soul,jazz pop","0.549","0.646","0","-9.1","1","0.206","0.389","0.000755","0.0663","0.779","91.011","4"
"spotify:track:58yWJFglBzvZ7Zao70lGtJ","Fall In Love (Your Funeral)","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","spotify:album:1MOub955Uer957RVqqkF2a","New Amerykah Part Two: Return Of The Ankh","2010-03-30","1","9","366693","false","51","spotify:user:1227113","2020-12-02T20:23:30Z","afrofuturism,hip hop,neo soul,r&b,soul,urban contemporary","0.815","0.441","8","-7.805","0","0.11","0.492","0.00000438","0.112","0.772","91.861","4"
"spotify:track:2HsKkeVWys5Ts20z3e5lT0","Tenderness","spotify:artist:1wmiQ6ytATiGnJs6uFluKO","Jay Som","spotify:album:6ufXh8u7kIJE5EiutbOjyj","Anak Ko","2019-08-23","1","6","241097","false","54","spotify:user:1227113","2020-12-02T20:30:02Z","art pop,bay area indie,chillwave,indie folk,indie pop,indie rock,oakland indie,small room","0.543","0.498","9","-10.152","1","0.0678","0.692","0.433","0.078","0.815","113.394","4"
"spotify:track:4QifSJm6XQE5uK3AEcFufx","Lush Grind","spotify:artist:1TYsIU7QKwwZ3IieKIE6oo, spotify:artist:5q0zWFDxHYStTxfgjGHgW7","Anthony Drawn, Hubert Daviz","spotify:album:6rAv9v71tu9aQ75NdeLZai","Lush Grind","2020-09-11","1","1","148461","false","53","spotify:user:1227113","2020-12-02T20:50:09Z","abstract beats,chillhop,indie deutschrap,jazz boom bap,wonky","0.658","0.318","7","-7.889","1","0.197","0.512","0.537","0.116","0.529","78.199","4"
"spotify:track:4A18PmCq2mh6phZVdxz5S9","Je reviens","spotify:artist:69gsLe4iaYyq9XaUEmi3n6","Gilles Rivard","spotify:album:7mHNiS5p3EwV4iOzcLj9PU","Beach Diggin', Vol. 3","2015-07-10","1","10","222437","false","34","spotify:user:1227113","2020-12-02T22:02:56Z","yacht rock","0.734","0.583","9","-11.158","1","0.0348","0.166","0.000156","0.13","0.624","103.182","4"
"spotify:track:6GRvRH7gH2UsxxACfBSTLY","Georgy Porgy - Version Disco","spotify:artist:22nIebodrGr1pgMJTDD7Sm","Dwight Druick","spotify:album:0V5IaZJNubLwke0xsrbwlp","Tanger","1980","1","9","350606","false","19","spotify:user:1227113","2020-12-02T22:07:57Z","","0.529","0.788","4","-8.254","0","0.0457","0.144","0.0115","0.0413","0.955","99.883","4"
"spotify:track:2StZPBvnpTBg2rGZqEdQT0","Aimer d'amour","spotify:artist:77wQMkmWWxX7UjLHH6nVK6","Boule Noire","spotify:album:0Q5BvrKwpazbsunPATkumv","Aimer d'amour","1978-01-01","1","1","207280","false","44","spotify:user:1227113","2020-12-02T22:09:59Z","chanson quebecois","0.683","0.649","9","-9.047","0","0.141","0.00137","0.000365","0.0684","0.79","96.89","4"
"spotify:track:5zOBgoLcwPSVy9hblNnMDO","Rendezvous","spotify:artist:6QA1jIAC7i52uJi8jbJDWB, spotify:artist:39g75EmRFeFbvHhsGjUpLU, spotify:artist:7AEduKdFxao8zneBl7b66Y","Will Sessions, Amp Fiddler, Dames Brown","spotify:album:7s5u6jC8GNzHSw77RWJx5I","The One","2018-10-26","1","4","187746","false","17","spotify:user:1227113","2020-12-02T22:38:01Z","detroit indie,jazz boom bap,broken beat,neo soul","0.918","0.534","1","-7.99","1","0.107","0.262","0.0178","0.289","0.753","117.007","4"
"spotify:track:4ODTuyBgwGi9GJspHB8Boc","Smoovin'","spotify:artist:3DwcX6M6GF3KGWbVmfNp8G","Leon Ware","spotify:album:37ohVvbnwOCBS0tx4MWScu","Moon Ride","2008-01-01","1","5","306360","false","0","spotify:user:1227113","2020-12-02T22:44:35Z","classic soul,disco,jazz funk,post-disco","0.703","0.621","11","-7.331","0","0.0596","0.619","0.00843","0.154","0.618","90.007","4"
"spotify:track:6a899bXlCuViXW2Qs8Rdqo","Turn Your Love Around","spotify:artist:4N8BwYTEC6XqykGvXXlmfv","George Benson","spotify:album:1IcNxT9zu74BfNhuHD9MBN","The George Benson Collection","1981","1","1","230106","false","54","spotify:user:1227113","2020-12-02T22:45:37Z","adult standards,disco,jazz funk,jazz guitar,motown,quiet storm,smooth jazz,soft rock,soul,soul jazz,yacht rock","0.627","0.385","9","-13.655","0","0.0537","0.334","0","0.182","0.766","205.726","4"
"spotify:track:4rWfs3rNTYXuh9NMo7f1uT","Yearning For Your Love","spotify:artist:4TwHRCIu3Xg9fjS3l7owkp","The Gap Band","spotify:album:21TvCCj1usXaHa6CEvlPYp","20th Century Masters: The Millennium Collection: Best Of The Gap Band","2000-01-25","1","7","345106","false","18","spotify:user:1227113","2020-12-02T23:02:56Z","classic soul,disco,funk,motown,new jack swing,post-disco,quiet storm,soul,urban contemporary","0.578","0.536","2","-6.982","1","0.0253","0.0883","0.00000275","0.0858","0.417","90.727","4"
