"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5y8apzJP1xF42QHMjSauvN","Count Your Blessings","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","1","327742","false","49","spotify:user:1227113","2020-01-02T01:26:29Z","","0.481","0.306","8","-9.653","1","0.0338","0.746","0.00000264","0.683","0.496","109.854","3"
"spotify:track:7lxpSTJT4wNv6hrAwJTCfQ","Kings & Queens (feat. Run The Jewels)","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI, spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","DJ Shadow, Run The Jewels","spotify:album:5zzoZKPXrbDWQv8Czwz7oi","Our Pathetic Age","2019-11-15","2","7","233600","true","48","spotify:user:1227113","2020-01-02T01:28:50Z","big beat,downtempo,electronica,hip hop,trip hop,turntablism,escape room,hip hop,political hip hop","0.697","0.7","2","-6.983","1","0.105","0.00756","0.0017","0.127","0.184","134.942","4"
"spotify:track:3UdsBHKTIiYZYY7dQODOvT","Professional","spotify:artist:5sKvgmG84C0bIMWeS2SRPr, spotify:artist:5qfkUSH3ip5dD2eEPhjkT3","Brasstracks, Kyle Dion","spotify:album:2T5sYR2u1uQ14Vxnx7T72Q","Professional","2019-08-23","1","1","182308","false","31","spotify:user:1227113","2020-01-02T14:48:00Z","alternative r&b,indie r&b,indie soul,nyc pop,alternative r&b,chill r&b,indie r&b,indie soul","0.757","0.55","0","-6.461","1","0.113","0.334","0.00000709","0.1","0.894","97.965","4"
"spotify:track:51glOQHf2CWjiT63TMt98H","100 reasons","spotify:artist:2LCFqtl3a3rO8KEcIPAUrX","kemt","spotify:album:3wHEG6d2ZaQwtYvAw00A7W","lo-fi_house.zip","2019-12-27","1","3","375000","false","49","spotify:user:1227113","2020-01-03T14:44:57Z","","0.705","0.853","10","-10.584","1","0.202","0.221","0.93","0.112","0.202","119.025","4"
"spotify:track:5H2A8jbJVmCsNs87myxPBb","Forth & Back - Instrumental","spotify:artist:1020a42xVklY6c56imNcaa, spotify:artist:4u3JZVJYDq2F3KgnUFw9dp","Slum Village, Abstract Orchestra","spotify:album:0xpv8csML9gqbCsI8TGP0C","Fantastic 2020, Vol. 1","2019-12-06","1","8","372772","false","16","spotify:user:1227113","2020-01-03T15:05:45Z","alternative hip hop,detroit hip hop,hip hop,indie soul,neo soul,alternative hip hop","0.838","0.137","5","-11.289","1","0.398","0.00652","0.856","0.0971","0.738","102.189","4"
"spotify:track:4Z0ytqqxXFMeLOXhdM25nK","NO GOOD","spotify:artist:5932gYdqLCu1ftKVXf1PO4, spotify:artist:6gmHQVzmcuzRTAv2fhjSfm","NASAYA, JANEVA","spotify:album:4ib7SdG3oy6qWZukGgvtlu","NO GOOD","2019-11-13","1","1","206400","false","19","spotify:user:1227113","2020-01-03T17:22:29Z","australian r&b","0.769","0.685","11","-5.886","0","0.185","0.0567","0","0.272","0.543","99.943","4"
"spotify:track:31vsc53TMGEgvyF4PHyvih","The Rules","spotify:artist:4zoRNhOhsGX3w8yBAnFSQ8, spotify:artist:0dE08wE3n4PPReGytbqELf, spotify:artist:1C7IQs4KL9Kg28wl964Zf7","Paul Russell, Breekay, Kasairi","spotify:album:4OZPBmwPUDYDmy0fYzICwo","Once in a Dry Season","2019-03-29","1","5","309368","false","17","spotify:user:1227113","2020-01-04T21:03:25Z","christian trap,indie r&b","0.671","0.7","8","-6.533","1","0.342","0.0797","0","0.312","0.717","89.975","4"
"spotify:track:31JoJ0r37SKxfDIiILYx9H","Shugah Boi - Sweet William Remix","spotify:artist:76O0DRobXGao078KT0xci8, spotify:artist:43eSnxk6MsmXsLOlbYo8VQ","J.Lamotta, Sweet William","spotify:album:0Cvn6axb9mvzqchYT3Ttxr","Suzume Remixed","2019-12-20","1","2","310000","false","20","spotify:user:1227113","2020-01-05T20:18:05Z","neo r&b,j-rap,japanese r&b,tape club","0.762","0.661","11","-6.508","0","0.061","0.561","0.00676","0.235","0.528","88.984","4"
"spotify:track:0eM7kmyvr2cWFH8oNAk8FB","Feel Good","spotify:artist:2jhjHaG1p2SMn6cDyhwhjQ","Terrell Hines","spotify:album:7kfxdR7gPu4gi82FVxUe14","St. Mark Rd.","2019-10-11","1","2","237522","false","48","spotify:user:1227113","2020-01-06T14:45:52Z","modern alternative pop","0.572","0.571","9","-7.902","1","0.0771","0.118","0.0074","0.124","0.47","72.03","4"
"spotify:track:7y3ZlBA0e9nSih725d0gKk","Butterfly","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","spotify:album:43ydwqcOrjHBTun8wOk7i8","From Midnight To Sunrise","2019-12-05","1","8","225106","false","37","spotify:user:1227113","2020-01-07T19:06:21Z","k-pop,korean r&b","0.611","0.508","5","-8.758","0","0.0404","0.286","0.00000146","0.0737","0.434","139.926","4"
