"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:16iNVfWKKZPDjctIcd0KMn","12:34 AM","spotify:artist:7ebBg3BuRFa2satTcY8whC, spotify:artist:5FxD8fkQZ6KcsSYupDVoSO, spotify:artist:5HONdRTLNvBjlD2LirKp0q","Billy Lemos, Omar Apollo, Maxwell Young","spotify:album:4bJGMpZ7LqygIsCM3G9ZYQ","12:34 AM","2017-06-27","1","1","127000","false","64","spotify:user:1227113","2021-01-03T03:13:45Z","alternative r&b,bedroom pop,chill r&b,indie r&b,alternative r&b,bedroom pop,bedroom soul,indie r&b,pop,chillhop","0.711","0.473","1","-11.971","1","0.116","0.656","0.0666","0.119","0.32","90.001","4"
"spotify:track:1Wcf2V95GsjkcxwiAjLCtM","Keep On Movin' On","spotify:artist:1TnGxyraO6Uyfyt2PuVFvI","Shirley Scott","spotify:album:6jDl0uJPjIWg66xI7c7Vff","One for Me","2020-05-22","1","2","592213","false","36","spotify:user:1227113","2021-01-04T13:41:31Z","hammond organ,soul jazz","0.545","0.391","10","-11.846","1","0.0351","0.8","0.884","0.106","0.508","136.856","4"
"spotify:track:2AGuePi2QKOGpX5DLVJiNi","Image","spotify:artist:0WP1sO0RYZHeJyd8PLSRBp","Brian Bennett","spotify:album:1svikpX3DorNerwbCIGi6H","The Kpm 1000 Series - Volume 1","2006-11-01","1","10","273266","false","36","spotify:user:1227113","2021-01-04T13:50:44Z","library music,spytrack","0.336","0.382","9","-8.398","0","0.0274","0.601","0.385","0.0652","0.219","74.895","4"
"spotify:track:0jBhrh3WiTQyRuUb1K9KDl","Our Love","spotify:artist:5US7hTWfx50MizMOJksHNj","The Edge Of Daybreak","spotify:album:3Ed5sYQN4RXoVQA2m6rF8r","Eyes of Love","2015-10-16","1","8","315480","false","36","spotify:user:1227113","2021-01-04T14:00:50Z","","0.595","0.435","1","-10.388","0","0.0313","0.734","0.00000209","0.216","0.49","126.337","3"
"spotify:track:0XeLymjDSVUT6hh0WLNakj","Transition East","spotify:artist:59lypjMPo7ZILhNMCgaE19","Angel Bat Dawid","spotify:album:0fH2ar8oTllZlATOrb4zy3","Transition East","2020-05-12","1","1","203500","false","30","spotify:user:1227113","2021-01-04T14:07:21Z","spiritual jazz","0.55","0.282","9","-12.387","1","0.0394","0.847","0.84","0.103","0.497","133.488","4"
"spotify:track:1dKo7nf3mdurZX7hNOHn4X","This Place","spotify:artist:6ZQqL5j1TcUxksv09mNo9o","Retiree","spotify:album:4GVPLSP7i0JaBSToaCVCk7","This Place","2015-06-22","1","1","390000","false","40","spotify:user:1227113","2021-01-04T14:15:00Z","","0.768","0.717","4","-8.899","0","0.0441","0.184","0.519","0.205","0.899","117.998","4"
"spotify:track:1hHiDng8g1a4Y2YMjj2pAJ","Slow Down - Mixed","spotify:artist:6XlzzwOhKSberPLmwDEmkc","Art Feynman","spotify:album:132x7s5otIdXjWqQqA0S4O","fabric presents Maribou State (DJ Mix)","2020-03-27","1","5","165653","false","40","spotify:user:1227113","2021-01-04T14:22:53Z","chamber psych,indie jazz","0.762","0.864","1","-6.955","1","0.0545","0.271","0.835","0.213","0.769","104.666","4"
"spotify:track:4Jg1hIE4HZgxbOYwvh0dh2","Sho' Nuff","spotify:artist:1OXS79e5AMBp2DKWcCbOUp","Sly\, Slick & Wicked","spotify:album:7JShGmDjB8MG8MqVu8AM6t","Sho' Nuff / Ready For You","2013-01-01","1","1","170293","false","40","spotify:user:1227113","2021-01-04T14:24:17Z","classic soul,souldies","0.694","0.638","11","-9.348","0","0.154","0.341","0","0.453","0.863","89.878","4"
"spotify:track:3Qf96BbmR1Ya0rRanxsCo6","Ready For You","spotify:artist:1OXS79e5AMBp2DKWcCbOUp","Sly\, Slick & Wicked","spotify:album:7JShGmDjB8MG8MqVu8AM6t","Sho' Nuff / Ready For You","2013-01-01","1","2","219160","false","11","spotify:user:1227113","2021-01-04T14:24:17Z","classic soul,souldies","0.725","0.501","5","-8.66","1","0.0404","0.23","0","0.135","0.839","112.653","4"
"spotify:track:58Dl8RRRMlXiXJ3pZzjxGY","パスワード","spotify:artist:0nmnnGl422TngJtYeEj5vD, spotify:artist:18rZSYLeI8QvUrWsfv5frK","Tomita Lab., 長岡亮介","spotify:album:2k3yTcmXaR1tDH8QUiG3dD","M-P-C ""Mentality, Physicality, Computer""","2018-10-03","1","3","272666","false","41","spotify:user:1227113","2021-01-04T14:26:12Z","japanese city pop,japanese jazz,japanese jazz fusion,japanese jazztronica,japanese r&b,shibuya-kei","0.691","0.759","0","-6.516","0","0.0836","0.519","0.000211","0.106","0.808","82","4"
