"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1DD7PGYav6CYBtYtwhzWzI","Afro Golden Line","spotify:artist:0YkHSziGnJb3civlSaKWk1","Amir Bresler","spotify:album:4to4besq9fhut1Cl2SXqyE","Afro Golden Line","2017-02-07","1","1","239397","false","43","spotify:user:1227113","2020-07-02T16:50:19Z","israeli jazz","0.558","0.613","4","-8.988","0","0.0352","0.29","0.93","0.154","0.796","90.877","5"
"spotify:track:73SvbxS18YaAsoYSjdENB1","Amanha","spotify:artist:4UK7ZwlNiYWVFeATAQian1","Rosalia De Souza","spotify:album:5uMkplQohrSjoclLGmLpTe","D'Improvviso","2009-01-25","1","10","253152","false","16","spotify:user:1227113","2020-07-02T16:50:19Z","bossa nova,nu jazz,sambass","0.446","0.63","0","-10.198","1","0.0404","0.0564","0.0161","0.109","0.617","93.759","3"
"spotify:track:4JB0EAT4BkLShTyTt50FmO","Ego Death (feat. Kanye West, FKA twigs & Skrillex)","spotify:artist:7c0XG5cIJTrrAgEC3ULPiq, spotify:artist:6nB0iY1cjSY1KyhYyuIIKH, spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Ty Dolla $ign, FKA twigs, Skrillex, Kanye West","spotify:album:6FPhDUfQUECZVD8vnobxjM","Ego Death (feat. Kanye West, FKA twigs & Skrillex)","2020-07-01","1","1","231066","false","60","spotify:user:1227113","2020-07-02T16:50:19Z","pop,pop rap,r&b,southern hip hop,trap,trap soul,afrofuturism,alternative r&b,art pop,dance pop,escape room,pop,trip hop,brostep,complextro,edm,electro,electro house,chicago rap,rap","0.813","0.615","10","-5.624","0","0.132","0.061","0","0.654","0.321","111.039","4"
"spotify:track:6V06P7LboO5FaYi13nQANw","Sponono","spotify:artist:1bNjWBFWsAAzZSR59lRdpR, spotify:artist:3tVQdUvClmAT7URs9V3rsp, spotify:artist:3wcj11K77LjEY1PkEazffa, spotify:artist:18CJ8k3h2Rggioow01dlwP, spotify:artist:3kyJLSOihpXaaR1NBK42pd","Kabza De Small, WizKid, Burna Boy, Cassper Nyovest, Madumane","spotify:album:5MERmRjWVHcj7PoQ4MHdIa","I Am The King Of Amapiano: Sweet & Dust","2020-06-26","1","3","395044","false","57","spotify:user:1227113","2020-07-02T16:50:19Z","afro house,afro soul,amapiano,south african alternative,south african pop,afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop,afro dancehall,dancehall,nigerian hip hop,nigerian pop,afro house,afro soul,south african alternative,south african hip hop,south african pop,south african trap","0.899","0.558","2","-12.303","0","0.0796","0.0533","0.00332","0.0218","0.401","113.011","4"
"spotify:track:7MsSBVisDpgfq8vZHGGgaR","Impilo","spotify:artist:1bNjWBFWsAAzZSR59lRdpR, spotify:artist:4VlxI0WKDh7HFgHjXcfj6v, spotify:artist:2G8ViKrx5kllpAOGInTcSj","Kabza De Small, Kelvin Momo, Kopzz Avenue","spotify:album:5MERmRjWVHcj7PoQ4MHdIa","I Am The King Of Amapiano: Sweet & Dust","2020-06-26","1","12","509734","false","31","spotify:user:1227113","2020-07-02T16:50:19Z","afro house,afro soul,amapiano,south african alternative,south african pop,afro house,afro soul,amapiano,south african pop","0.829","0.395","11","-18.829","0","0.0785","0.625","0.0812","0.0416","0.42","112.995","4"
"spotify:track:1Oo3pFwCLskdyOkOGC7PlJ","Into The Wave","spotify:artist:0Wqws1yyGkVRdAd7ncSW3W","Desta French","spotify:album:63rBruuLhRHRlfE3Tn6gPg","Into The Wave","2020-04-10","1","1","180000","false","0","spotify:user:1227113","2020-07-02T16:50:19Z","neo r&b,uk contemporary r&b","0.692","0.455","4","-10.316","0","0.0924","0.298","0.000095","0.126","0.324","109.982","4"
"spotify:track:6CDNDNEETdtWiQjXdWCviR","Pas De Hook","spotify:artist:3ZNUlWnJXhcuBaTJGnOO8O","Dela","spotify:album:4i2B7IoWfBoaBByBysm0CV","Jordan Fantôme","2020-01-17","1","1","171861","false","9","spotify:user:1227113","2020-07-02T16:50:19Z","alternative hip hop,ambeat,chillhop,jazz boom bap,jazz rap","0.349","0.416","0","-17.119","1","0.0372","0.664","0.95","0.618","0.634","95.189","4"
"spotify:track:3vDwt6PnoKbnjRRJe5oKTi","PUSH ON THRU","spotify:artist:3zx1v6xCo7VE8vxhhyqr5Y, spotify:artist:0OiS4KHxViIFnJooFTXl7V, spotify:artist:0ukgrNYk51TkMQr0f2Br4Q","Brady Watt, Ras Kass, Maverick Sabre","spotify:album:7fdPiGUzHNHnzVPuzxMQ6R","PUSH ON THRU","2020-05-15","1","1","211538","true","14","spotify:user:1227113","2020-07-02T16:50:19Z","alternative hip hop,boom bap,conscious hip hop,hardcore hip hop,hip hop,underground rap,indie soul,irish hip hop","0.53","0.785","1","-4.617","0","0.168","0.16","0","0.24","0.31","77.099","4"
"spotify:track:6NNaM2ltdwxcCc6MuR94zO","Tried By 12","spotify:artist:4BjbptmmVOKOYPTKivxmWp, spotify:artist:5AeXA6A5ZxCgFiIDZa4wnP","The East Flatbush Project, DES","spotify:album:6RFmZLQxcjog55cfLtD2m4","TRUE UNDERGROUND HIP HOP 2","1999-01-27","1","5","174666","false","47","spotify:user:1227113","2020-07-02T16:50:19Z","","0.853","0.695","8","-13.208","0","0.35","0.503","0.0000545","0.479","0.606","89.007","4"
"spotify:track:3bMveJpCPytU79V5A61Bb7","Baby Be Mine","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:1C2h7mLntPSeVYciMRTF4a","Thriller 25 Super Deluxe Edition","1982-11-30","1","2","260186","false","52","spotify:user:1227113","2020-07-02T16:50:43Z","pop,r&b,soul","0.829","0.663","11","-4.61","0","0.0794","0.167","0.0000168","0.109","0.668","109.652","4"
